date,code,index,close,volume
20181029,000300.SH,沪深300,3076.8889,9183978900
20181030,000300.SH,沪深300,3110.2605,11607010100
20181031,000300.SH,沪深300,3153.8234,11120745500
20181101,000300.SH,沪深300,3177.0338,13265337900
20181102,000300.SH,沪深300,3290.2455,15346610400
20181105,000300.SH,沪深300,3262.8351,10970668300
20181106,000300.SH,沪深300,3243.1504,8386913800
20181107,000300.SH,沪深300,3221.9101,9161552800
20181108,000300.SH,沪深300,3212.7737,7641454000
20181109,000300.SH,沪深300,3167.4442,8428276200
20181112,000300.SH,沪深300,3205.1407,8806239100
20181113,000300.SH,沪深300,3237.3823,12649346400
20181114,000300.SH,沪深300,3204.9427,11380865900
20181115,000300.SH,沪深300,3242.3715,9855881000
20181116,000300.SH,沪深300,3257.6735,12687683500
20181119,000300.SH,沪深300,3294.6031,11595659500
20181120,000300.SH,沪深300,3218.4076,10936115400
20181121,000300.SH,沪深300,3226.4918,8411972600
20181122,000300.SH,沪深300,3214.4273,6509829100
20181123,000300.SH,沪深300,3143.4752,8463825500
20181126,000300.SH,沪深300,3141.2434,5937914000
20181127,000300.SH,沪深300,3137.2413,5540783200
20181128,000300.SH,沪深300,3178.9326,7488195500
20181129,000300.SH,沪深300,3137.6542,8049846600
20181130,000300.SH,沪深300,3172.69,7092104400
20181203,000300.SH,沪深300,3260.9502,12148715700
20181204,000300.SH,沪深300,3267.7095,7941503900
20181205,000300.SH,沪深300,3252.0041,7615305200
20181206,000300.SH,沪深300,3181.673,7632877100
20181207,000300.SH,沪深300,3181.5646,5336192400
20181210,000300.SH,沪深300,3144.7631,6343727300
20181211,000300.SH,沪深300,3159.8158,5322387700
20181212,000300.SH,沪深300,3170.6092,5330991400
20181213,000300.SH,沪深300,3219.6924,9044275500
20181214,000300.SH,沪深300,3165.9109,8430125000
20181217,000300.SH,沪深300,3161.1966,6649700700
20181218,000300.SH,沪深300,3128.4265,6382031900
20181219,000300.SH,沪深300,3091.1255,5552229900
20181220,000300.SH,沪深300,3067.4169,6974946300
20181221,000300.SH,沪深300,3029.3951,7675810100
20181224,000300.SH,沪深300,3038.1981,5729961500
20181225,000300.SH,沪深300,3017.2815,7868942500
20181226,000300.SH,沪深300,3002.0327,5564703200
