,Port1,Port2,Port3,Port4,Port5
20171010,"Index(['nexus', 'wings', 'singulardtv', 'rlc', 'nano', 'agoras-tokens'], dtype='object')","Index(['waves', 'syscoin', 'factom', 'ardor', 'steem'], dtype='object')","Index(['stratis', 'stellar', 'ark', 'komodo', 'nem'], dtype='object')","Index(['dash', 'crypto-com', 'zcash', 'eos', 'iota'], dtype='object')","Index(['bitcoin', 'ethereum', 'litecoin', 'neo', 'monero'], dtype='object')"
20171210,"Index(['populous', 'wings', 'suncontract', 'rlc', 'nano', 'agrello-delta',
       'primas'],
      dtype='object')","Index(['komodo', 'loopring', 'steem', 'singulardtv', '0x', 'nexus',
       'agoras-tokens'],
      dtype='object')","Index(['stratis', 'waves', 'district0x', 'syscoin', 'ark', 'factom', 'ardor'], dtype='object')","Index(['dash', 'zcash', 'eos', 'monero', 'crypto-com', 'adx-net', 'nem'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'ethereum', 'litecoin', 'iota', 'neo',
       'stellar'],
      dtype='object')"
20180209,"Index(['rlc', 'suncontract', 'agoras-tokens', 'agrello-delta', 'populous',
       'wings', 'primas', 'cryptonex', 'cvcoin'],
      dtype='object')","Index(['syscoin', 'adx-net', 'komodo', 'red-pulse', 'nexus',
       'streamr-datacoin', 'singulardtv', 'district0x', 'ark'],
      dtype='object')","Index(['nano', 'stratis', '0x', 'waves', 'enigma', 'ripio-credit-network',
       'loopring', 'factom', 'kyber-network'],
      dtype='object')","Index(['dash', 'monero', 'vibe', 'nem', 'power-ledger', 'zcash', 'neblio',
       'crypto-com', 'steem'],
      dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'ethereum', 'litecoin', 'eos', 'iota',
       'cardano', 'neo', 'stellar'],
      dtype='object')"
20180411,"Index(['agrello-delta', 'populous', 'factom', 'komodo', 'syscoin', 'ark',
       'primas', 'streamr-datacoin', 'cryptonex', 'dynamic-trading-rights',
       'cvcoin'],
      dtype='object')","Index(['loopring', 'crypto-com', 'rlc', 'ripio-credit-network', 'qash',
       'quantstamp', 'enigma', 'nuls', 'singulardtv', 'ormeus-coin', 'wings'],
      dtype='object')","Index(['nexus', 'wax', 'red-pulse', 'waves', 'nebulas-token', 'stratis',
       'power-ledger', 'time-new-bank', 'adx-net', 'kyber-network',
       'suncontract'],
      dtype='object')","Index(['monero', 'nem', 'zcash', 'gifto', 'steem', 'dash', 'neblio', 'iota',
       'sirin-labs-token', '0x', 'district0x'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'litecoin', 'bitcoin-cash', 'neo',
       'cardano', 'vibe', 'nano', 'stellar'],
      dtype='object')"
20180611,"Index(['vibe', 'cvcoin', 'nexus', 'agrello-delta', 'factom', 'komodo',
       'streamr-datacoin', 'ark', 'wings', 'singularitynet', 'crpt',
       'cryptonex', 'maker', 'dynamic-trading-rights'],
      dtype='object')","Index(['quantstamp', 'ormeus-coin', 'ignis', 'bottos', 'fusion', 'wax',
       'stratis', 'rlc', 'syscoin', 'singulardtv', 'ardor', 'red-pulse',
       'qash', 'credits'],
      dtype='object')","Index(['loopring', 'waves', 'populous', 'neblio', 'nuls', 'power-ledger',
       'primas', 'high-performance-blockchain', 'polymath-network',
       'time-new-bank', 'ripio-credit-network', 'suncontract', 'enigma'],
      dtype='object')","Index(['crypto-com', 'stellar', 'gifto', 'dash', '0x', 'qlink', 'monero',
       'steem', 'district0x', 'adx-net', 'nebulas-token', 'kyber-network',
       'nano', 'sirin-labs-token'],
      dtype='object')","Index(['eos', 'bitcoin', 'ethereum', 'bitcoin-cash', 'truechain', 'cardano',
       'litecoin', 'zcash', 'iota', 'neo', 'all-sports', 'nem', 'bibox-token'],
      dtype='object')"
20180811,"Index(['qlink', 'ignis', 'crpt', 'wings', 'ark', 'qash', 'komodo', 'factom',
       'agrello-delta', 'singulardtv', 'ravencoin', 'red-pulse', 'vibe',
       'stakenet', 'atn', 'maker', 'dynamic-trading-rights'],
      dtype='object')","Index(['cvcoin', 'wax', 'ruff', 'singularitynet', 'bnktothefuture',
       'sirin-labs-token', 'bottos', 'ormeus-coin', 'suncontract',
       'quantstamp', 'ren', 'cryptonex', 'credits', 'nexus',
       'ripio-credit-network', 'district0x'],
      dtype='object')","Index(['matrix-ai-network', 'odem', 'polymath-network', 'steem',
       'loom-network', 'ardor', 'streamr-datacoin', 'fusion', 'nuls',
       'stratis', 'nano', 'rlc', 'adx-net', 'nexo', 'time-new-bank', 'enigma',
       'neblio'],
      dtype='object')","Index(['0x', 'all-sports', 'gifto', 'crypto-com', 'educare', 'monero',
       'nebulas-token', 'power-ledger', 'populous', 'waves', 'primas',
       'syscoin', 'high-performance-blockchain', 'nem', 'kyber-network',
       'loopring'],
      dtype='object')","Index(['bitcoin', 'eos', 'ethereum', 'bitcoin-cash', 'truechain', 'mithril',
       'bibox-token', 'zcash', 'litecoin', 'stellar', 'dash', 'cortex', 'neo',
       'ontology', 'cardano', 'iota'],
      dtype='object')"
20181011,"Index(['qlink', 'wax', 'maker', 'nexus', 'cvcoin', 'constellation', 'wings',
       'ren', 'syscoin', 'ark', 'quantstamp', 'red-pulse', 'rlc', 'atn',
       'factom', 'stakenet', 'mixin', 'dynamic-trading-rights'],
      dtype='object')","Index(['streamr-datacoin', 'time-new-bank', 'enigma', 'smartshare',
       'district0x', 'neblio', 'ignis', 'suncontract', 'ravencoin',
       'sirin-labs-token', 'agrello-delta', 'bottos', 'qash', 'pchain',
       'educare', 'singulardtv', 'komodo', 'singularitynet'],
      dtype='object')","Index(['adx-net', 'fusion', 'odem', 'polymath-network', 'nuls', 'stratis',
       'cryptonex', 'loopring', 'ruff', 'steem', 'nexo',
       'ripio-credit-network', 'kyber-network', 'ormeus-coin', 'credits',
       'bnktothefuture', 'nkn'],
      dtype='object')","Index(['gifto', 'vibe', '0x', 'cortex', 'primas', 'nebulas-token',
       'power-ledger', 'crypto-com', 'waves', 'pundi-x', 'all-sports', 'nem',
       'ardor', 'populous', 'loom-network', 'high-performance-blockchain',
       'matrix-ai-network', 'crpt'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'bitcoin-cash', 'dash', 'ontology',
       'litecoin', 'stellar', 'zcash', 'truechain', 'bibox-token', 'neo',
       'mithril', 'cardano', 'iota', 'nano', 'monero'],
      dtype='object')"
20181211,"Index(['enigma', 'qlink', 'pchain', 'qash', 'nexus', 'wax', 'ark', 'bottos',
       'atn', 'syscoin', 'stasis-euro', 'bnktothefuture', 'stakenet', 'ignis',
       'metronome', 'suncontract', 'constellation', 'mixin',
       'dynamic-trading-rights'],
      dtype='object')","Index(['stratis', 'high-performance-blockchain', 'smartshare', 'neblio',
       'cvcoin', 'wings', 'ruff', 'populous', 'odem', 'ardor', 'ren', 'nkn',
       'quantstamp', 'maker', 'all-sports', 'fusion', 'komodo', 'rlc',
       'seele'],
      dtype='object')","Index(['kyber-network', 'cryptonex', 'crypto-com', 'agrello-delta', 'adx-net',
       'ripio-credit-network', 'factom', 'nuls', 'matrix-ai-network',
       'streamr-datacoin', 'loopring', 'ormeus-coin', 'educare', 'district0x',
       'steem', 'time-new-bank', 'credits', 'singulardtv', 'singularitynet'],
      dtype='object')","Index(['gifto', 'waves', 'monero', 'mithril', 'nem', 'nano', 'pundi-x', 'iota',
       'bhp-coin', 'sirin-labs-token', 'polymath-network', 'loom-network',
       'zip', 'nexo', 'vechain', 'nebulas-token', 'cortex', 'crpt',
       'power-ledger'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'bitcoin-cash', 'eos', 'litecoin', 'zcash',
       'ravencoin', 'dash', 'stellar', 'red-pulse', 'truechain', 'neo', 'vibe',
       '0x', 'bibox-token', 'ontology', 'cardano', 'primas'],
      dtype='object')"
20190210,"Index(['ardor', 'ripio-credit-network', 'ruff', 'educare', 'time-new-bank',
       'safeinsure', 'quantstamp', 'seele', 'pchain', 'ignis', 'neblio',
       'suncontract', 'stakenet', 'constellation', 'bnktothefuture',
       'snetwork', 'travala', 'mixin', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['district0x', 'ormeus-coin', 'singularitynet', 'streamr-datacoin',
       'matrix-ai-network', 'high-performance-blockchain', 'komodo', 'ark',
       'crpt', 'qash', 'nexus', 'fusion', 'bottos', 'singulardtv',
       'stasis-euro', 'nkn', 'metronome', 'cvcoin', 'all-sports'],
      dtype='object')","Index(['power-ledger', 'vibe', 'primas', 'kyber-network', 'wings',
       'nebulas-token', 'bibox-token', 'credits', 'ren', 'maker', 'nano',
       'qlink', 'zip', 'loom-network', 'populous', 'wax', 'syscoin', 'enigma',
       'smartshare', 'rlc'],
      dtype='object')","Index(['crypto-com', 'iota', 'pundi-x', 'gifto', 'stratis', '0x', 'factom',
       'loopring', 'vechain', 'ravencoin', 'sirin-labs-token', 'red-pulse',
       'nexo', 'cryptonex', 'adx-net', 'steem', 'odem', 'cortex',
       'polymath-network'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'bitcoin-cash', 'litecoin', 'dash',
       'zcash', 'neo', 'waves', 'stellar', 'truechain', 'agrello-delta',
       'ontology', 'cardano', 'insight-chain', 'monero', 'nuls', 'mithril',
       'nem'],
      dtype='object')"
20190412,"Index(['qash', 'ruff', 'seele', 'pchain', 'mixin', 'safeinsure', 'bottos',
       'fusion', 'syscoin', 'stasis-euro', 'crpt', 'neblio', 'factom',
       'metronome', 'travala', 'bnktothefuture', 'stakenet', 'constellation',
       'snetwork', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['high-performance-blockchain', 'wax', 'ren', 'populous', 'singulardtv',
       'kcash', 'matrix-ai-network', 'odem', 'sirin-labs-token',
       'singularitynet', 'suncontract', 'nkn', 'streamr-datacoin', 'ardor',
       'all-sports', 'nexus', 'ignis', 'district0x', 'quantstamp', 'cvcoin'],
      dtype='object')","Index(['nano', 'fantom', 'enigma', 'nebulas-token', 'loom-network', 'qlink',
       'wings', 'komodo', 'credits', 'adx-net', 'zip', 'primas',
       'time-new-bank', 'educare', 'maker', 'stratis', 'cryptonex', 'rlc',
       'smartshare', 'insight-chain'],
      dtype='object')","Index(['waves', 'pundi-x', 'crypto-com', 'gifto', 'bibox-token', 'nem', '0x',
       'loopring', 'vechain', 'ark', 'steem', 'polymath-network', 'red-pulse',
       'nexo', 'ripio-credit-network', 'mithril', 'power-ledger', 'vibe',
       'cortex', 'iota'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'litecoin', 'eos', 'bitcoin-cash', 'neo', 'dash',
       'zcash', 'ontology', 'stellar', 'bitcoin-sv', 'ravencoin',
       'crypto-com-coin', 'truechain', 'agrello-delta', 'cardano', 'nuls',
       'kyber-network', 'ormeus-coin', 'monero'],
      dtype='object')"
