date,三安光电600703.SH,恒瑞医药600276.SH,中国联通600050.SH,中信建投601066.SH,中国国航601111.SH,药明康德603259.SH,上汽集团600104.SH,南方航空600029.SH,中国人寿601628.SH,中国重工601989.SH,海通证券600837.SH,宝钢股份600019.SH,中信证券600030.SH,中国国旅601888.SH,国泰君安601211.SH,海尔智家600690.SH,中国人保601319.SH,中国太保601601.SH,伊利股份600887.SH,工业富联601138.SH,中国平安601318.SH,中国神华601088.SH,贵州茅台600519.SH,洛阳钼业603993.SH,中国中车601766.SH,中国中铁601390.SH,华泰证券601688.SH,中国交建601800.SH,复星医药600196.SH,万华化学600309.SH,中国石化600028.SH,中国建筑601668.SH,中国石油601857.SH,新华保险601336.SH,民生银行600016.SH,上海银行601229.SH,光大银行601818.SH,海螺水泥600585.SH,中国银行601988.SH,兴业银行601166.SH,中国铁建601186.SH,工商银行601398.SH,交通银行601328.SH,三一重工600031.SH,建设银行601939.SH,华夏幸福600340.SH,浦发银行600000.SH,保利地产600048.SH,农业银行601288.SH,招商银行600036.SH
20181116,15.72,62.31,5.59,10.04,8.22,86.94,26.1,7.11,22.57,4.26,9.95,7.43,17.58,55.16,16.13,13.82,4.81,32.8,23.75,12.86,65.25,19.71,560,4.18,8.59,7.41,17.57,12.29,27.59,30.35,6.05,5.51,7.86,46.76,6.16,11.72,3.86,32.9,3.6,15.82,11.13,5.34,5.85,8.17,6.66,23.58,10.76,13,3.6,28.48
20181119,15.54,63.31,5.62,10.8,8.29,82.02,25.75,7.19,22.73,4.28,10.16,7.45,18.07,55.42,16.55,14.2,5.29,32.98,23.9,13.02,65.72,20.02,569.02,4.16,8.59,7.55,17.95,12.48,28.73,31.1,6.13,5.57,7.91,46.9,6.23,11.79,3.93,32.51,3.64,16.03,11.21,5.41,5.9,8.16,6.76,25.94,10.88,13.52,3.65,28.95
20181120,14.92,62.64,5.47,10.23,8.01,80.71,25.68,7.08,22.08,4.22,9.7,7.3,17.37,54.29,16.04,13.9,5.82,32.05,23.52,12.62,64.1,19.57,561.6,4.12,8.6,7.46,17.2,12.3,28.1,30.35,6.06,5.49,7.83,45.7,6.16,11.63,3.88,32.23,3.6,15.88,11.17,5.35,5.85,7.99,6.72,24.82,10.69,13.29,3.6,28.42
20181121,14.8,64.02,5.45,10.18,8.14,82.7,25.42,7.2,21.92,4.22,9.69,7.43,17.14,55.4,16.16,14.04,6.4,32.06,24,12.52,64.01,19.51,564.7,4.09,8.74,7.48,17.17,12.28,29.2,29.95,5.95,5.51,7.71,45.81,6.16,11.62,3.88,32.05,3.61,15.92,11.13,5.36,5.85,7.95,6.72,26.4,10.66,13.42,3.62,28.4
20181122,14.66,63.32,5.42,9.89,8.31,81.41,25.77,7.27,21.9,4.26,9.57,7.27,17.04,54.69,15.97,14.13,7.04,31.58,23.94,12.43,63.14,19.25,564.5,4.06,8.73,7.44,17.08,12.22,28.97,30.22,5.91,5.52,7.73,45.23,6.14,11.52,3.85,31.9,3.61,15.86,10.96,5.36,5.83,7.95,6.69,26.54,10.64,13.22,3.6,28.3
20181123,13.95,62.63,5.25,9.23,8.11,79,25.12,7.17,21.41,4.12,9.32,7.11,16.6,54.48,15.69,13.6,7.74,31.25,23.45,11.81,62.64,18.93,556.9,3.87,8.59,7.35,16.89,12.04,27.43,28.63,5.84,5.43,7.64,44.29,6.06,11.44,3.8,31.29,3.59,15.64,10.78,5.33,5.78,7.79,6.65,25.46,10.5,13,3.57,27.88
20181126,13.82,62.55,5.24,9.17,8.15,79.33,24.75,7.24,21.43,4.13,9.28,6.94,16.57,54.01,15.58,13.92,7.18,31.28,23.35,11.73,63.2,18.84,552.11,3.8,8.52,7.25,16.56,11.91,27.44,28.15,5.79,5.46,7.6,44.58,6.06,11.42,3.83,31.8,3.6,15.73,10.78,5.35,5.79,7.8,6.69,25.7,10.5,13.05,3.59,28.27
20181127,13.86,62.51,5.27,9.38,7.95,78.36,24.58,7.03,21.41,4.2,9.34,6.84,16.71,53.45,15.51,13.8,6.9,31.23,23.23,11.66,63.11,18.44,548.1,3.85,8.51,7.23,16.62,11.83,27.06,28,5.81,5.56,7.56,44.05,6.04,11.4,3.83,31.47,3.58,15.62,10.61,5.33,5.8,7.85,6.66,25.72,10.49,12.79,3.57,27.99
20181128,14.36,64.46,5.37,10.11,7.99,80.23,24.93,6.93,21.6,4.21,9.54,6.85,17.01,55.9,15.88,13.91,6.95,31.53,23.48,11.79,63.77,18.76,557,3.88,8.58,7.26,16.98,11.92,27.52,28.23,5.87,5.58,7.61,44.53,6.06,11.52,3.84,31.5,3.6,15.77,10.75,5.35,5.83,7.97,6.69,25.79,10.58,13.36,3.58,28.28
20181129,14.01,64.04,5.26,9.79,7.99,79.75,24.93,7.05,21.48,4.18,9.28,6.7,16.63,54.72,15.71,13.79,6.55,31.25,23.45,11.46,63.05,18.53,551.6,3.88,8.57,7.15,16.73,11.81,27.53,28.39,5.83,5.64,7.56,44.03,6.04,11.33,3.81,31.47,3.59,15.66,10.8,5.33,5.8,7.94,6.63,25.18,10.63,12.91,3.55,28.3
20181130,14.27,65.45,5.28,10.44,8.18,79.75,24.85,7.1,21.58,4.24,9.44,6.72,16.87,55.21,16.04,13.75,6.45,31.39,23.83,11.53,63.49,18.76,565,3.97,8.73,7.18,16.8,11.83,27.84,28.88,5.9,5.77,7.61,44.37,6.1,11.47,3.85,31.81,3.61,15.94,10.99,5.33,5.85,8.03,6.65,25.5,10.71,13.1,3.57,28.55
20181203,14.95,66.94,5.44,10.51,8.49,84.2,25.38,7.42,22.19,4.3,9.73,6.84,17.44,56.75,16.54,14.82,6.66,32.33,24.24,12,64.99,19.09,601.2,4.09,8.84,7.25,17.59,11.98,29.79,30.62,6.06,5.81,7.73,45.23,6.17,11.58,3.91,32.54,3.65,16.18,11.17,5.41,5.92,8.26,6.77,25.92,11.02,13.1,3.62,29.46
20181204,14.86,66.95,5.45,10.85,8.87,85.69,25.1,7.66,22.2,4.29,9.84,7,17.6,58.76,16.77,14.65,6.58,32.01,24.2,12.1,64.89,19.21,602.23,4.07,8.9,7.27,18.05,12.05,30,32.94,6.02,6.05,7.73,45,6.19,11.7,3.94,32.05,3.66,16.24,11.21,5.42,5.96,8.24,6.77,25.92,11.08,12.68,3.61,29.57
20181205,14.69,66.91,5.36,10.63,8.73,85.3,24.99,7.59,22.01,4.27,9.77,6.94,17.45,59.29,16.64,14.41,6.43,31.48,23.8,12.3,64.25,19.2,610.1,4.13,8.94,7.18,18.08,11.93,30.43,32.79,5.97,6,7.67,44.31,6.13,11.65,3.91,31.47,3.64,16.13,11.01,5.4,5.91,8.19,6.73,27.56,11,12.73,3.6,29.37
20181206,14.17,62.65,5.24,10.65,8.28,79.99,24.7,7.32,21.59,4.24,9.51,6.88,17.01,58.23,16.24,13.92,6.45,30.87,23,11.96,63,18.67,591.8,4.06,8.75,7.1,17.34,11.74,27.81,31.32,5.87,5.88,7.6,43.54,6.07,11.52,3.87,31.04,3.61,16.03,11.01,5.35,5.83,8.09,6.64,27.3,10.9,12.68,3.57,28.9
