date,三安光电600703.SH,恒瑞医药600276.SH,中国联通600050.SH,中信建投601066.SH,中国国航601111.SH,药明康德603259.SH,上汽集团600104.SH,南方航空600029.SH,中国人寿601628.SH,中国重工601989.SH,海通证券600837.SH,宝钢股份600019.SH,中信证券600030.SH,中国国旅601888.SH,国泰君安601211.SH,海尔智家600690.SH,中国人保601319.SH,中国太保601601.SH,伊利股份600887.SH,工业富联601138.SH,中国平安601318.SH,中国神华601088.SH,贵州茅台600519.SH,洛阳钼业603993.SH,中国中车601766.SH,中国中铁601390.SH,华泰证券601688.SH,中国交建601800.SH,复星医药600196.SH,万华化学600309.SH,中国石化600028.SH,中国建筑601668.SH,中国石油601857.SH,新华保险601336.SH,民生银行600016.SH,上海银行601229.SH,光大银行601818.SH,海螺水泥600585.SH,中国银行601988.SH,兴业银行601166.SH,中国铁建601186.SH,工商银行601398.SH,交通银行601328.SH,三一重工600031.SH,建设银行601939.SH,华夏幸福600340.SH,浦发银行600000.SH,保利地产600048.SH,农业银行601288.SH,招商银行600036.SH
20181116,45044699,29339821,134669011,67288697,48679940,5997291,34593988,74247723,11627793,60987875,122234778,30566482,253362746,8713827,44491292,26252437,1878750,29753936,41756547,35226540,61987908,12406210,2893879,132126568,48201288,43330025,69793049,17211180,28011174,32084108,134721371,174510185,52418174,20577852,78959402,18619284,56501565,39697053,132210478,40777752,62494012,139542989,64993483,56060301,102926724,10580568,21394417,60604325,289304412,49695528
20181119,20683391,18185070,131271935,80131815,45143331,9669107,29013969,52640392,9568019,58597192,123270711,47467014,255364859,10132055,41083705,28017903,1272895,23651037,36194695,33478260,50762891,13744919,3617925,106234544,35562051,39671588,85840999,18911364,30215023,30156507,85817413,124610802,57192650,15872106,70536355,17206433,48232311,56001534,102766923,47721871,59258469,176829125,57843829,47161177,116422512,36170229,21384793,86988585,272481558,50288177
20181120,30074606,12395767,111152945,66777158,53866646,4446448,19336572,59213277,10725278,83633196,86380150,55588375,177740815,7512932,38282389,21024031,1731726,29489911,27776104,30572833,59176258,13568455,2694326,148556874,51415914,41487586,85101832,23808948,17235221,21299954,86025160,117257732,45706384,15939520,66932240,16654875,44176854,21942644,91952493,37895773,95180056,143149717,54368056,48621584,102813975,23775604,21883780,62512671,245105155,33827788
20181121,16657337,14363545,63055376,55544130,47228231,4941648,14470182,71803659,7351043,54598697,67236189,74793850,149895209,7966172,19318237,16609478,5647236,15909763,44062540,19255414,38524931,18310893,2710730,101129496,78481495,37974905,43116787,17357092,29552928,18015317,147281457,75361426,50213616,7209918,45361900,10701551,30994584,22525079,62489308,32053771,88071387,98323160,38629377,45181796,47286587,35002962,16027458,53021495,162048935,32337787
20181122,14567470,12112075,60441962,36171689,62802927,3385092,18168056,71214097,5483141,54355593,53320526,41287392,95334767,5850152,17127562,16459685,6232141,25301633,15560036,17918921,44368353,8992867,2121333,60744774,45591298,36243062,31479154,9026360,18013164,14497892,85930864,61456244,32902792,10051436,35464955,11015476,32338670,14934999,48039504,20885703,53359539,79368533,37926542,25651360,38671237,15496368,14008305,39241189,104892646,27585849
20181123,26787554,10155354,111531977,46044591,38667196,3963872,15879344,58665826,6545455,69387402,63193366,42798651,109011820,5269515,17835708,18353590,648012972,21815625,19044897,33461384,37233517,10846897,2012621,120875011,52595040,42857229,44889440,17778094,25095386,27758683,80215989,93651243,41241096,10824734,48960348,13667392,32828005,20790727,84850028,34622166,76420429,89781362,37413243,37396513,75741850,16869263,14715010,37793854,185915135,32538936
20181126,16151664,7594818,49648857,25726435,56332990,2183170,12722399,79530930,3969663,37058285,37318263,48294335,67235362,6651634,12933860,21265692,412944863,16765828,18757703,13373511,36998907,7932795,1912019,65209789,28832697,29328444,32440066,10487877,10967214,16487068,76786578,56710339,43105729,7588063,37841283,11732845,34305827,18141933,84541375,22677155,37156353,87237881,36534420,22803043,75948698,15298301,14377396,48361542,164640904,27546954
20181127,13004534,7316511,68540738,36964014,50163100,3381697,11722860,59724796,3665283,64170870,42815997,37149454,66461664,5237517,16082592,15563545,249114252,14416874,15960192,15579709,37559684,11984002,2023382,60128235,24503076,20546745,28517907,9706678,14446039,15837530,53091980,111789166,30864244,9158351,34282991,11080321,32966267,17781582,58508790,23408734,39856228,66113948,38760060,25093953,39209465,10704455,15084666,33139363,115391951,33765856
20181128,23313072,17543644,90415619,68030080,39193024,3236660,14011055,53887463,4089217,48197568,45472104,34196894,105395391,15230296,17623850,14078917,199889879,16051487,22488122,15817102,41169032,7955783,2773793,71324508,22367291,24037744,44755257,11340089,12512501,15317032,55373543,79781827,32650544,7774329,31633547,10652282,41132793,18656987,59010992,23803490,35172269,77960374,37978617,24969874,42131518,9392323,18339621,46293298,145702869,29087389
20181129,18345422,12871173,84060824,76816629,35737254,3719665,10540241,58546655,4068047,48734273,52625526,41677486,96642632,9962956,24217839,11991404,208036880,21013627,21672657,24771458,38665389,6911621,4506945,105541995,43763162,38663768,48588837,14758891,12899305,25600145,50462818,175956620,35616646,8276776,41193804,15441649,30336509,23248353,54474093,27976904,54787841,81464321,37457148,33821102,49651350,11766916,20685685,56648188,160272721,39794993
20181130,13789169,14263842,62895726,68089614,34318490,2348617,12592793,47878473,3418519,68327860,34315180,42962608,75019559,6648605,18167574,14113973,180334101,13097004,25733507,15017916,34917109,11994271,4901046,137740637,43806902,31056017,40629874,11417152,9294761,19145931,69807362,167305659,31384657,6667830,38422878,19595638,42955180,16046351,66155248,51332650,53067227,61182737,54482515,25756898,47541727,8371630,28572651,34080181,164599831,25438081
20181203,35650593,22127488,126021786,89451043,101328731,6661286,31556434,101068618,10153882,82050392,81929400,66513200,186666706,14741356,48205703,55859651,232907265,33312634,56497920,46133491,112194302,13757194,8341468,138576710,72032585,53251714,78775263,24250841,31234785,45119911,160643995,184049023,80155247,15946367,83799742,28667680,66666745,33023395,119871047,62760796,88748379,222347405,74370670,67165401,144647923,15840755,43049070,118389313,304720205,69025556
20181204,15933507,12514312,60439656,65509786,92745688,5864408,14868660,109951329,3741247,50199941,42320545,68804627,97245482,12196251,23536577,29538046,140385385,19302751,34747543,33016519,56247314,10722897,3147388,88980650,45280962,33300701,63136022,19193444,21099470,63751892,91126983,285430285,46475967,8132920,49065132,14596729,54669985,27030595,60339860,41978768,61097779,96339272,54424377,33788178,66629303,13219444,20811293,110553233,142843262,32368558
20181205,15229235,16118295,61478584,44522856,55985602,4319801,14784759,67276775,3923520,41589497,31276158,33760515,81303328,9613915,18202855,26604393,101694948,18433240,36268808,40940652,45020712,11686706,4158819,164765945,41624166,27433482,67456858,12630915,22384786,60173633,56868279,153967040,30732771,11191086,47831502,10543211,45768481,23578803,56800275,32467923,50492129,94894201,44481765,45857250,49303055,34510708,25491217,61213010,159251823,26230736
20181206,25978249,34387569,91686464,64392468,59563605,8450127,16340436,61126533,5055833,40660500,38524615,25447697,91860820,7005911,18162613,29443614,117201598,20791923,63475173,26961972,58586513,11390769,3775807,83244041,39148764,30786563,69237532,11545600,46934296,43870118,92374003,138142635,32009739,9028298,51292107,14867410,66455233,21682901,70206907,43701383,37193286,112675587,51298719,32920100,76707281,16433411,23597997,42810219,233534573,37338023
20181207,13852950,50886229,60104675,39465195,29454154,3692315,7407969,29949557,2387911,36757232,30058800,23335759,51228317,5316582,11460182,18774280,70509134,19111220,19933514,12842106,27029717,11127415,2684167,50139775,97088001,38534382,30561425,14991073,47231850,20515970,39092019,93705201,23479823,5720524,24723143,7714497,28211141,16121939,32524586,23783731,81628163,59598321,30353854,33151545,41119891,19301513,10580550,43437257,119030593,30522873
20181210,17619778,23301901,60290298,41317150,32326036,2801916,15204181,27224603,3657307,36624000,34675355,26956491,69550486,7846327,12634785,27174559,76189958,26700756,30901520,15715146,49465059,8557113,2464068,55833540,98596860,40632393,35541675,12721472,24134992,19336805,86001877,120965531,32301124,7620076,43800603,10506968,33902143,23448988,71477892,24603674,101342078,80875151,39810836,25779714,60397754,9609661,15927563,45170873,122183090,26698642
20181211,9958647,17413007,39460893,24510756,25399144,2605451,6824494,22485206,2561620,30900217,24824349,21742350,35867548,5141174,10178215,11418314,72402760,12804873,24370603,16377246,41994888,4650258,1631660,38406924,58685869,24132601,23431664,8443588,15944659,15119250,62032622,87788156,21735291,4717847,39902930,9187145,23596596,18384020,50892678,23727866,57835082,60702859,34852437,23709658,29035022,8825147,17234222,58344355,108471143,22729013
20181212,10921126,18662365,36638046,39581749,27476931,2058024,11480949,27104694,2560372,23478943,24966886,21153538,55185905,7649128,13000499,15756897,51851681,15645644,19570008,17347200,38739232,7431289,1992154,84013133,53453301,23877643,32421168,13348611,12768931,13665002,48571236,87866877,24058208,5405066,49522676,11194934,23918408,16077365,47860201,26945906,41778842,62210327,45268927,45112703,44553212,19696642,12448791,71541726,108516834,20209393
20181213,21512584,20522255,81079375,43823060,44587337,3722766,20415751,48526832,4448782,59503113,49110375,40486732,122978783,7637320,20169303,55575240,96367085,19830869,35989109,27563800,78275417,10503649,4039941,101083573,139935726,114470478,51284402,44617444,16970505,36855812,75955024,327617138,34700069,11432167,78354525,13196673,52152951,41021770,66510366,38217787,194581666,97639078,65093629,81117007,105924739,21200346,19792340,79902349,167477390,55152033
20181214,20475119,20340381,57673020,44144481,34562209,4322530,19864124,36373210,4659336,59845088,49600699,52694413,65605066,12452959,28935834,30716336,80620514,19203917,25864884,41803262,75075554,11996872,2455448,161663230,108182933,89530996,36939062,39249537,25547662,24782890,112498577,246339457,62583548,6112590,139784859,14377280,51955844,23590819,80859759,29807926,102904279,75159434,59294801,57539362,104739365,21998179,24163831,46271532,163037865,39815540
20181217,14969086,28597179,45737615,35546963,32323892,2791769,28584355,31436831,4217587,51243028,36460331,30599861,54182691,7091207,23569580,22814343,42757749,11568335,29244955,28516826,71213138,9448846,2489585,90972684,72527824,54838157,31510732,26505299,16064363,19263813,62433638,251852184,32998682,5805337,70371201,15403750,37093079,16473140,69953697,34096978,116000346,81894870,66813157,70732067,43432395,14295845,19746228,43234950,201917455,31130374
