,ormeus-coin,populous,nuls,ignis,nexus,mithril,verasity,cardano,travala,stakenet,levolution,constellation,bhp-coin,cvcoin,blue-whale-exchange,platincoin,1sg,0x,safeinsure,high-performance-blockchain,ruff,nebulas-token,reserve-rights,stasis-euro,monero,silverway,syscoin,streamr-datacoin,intellishare,bibox-token,theta-fuel,infinitecoin,celer-network,cwv-chain,quantstamp,coinmeet,zip,tcash,steem,rif-token,ftx-token,w-green-pay,crypto-com,wings,algorand,seele,ether-zero,cortex,tether,bottos,agrello-delta,educare,eterbase-coin,all-sports,kyber-network,unus-sed-leo,kcash,stpt,adx-net,bitrue-coin,red-pulse,zcash,loopring,qash,neblio,polymath-network,loom-network,pchain,ren,ontology,fusion,suncontract,crypto-com-coin,davinci-coin,primas,gifto,insight-chain,aidos-kuneen,eos,odem,litecoin,pundi-x,stableusd,howdoo,karatgold-coin,botxcoin,rlc,vechain,qlink,truechain,ripio-credit-network,nem,metronome,neo,stratis,time-new-bank,dynamic-trading-rights,bnktothefuture,metahash,enigma,imagecoin,credits,v-id,agoras-tokens,thorecoin,district0x,komodo,power-ledger,hedgetrade,vibe,cryptonex,waves,ravencoin,iota,sirin-labs-token,nkn,thingschain,snetwork,ark,singulardtv,nano,bomb,atn,crpt,mixin,ocean-protocol,bolt,next,smartshare,nash-exchange,fantom,dos-network,singularitynet,factom,nexo,wax,stellar,fatcoin,ardor,bitbook-gambling,hycon,hyperion,matrix-ai-network,grin,maker,dash,bitcoin-sv,bitcoin-cash,ethereum,bitcoin
20131227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.27230072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735.07
20131228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.56270027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.83
20131229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.06509972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.05
20131230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000118591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.37759972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.13
20131231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000108223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.34700012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.01
20140101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.61540031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4
20140102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75670052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.39
20140103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.81539917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.72
20140104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.10630035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.51
20140105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.82970047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.53
