date,litecoin,bitcoin,monero,stellar,tether,nem,ethereum,steem,waves,neo,zcash,komodo,nano,iota,eos,cryptocom,bitcoincash,ox,loopring,kybernetwork,cardano,powerledger,cryptonex,nebulastoken,nuls,gifto,biboxtoken,polymathnetwork,truechain,ontology,ren,ravencoin,loomnetwork,educare,mixin,nexo,nkn,vechain,seele,insightchain,bhpcoin,cryptocomcoin,grin,riftoken,oceanprotocol,unussedleo,silverway,ftxtoken,algorand,coinmeet
20170205,4.04292,1027.34,12.8024,0.002344,0.999999,0.006389,11.353,0.15987,0.224531,0.131582,38.1625,0.110987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170206,4.04401,1038.15,12.8842,0.002369,0.999998,0.006039,11.3894,0.161881,0.264725,0.126788,37.5894,0.159718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170207,4.04037,1061.35,12.6499,0.002319,0.999999,0.006917,11.5153,0.155065,0.255401,0.133135,36.4238,0.149072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170208,4.02317,1063.07,12.8034,0.002235,0.999999,0.006661,11.4312,0.15086,0.264578,0.129568,35.3009,0.141392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170209,3.79859,994.383,12.1231,0.002155,0.999999,0.006323,11.0322,0.145037,0.248226,0.127476,33.3408,0.120351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170210,3.77721,988.674,11.9798,0.002141,0.999999,0.006338,11.2789,0.145825,0.236728,0.125761,32.6977,0.109228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170211,3.7931,1004.45,12.2445,0.002111,0.999999,0.006992,11.3495,0.146461,0.242829,0.125607,32.7579,0.116169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170212,3.76437,999.181,12.331,0.00209,0.999999,0.0069,11.3992,0.142462,0.250045,0.121566,31.6103,0.116802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170213,3.71789,990.642,12.1973,0.002067,1,0.006635,11.2695,0.136064,0.247048,0.118286,30.3796,0.127777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170214,3.7708,1004.55,12.9933,0.00209,1,0.00673,13.0252,0.133292,0.242459,0.116603,32.3716,0.119972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170215,3.80928,1007.48,13.6168,0.002224,1.00177,0.007093,12.9197,0.133492,0.244826,0.112729,33.5486,0.118915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170216,3.78681,1027.44,13.1021,0.002139,1.00005,0.007039,12.9037,0.137068,0.247579,0.126088,32.5631,0.1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170217,3.83036,1046.21,13.2959,0.002093,1.00002,0.007113,12.6765,0.132673,0.252515,0.122661,32.0055,0.111069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170218,3.79103,1054.42,13.3616,0.002021,1.00001,0.006863,12.8102,0.120832,0.241144,0.124431,30.8403,0.115351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170219,3.76226,1047.87,12.9938,0.002014,0.999898,0.006352,12.7585,0.119055,0.240916,0.122905,30.5784,0.118835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170220,3.76766,1079.98,12.2205,0.002052,0.999997,0.006559,12.4301,0.116643,0.246662,0.121475,30.8685,0.116306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170221,3.78328,1115.3,12.3369,0.001997,0.99976,0.006326,12.6684,0.100643,0.220769,0.121561,29.9025,0.103864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170222,3.80522,1117.44,12.7652,0.002008,0.999967,0.006388,12.5997,0.11141,0.225359,0.121959,27.1567,0.104522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170223,3.84295,1166.72,12.8719,0.001927,0.999997,0.006853,13.1194,0.116398,0.221672,0.118724,29.9845,0.112626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170224,3.84672,1173.68,11.9219,0.001885,0.999998,0.006571,13.0692,0.108383,0.221182,0.121185,30.2278,0.110815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170225,3.82611,1143.84,11.8484,0.001881,1.00004,0.00634,13.5487,0.115275,0.214795,0.114526,29.1471,0.109108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170226,3.82672,1165.2,11.8886,0.001875,1.00001,0.006447,14.52,0.109711,0.215897,0.114986,29.4514,0.104956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170227,3.80274,1179.97,11.9604,0.001774,1.00007,0.006415,15.3965,0.113267,0.221919,0.115376,35.94,0.105117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170228,3.77099,1179.97,12.2765,0.001843,0.99997,0.007034,15.8172,0.106568,0.195859,0.117443,37.305,0.096978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170301,3.7989,1222.5,12.3312,0.001724,0.999998,0.00785,17.3497,0.097724,0.196167,0.135197,41.4091,0.097098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
