,Port1,Port2,Port3,Port4,Port5
20170705,"Index(['bitcoin', 'neo', 'ardor', 'nano', 'crypto-com', 'eos'], dtype='object')","Index(['monero', 'dash', 'stellar', 'ethereum', 'zcash'], dtype='object')","Index(['factom', 'singulardtv', 'stratis', 'iota', 'rlc'], dtype='object')","Index(['steem', 'syscoin', 'komodo', 'nem', 'wings'], dtype='object')","Index(['nexus', 'agoras-tokens', 'litecoin', 'ark', 'waves'], dtype='object')"
20170717,"Index(['singulardtv', 'dash', 'steem', 'wings', 'ark', 'adx-net'], dtype='object')","Index(['ethereum', 'waves', 'bitcoin', 'monero', 'syscoin', 'eos'], dtype='object')","Index(['factom', 'rlc', 'komodo', 'crypto-com', 'ardor'], dtype='object')","Index(['zcash', 'stratis', 'populous', 'nem', 'neo', 'agoras-tokens'], dtype='object')","Index(['iota', 'stellar', 'nexus', 'litecoin', 'nano'], dtype='object')"
20170729,"Index(['dash', 'nexus', 'syscoin', 'ethereum', 'ark', 'nano'], dtype='object')","Index(['ardor', 'agoras-tokens', 'rlc', 'wings', 'crypto-com', 'litecoin'], dtype='object')","Index(['zcash', 'singulardtv', 'stellar', 'adx-net', 'factom'], dtype='object')","Index(['steem', 'populous', 'bitcoin', 'nem', 'stratis', 'neo'], dtype='object')","Index(['monero', 'waves', 'eos', 'iota', 'komodo'], dtype='object')"
20170810,"Index(['ark', 'monero', 'factom', 'dash', 'eos', 'steem', 'syscoin'], dtype='object')","Index(['adx-net', 'singulardtv', 'stellar', 'litecoin', 'crypto-com',
       'bitcoin'],
      dtype='object')","Index(['nem', 'komodo', 'ethereum', 'ardor', 'rlc', 'waves'], dtype='object')","Index(['wings', 'zcash', 'agoras-tokens', 'nexus', 'iota', 'stratis'], dtype='object')","Index(['bitcoin-cash', 'district0x', 'suncontract', 'populous', 'nano', 'neo'], dtype='object')"
20170822,"Index(['neo', 'wings', 'komodo', 'bitcoin', 'eos', 'agoras-tokens',
       'populous'],
      dtype='object')","Index(['bitcoin-cash', 'nano', 'nem', 'nexus', 'litecoin', 'suncontract',
       'stratis'],
      dtype='object')","Index(['iota', 'ardor', 'ark', 'waves', 'rlc', 'factom', 'ethereum'], dtype='object')","Index(['dash', 'aidos-kuneen', 'zcash', 'singulardtv', 'stellar', 'adx-net',
       'syscoin'],
      dtype='object')","Index(['0x', 'cvcoin', 'district0x', 'crypto-com', 'monero', 'steem'], dtype='object')"
20170903,"Index(['dash', 'ethereum', 'stratis', 'iota', 'adx-net', 'crypto-com',
       'primas'],
      dtype='object')","Index(['aidos-kuneen', 'stellar', 'monero', 'bitcoin-cash', 'syscoin', 'nexus',
       'nano'],
      dtype='object')","Index(['waves', 'ardor', 'eos', 'zcash', 'steem', 'bitcoin', 'ark'], dtype='object')","Index(['neo', '0x', 'populous', 'factom', 'cvcoin', 'district0x',
       'agoras-tokens'],
      dtype='object')","Index(['komodo', 'suncontract', 'litecoin', 'wings', 'nem', 'rlc',
       'singulardtv'],
      dtype='object')"
20170915,"Index(['nem', 'stratis', 'stellar', 'ardor', 'crypto-com', 'agrello-delta',
       'factom', 'syscoin'],
      dtype='object')","Index(['wings', 'dash', 'primas', 'litecoin', '0x', 'waves', 'neo',
       'ethereum'],
      dtype='object')","Index(['monero', 'suncontract', 'singulardtv', 'bitcoin', 'bitcoin-cash',
       'adx-net', 'zcash'],
      dtype='object')","Index(['rlc', 'district0x', 'populous', 'nexus', 'cvcoin', 'iota', 'komodo',
       'steem'],
      dtype='object')","Index(['aidos-kuneen', 'ark', 'nano', 'eos', 'loopring', 'neblio',
       'agoras-tokens'],
      dtype='object')"
20170927,"Index(['bitcoin-cash', 'iota', 'bitcoin', 'monero', 'ark', 'eos', 'dash',
       'agrello-delta'],
      dtype='object')","Index(['litecoin', 'agoras-tokens', 'populous', 'factom', 'wings', 'ethereum',
       'loopring', 'nem'],
      dtype='object')","Index(['crypto-com', 'singulardtv', 'stratis', '0x', 'aidos-kuneen', 'stellar',
       'rlc', 'steem'],
      dtype='object')","Index(['primas', 'komodo', 'syscoin', 'ardor', 'zcash', 'neblio', 'adx-net',
       'cvcoin'],
      dtype='object')","Index(['neo', 'kyber-network', 'waves', 'vibe', 'nano', 'nexus', 'district0x',
       'suncontract'],
      dtype='object')"
20171009,"Index(['waves', 'monero', 'nem', 'syscoin', 'district0x', 'ark', 'wings',
       'rlc'],
      dtype='object')","Index(['litecoin', 'suncontract', 'nexus', 'bitcoin-cash', 'singulardtv',
       'dash', 'agoras-tokens', 'zcash'],
      dtype='object')","Index(['factom', 'neblio', 'eos', 'ethereum', 'crypto-com', 'steem', 'ardor',
       'kyber-network'],
      dtype='object')","Index(['komodo', 'agrello-delta', 'neo', 'iota', 'stratis', 'adx-net',
       'bitcoin', 'populous'],
      dtype='object')","Index(['stellar', 'vibe', 'cvcoin', 'primas', 'nano', 'cardano', '0x',
       'loopring'],
      dtype='object')"
20171021,"Index(['crypto-com', 'ardor', 'bitcoin-cash', 'iota', 'adx-net', 'enigma',
       'syscoin', 'neo', 'stellar'],
      dtype='object')","Index(['nem', 'ark', 'steem', 'monero', 'zcash', 'ethereum', 'dash',
       'suncontract'],
      dtype='object')","Index(['bitcoin', 'populous', 'rlc', 'waves', 'wings', 'eos', 'litecoin',
       '0x'],
      dtype='object')","Index(['loopring', 'nexus', 'primas', 'kyber-network', 'singulardtv', 'vibe',
       'factom', 'stratis'],
      dtype='object')","Index(['cvcoin', 'district0x', 'agoras-tokens', 'neblio', 'agrello-delta',
       'komodo', 'cardano', 'nano'],
      dtype='object')"
