,Port1,Port2,Port3,Port4,Port5
20170705,"Index(['bitcoin', 'neo', 'ardor', 'nano', 'crypto-com', 'eos'], dtype='object')","Index(['monero', 'dash', 'stellar', 'ethereum', 'zcash'], dtype='object')","Index(['factom', 'singulardtv', 'stratis', 'iota', 'rlc'], dtype='object')","Index(['steem', 'syscoin', 'komodo', 'nem', 'wings'], dtype='object')","Index(['nexus', 'agoras-tokens', 'litecoin', 'ark', 'waves'], dtype='object')"
20170708,"Index(['syscoin', 'komodo', 'singulardtv', 'nexus', 'iota', 'ardor'], dtype='object')","Index(['zcash', 'ethereum', 'litecoin', 'rlc', 'stellar'], dtype='object')","Index(['crypto-com', 'stratis', 'neo', 'steem', 'nem'], dtype='object')","Index(['agoras-tokens', 'wings', 'factom', 'bitcoin', 'waves'], dtype='object')","Index(['ark', 'dash', 'eos', 'monero', 'nano'], dtype='object')"
20170711,"Index(['nem', 'waves', 'factom', 'syscoin', 'stratis', 'eos'], dtype='object')","Index(['nano', 'stellar', 'monero', 'ethereum', 'zcash'], dtype='object')","Index(['iota', 'komodo', 'agoras-tokens', 'dash', 'ark'], dtype='object')","Index(['singulardtv', 'steem', 'bitcoin', 'neo', 'crypto-com'], dtype='object')","Index(['wings', 'ardor', 'rlc', 'nexus', 'litecoin'], dtype='object')"
20170714,"Index(['ardor', 'dash', 'singulardtv', 'monero', 'nem', 'adx-net'], dtype='object')","Index(['waves', 'bitcoin', 'ethereum', 'crypto-com', 'litecoin'], dtype='object')","Index(['ark', 'neo', 'iota', 'factom', 'steem', 'zcash'], dtype='object')","Index(['rlc', 'eos', 'komodo', 'syscoin', 'stellar'], dtype='object')","Index(['wings', 'stratis', 'nexus', 'nano', 'agoras-tokens'], dtype='object')"
20170717,"Index(['singulardtv', 'dash', 'steem', 'wings', 'ark', 'adx-net'], dtype='object')","Index(['ethereum', 'waves', 'bitcoin', 'monero', 'syscoin', 'eos'], dtype='object')","Index(['factom', 'rlc', 'komodo', 'crypto-com', 'ardor'], dtype='object')","Index(['zcash', 'stratis', 'populous', 'nem', 'neo', 'agoras-tokens'], dtype='object')","Index(['iota', 'stellar', 'nexus', 'litecoin', 'nano'], dtype='object')"
20170720,"Index(['adx-net', 'nano', 'stellar', 'litecoin', 'agoras-tokens', 'factom'], dtype='object')","Index(['neo', 'nexus', 'singulardtv', 'monero', 'eos', 'zcash'], dtype='object')","Index(['ark', 'syscoin', 'dash', 'bitcoin', 'steem'], dtype='object')","Index(['ethereum', 'komodo', 'ardor', 'wings', 'waves', 'rlc'], dtype='object')","Index(['crypto-com', 'populous', 'iota', 'nem', 'stratis'], dtype='object')"
20170723,"Index(['dash', 'monero', 'adx-net', 'zcash', 'ethereum', 'crypto-com'], dtype='object')","Index(['neo', 'singulardtv', 'eos', 'bitcoin', 'populous', 'litecoin'], dtype='object')","Index(['stellar', 'wings', 'nexus', 'rlc', 'iota'], dtype='object')","Index(['factom', 'nem', 'nano', 'waves', 'komodo', 'agoras-tokens'], dtype='object')","Index(['syscoin', 'stratis', 'ardor', 'ark', 'steem'], dtype='object')"
20170726,"Index(['syscoin', 'waves', 'ark', 'steem', 'stratis', 'ardor'], dtype='object')","Index(['zcash', 'ethereum', 'komodo', 'populous', 'wings', 'eos'], dtype='object')","Index(['iota', 'bitcoin', 'stellar', 'nem', 'neo'], dtype='object')","Index(['nexus', 'factom', 'monero', 'dash', 'agoras-tokens', 'litecoin'], dtype='object')","Index(['nano', 'rlc', 'adx-net', 'singulardtv', 'crypto-com'], dtype='object')"
20170729,"Index(['dash', 'nexus', 'syscoin', 'ethereum', 'ark', 'nano'], dtype='object')","Index(['ardor', 'agoras-tokens', 'rlc', 'wings', 'crypto-com', 'litecoin'], dtype='object')","Index(['zcash', 'singulardtv', 'stellar', 'adx-net', 'factom'], dtype='object')","Index(['steem', 'populous', 'bitcoin', 'nem', 'stratis', 'neo'], dtype='object')","Index(['monero', 'waves', 'eos', 'iota', 'komodo'], dtype='object')"
20170801,"Index(['dash', 'eos', 'rlc', 'waves', 'monero', 'komodo'], dtype='object')","Index(['nano', 'stellar', 'ardor', 'nem', 'neo', 'wings'], dtype='object')","Index(['bitcoin', 'litecoin', 'factom', 'crypto-com', 'iota'], dtype='object')","Index(['ark', 'nexus', 'ethereum', 'zcash', 'syscoin', 'steem'], dtype='object')","Index(['agoras-tokens', 'adx-net', 'singulardtv', 'populous', 'stratis'], dtype='object')"
20170804,"Index(['steem', 'bitcoin', 'dash', 'eos', 'nano', 'litecoin'], dtype='object')","Index(['rlc', 'monero', 'zcash', 'crypto-com', 'nexus', 'komodo'], dtype='object')","Index(['syscoin', 'agoras-tokens', 'singulardtv', 'stellar', 'populous',
       'ethereum'],
      dtype='object')","Index(['ark', 'wings', 'waves', 'stratis', 'iota', 'adx-net'], dtype='object')","Index(['neo', 'nem', 'ardor', 'bitcoin-cash', 'factom'], dtype='object')"
20170807,"Index(['bitcoin', 'zcash', 'litecoin', 'komodo', 'eos', 'dash', 'ardor'], dtype='object')","Index(['nexus', 'bitcoin-cash', 'syscoin', 'agoras-tokens', 'steem', 'monero'], dtype='object')","Index(['rlc', 'nem', 'stratis', 'ethereum', 'adx-net', 'factom'], dtype='object')","Index(['ark', 'stellar', 'iota', 'singulardtv', 'wings', 'populous'], dtype='object')","Index(['district0x', 'suncontract', 'nano', 'neo', 'crypto-com', 'waves'], dtype='object')"
20170810,"Index(['ark', 'monero', 'factom', 'dash', 'eos', 'steem', 'syscoin'], dtype='object')","Index(['adx-net', 'singulardtv', 'stellar', 'litecoin', 'crypto-com',
       'bitcoin'],
      dtype='object')","Index(['nem', 'komodo', 'ethereum', 'ardor', 'rlc', 'waves'], dtype='object')","Index(['wings', 'zcash', 'agoras-tokens', 'nexus', 'iota', 'stratis'], dtype='object')","Index(['bitcoin-cash', 'district0x', 'suncontract', 'populous', 'nano', 'neo'], dtype='object')"
20170813,"Index(['dash', 'monero', 'eos', 'zcash', 'ardor', 'litecoin', 'stellar'], dtype='object')","Index(['waves', 'stratis', 'nem', 'factom', 'ethereum', 'syscoin'], dtype='object')","Index(['iota', 'ark', 'nexus', 'populous', 'suncontract', 'bitcoin'], dtype='object')","Index(['rlc', 'singulardtv', 'steem', 'bitcoin-cash', 'wings',
       'agoras-tokens'],
      dtype='object')","Index(['adx-net', 'nano', 'crypto-com', 'neo', 'komodo', 'district0x'], dtype='object')"
20170816,"Index(['nem', 'litecoin', 'ethereum', 'steem', 'cvcoin', 'komodo', 'populous'], dtype='object')","Index(['stratis', 'ardor', 'bitcoin-cash', 'monero', 'eos', 'stellar'], dtype='object')","Index(['dash', 'factom', 'wings', 'agoras-tokens', 'waves', 'crypto-com',
       'zcash'],
      dtype='object')","Index(['iota', 'rlc', 'syscoin', 'nano', 'singulardtv', 'bitcoin'], dtype='object')","Index(['adx-net', 'ark', 'district0x', 'suncontract', 'nexus', 'neo'], dtype='object')"
20170819,"Index(['zcash', 'steem', 'eos', 'neo', 'ardor', 'waves', 'singulardtv'], dtype='object')","Index(['nem', 'ethereum', 'syscoin', 'monero', 'bitcoin', 'nexus', 'stellar'], dtype='object')","Index(['factom', 'komodo', 'litecoin', 'dash', 'iota', 'agoras-tokens',
       'stratis'],
      dtype='object')","Index(['nano', 'cvcoin', 'rlc', 'district0x', 'ark', 'populous', 'wings'], dtype='object')","Index(['aidos-kuneen', 'crypto-com', 'suncontract', 'adx-net', 'bitcoin-cash',
       '0x'],
      dtype='object')"
20170822,"Index(['neo', 'wings', 'komodo', 'bitcoin', 'eos', 'agoras-tokens',
       'populous'],
      dtype='object')","Index(['bitcoin-cash', 'nano', 'nem', 'nexus', 'litecoin', 'suncontract',
       'stratis'],
      dtype='object')","Index(['iota', 'ardor', 'ark', 'waves', 'rlc', 'factom', 'ethereum'], dtype='object')","Index(['dash', 'aidos-kuneen', 'zcash', 'singulardtv', 'stellar', 'adx-net',
       'syscoin'],
      dtype='object')","Index(['0x', 'cvcoin', 'district0x', 'crypto-com', 'monero', 'steem'], dtype='object')"
