,Port1,Port2,Port3,Port4,Port5
20170812,"Index(['singulardtv', 'rlc', 'komodo', 'nano', 'nexus', 'agoras-tokens'], dtype='object')","Index(['populous', 'syscoin', 'steem', 'wings', 'crypto-com', 'ark'], dtype='object')","Index(['monero', 'waves', 'factom', 'ardor', 'adx-net'], dtype='object')","Index(['stratis', 'dash', 'zcash', 'nem', 'stellar', 'iota'], dtype='object')","Index(['ethereum', 'bitcoin', 'neo', 'litecoin', 'eos'], dtype='object')"
20170830,"Index(['rlc', 'singulardtv', 'populous', 'wings', 'nexus', 'nano',
       'agoras-tokens'],
      dtype='object')","Index(['factom', 'steem', 'suncontract', 'komodo', 'ardor', 'syscoin'], dtype='object')","Index(['district0x', 'stratis', 'stellar', 'nem', 'eos', 'waves'], dtype='object')","Index(['monero', 'litecoin', 'dash', 'iota', 'ark', 'zcash'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'neo', 'ethereum', 'adx-net', 'crypto-com'], dtype='object')"
20170917,"Index(['wings', 'ardor', 'populous', 'rlc', 'nano', 'cvcoin', 'agoras-tokens'], dtype='object')","Index(['nexus', 'waves', 'stellar', 'steem', 'factom', 'singulardtv',
       'suncontract'],
      dtype='object')","Index(['syscoin', '0x', 'eos', 'stratis', 'nem', 'district0x'], dtype='object')","Index(['neo', 'dash', 'zcash', 'komodo', 'adx-net', 'iota', 'ark'], dtype='object')","Index(['litecoin', 'bitcoin', 'bitcoin-cash', 'ethereum', 'monero',
       'crypto-com'],
      dtype='object')"
20171005,"Index(['suncontract', 'rlc', 'populous', 'nano', 'agoras-tokens',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['stellar', 'loopring', 'district0x', 'singulardtv', 'nexus', 'factom',
       'wings'],
      dtype='object')","Index(['stratis', 'nem', 'komodo', 'syscoin', 'ardor', 'steem', '0x'], dtype='object')","Index(['adx-net', 'monero', 'eos', 'iota', 'ark', 'crypto-com', 'waves'], dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'neo', 'litecoin', 'ethereum', 'zcash',
       'dash'],
      dtype='object')"
20171023,"Index(['populous', 'nano', 'rlc', 'suncontract', 'agoras-tokens',
       'agrello-delta', 'cvcoin', 'primas'],
      dtype='object')","Index(['syscoin', 'neblio', 'factom', 'singulardtv', 'komodo', 'vibe', 'nexus',
       'wings'],
      dtype='object')","Index(['kyber-network', 'stratis', 'ardor', 'loopring', 'nem', 'ark', 'steem',
       '0x'],
      dtype='object')","Index(['district0x', 'adx-net', 'dash', 'eos', 'monero', 'iota', 'waves',
       'crypto-com'],
      dtype='object')","Index(['bitcoin', 'stellar', 'ethereum', 'bitcoin-cash', 'litecoin', 'neo',
       'zcash'],
      dtype='object')"
20171110,"Index(['steem', 'nano', 'enigma', 'wings', 'agoras-tokens', 'vibe', 'cvcoin',
       'primas', 'agrello-delta'],
      dtype='object')","Index(['0x', 'neblio', 'ardor', 'populous', 'loopring', 'rlc', 'suncontract',
       'nexus'],
      dtype='object')","Index(['adx-net', 'syscoin', 'factom', 'ark', 'nem', 'singulardtv', 'komodo',
       'kyber-network'],
      dtype='object')","Index(['monero', 'zcash', 'dash', 'stratis', 'iota', 'crypto-com', 'waves',
       'cardano'],
      dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'ethereum', 'stellar', 'litecoin', 'neo',
       'eos', 'district0x'],
      dtype='object')"
20171128,"Index(['suncontract', 'agrello-delta', 'rlc', 'nano', 'neblio',
       'agoras-tokens', 'primas', 'vibe', 'cvcoin'],
      dtype='object')","Index(['loopring', '0x', 'kyber-network', 'ardor', 'red-pulse', 'enigma',
       'steem', 'wings'],
      dtype='object')","Index(['nem', 'ark', 'crypto-com', 'adx-net', 'singulardtv', 'district0x',
       'komodo', 'nexus', 'populous'],
      dtype='object')","Index(['iota', 'zcash', 'stellar', 'waves', 'syscoin', 'cardano', 'stratis',
       'factom'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'ethereum', 'dash', 'neo', 'litecoin', 'eos',
       'monero'],
      dtype='object')"
20171216,"Index(['district0x', 'suncontract', 'red-pulse', 'rlc', 'wings', 'neblio',
       'cryptonex', 'primas', 'vibe', 'cvcoin'],
      dtype='object')","Index(['nexus', 'loopring', 'singulardtv', '0x', 'komodo', 'nano', 'ark',
       'populous', 'agrello-delta'],
      dtype='object')","Index(['ripio-credit-network', 'streamr-datacoin', 'ardor', 'enigma',
       'quantstamp', 'agoras-tokens', 'kyber-network', 'adx-net', 'factom',
       'steem'],
      dtype='object')","Index(['stellar', 'monero', 'crypto-com', 'neo', 'power-ledger', 'zcash',
       'syscoin', 'stratis', 'waves'],
      dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'litecoin', 'iota', 'ethereum', 'cardano',
       'dash', 'eos', 'nem'],
      dtype='object')"
20180103,"Index(['neblio', 'populous', 'agrello-delta', 'nexus', 'rlc', 'suncontract',
       'primas', 'cryptonex', 'vibe', 'cvcoin'],
      dtype='object')","Index(['kyber-network', '0x', 'syscoin', 'ark', 'district0x', 'agoras-tokens',
       'red-pulse', 'wings', 'loopring', 'singulardtv'],
      dtype='object')","Index(['enigma', 'power-ledger', 'quantstamp', 'waves', 'qash', 'factom',
       'streamr-datacoin', 'komodo', 'steem', 'adx-net'],
      dtype='object')","Index(['neo', 'dash', 'monero', 'zcash', 'crypto-com', 'ardor', 'stratis',
       'time-new-bank', 'ripio-credit-network', 'nano'],
      dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'litecoin', 'ethereum', 'eos', 'cardano',
       'iota', 'nem', 'stellar'],
      dtype='object')"
20180121,"Index(['suncontract', 'wings', 'syscoin', 'streamr-datacoin', 'populous',
       'ormeus-coin', 'agoras-tokens', 'primas', 'dynamic-trading-rights',
       'cvcoin', 'cryptonex'],
      dtype='object')","Index(['nexus', 'ripio-credit-network', 'kyber-network', 'waves', 'crypto-com',
       'district0x', 'singulardtv', 'adx-net', 'agrello-delta', 'komodo',
       'ark'],
      dtype='object')","Index(['nebulas-token', 'steem', 'power-ledger', 'qash', 'quantstamp',
       'factom', 'rlc', 'wax', 'red-pulse', 'nuls'],
      dtype='object')","Index(['zcash', 'nem', 'monero', 'nano', 'iota', 'dash', 'enigma', '0x',
       'time-new-bank', 'stratis', 'loopring'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'bitcoin-cash', 'eos', 'stellar', 'vibe',
       'cardano', 'neo', 'litecoin', 'neblio'],
      dtype='object')"
20180208,"Index(['wings', 'nuls', 'qlink', 'syscoin', 'agrello-delta', 'nexus',
       'agoras-tokens', 'streamr-datacoin', 'ormeus-coin', 'cryptonex',
       'dynamic-trading-rights', 'cvcoin'],
      dtype='object')","Index(['ripio-credit-network', 'adx-net', 'primas', 'crypto-com', 'red-pulse',
       'ark', 'enigma', 'komodo', 'district0x', 'populous', 'gifto', 'factom'],
      dtype='object')","Index(['iota', 'suncontract', 'dash', 'bibox-token', 'wax', 'loopring', 'rlc',
       'qash', 'waves', 'quantstamp', 'singulardtv'],
      dtype='object')","Index(['ardor', 'zcash', 'nano', 'nem', 'nebulas-token', 'sirin-labs-token',
       '0x', 'time-new-bank', 'neblio', 'kyber-network', 'stratis',
       'power-ledger'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'cardano', 'neo', 'bitcoin-cash', 'vibe',
       'litecoin', 'stellar', 'steem', 'monero'],
      dtype='object')"
