,Port1,Port2,Port3,Port4,Port5
20170728,"Index(['ark', 'rlc', 'komodo', 'singulardtv', 'agoras-tokens', 'nano'], dtype='object')","Index(['syscoin', 'steem', 'wings', 'waves', 'nexus'], dtype='object')","Index(['nem', 'zcash', 'ardor', 'factom', 'crypto-com'], dtype='object')","Index(['dash', 'stellar', 'iota', 'neo', 'monero'], dtype='object')","Index(['ethereum', 'litecoin', 'bitcoin', 'eos', 'stratis'], dtype='object')"
20170803,"Index(['ark', 'nexus', 'singulardtv', 'komodo', 'nano', 'agoras-tokens'], dtype='object')","Index(['syscoin', 'waves', 'steem', 'wings', 'rlc'], dtype='object')","Index(['zcash', 'nem', 'ardor', 'factom', 'crypto-com'], dtype='object')","Index(['stellar', 'iota', 'dash', 'monero', 'neo'], dtype='object')","Index(['ethereum', 'bitcoin', 'litecoin', 'stratis', 'eos'], dtype='object')"
20170809,"Index(['singulardtv', 'rlc', 'komodo', 'nano', 'nexus', 'agoras-tokens'], dtype='object')","Index(['crypto-com', 'adx-net', 'syscoin', 'steem', 'ark', 'wings'], dtype='object')","Index(['waves', 'ardor', 'zcash', 'factom', 'populous'], dtype='object')","Index(['eos', 'nem', 'iota', 'stellar', 'monero', 'dash'], dtype='object')","Index(['ethereum', 'bitcoin', 'neo', 'litecoin', 'stratis'], dtype='object')"
20170815,"Index(['wings', 'rlc', 'ark', 'singulardtv', 'nexus', 'agoras-tokens'], dtype='object')","Index(['factom', 'komodo', 'nano', 'populous', 'steem', 'syscoin'], dtype='object')","Index(['zcash', 'waves', 'stellar', 'dash', 'ardor'], dtype='object')","Index(['stratis', 'eos', 'iota', 'nem', 'litecoin', 'monero'], dtype='object')","Index(['neo', 'adx-net', 'bitcoin', 'ethereum', 'crypto-com'], dtype='object')"
20170821,"Index(['wings', 'singulardtv', 'nexus', 'steem', 'syscoin', 'agoras-tokens'], dtype='object')","Index(['eos', 'ardor', 'factom', 'nano', 'populous', 'rlc'], dtype='object')","Index(['zcash', 'waves', 'stellar', 'komodo', 'monero'], dtype='object')","Index(['ark', 'iota', 'dash', 'litecoin', 'nem', 'stratis'], dtype='object')","Index(['adx-net', 'neo', 'crypto-com', 'bitcoin', 'ethereum'], dtype='object')"
20170827,"Index(['eos', 'singulardtv', 'nexus', 'ardor', 'syscoin', 'agoras-tokens'], dtype='object')","Index(['steem', 'nano', 'factom', 'rlc', 'populous', 'wings'], dtype='object')","Index(['suncontract', 'nem', 'waves', 'stellar', 'stratis', 'komodo'], dtype='object')","Index(['bitcoin', 'ark', 'dash', 'litecoin', 'iota', 'zcash'], dtype='object')","Index(['bitcoin-cash', 'adx-net', 'neo', 'crypto-com', 'monero', 'ethereum'], dtype='object')"
20170902,"Index(['waves', 'nem', 'singulardtv', 'populous', 'wings', 'ardor',
       'agoras-tokens'],
      dtype='object')","Index(['stratis', 'stellar', 'factom', 'rlc', 'eos', 'nano'], dtype='object')","Index(['zcash', 'suncontract', 'syscoin', 'komodo', 'nexus', 'steem'], dtype='object')","Index(['bitcoin', 'ark', 'dash', 'ethereum', 'district0x', 'iota'], dtype='object')","Index(['bitcoin-cash', 'adx-net', 'neo', 'crypto-com', 'monero', 'litecoin'], dtype='object')"
20170908,"Index(['rlc', 'populous', 'singulardtv', 'nano', 'ardor', 'cvcoin',
       'agoras-tokens'],
      dtype='object')","Index(['factom', 'stellar', 'stratis', 'eos', 'nem', 'waves', 'wings'], dtype='object')","Index(['zcash', 'ark', 'syscoin', 'iota', 'suncontract', 'nexus', 'steem'], dtype='object')","Index(['bitcoin', 'ethereum', 'dash', '0x', 'komodo', 'neo', 'district0x'], dtype='object')","Index(['bitcoin-cash', 'litecoin', 'crypto-com', 'monero', 'adx-net',
       'aidos-kuneen'],
      dtype='object')"
20170914,"Index(['wings', 'populous', 'ardor', 'suncontract', 'nano', 'rlc',
       'agoras-tokens'],
      dtype='object')","Index(['aidos-kuneen', 'factom', 'steem', 'singulardtv', 'nem', 'stellar',
       'waves'],
      dtype='object')","Index(['0x', 'adx-net', 'nexus', 'eos', 'district0x', 'stratis'], dtype='object')","Index(['komodo', 'ethereum', 'dash', 'syscoin', 'zcash', 'iota', 'ark'], dtype='object')","Index(['litecoin', 'monero', 'crypto-com', 'neo', 'bitcoin', 'bitcoin-cash'], dtype='object')"
20170920,"Index(['stellar', 'ardor', 'suncontract', 'rlc', 'populous', 'nano',
       'agoras-tokens'],
      dtype='object')","Index(['stratis', 'singulardtv', 'district0x', 'waves', 'wings', 'factom',
       'steem'],
      dtype='object')","Index(['zcash', 'adx-net', 'eos', 'nexus', '0x', 'nem'], dtype='object')","Index(['ethereum', 'monero', 'primas', 'syscoin', 'ark', 'dash', 'iota'], dtype='object')","Index(['litecoin', 'bitcoin', 'neo', 'crypto-com', 'bitcoin-cash', 'komodo'], dtype='object')"
20170926,"Index(['steem', 'factom', 'suncontract', 'nano', 'rlc', 'populous',
       'agoras-tokens'],
      dtype='object')","Index(['stratis', 'district0x', 'waves', 'nexus', 'wings', 'stellar', 'ardor'], dtype='object')","Index(['loopring', 'adx-net', 'zcash', 'eos', '0x', 'nem', 'singulardtv'], dtype='object')","Index(['iota', 'dash', 'ark', 'syscoin', 'crypto-com', 'primas', 'monero'], dtype='object')","Index(['bitcoin-cash', 'neo', 'bitcoin', 'litecoin', 'komodo', 'ethereum'], dtype='object')"
20171002,"Index(['wings', 'suncontract', 'factom', 'nano', 'agoras-tokens', 'rlc',
       'populous'],
      dtype='object')","Index(['primas', 'komodo', 'singulardtv', 'district0x', 'stellar',
       'agrello-delta', 'nexus'],
      dtype='object')","Index(['waves', 'crypto-com', 'steem', 'loopring', '0x', 'nem', 'stratis'], dtype='object')","Index(['eos', 'dash', 'ark', 'iota', 'monero', 'syscoin', 'ardor'], dtype='object')","Index(['neo', 'bitcoin-cash', 'bitcoin', 'adx-net', 'zcash', 'litecoin',
       'ethereum'],
      dtype='object')"
20171008,"Index(['wings', 'suncontract', 'rlc', 'nano', 'factom', 'populous',
       'agoras-tokens', 'primas'],
      dtype='object')","Index(['syscoin', 'stratis', 'komodo', 'singulardtv', '0x', 'agrello-delta',
       'nexus'],
      dtype='object')","Index(['litecoin', 'crypto-com', 'ark', 'monero', 'neblio', 'nem',
       'district0x'],
      dtype='object')","Index(['ethereum', 'dash', 'loopring', 'ardor', 'iota', 'waves', 'steem'], dtype='object')","Index(['neo', 'bitcoin-cash', 'adx-net', 'bitcoin', 'zcash', 'stellar', 'eos'], dtype='object')"
20171014,"Index(['factom', 'rlc', 'wings', 'nano', 'suncontract', 'agoras-tokens',
       'primas', 'cvcoin'],
      dtype='object')","Index(['komodo', 'nexus', 'syscoin', 'nem', 'agrello-delta', 'singulardtv',
       'populous'],
      dtype='object')","Index(['crypto-com', 'steem', 'neblio', 'ark', 'monero', 'district0x', '0x',
       'stratis'],
      dtype='object')","Index(['litecoin', 'ethereum', 'loopring', 'dash', 'ardor', 'iota', 'waves'], dtype='object')","Index(['bitcoin', 'neo', 'adx-net', 'stellar', 'zcash', 'bitcoin-cash', 'eos'], dtype='object')"
20171020,"Index(['populous', 'factom', 'rlc', 'wings', 'agoras-tokens', 'suncontract',
       'cvcoin', 'primas'],
      dtype='object')","Index(['ark', '0x', 'nano', 'nem', 'komodo', 'singulardtv', 'nexus',
       'agrello-delta'],
      dtype='object')","Index(['iota', 'steem', 'waves', 'dash', 'monero', 'neblio', 'syscoin',
       'stratis'],
      dtype='object')","Index(['ethereum', 'eos', 'zcash', 'loopring', 'crypto-com', 'kyber-network',
       'ardor', 'vibe'],
      dtype='object')","Index(['stellar', 'bitcoin', 'litecoin', 'neo', 'bitcoin-cash', 'district0x',
       'adx-net'],
      dtype='object')"
20171026,"Index(['rlc', 'wings', 'agoras-tokens', 'suncontract', 'steem', 'cvcoin',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['nano', 'nem', 'komodo', 'singulardtv', 'nexus', 'populous', 'factom',
       'vibe'],
      dtype='object')","Index(['monero', 'kyber-network', 'syscoin', 'ardor', 'waves', 'ark', '0x',
       'eos'],
      dtype='object')","Index(['crypto-com', 'loopring', 'adx-net', 'stratis', 'dash', 'iota', 'zcash',
       'neblio'],
      dtype='object')","Index(['stellar', 'bitcoin', 'bitcoin-cash', 'litecoin', 'district0x',
       'ethereum', 'neo', 'cardano'],
      dtype='object')"
20171101,"Index(['loopring', 'vibe', 'agoras-tokens', 'wings', 'steem', 'cvcoin',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['singulardtv', '0x', 'suncontract', 'nexus', 'kyber-network',
       'populous', 'factom', 'rlc'],
      dtype='object')","Index(['monero', 'neblio', 'waves', 'ark', 'nano', 'komodo', 'ardor', 'nem'], dtype='object')","Index(['cardano', 'crypto-com', 'zcash', 'iota', 'eos', 'adx-net', 'dash',
       'syscoin'],
      dtype='object')","Index(['stellar', 'bitcoin', 'bitcoin-cash', 'litecoin', 'district0x',
       'ethereum', 'stratis', 'neo'],
      dtype='object')"
20171107,"Index(['loopring', 'nexus', 'enigma', 'steem', 'cvcoin', 'wings', 'vibe',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['nano', '0x', 'suncontract', 'kyber-network', 'populous', 'rlc',
       'ardor', 'agoras-tokens'],
      dtype='object')","Index(['waves', 'factom', 'monero', 'neblio', 'singulardtv', 'ark', 'komodo',
       'nem'],
      dtype='object')","Index(['neo', 'crypto-com', 'zcash', 'iota', 'adx-net', 'syscoin', 'dash',
       'cardano'],
      dtype='object')","Index(['stellar', 'bitcoin-cash', 'bitcoin', 'district0x', 'eos', 'ethereum',
       'litecoin', 'stratis'],
      dtype='object')"
20171113,"Index(['loopring', 'nano', 'nexus', 'steem', 'cvcoin', 'primas', 'wings',
       'vibe', 'agoras-tokens'],
      dtype='object')","Index(['populous', 'rlc', 'suncontract', 'agrello-delta', 'kyber-network',
       'ardor', '0x', 'enigma'],
      dtype='object')","Index(['adx-net', 'cardano', 'crypto-com', 'syscoin', 'ark', 'nem', 'komodo',
       'neblio'],
      dtype='object')","Index(['iota', 'neo', 'zcash', 'dash', 'district0x', 'factom', 'waves',
       'singulardtv'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'stellar', 'eos', 'monero', 'ethereum',
       'litecoin', 'stratis'],
      dtype='object')"
