,10.0,20.0,30.0,40.0,50.0,60.0,70.0,port
0,0.1307,0.0989,0.0981,0.0475,0.0315,0.4103,0.0274,winner
1,0.1366,0.1693,0.2567,0.0985,0.224,0.086,0.1631,loser
2,-0.0059,-0.0704,-0.1586,-0.051,-0.1924,0.3243,-0.1358,w_l
3,0.0537,0.0796,0.1336,0.183,0.1254,0.5898,0.0615,winner
4,0.0927,0.0637,0.142,0.2427,0.2147,0.3031,0.3797,loser
5,-0.039,0.016,-0.0084,-0.0597,-0.0893,0.2867,-0.3182,w_l
6,0.0389,0.0692,0.2609,0.0166,0.0246,0.0617,0.0534,winner
7,0.1652,0.1474,0.2882,0.2785,0.3579,0.4071,0.2815,loser
8,-0.1264,-0.0782,-0.0273,-0.2619,-0.3333,-0.3453,-0.2282,w_l
9,0.0377,0.0818,0.0844,0.0892,0.0968,0.1274,-0.0837,winner
10,0.1726,0.1378,0.25,0.1452,0.2058,0.2112,-0.0642,loser
11,-0.1349,-0.0561,-0.1656,-0.0561,-0.109,-0.0837,-0.0195,w_l
