,10.0,20.0,30.0,40.0,50.0,60.0,70.0,port
0,15.0213,6.4083,5.1129,1.8929,1.2129,3.1796,0.7685,winner
1,15.7956,8.5186,7.0999,3.8223,4.625,2.6666,3.5875,loser
2,-1.1297,-5.135,-7.4475,-8.935,-7.7526,3.2514,-9.7039,w_l
3,6.2801,3.97,3.8502,3.3962,2.8496,3.1411,1.6388,winner
4,12.1579,5.1512,6.4994,6.3493,5.6418,3.5747,4.3956,loser
5,-6.7352,1.3052,-0.3644,-2.0267,-4.6972,2.796,-4.2101,w_l
6,4.7024,3.5368,4.2539,0.5983,0.8288,1.5036,1.1501,winner
7,17.4301,9.5177,8.1556,6.3269,5.3792,5.6238,3.0565,loser
8,-18.7408,-6.3442,-0.6297,-6.9681,-6.1818,-5.7553,-4.4516,w_l
9,4.7917,4.2074,3.0727,2.0003,1.6026,1.9799,-4.8937,winner
10,18.6972,7.1207,6.8936,3.7603,3.0749,2.953,-3.5975,loser
11,-20.1729,-5.8141,-8.0527,-4.1013,-9.4572,-6.5013,-2.2177,w_l
