,j,h,winner_mon,winner_t,loser_t,loser_mon,mean,t_com,t_sim
0,3.0,3.0,0.13787473239703152,31.76547418707636,17.039043854850558,0.07118235105365134,0.06669238134338018,0.631,19.3183
1,3.0,6.0,0.13971107509392144,20.466651721263734,13.25581538325367,0.08420056157651667,0.05551051351740477,0.4854,10.8163
2,3.0,9.0,0.15360636005509454,17.694565981993073,6.333763511469098,0.04674514756079051,0.10686121249430403,0.9484,16.7523
3,3.0,12.0,0.15409059078102638,13.997433816460976,7.276791555014454,0.07356263831558718,0.0805279524654392,0.6293,13.7762
4,3.0,15.0,0.1421196899999999,10.413789927495298,11.111723752660836,0.15713049000000012,-0.015010800000000213,-0.0983,-1.628
5,3.0,18.0,0.11292444593988504,8.447775088935787,7.044957999114615,0.09161045067900964,0.021313995260875407,0.166,2.3306
6,3.0,24.0,0.11757120264921461,6.853384356184179,8.112542977428935,0.1507714859392284,-0.03320028329001379,-0.222,-3.4789
7,6.0,3.0,0.2346200315987479,43.57596282988282,22.80516624279455,0.10681144612824989,0.127808585470498,0.9966,23.769
8,6.0,6.0,1.9505876450751392,14.224073174103731,12.883043048254523,0.0820686173706957,1.8685190277044434,1.1203,13.2892
9,6.0,9.0,0.24325327612069292,19.06811261252149,13.365924566101857,0.12006075416306494,0.12319252195762798,0.7821,10.4047
10,6.0,12.0,0.1787674413613436,14.597713421075795,10.191911496869183,0.09323554919908372,0.08553189216225987,0.6463,10.0797
11,6.0,15.0,0.19683600000000023,13.388517189214156,12.561781467722717,0.1657520899999998,0.031083910000000436,0.2061,3.3421
12,6.0,18.0,0.1872973425494544,10.695941640608789,7.434778582812811,0.08178920405637702,0.10550813849307739,0.7372,7.6425
13,6.0,24.0,0.17099077580273137,7.301618682543546,7.350957408993959,0.16183829811008255,0.00915247769264882,0.0477,0.6284
14,12.0,3.0,0.4660725947549933,35.38755856648501,24.570138717358557,0.10681144612824989,0.3592611486267434,1.4623,26.6499
15,12.0,6.0,0.21723794417721676,29.460936901146912,17.45720143674461,0.11113456952735845,0.1061033746498583,0.876,17.2467
16,12.0,9.0,0.17175700908582336,18.609350004091464,10.968128332218084,0.07909649575970112,0.09266051332612224,0.7937,16.7737
17,12.0,12.0,0.19289024518554454,14.70648710366749,9.389124211151831,0.7820765801726928,-0.5891863349871482,-0.7997,-6.8308
18,12.0,15.0,0.17527281000000006,10.406418821704799,5.849872950161647,0.061106010000000044,0.11416680000000001,0.7664,10.4767
19,12.0,18.0,0.16648476129029688,9.440543122267421,6.203932672104653,0.07903874778911191,0.08744601350118497,0.5877,7.8997
20,12.0,24.0,0.1384429348935048,6.640476310448858,8.075619265809097,0.15861901844775383,-0.020176083554249047,-0.1189,-1.4808
21,18.0,3.0,0.20946735275748218,36.63975053665363,26.044610768336277,0.2989413346917422,-0.08947398193426004,-0.3855,-7.0564
22,18.0,6.0,0.20964993040233182,26.93744508245204,17.18636265330637,0.099218446683629,0.11043148371870282,0.9192,16.8895
23,18.0,9.0,0.15286972564088486,17.60416033104418,12.880154250320654,0.4958116967683255,-0.3429419711274406,-0.8614,-8.5392
24,18.0,12.0,0.1343045777908103,11.64429304719488,14.818781247626118,0.14647716184533643,-0.012172584054526148,-0.0938,-1.6679
25,18.0,15.0,0.1526169599999998,10.490250122402376,10.512625247652236,0.11682623999999997,0.03579071999999983,0.256,4.7883
26,18.0,18.0,0.1479323612952994,8.394897111271014,10.022929025421496,0.1921211357486392,-0.044188774453339796,-0.2447,-2.8677
27,18.0,24.0,0.05921762702312239,3.890795026507371,7.737214761257009,0.16544601036571605,-0.10622838334259366,-0.6983,-7.9753
28,24.0,3.0,0.21541388378955717,37.056659275069464,27.277511924746776,0.3180477576059588,-0.10263387381640166,-0.4317,-7.9113
29,24.0,6.0,0.16491255623415046,22.27524747451275,20.834988530697604,0.12755014093508654,0.03736241529906392,0.3134,6.3127
30,24.0,9.0,0.10069229186631024,12.462178294150492,16.203288686418738,0.18860121021289133,-0.0879089183465811,-0.6235,-11.1791
31,24.0,12.0,0.11605814922812363,9.487649881346346,10.269106266556303,0.8948196399097736,-0.77876149068165,-1.0393,-8.8105
32,24.0,15.0,0.13337315999999988,9.514922508269297,9.757201880697577,0.9323780099999996,-0.7990048499999998,-1.0923,-8.2656
33,24.0,18.0,0.081617218491576,5.919462005110363,11.830831022358765,0.17393900229981862,-0.09232178380824263,-0.6673,-11.0975
34,24.0,24.0,0.17331340186104627,6.125400162974899,7.2892419324738205,0.13446752311667343,0.03884587874437284,0.2003,2.332
35,30.0,3.0,0.1754908577228338,32.69492614658896,25.83224762217771,0.2989413346917422,-0.12345047696890843,-0.5436,-9.9453
36,30.0,6.0,0.17739445868086356,23.833703936373933,19.856860704773307,0.1258999068426241,0.05149455183823948,0.4268,8.864
37,30.0,9.0,0.13201376163712797,13.713123205893579,13.649937775070873,0.1074801635997491,0.024533598037378868,0.2008,4.8402
38,30.0,12.0,0.1568170026412996,13.483424257339573,14.924135335953554,0.16064046590042236,-0.00382346325912275,-0.0271,-0.4935
39,30.0,15.0,0.1259332099999999,8.571421040926955,9.42126322716877,0.11513600000000013,0.01079720999999978,0.0752,1.4453
40,30.0,18.0,0.10094751196424512,5.978509935054509,7.741064997588716,0.897459608545961,-0.7965120965817158,-1.0055,-6.8354
41,30.0,24.0,0.14460389062912293,5.2622877142489415,7.373301740242506,0.15295743075684953,-0.0083535401277266,-0.0416,-0.6506
