,3.0,6.0,9.0,12.0,15.0,18.0,24.0,port
0,0.1379,0.1397,0.1536,0.1541,0.1421,0.1129,0.1176,winner
1,0.0712,0.0842,0.0467,0.0736,0.1571,0.0916,0.1508,loser
2,0.0667,0.0555,0.1069,0.0805,-0.015,0.0213,-0.0332,w_l
3,0.2346,1.9506,0.2433,0.1788,0.1968,0.1873,0.171,winner
4,0.1068,0.0821,0.1201,0.0932,0.1658,0.0818,0.1618,loser
5,0.1278,1.8685,0.1232,0.0855,0.0311,0.1055,0.0092,w_l
6,0.4661,0.2172,0.1718,0.1929,0.1753,0.1665,0.1384,winner
7,0.1068,0.1111,0.0791,0.7821,0.0611,0.079,0.1586,loser
8,0.3593,0.1061,0.0927,-0.5892,0.1142,0.0874,-0.0202,w_l
9,0.2095,0.2096,0.1529,0.1343,0.1526,0.1479,0.0592,winner
10,0.2989,0.0992,0.4958,0.1465,0.1168,0.1921,0.1654,loser
11,-0.0895,0.1104,-0.3429,-0.0122,0.0358,-0.0442,-0.1062,w_l
12,0.2154,0.1649,0.1007,0.1161,0.1334,0.0816,0.1733,winner
13,0.318,0.1276,0.1886,0.8948,0.9324,0.1739,0.1345,loser
14,-0.1026,0.0374,-0.0879,-0.7788,-0.799,-0.0923,0.0388,w_l
15,0.1755,0.1774,0.132,0.1568,0.1259,0.1009,0.1446,winner
16,0.2989,0.1259,0.1075,0.1606,0.1151,0.8975,0.153,loser
17,-0.1235,0.0515,0.0245,-0.0038,0.0108,-0.7965,-0.0084,w_l
