,3.0,6.0,9.0,12.0,15.0,18.0,24.0,port
0,31.77,20.47,17.69,14.0,10.41,8.45,6.85,winner
1,17.04,13.26,6.33,7.28,11.11,7.04,8.11,loser
2,19.32,10.82,16.75,13.78,-1.63,2.33,-3.48,w_l
3,43.58,14.22,19.07,14.6,13.39,10.7,7.3,winner
4,22.81,12.88,13.37,10.19,12.56,7.43,7.35,loser
5,23.77,13.29,10.4,10.08,3.34,7.64,0.63,w_l
6,35.39,29.46,18.61,14.71,10.41,9.44,6.64,winner
7,24.57,17.46,10.97,9.39,5.85,6.2,8.08,loser
8,26.65,17.25,16.77,-6.83,10.48,7.9,-1.48,w_l
9,36.64,26.94,17.6,11.64,10.49,8.39,3.89,winner
10,26.04,17.19,12.88,14.82,10.51,10.02,7.74,loser
11,-7.06,16.89,-8.54,-1.67,4.79,-2.87,-7.98,w_l
12,37.06,22.28,12.46,9.49,9.51,5.92,6.13,winner
13,27.28,20.83,16.2,10.27,9.76,11.83,7.29,loser
14,-7.91,6.31,-11.18,-8.81,-8.27,-11.1,2.33,w_l
15,32.69,23.83,13.71,13.48,8.57,5.98,5.26,winner
16,25.83,19.86,13.65,14.92,9.42,7.74,7.37,loser
17,-9.95,8.86,4.84,-0.49,1.45,-6.84,-0.65,w_l
