,3,6,9,12,15,18,24,port
,,,,,,,,
0,0.2238,0.2866,0.3153,0.3412,0.2953,0.3348,0.2587,winner
,(10.02),(8.17),(5.7),(6.15),(4.4),(3.78),(2.46),
1,0.3142,0.2618,0.2581,0.2353,0.3898,0.2645,0.384,loser
,(13.48),(8.69),(5.67),(4.3),(4.47),(3.42),(3.2),
2,-0.0904,0.0249,0.0573,0.1059,-0.0945,0.0703,-0.1253,w_l
,(-5.2),(0.94),(1.59),(3.59),(-1.53),(2.97),(-3.4),
3,0.3984,0.5692,0.6101,0.4303,0.4182,0.9789,0.4834,winner
,(15.09),(11.24),(9.61),(4.95),(4.69),(5.77),(2.56),
4,0.4339,0.2775,0.2068,0.1982,0.3785,0.1675,0.4161,loser
,(14.46),(7.23),(5.6),(4.27),(5.26),(2.75),(3.14),
5,-0.0356,0.2917,0.4033,0.2321,0.0397,0.8113,0.0673,w_l
,(-1.17),(6.62),(8.73),(3.69),(0.57),(6.54),(0.6),
6,0.3984,0.4396,0.4443,0.7768,0.378,0.3819,0.6038,winner
,(14.58),(10.84),(6.23),(6.88),(4.61),(4.38),(3.71),
7,0.3002,0.242,0.2343,0.2619,0.4283,0.3834,0.3217,loser
,(12.18),(6.78),(4.85),(4.73),(5.54),(4.97),(3.32),
8,0.0982,0.1976,0.21,0.5149,-0.0502,-0.0015,0.2821,w_l
,(4.39),(5.57),(4.08),(6.96),(-0.73),(-0.02),(4.06),
9,0.3756,0.5721,0.545,0.3992,0.4393,0.509,0.3035,winner
,(13.86),(11.52),(7.99),(5.09),(4.1),(3.76),(2.92),
10,0.412,0.248,0.3496,0.3261,0.4275,0.4122,0.3535,loser
,(15.26),(7.34),(6.59),(6.01),(4.9),(3.74),(3.43),
11,-0.0364,0.3241,0.1954,0.0731,0.0117,0.0968,-0.05,w_l
,(-1.58),(8.51),(5.45),(1.37),(0.3),(2.72),(-1.35),
12,0.4788,0.4741,0.8003,0.6782,0.6856,0.5033,0.9769,winner
,(15.75),(10.31),(9.54),(5.81),(5.52),(4.45),(3.8),
13,0.3702,0.419,0.3594,0.4709,0.5036,0.4522,0.5472,loser
,(13.09),(10.39),(7.37),(6.92),(5.17),(4.25),(4.31),
14,0.1086,0.0551,0.4409,0.2073,0.182,0.051,0.4297,w_l
,(4.74),(2.02),(6.89),(3.35),(4.36),(1.21),(2.79),
15,0.4576,0.5663,0.4404,0.5161,0.5134,0.5521,0.7874,winner
,(14.51),(10.36),(6.3),(5.75),(4.54),(4.41),(2.87),
16,0.4675,0.4343,0.4542,0.4213,0.4216,0.3772,0.5167,loser
,(15.39),(9.33),(6.27),(5.86),(5.19),(4.33),(2.89),
17,-0.0099,0.1321,-0.0138,0.0948,0.0918,0.1749,0.2707,w_l
,(-0.46),(3.74),(-0.46),(1.97),(1.93),(3.9),(2.16),
