,3,6,9,12,15,18,24,port,(,),,,,,
0,10.02,8.17,5.7,6.15,4.4,3.78,2.46,winner,(10.02),(8.17),(5.7),(6.15),(4.4),(3.78),(2.46)
1,13.48,8.69,5.67,4.3,4.47,3.42,3.2,loser,(13.48),(8.69),(5.67),(4.3),(4.47),(3.42),(3.2)
2,-5.2,0.94,1.59,3.59,-1.53,2.97,-3.4,w_l,(-5.2),(0.94),(1.59),(3.59),(-1.53),(2.97),(-3.4)
3,15.09,11.24,9.61,4.95,4.69,5.77,2.56,winner,(15.09),(11.24),(9.61),(4.95),(4.69),(5.77),(2.56)
4,14.46,7.23,5.6,4.27,5.26,2.75,3.14,loser,(14.46),(7.23),(5.6),(4.27),(5.26),(2.75),(3.14)
5,-1.17,6.62,8.73,3.69,0.57,6.54,0.6,w_l,(-1.17),(6.62),(8.73),(3.69),(0.57),(6.54),(0.6)
6,14.58,10.84,6.23,6.88,4.61,4.38,3.71,winner,(14.58),(10.84),(6.23),(6.88),(4.61),(4.38),(3.71)
7,12.18,6.78,4.85,4.73,5.54,4.97,3.32,loser,(12.18),(6.78),(4.85),(4.73),(5.54),(4.97),(3.32)
8,4.39,5.57,4.08,6.96,-0.73,-0.02,4.06,w_l,(4.39),(5.57),(4.08),(6.96),(-0.73),(-0.02),(4.06)
9,13.86,11.52,7.99,5.09,4.1,3.76,2.92,winner,(13.86),(11.52),(7.99),(5.09),(4.1),(3.76),(2.92)
10,15.26,7.34,6.59,6.01,4.9,3.74,3.43,loser,(15.26),(7.34),(6.59),(6.01),(4.9),(3.74),(3.43)
11,-1.58,8.51,5.45,1.37,0.3,2.72,-1.35,w_l,(-1.58),(8.51),(5.45),(1.37),(0.3),(2.72),(-1.35)
12,15.75,10.31,9.54,5.81,5.52,4.45,3.8,winner,(15.75),(10.31),(9.54),(5.81),(5.52),(4.45),(3.8)
13,13.09,10.39,7.37,6.92,5.17,4.25,4.31,loser,(13.09),(10.39),(7.37),(6.92),(5.17),(4.25),(4.31)
14,4.74,2.02,6.89,3.35,4.36,1.21,2.79,w_l,(4.74),(2.02),(6.89),(3.35),(4.36),(1.21),(2.79)
15,14.51,10.36,6.3,5.75,4.54,4.41,2.87,winner,(14.51),(10.36),(6.3),(5.75),(4.54),(4.41),(2.87)
16,15.39,9.33,6.27,5.86,5.19,4.33,2.89,loser,(15.39),(9.33),(6.27),(5.86),(5.19),(4.33),(2.89)
17,-0.46,3.74,-0.46,1.97,1.93,3.9,2.16,w_l,(-0.46),(3.74),(-0.46),(1.97),(1.93),(3.9),(2.16)
