,j,h,winner_mon,winner_t,loser_t,loser_mon,mean,t_com,t_sim
0,20.0,10.0,-0.1262771840000001,-8.966994674489973,-10.880903384990278,-0.1691508917989999,0.042873707798999794,0.4331,5.6573
1,20.0,20.0,-0.1538578284141605,-6.68324000397403,-7.10284527151945,-0.17336087068660966,0.019503042272449145,0.1726,2.1156
2,20.0,30.0,-0.19520000000000004,-9.92177641655906,-4.857939326714096,-0.1594,-0.035800000000000054,-0.3306,-2.0093
3,20.0,40.0,-0.1786477396053089,-5.4295850866469255,-2.8880870496285564,-0.11623805377517304,-0.06240968583013584,-0.4761,-5.093
4,20.0,50.0,-0.18878654891769164,-7.861794945110883,-3.3247001254228334,-0.13670902589429756,-0.05207752302339408,-0.4574,-2.4252
5,20.0,60.0,-0.19371221018795026,-9.06913966828907,-4.712897729506138,-0.157563058739706,-0.036149151448244266,-0.4099,-2.2233
6,20.0,70.0,-0.18014507868506147,-7.731643247392911,-4.954437890595161,-0.147026920710841,-0.033118157974220463,-0.4463,-3.927
7,40.0,10.0,-0.17786971596800005,-13.159591248445123,-9.37477944606232,-0.1675590578570001,-0.01031065811099996,-0.1002,-1.2042
8,40.0,20.0,-0.20872030616538628,-8.612884382231831,-7.466584182603987,-0.1995458370018931,-0.009174469163493182,-0.08,-0.9321
9,40.0,30.0,-0.22560000000000002,-7.460324799376097,-3.8695589620171784,-0.17000000000000004,-0.05559999999999998,-0.3937,-3.1511
10,40.0,40.0,-0.23209208046266383,-6.08839229457425,-3.95774569441166,-0.17017326402889155,-0.061918816433772284,-0.463,-5.2977
11,40.0,50.0,-0.2429797099900125,-6.675206219213797,-4.401958640721213,-0.1744538218573637,-0.06852588813264882,-0.5862,-3.3869
12,40.0,60.0,-0.15164865768951596,-2.144078081808587,-1.1115588484533199,-0.09617479566013432,-0.05547386202938165,-0.2666,-2.0847
13,40.0,70.0,-0.26385933909365755,-14.890668989244483,-89.28576291198536,-0.21752346852979754,-0.046335870563860015,-1.249,-2.5172
14,60.0,10.0,-0.20777656272299994,-12.937111821808562,-8.375999754121592,-0.15582343914899988,-0.05195312357400006,-0.4931,-6.036
15,60.0,20.0,-0.2262747136405584,-7.197321134854344,-5.9688411725662585,-0.17786162200271904,-0.048413091637839356,-0.3672,-4.0588
16,60.0,30.0,-0.20430000000000004,-6.109245070296938,-4.385649765554518,-0.16769999999999996,-0.03660000000000008,-0.272,-1.6948
17,60.0,40.0,-0.238160794676318,-6.112102315406015,-3.0164591058878685,-0.15695950056011854,-0.08120129411619947,-0.5366,-3.3093
18,60.0,50.0,-0.2198820078763596,-4.020895881029525,-2.3409965781514215,-0.16467446625577198,-0.05520754162058761,-0.2869,-2.8178
19,60.0,60.0,-0.26897332470011737,-31.59491256627131,-26.510657463484986,-0.19912547799296298,-0.06984784670715438,-3.0879,-6.4296
20,60.0,70.0,-0.23489806543972735,-6.012235627970838,-4.531575305623823,-0.16106126052271763,-0.07383680491700972,-0.6921,-7.4413
21,70.0,10.0,-0.2113670810810001,-13.0085992495924,-6.837483570332565,-0.13474925711100005,-0.07661782397000005,-0.7172,-9.3203
22,70.0,20.0,-0.20079897589655205,-8.743175294683986,-3.957278544724777,-0.12561172355526173,-0.07518725234129031,-0.6275,-6.6468
23,70.0,30.0,-0.21050000000000002,-4.617520989772419,-3.6058946937316594,-0.17269999999999996,-0.037800000000000056,-0.2338,-2.7528
24,70.0,40.0,-0.19665289686936127,-9.3435036452026,-6.2292662712053675,-0.1696146462164808,-0.027038250652880458,-0.3389,-2.3066
25,70.0,50.0,-0.19737047303494137,-3.605876336522709,-1.8235178583869218,-0.11420498082189423,-0.08316549221304714,-0.4706,-7.1318
26,70.0,60.0,-0.2358665038097073,-6.013101978130623,-3.0497726296425314,-0.16465575958171597,-0.07121074422799134,-0.544,-3.4449
27,70.0,70.0,-0.1508528938213658,-1.537347786714396,-0.8719262171062526,-0.08466132995870013,-0.06619156386266567,-0.311,-17.2793
