,10.0,20.0,30.0,40.0,50.0,60.0,70.0,port
0,-0.1263,-0.1539,-0.1952,-0.1786,-0.1888,-0.1937,-0.1801,winner
1,-0.1692,-0.1734,-0.1594,-0.1162,-0.1367,-0.1576,-0.147,loser
2,0.0429,0.0195,-0.0358,-0.0624,-0.0521,-0.0361,-0.0331,w_l
3,-0.1779,-0.2087,-0.2256,-0.2321,-0.243,-0.1516,-0.2639,winner
4,-0.1676,-0.1995,-0.17,-0.1702,-0.1745,-0.0962,-0.2175,loser
5,-0.0103,-0.0092,-0.0556,-0.0619,-0.0685,-0.0555,-0.0463,w_l
6,-0.2078,-0.2263,-0.2043,-0.2382,-0.2199,-0.269,-0.2349,winner
7,-0.1558,-0.1779,-0.1677,-0.157,-0.1647,-0.1991,-0.1611,loser
8,-0.052,-0.0484,-0.0366,-0.0812,-0.0552,-0.0698,-0.0738,w_l
9,-0.2114,-0.2008,-0.2105,-0.1967,-0.1974,-0.2359,-0.1509,winner
10,-0.1347,-0.1256,-0.1727,-0.1696,-0.1142,-0.1647,-0.0847,loser
11,-0.0766,-0.0752,-0.0378,-0.027,-0.0832,-0.0712,-0.0662,w_l
