,j,h,winner_mon,winner_t,loser_t,loser_mon,mean,t_com,t_sim
0,3.0,3.0,-0.024720616821432673,-2.3324197864302496,-4.586997193857909,-0.05270651826772854,0.02798590144629587,0.1912,4.6197
1,3.0,6.0,-0.026220584828941296,-1.730666076133163,-3.7436429629414443,-0.0609569094848631,0.0347363246559218,0.235,4.3744
2,3.0,9.0,-0.05170265277868369,-2.843494498728727,-4.0649920342113575,-0.07683861290035576,0.025135960121672074,0.1791,3.9282
3,3.0,12.0,-0.06325730916560057,-2.8556147370641205,-1.7401292404691537,-0.04949502535252537,-0.013762283813075205,-0.0834,-1.2271
4,3.0,15.0,-0.05715900000000007,-2.0556110300266246,-0.7718186647976973,-0.02721231000000013,-0.029946689999999943,-0.1591,-2.1497
5,3.0,18.0,-0.050151492391179,-1.5701598188416268,-2.2917630399522784,-0.0745157121251524,0.024364219733973402,0.14,2.2385
6,3.0,24.0,-0.07418266433005949,-1.9387627260700988,-1.1829910894641378,-0.05333429252424571,-0.02084837180581378,-0.1073,-2.2289
7,6.0,3.0,-0.014899153938785714,-1.363799691409326,-3.5839226020346775,-0.043138943784052475,0.02823978984526676,0.1854,4.2696
8,6.0,6.0,-0.048529555055298546,-3.0365738907397,-4.4493470966544,-0.07184177873747433,0.02331222368217578,0.1575,2.5552
9,6.0,9.0,0.020478431400992037,0.8968480794362105,-1.772820021653468,-0.04203313194529523,0.06251156334628727,0.353,5.4476
10,6.0,12.0,-0.07451468181192722,-3.3010229974344565,-1.968392154048719,-0.05820100367911141,-0.016313678132815812,-0.0949,-1.358
11,6.0,15.0,-0.051518790000000036,-1.9234819939626826,-2.2924849889227668,-0.07532543999999997,0.02380664999999993,0.1379,2.1757
12,6.0,18.0,-0.02173785506369652,-0.5815051605530901,-2.619723185554585,-0.08820948350659064,0.06647162844289412,0.3574,3.5327
13,6.0,24.0,-0.04591025346183342,-1.1788011278536121,-1.4226148903888305,-0.07147394074016955,0.025563687278336134,0.1223,1.7601
14,12.0,3.0,-0.058405649789787795,-5.548581962503801,-8.871386505296808,-0.09835474263592459,0.03994909284613679,0.2896,6.49
15,12.0,6.0,-0.07278349763437508,-4.662149089214623,-6.555090620645539,-0.09930288321219594,0.026519385577820853,0.1961,2.9757
16,12.0,9.0,-0.07273476757155872,-4.5404584478704155,-5.327708048488124,-0.09716733038494119,0.024432562813382463,0.1947,3.2956
17,12.0,12.0,0.011791451175652945,0.40519992312677316,-4.8890815295873535,-0.11036408026171984,0.12215553143737279,0.7379,6.0234
18,12.0,15.0,-0.05093436000000007,-1.935178642269871,-2.9806776160006483,-0.08204439000000008,0.03111003000000001,0.2004,2.801
19,12.0,18.0,-0.055533338297885315,-1.9909039832550592,-3.0182812197464646,-0.0989457770368588,0.04341243873897349,0.2741,4.5939
20,12.0,24.0,-0.05296336623816855,-1.2969317824322337,-0.4722229286480116,-0.02928819870882482,-0.023675167529343732,-0.1014,-1.0139
21,18.0,3.0,-0.10289954510905652,-10.370107160232608,-7.975420514853353,-0.09653102711539474,-0.006368517993661782,-0.0467,-1.0166
22,18.0,6.0,-0.09930288321219594,-7.044612050817503,-7.448604486546984,-0.11754794037454153,0.01824505716234559,0.1412,2.0351
23,18.0,9.0,-0.08218597427609575,-4.721466262631348,-5.938772916415228,-0.11320304755766553,0.031017073281569774,0.2359,2.9744
24,18.0,12.0,-0.11803511887958329,-6.031890828827307,-5.68327226579399,-0.12335804532401162,0.005322926444428333,0.0409,0.4
25,18.0,15.0,-0.14178303999999997,-6.8631227714168155,-2.8733115992336407,-0.08740190999999997,-0.05438113,-0.371,-3.8482
26,18.0,18.0,-0.10565002966044501,-4.479416536870913,-2.176885808297426,-0.07548500855760254,-0.03016502110284247,-0.1956,-1.4203
27,18.0,24.0,-0.1644738472791265,-5.842645583927773,-3.0139446873066764,-0.1325183816958977,-0.031955465583228815,-0.1965,-1.2372
28,24.0,3.0,-0.0937892286606794,-9.307157317093417,-8.22718316453365,-0.10289954510905652,0.00911031644837712,0.0669,1.344
29,24.0,6.0,-0.1066367646980102,-7.683528976913861,-7.392830010086207,-0.11935605790950576,0.012719293211495564,0.0987,1.4355
30,24.0,9.0,-0.09809794173043895,-5.1744981275310575,-3.99942315492431,-0.0968569772932012,-0.001240964437237757,-0.0078,-0.1004
31,24.0,12.0,-0.13050185693522243,-7.311855590586064,-3.4769754806284565,-0.09160190563835935,-0.03889995129686308,-0.2837,-2.8848
32,24.0,15.0,-0.15267975,-7.0055500450913595,-3.6012481359722557,-0.10034774999999996,-0.052332000000000045,-0.3836,-5.3778
33,24.0,18.0,-0.19204185608189572,-8.42797519322687,-2.9639365265148814,-0.10628748507462815,-0.08575437100726757,-0.581,-5.4894
34,24.0,24.0,-0.1834830139014083,-7.7047699704525225,-2.056289318842421,-0.07602861325764843,-0.10745440064375988,-0.7858,-7.3352
35,30.0,3.0,-0.11372306752288797,-11.919645178002567,-9.61339766737441,-0.12176342636095105,0.008040358838063089,0.0651,1.3807
36,30.0,6.0,-0.15052138696816664,-12.112569195873188,-7.516312446015477,-0.12835224293636271,-0.022169144031803922,-0.1777,-2.3984
37,30.0,9.0,-0.16629247422008275,-11.174494220513202,-6.133711051020243,-0.12145013614623668,-0.04484233807384608,-0.3697,-4.8532
38,30.0,12.0,-0.1735230617374458,-10.153520108258213,-8.938684678230556,-0.17106802657396636,-0.0024550351634794465,-0.021,-0.2669
39,30.0,15.0,-0.1780764400000001,-8.581744671931832,-4.111419480433034,-0.13044374999999997,-0.047632690000000144,-0.329,-3.4662
40,30.0,18.0,-0.2036393590635175,-11.109597534767829,-5.855692103738272,-0.14514054670267862,-0.05849881236083887,-0.5486,-5.5379
41,30.0,24.0,-0.2083732010649787,-12.883601350206918,-9.041783288339545,-0.1842031523406582,-0.024170048724320492,-0.2999,-2.5505
