,3.0,6.0,9.0,12.0,15.0,18.0,24.0,port
0,-2.33,-1.73,-2.84,-2.86,-2.06,-1.57,-1.94,winner
1,-4.59,-3.74,-4.06,-1.74,-0.77,-2.29,-1.18,loser
2,4.62,4.37,3.93,-1.23,-2.15,2.24,-2.23,w_l
3,-1.36,-3.04,0.9,-3.3,-1.92,-0.58,-1.18,winner
4,-3.58,-4.45,-1.77,-1.97,-2.29,-2.62,-1.42,loser
5,4.27,2.56,5.45,-1.36,2.18,3.53,1.76,w_l
6,-5.55,-4.66,-4.54,0.41,-1.94,-1.99,-1.3,winner
7,-8.87,-6.56,-5.33,-4.89,-2.98,-3.02,-0.47,loser
8,6.49,2.98,3.3,6.02,2.8,4.59,-1.01,w_l
9,-10.37,-7.04,-4.72,-6.03,-6.86,-4.48,-5.84,winner
10,-7.98,-7.45,-5.94,-5.68,-2.87,-2.18,-3.01,loser
11,-1.02,2.04,2.97,0.4,-3.85,-1.42,-1.24,w_l
12,-9.31,-7.68,-5.17,-7.31,-7.01,-8.43,-7.7,winner
13,-8.23,-7.39,-4.0,-3.48,-3.6,-2.96,-2.06,loser
14,1.34,1.44,-0.1,-2.88,-5.38,-5.49,-7.34,w_l
15,-11.92,-12.11,-11.17,-10.15,-8.58,-11.11,-12.88,winner
16,-9.61,-7.52,-6.13,-8.94,-4.11,-5.86,-9.04,loser
17,1.38,-2.4,-4.85,-0.27,-3.47,-5.54,-2.55,w_l
