,j,h,winner_mon,winner_t,loser_t,loser_mon,mean,t_com,t_sim
0,20.0,10.0,0.13071475463200022,15.021265278473596,15.795608996667946,0.13658576185600024,-0.005390285832000075,-0.0498,-1.1297
1,20.0,20.0,0.09891282158731762,6.408255396212802,8.518552961319442,0.16929953531975728,-0.06673483135820402,-0.4339,-5.135
2,20.0,30.0,0.09810000000000008,5.112899663074622,7.0999202174489815,0.25669999999999993,-0.15859999999999996,-0.7459,-7.4475
3,20.0,40.0,0.047478190942260134,1.8928831194263929,3.8223212162517255,0.09846799097003789,-0.052667850207411826,-0.3292,-8.935
4,20.0,50.0,0.031529773350136514,1.2128914378810878,4.62499802532468,0.22396744856984308,-0.2259157311950113,-0.8951,-7.7526
5,20.0,60.0,0.410283659410404,3.1796203356696764,2.6666103979770086,0.08600184161906466,0.34517656833591914,0.7056,3.2514
6,20.0,70.0,0.027356706881898285,0.7685451590379603,3.5875097640769056,0.16314291963655925,-0.1728714983507208,-0.7437,-9.7039
7,40.0,10.0,0.05373473177600019,6.280123003331719,12.157883126471411,0.092727,-0.037033203124999914,-0.3735,-6.7352
8,40.0,20.0,0.07962083984332202,3.969958891727048,5.15117885695162,0.0636569409353751,0.015640489968768323,0.1071,1.3052
9,40.0,30.0,0.1311,4.009823479121404,5.3822524001209,2.6575,-2.5264,-1.0013,-5.1111
10,40.0,40.0,0.18295716228680048,3.396192329613092,6.349325754992942,0.24266722360589044,-0.06437586427136743,-0.2141,-2.0267
11,40.0,50.0,0.1254447604130775,2.8496050100032018,5.641823822348395,0.21471520008442302,-0.10267562683789022,-0.4173,-4.6972
12,40.0,60.0,0.5898113095584645,3.1410975232387983,3.5747202938786597,0.30307329034095387,0.35262707351287337,0.457,2.796
13,40.0,70.0,0.061490778053529205,1.6388086533103088,4.395560502569668,0.37971052267778727,-0.7768615540398645,-1.134,-4.2101
14,60.0,10.0,0.03889361715199979,4.7024028315529645,17.430146886348542,0.165248925667,-0.11388087987499995,-1.0959,-18.7408
15,60.0,20.0,0.06917393291082452,3.536782664116725,9.517691900245145,0.1474026041455545,-0.07463928334081527,-0.4997,-6.3442
16,60.0,30.0,0.2608999999999999,4.2539249542273945,8.155578627025742,0.2882,-0.027200000000000002,-0.0755,-0.6297
17,60.0,40.0,0.016604218373542423,0.5982527726759478,6.32690983715726,0.2784925992144822,-0.28899107738878815,-1.2024,-6.9681
18,60.0,50.0,0.024638202436523482,0.8288238673634415,5.379210279620258,0.35788875702935163,-0.4436853062144148,-1.2076,-6.1818
19,60.0,60.0,0.06174384858119142,1.5035629917568967,5.6238085990769875,0.4070536592468674,-0.6159427126065696,-1.2705,-5.7553
20,60.0,70.0,0.053375269322426755,1.1501348390355832,3.0564811826162313,0.2815342473682074,-0.3661647166899963,-0.7398,-4.4516
21,70.0,10.0,0.03766318662399981,4.791690725202987,18.697185331573895,0.172572628625,-0.12105738846100011,-1.2224,-20.1729
22,70.0,20.0,0.08300796457643833,4.445602860947393,6.785544542101824,1.716536018297751,-0.9646553606186171,-1.0333,-6.4191
23,70.0,30.0,0.08400000000000007,3.2541060001096356,5.46669255537474,2.8637,-2.7796,-1.06,-5.3131
24,70.0,40.0,0.10514856675162654,2.570118223142848,4.4266802794837625,2.6671143868335965,,-1.01,-4.3163
25,70.0,50.0,0.10569822841121823,1.9490955518636537,4.111078492474971,2.2310090767764867,,-1.0275,-4.0088
26,70.0,60.0,0.13991227732663702,2.4959446848901297,3.63374649499287,2.276751440069875,,-1.0157,-3.5373
27,70.0,70.0,0.15589545338289867,2.136277029170337,2.612947332795917,0.25989334529607033,-0.14819353755150477,-0.2974,-3.5807
