,j,h,winner_mon,winner_t,loser_mon,loser_t,mean,t_com,t_sim
0,3,3,0.138998504,32.17711837,3.102197466,17.57858374,-0.774808073,-0.9551,-16.0747
1,3,6,0.145830763,21.49223713,3.328466808,12.45818355,-0.846856086,-0.963,-11.4906
2,3,9,1.935834066,10.86725739,0.048466966,6.668567028,1.835747847,1.0826,10.4885
3,3,12,0.16036711,14.82879304,3.093688308,8.687659033,-0.949087227,-0.9533,-8.016
4,3,15,2.90813361,8.038668113,0.15433536,11.21823478,2.61950625,0.9909,7.4221
5,3,18,0.112924446,8.447775089,0.091610451,7.044957999,0.020583936,0.166,2.3306
6,3,24,0.117571203,6.853384356,0.150771486,8.112542977,-0.032269499,-0.222,-3.4789
7,6,3,3.906345163,19.09551143,0.10790757,23.15177893,3.491951018,1.0699,17.9654
8,6,6,1.950587645,14.22407317,0.082068617,12.88304305,1.767566628,1.1203,13.2892
9,6,9,3.206690804,10.99678632,0.122227425,13.81629113,2.894404486,1.0643,10.2968
10,6,12,0.178767441,14.59771342,0.093235549,10.1919115,0.081144084,0.6463,10.0797
11,6,15,1.99463025,8.485100721,0.16877721,13.13550343,1.72052036,1.0145,7.5746
12,6,18,0.187297343,10.69594164,0.081789204,7.434778583,0.102333485,0.7372,7.6425
13,6,24,0.170990776,7.301618683,0.161838298,7.350957409,0.008757643,0.0477,0.6284
14,12,3,4.752370461,20.82256978,0.106811446,24.70092815,4.282830726,1.1795,19.7155
15,12,6,0.217237944,29.4609369,0.11113457,17.45720144,0.098140253,0.876,17.2467
16,12,9,0.171757009,18.60935,0.079096496,10.96812833,0.087911015,0.7937,16.7737
17,12,12,0.192890245,14.7064871,0.78207658,9.389124211,-0.403844023,-0.7997,-6.8308
18,12,15,0.17787609,10.84902954,1.5281,7.798381057,-0.75467791,-0.8947,-6.6852
19,12,18,0.166484761,9.440543122,0.079038748,6.203932672,0.084886814,0.5877,7.8997
20,12,24,0.138442935,6.64047631,0.158619018,8.075619266,-0.019586334,-0.1189,-1.4808
21,18,3,3.914721337,18.69655629,0.302742555,26.47989534,2.900211685,0.9434,15.7477
22,18,6,0.20964993,26.93744508,0.099218447,17.18636265,0.101917636,0.9192,16.8895
23,18,9,0.152869726,17.60416033,0.495811697,12.88015425,-0.256018989,-0.8614,-8.5392
24,18,12,0.134304578,11.64429305,0.146477162,14.81878125,-0.011460355,-0.0938,-1.6679
25,18,15,0.15261696,10.49025012,0.11682624,10.51262525,0.03388224,0.256,4.7883
26,18,18,0.147932361,8.394897111,0.192121136,10.02292903,-0.040990695,-0.2447,-2.8677
27,18,24,0.061241158,4.207972706,1.524973676,6.584789045,-1.463732518,-1.0767,-6.3216
28,24,3,0.215413884,37.05665928,0.318047758,27.27751192,-0.079967578,-0.4317,-7.9113
29,24,6,0.164912556,22.27524747,0.127550141,20.83498853,0.033951918,0.3134,6.3127
30,24,9,0.100692292,12.46217829,0.18860121,16.20328869,-0.077783845,-0.6235,-11.1791
31,24,12,0.116058149,9.487649881,0.89481964,10.26910627,-0.507157512,-1.0393,-8.8105
32,24,15,0.13337316,9.514922508,0.93237801,9.757201881,-0.54504975,-1.0923,-8.2656
33,24,18,0.081617218,5.919462005,0.173939002,11.83083102,-0.08644195,-0.6673,-11.0975
34,24,24,0.171764882,6.361144487,2.262223445,6.151041336,-2.090458563,-0.9755,-5.6202
35,30,3,0.175490858,32.69492615,0.298941335,25.83224762,-0.097443299,-0.5436,-9.9453
36,30,6,0.177394459,23.83370394,0.125899907,19.8568607,0.046854223,0.4268,8.864
37,30,9,0.132013762,13.71312321,0.107480164,13.64993778,0.022847033,0.2008,4.8402
38,30,12,0.156817003,13.48342426,0.160640466,14.92413534,-0.003496326,-0.0271,-0.4935
39,30,15,0.12593321,8.571421041,0.115136,9.421263227,0.01022601,0.0752,1.4453
40,30,18,0.100947512,5.978509935,0.897459609,7.741064998,-0.583907408,-1.0055,-6.8354
41,30,24,0.144603891,5.262287714,0.152957431,7.37330174,-0.008118388,-0.0416,-0.6506
