,Port1,Port2,Port3,Port4,Port5
20170909,"Index(['waves', 'stellar', 'primas', 'zcash', 'eos', 'iota', 'ethereum'], dtype='object')","Index(['populous', 'rlc', 'district0x', 'agoras-tokens', 'nano', 'suncontract',
       'wings'],
      dtype='object')","Index(['ardor', 'steem', 'nem', 'factom', 'singulardtv', 'aidos-kuneen',
       'stratis'],
      dtype='object')","Index(['crypto-com', 'syscoin', 'dash', 'adx-net', 'ark', 'nexus', '0x'], dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'neo', 'komodo', 'litecoin', 'monero'], dtype='object')"
20170919,"Index(['0x', 'zcash', 'stellar', 'monero', 'syscoin', 'bitcoin-cash',
       'litecoin'],
      dtype='object')","Index(['suncontract', 'nano', 'agrello-delta', 'ardor', 'district0x',
       'adx-net', 'factom'],
      dtype='object')","Index(['singulardtv', 'wings', 'loopring', 'steem', 'populous',
       'agoras-tokens', 'primas'],
      dtype='object')","Index(['nem', 'stratis', 'nexus', 'crypto-com', 'komodo', 'rlc', 'waves'], dtype='object')","Index(['ethereum', 'bitcoin', 'iota', 'dash', 'neo', 'ark', 'eos'], dtype='object')"
20170929,"Index(['nem', 'nexus', 'monero', 'litecoin', 'ethereum', 'dash',
       'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['rlc', 'neblio', 'wings', 'populous', 'singulardtv', 'syscoin',
       'suncontract', 'ark'],
      dtype='object')","Index(['iota', 'agoras-tokens', 'aidos-kuneen', 'primas', 'cvcoin', 'nano',
       'agrello-delta'],
      dtype='object')","Index(['stellar', 'komodo', 'crypto-com', 'factom', 'loopring', 'stratis',
       '0x', 'district0x'],
      dtype='object')","Index(['zcash', 'neo', 'adx-net', 'eos', 'waves', 'steem', 'ardor'], dtype='object')"
20171009,"Index(['stratis', 'nem', 'eos', 'adx-net', 'kyber-network', 'iota', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['0x', 'ardor', 'zcash', 'komodo', 'steem', 'waves', 'ark',
       'crypto-com'],
      dtype='object')","Index(['primas', 'suncontract', 'agoras-tokens', 'wings', 'district0x',
       'syscoin', 'factom', 'nexus'],
      dtype='object')","Index(['loopring', 'rlc', 'populous', 'nano', 'singulardtv', 'vibe', 'cvcoin',
       'agrello-delta'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'stellar', 'litecoin', 'dash', 'monero',
       'neblio'],
      dtype='object')"
20171019,"Index(['kyber-network', 'adx-net', 'stratis', 'district0x', 'eos', 'dash',
       'iota', 'zcash'],
      dtype='object')","Index(['vibe', 'rlc', 'nexus', 'steem', 'wings', 'suncontract', 'loopring',
       'waves'],
      dtype='object')","Index(['singulardtv', 'nano', 'ark', 'cvcoin', 'factom', 'primas',
       'agrello-delta', 'populous'],
      dtype='object')","Index(['ardor', 'monero', 'cardano', 'neo', 'crypto-com', 'agoras-tokens',
       '0x', 'komodo'],
      dtype='object')","Index(['bitcoin', 'stellar', 'bitcoin-cash', 'litecoin', 'ethereum', 'syscoin',
       'neblio', 'nem'],
      dtype='object')"
20171029,"Index(['cardano', 'dash', 'waves', 'nem', 'district0x', 'monero', 'stellar',
       'litecoin', 'bitcoin'],
      dtype='object')","Index(['cvcoin', 'agrello-delta', 'steem', 'loopring', 'ardor', 'factom', '0x',
       'kyber-network'],
      dtype='object')","Index(['enigma', 'nexus', 'wings', 'populous', 'nano', 'agoras-tokens', 'vibe',
       'primas'],
      dtype='object')","Index(['crypto-com', 'singulardtv', 'komodo', 'eos', 'rlc', 'neblio',
       'suncontract', 'ark'],
      dtype='object')","Index(['bitcoin-cash', 'zcash', 'stratis', 'iota', 'neo', 'adx-net', 'syscoin',
       'ethereum'],
      dtype='object')"
20171108,"Index(['red-pulse', 'iota', 'zcash', 'stratis', 'bitcoin', 'cardano',
       'crypto-com', 'neo', 'ethereum'],
      dtype='object')","Index(['wings', 'kyber-network', 'neblio', 'ark', 'rlc', 'steem', 'nem',
       'district0x'],
      dtype='object')","Index(['vibe', 'agoras-tokens', 'suncontract', 'agrello-delta', 'syscoin',
       'nano', 'enigma', 'nexus', 'adx-net'],
      dtype='object')","Index(['waves', 'loopring', 'stellar', 'cvcoin', '0x', 'ardor', 'primas',
       'populous'],
      dtype='object')","Index(['bitcoin-cash', 'litecoin', 'eos', 'monero', 'factom', 'singulardtv',
       'dash', 'komodo'],
      dtype='object')"
20171118,"Index(['kyber-network', 'ark', 'factom', 'crypto-com', 'cardano',
       'ripio-credit-network', 'waves', 'nem', 'zcash', 'ethereum'],
      dtype='object')","Index(['steem', 'enigma', 'streamr-datacoin', 'stratis', 'komodo', '0x',
       'singulardtv', 'district0x', 'syscoin'],
      dtype='object')","Index(['nano', 'agoras-tokens', 'vibe', 'primas', 'stellar', 'ardor',
       'agrello-delta', 'red-pulse', 'neblio'],
      dtype='object')","Index(['wings', 'adx-net', 'populous', 'suncontract', 'rlc', 'cryptonex',
       'cvcoin', 'loopring', 'nexus'],
      dtype='object')","Index(['bitcoin-cash', 'neo', 'bitcoin', 'eos', 'dash', 'power-ledger', 'iota',
       'litecoin', 'monero'],
      dtype='object')"
20171128,"Index(['primas', 'populous', 'rlc', 'neblio', 'red-pulse', 'loopring',
       'district0x', 'nem', 'neo', 'waves'],
      dtype='object')","Index(['crypto-com', 'kyber-network', 'cryptonex', '0x', 'wings',
       'agrello-delta', 'vibe', 'cvcoin', 'nano'],
      dtype='object')","Index(['ardor', 'suncontract', 'nexus', 'komodo', 'singulardtv',
       'streamr-datacoin', 'factom', 'ark', 'adx-net'],
      dtype='object')","Index(['syscoin', 'iota', 'ripio-credit-network', 'stratis', 'zcash', 'steem',
       'bitcoin', 'enigma', 'agoras-tokens'],
      dtype='object')","Index(['bitcoin-cash', 'ethereum', 'dash', 'power-ledger', 'monero',
       'litecoin', 'cardano', 'eos', 'stellar'],
      dtype='object')"
20171208,"Index(['factom', 'neo', 'quantstamp', 'power-ledger', 'cardano', 'zcash',
       'litecoin', 'dash', 'bitcoin-cash', 'ethereum'],
      dtype='object')","Index(['cvcoin', 'vibe', 'adx-net', 'wings', 'red-pulse', 'nem', 'loopring',
       'ripio-credit-network', 'agrello-delta', 'enigma'],
      dtype='object')","Index(['populous', 'time-new-bank', 'rlc', 'nexus', 'district0x',
       'suncontract', 'neblio', 'cryptonex', 'primas'],
      dtype='object')","Index(['steem', 'streamr-datacoin', 'ardor', 'kyber-network', 'syscoin',
       'nano', 'singulardtv', 'komodo', 'ark', '0x'],
      dtype='object')","Index(['bitcoin', 'iota', 'monero', 'stellar', 'crypto-com', 'eos',
       'agoras-tokens', 'stratis', 'waves'],
      dtype='object')"
20171218,"Index(['steem', 'suncontract', 'agoras-tokens', 'singulardtv', 'waves',
       'stratis', 'monero', 'crypto-com', 'iota', 'bitcoin'],
      dtype='object')","Index(['adx-net', 'rlc', 'syscoin', 'wings', 'agrello-delta', 'primas',
       'cvcoin', 'cryptonex', 'neblio', 'vibe'],
      dtype='object')","Index(['0x', 'district0x', 'komodo', 'enigma', 'power-ledger', 'nano',
       'loopring', 'red-pulse', 'nexus', 'populous'],
      dtype='object')","Index(['dash', 'streamr-datacoin', 'quantstamp', 'qash', 'ardor', 'nem',
       'ripio-credit-network', 'factom', 'kyber-network', 'ark'],
      dtype='object')","Index(['litecoin', 'cardano', 'ethereum', 'eos', 'neo', 'stellar', 'zcash',
       'bitcoin-cash', 'time-new-bank'],
      dtype='object')"
20171228,"Index(['monero', 'neo', 'cardano', 'zcash', 'dash', 'ethereum', 'iota',
       'litecoin', 'bitcoin', 'bitcoin-cash'],
      dtype='object')","Index(['cvcoin', 'cryptonex', 'suncontract', 'nexus', 'streamr-datacoin',
       'populous', 'kyber-network', 'waves', 'power-ledger', 'stellar'],
      dtype='object')","Index(['ark', 'time-new-bank', 'singulardtv', 'loopring', 'qash', 'steem',
       'rlc', 'quantstamp', 'vibe', 'primas'],
      dtype='object')","Index(['agoras-tokens', 'factom', 'nem', 'wings', 'district0x', 'crypto-com',
       'red-pulse', '0x', 'agrello-delta', 'neblio'],
      dtype='object')","Index(['enigma', 'stratis', 'ripio-credit-network', 'adx-net', 'komodo',
       'nuls', 'nano', 'ardor', 'eos', 'syscoin'],
      dtype='object')"
20180107,"Index(['syscoin', 'komodo', 'ripio-credit-network', 'wax', 'crypto-com',
       'waves', 'dash', 'iota', 'litecoin', 'bitcoin', 'bitcoin-cash'],
      dtype='object')","Index(['primas', 'cryptonex', 'cvcoin', 'populous', 'wings', 'ormeus-coin',
       'agoras-tokens', 'suncontract', 'adx-net', 'ark', 'ardor'],
      dtype='object')","Index(['kyber-network', 'streamr-datacoin', 'singulardtv', 'rlc', 'monero',
       'agrello-delta', 'neo', 'red-pulse', 'stratis', 'vibe',
       'dynamic-trading-rights'],
      dtype='object')","Index(['qash', 'enigma', 'time-new-bank', 'loopring', 'quantstamp',
       'district0x', 'power-ledger', 'factom', 'nuls', 'nebulas-token', '0x'],
      dtype='object')","Index(['stellar', 'ethereum', 'neblio', 'cardano', 'steem', 'zcash', 'nem',
       'nano', 'eos', 'nexus'],
      dtype='object')"
20180117,"Index(['district0x', 'nem', 'waves', 'wax', 'red-pulse', 'nano',
       'power-ledger', 'nebulas-token', 'dash', 'loopring', 'time-new-bank'],
      dtype='object')","Index(['komodo', 'kyber-network', '0x', 'wings', 'nexus',
       'ripio-credit-network', 'factom', 'enigma', 'quantstamp', 'adx-net',
       'nuls'],
      dtype='object')","Index(['cryptonex', 'agoras-tokens', 'neblio', 'cvcoin', 'populous',
       'dynamic-trading-rights', 'suncontract', 'primas', 'sirin-labs-token',
       'ark', 'streamr-datacoin'],
      dtype='object')","Index(['agrello-delta', 'monero', 'qash', 'stratis', 'zcash', 'iota',
       'ormeus-coin', 'gifto', 'crypto-com', 'syscoin', 'steem'],
      dtype='object')","Index(['vibe', 'eos', 'bitcoin', 'ethereum', 'neo', 'bitcoin-cash', 'rlc',
       'cardano', 'stellar', 'litecoin', 'singulardtv'],
      dtype='object')"
20180127,"Index(['dash', 'bitcoin-cash', 'qash', 'suncontract', 'bibox-token', 'iota',
       'zcash', 'litecoin', 'monero', 'vibe', 'ardor', 'nem'],
      dtype='object')","Index(['wings', 'qlink', 'factom', 'ormeus-coin', 'adx-net', 'power-ledger',
       'kyber-network', 'quantstamp', 'high-performance-blockchain', 'enigma',
       'wax', 'neblio'],
      dtype='object')","Index(['populous', 'streamr-datacoin', 'district0x', 'agoras-tokens', 'nexus',
       'cryptonex', 'nuls', 'cvcoin', 'dynamic-trading-rights', 'maker',
       'gifto', 'agrello-delta'],
      dtype='object')","Index(['nano', 'singulardtv', 'ripio-credit-network', 'komodo', 'ark', 'waves',
       'loopring', 'red-pulse', 'rlc', 'stratis', 'crypto-com', 'syscoin'],
      dtype='object')","Index(['eos', 'ethereum', 'bitcoin', 'stellar', 'steem', 'neo', 'cardano',
       '0x', 'time-new-bank', 'sirin-labs-token', 'primas', 'nebulas-token'],
      dtype='object')"
20180206,"Index(['time-new-bank', 'power-ledger', 'qash', 'ripio-credit-network',
       'nebulas-token', 'bibox-token', 'stratis', 'nem', 'bitcoin-cash',
       'ardor', 'ignis', 'neo', 'eos'],
      dtype='object')","Index(['neblio', 'rlc', 'komodo', 'ark', 'enigma', 'red-pulse', 'factom',
       'gifto', 'waves', '0x', 'quantstamp', 'adx-net'],
      dtype='object')","Index(['crypto-com', 'ormeus-coin', 'singulardtv', 'maker', 'cvcoin',
       'dynamic-trading-rights', 'cryptonex', 'agrello-delta', 'nuls', 'nexus',
       'district0x', 'wax'],
      dtype='object')","Index(['qlink', 'agoras-tokens', 'nano', 'monero', 'populous',
       'high-performance-blockchain', 'sirin-labs-token', 'streamr-datacoin',
       'iota', 'primas', 'syscoin', 'loopring'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'litecoin', 'cardano', 'vibe', 'stellar',
       'zcash', 'wings', 'steem', 'dash', 'suncontract', 'kyber-network'],
      dtype='object')"
