,Port1,Port2,Port3,Port4,Port5
20170905,"Index(['singulardtv', 'ardor', 'populous', 'wings', 'agoras-tokens', 'nano',
       'cvcoin'],
      dtype='object')","Index(['nem', 'stellar', 'rlc', 'steem', 'waves', 'aidos-kuneen',
       'suncontract'],
      dtype='object')","Index(['monero', 'district0x', 'adx-net', 'dash', 'factom', 'stratis', 'ark'], dtype='object')","Index(['iota', 'primas', 'ethereum', 'zcash', 'syscoin', '0x', 'nexus'], dtype='object')","Index(['bitcoin', 'komodo', 'crypto-com', 'neo', 'litecoin', 'eos',
       'bitcoin-cash'],
      dtype='object')"
20170925,"Index(['nem', 'wings', 'steem', 'rlc', 'agoras-tokens', 'primas',
       'aidos-kuneen', 'cvcoin'],
      dtype='object')","Index(['crypto-com', '0x', 'suncontract', 'factom', 'ardor', 'agrello-delta',
       'nano', 'singulardtv'],
      dtype='object')","Index(['monero', 'neblio', 'stellar', 'waves', 'populous', 'iota',
       'district0x'],
      dtype='object')","Index(['neo', 'nexus', 'komodo', 'eos', 'ark', 'loopring', 'syscoin',
       'stratis'],
      dtype='object')","Index(['ethereum', 'zcash', 'bitcoin', 'dash', 'litecoin', 'bitcoin-cash',
       'adx-net'],
      dtype='object')"
20171015,"Index(['syscoin', 'vibe', 'nano', 'rlc', 'agrello-delta', 'populous',
       'agoras-tokens', 'primas'],
      dtype='object')","Index(['steem', 'cvcoin', 'singulardtv', 'suncontract', 'factom', 'komodo',
       'loopring', 'nexus'],
      dtype='object')","Index(['adx-net', 'eos', 'ark', 'crypto-com', '0x', 'nem', 'neblio', 'wings'], dtype='object')","Index(['monero', 'bitcoin-cash', 'stellar', 'zcash', 'waves', 'ardor', 'dash',
       'kyber-network'],
      dtype='object')","Index(['bitcoin', 'litecoin', 'ethereum', 'district0x', 'cardano', 'neo',
       'iota', 'stratis'],
      dtype='object')"
20171104,"Index(['enigma', 'wings', 'nano', 'suncontract', 'vibe', 'cvcoin',
       'agoras-tokens', 'agrello-delta', 'primas'],
      dtype='object')","Index(['loopring', 'steem', 'bitcoin', '0x', 'neblio', 'populous',
       'kyber-network', 'nexus'],
      dtype='object')","Index(['stellar', 'red-pulse', 'nem', 'adx-net', 'district0x', 'ardor',
       'singulardtv', 'komodo', 'rlc'],
      dtype='object')","Index(['zcash', 'dash', 'waves', 'syscoin', 'stratis', 'monero', 'ark',
       'iota'],
      dtype='object')","Index(['bitcoin-cash', 'ethereum', 'eos', 'neo', 'litecoin', 'cardano',
       'factom', 'crypto-com'],
      dtype='object')"
20171124,"Index(['singulardtv', 'vibe', 'wings', 'primas', 'rlc', 'streamr-datacoin',
       'nano', 'kyber-network', 'cvcoin', 'agoras-tokens'],
      dtype='object')","Index(['district0x', 'adx-net', 'cardano', 'populous', 'komodo', 'ark',
       'cryptonex', 'waves', 'neblio'],
      dtype='object')","Index(['neo', '0x', 'ardor', 'loopring', 'crypto-com', 'agrello-delta',
       'syscoin', 'nem', 'red-pulse'],
      dtype='object')","Index(['ripio-credit-network', 'nexus', 'litecoin', 'steem', 'stellar',
       'factom', 'eos', 'stratis', 'suncontract'],
      dtype='object')","Index(['bitcoin-cash', 'power-ledger', 'ethereum', 'dash', 'monero', 'iota',
       'zcash', 'bitcoin', 'enigma'],
      dtype='object')"
20171214,"Index(['agoras-tokens', 'komodo', 'ark', 'suncontract', 'red-pulse', 'wings',
       'primas', 'cryptonex', 'vibe', 'cvcoin'],
      dtype='object')","Index(['district0x', 'singulardtv', 'cardano', 'time-new-bank', 'factom',
       'streamr-datacoin', 'syscoin', 'nexus', 'steem', 'neblio'],
      dtype='object')","Index(['ripio-credit-network', 'monero', 'enigma', 'populous', 'rlc',
       'kyber-network', 'loopring', 'agrello-delta', 'adx-net', 'crypto-com'],
      dtype='object')","Index(['bitcoin-cash', 'stratis', 'dash', 'stellar', 'nem', 'qash', '0x',
       'quantstamp', 'nano', 'power-ledger'],
      dtype='object')","Index(['litecoin', 'bitcoin', 'eos', 'ethereum', 'iota', 'ardor', 'neo',
       'waves', 'zcash'],
      dtype='object')"
20180103,"Index(['qash', 'komodo', 'ormeus-coin', 'cryptonex', 'suncontract', 'populous',
       'agoras-tokens', 'vibe', 'nexus', 'primas', 'cvcoin'],
      dtype='object')","Index(['streamr-datacoin', 'ripio-credit-network', 'ark', 'monero',
       'nebulas-token', 'wings', 'nuls', 'waves', 'neblio',
       'dynamic-trading-rights', 'syscoin'],
      dtype='object')","Index(['dash', 'neo', 'red-pulse', 'kyber-network', 'time-new-bank', 'wax',
       'ardor', 'crypto-com', 'loopring', 'agrello-delta', 'nem'],
      dtype='object')","Index(['iota', 'litecoin', 'eos', 'rlc', '0x', 'power-ledger', 'singulardtv',
       'district0x', 'adx-net', 'cardano', 'stratis'],
      dtype='object')","Index(['stellar', 'bitcoin', 'nano', 'steem', 'enigma', 'ethereum',
       'quantstamp', 'factom', 'bitcoin-cash', 'zcash'],
      dtype='object')"
20180123,"Index(['nexus', 'nuls', 'qlink', 'populous', 'wings', 'cryptonex',
       'ormeus-coin', 'maker', 'cvcoin', 'streamr-datacoin', 'agoras-tokens',
       'dynamic-trading-rights'],
      dtype='object')","Index(['syscoin', 'enigma', 'wax', 'high-performance-blockchain', 'gifto',
       '0x', 'qash', 'ark', 'quantstamp', 'dash', 'agrello-delta', 'nem'],
      dtype='object')","Index(['zcash', 'litecoin', 'primas', 'kyber-network', 'nano', 'power-ledger',
       'neblio', 'waves', 'ripio-credit-network', 'rlc', 'factom', 'adx-net'],
      dtype='object')","Index(['monero', 'time-new-bank', 'iota', 'cardano', 'steem', 'crypto-com',
       'komodo', 'neo', 'district0x', 'suncontract', 'bibox-token', 'stratis'],
      dtype='object')","Index(['eos', 'sirin-labs-token', 'stellar', 'bitcoin', 'ethereum',
       'bitcoin-cash', 'nebulas-token', 'vibe', 'ardor', 'singulardtv',
       'loopring', 'red-pulse'],
      dtype='object')"
20180212,"Index(['loopring', 'streamr-datacoin', 'ormeus-coin', 'vibe', 'factom',
       'wings', 'singulardtv', 'cryptonex', 'komodo', 'agoras-tokens',
       'dynamic-trading-rights', 'maker', 'cvcoin'],
      dtype='object')","Index(['crypto-com', 'rlc', '0x', 'ripio-credit-network', 'syscoin',
       'time-new-bank', 'singularitynet', 'nebulas-token', 'qlink', 'primas',
       'district0x', 'nexus', 'ark'],
      dtype='object')","Index(['nuls', 'sirin-labs-token', 'nem', 'iota', 'red-pulse', 'suncontract',
       'kyber-network', 'all-sports', 'waves', 'qash', 'neblio', 'stratis'],
      dtype='object')","Index(['agrello-delta', 'ardor', 'populous', 'steem', 'enigma', 'stellar',
       'zcash', 'dash', 'high-performance-blockchain', 'monero',
       'power-ledger', 'wax', 'quantstamp'],
      dtype='object')","Index(['gifto', 'bitcoin', 'bitcoin-cash', 'cardano', 'ethereum', 'eos',
       'ignis', 'neo', 'adx-net', 'litecoin', 'nano', 'bibox-token'],
      dtype='object')"
20180304,"Index(['primas', 'gifto', 'vibe', '0x', 'bottos', 'qash',
       'dynamic-trading-rights', 'red-pulse', 'maker', 'agrello-delta', 'wax',
       'streamr-datacoin', 'cryptonex'],
      dtype='object')","Index(['quantstamp', 'sirin-labs-token', 'coinmeet', 'zcash', 'enigma',
       'loopring', 'nebulas-token', 'kyber-network', 'qlink', 'singulardtv',
       'all-sports', 'singularitynet', 'adx-net'],
      dtype='object')","Index(['steem', 'syscoin', 'factom', 'dash', 'ardor', 'iota',
       'high-performance-blockchain', 'bibox-token', 'waves', 'cvcoin',
       'time-new-bank', 'rlc', 'polymath-network'],
      dtype='object')","Index(['wings', 'ormeus-coin', 'bitcoin-cash', 'nuls', 'ark', 'komodo',
       'neblio', 'crypto-com', 'ripio-credit-network', 'nem', 'power-ledger',
       'stratis', 'ignis'],
      dtype='object')","Index(['nexus', 'bitcoin', 'nano', 'suncontract', 'monero', 'neo',
       'district0x', 'ethereum', 'cardano', 'stellar', 'populous', 'eos',
       'litecoin'],
      dtype='object')"
