,Port1,Port2,Port3,Port4,Port5
20170921,"Index(['adx-net', 'factom', '0x', 'stellar', 'district0x', 'primas', 'eos'], dtype='object')","Index(['monero', 'stratis', 'nano', 'neo', 'zcash', 'litecoin', 'suncontract'], dtype='object')","Index(['ethereum', 'populous', 'aidos-kuneen', 'waves', 'steem', 'iota',
       'nem'],
      dtype='object')","Index(['rlc', 'bitcoin', 'ardor', 'agoras-tokens', 'bitcoin-cash',
       'crypto-com', 'wings'],
      dtype='object')","Index(['komodo', 'singulardtv', 'ark', 'nexus', 'dash', 'syscoin'], dtype='object')"
20171001,"Index(['0x', 'factom', 'suncontract', 'nano', 'populous', 'nexus', 'syscoin',
       'agrello-delta'],
      dtype='object')","Index(['monero', 'wings', 'litecoin', 'stellar', 'ark', 'bitcoin-cash',
       'stratis'],
      dtype='object')","Index(['ethereum', 'primas', 'eos', 'crypto-com', 'nem', 'district0x',
       'cvcoin'],
      dtype='object')","Index(['waves', 'iota', 'singulardtv', 'komodo', 'bitcoin', 'rlc', 'dash'], dtype='object')","Index(['loopring', 'adx-net', 'ardor', 'neo', 'zcash', 'agoras-tokens',
       'steem'],
      dtype='object')"
20171011,"Index(['dash', 'singulardtv', 'stratis', 'bitcoin-cash', 'suncontract',
       'agoras-tokens', 'nexus', 'agrello-delta'],
      dtype='object')","Index(['nem', 'rlc', 'iota', 'ark', 'nano', 'cvcoin', 'wings'], dtype='object')","Index(['litecoin', 'factom', 'syscoin', 'district0x', 'steem', 'eos', 'monero',
       'primas'],
      dtype='object')","Index(['bitcoin', 'populous', 'ethereum', 'crypto-com', 'waves', '0x',
       'komodo'],
      dtype='object')","Index(['loopring', 'adx-net', 'neblio', 'stellar', 'ardor', 'neo', 'zcash'], dtype='object')"
20171021,"Index(['stratis', 'nexus', 'suncontract', 'iota', 'vibe', 'primas', 'adx-net',
       'kyber-network'],
      dtype='object')","Index(['zcash', 'bitcoin-cash', 'neo', 'eos', 'wings', 'waves', 'komodo',
       'steem'],
      dtype='object')","Index(['rlc', 'crypto-com', 'singulardtv', 'dash', 'agoras-tokens',
       'agrello-delta', 'nem', 'factom'],
      dtype='object')","Index(['syscoin', 'ardor', 'cvcoin', 'ethereum', 'loopring', '0x', 'monero',
       'ark'],
      dtype='object')","Index(['neblio', 'stellar', 'district0x', 'nano', 'bitcoin', 'populous',
       'litecoin'],
      dtype='object')"
20171031,"Index(['ark', 'loopring', 'iota', 'waves', 'wings', 'kyber-network', 'nexus',
       'vibe'],
      dtype='object')","Index(['ardor', 'dash', 'nem', '0x', 'singulardtv', 'factom', 'primas',
       'steem'],
      dtype='object')","Index(['litecoin', 'suncontract', 'stratis', 'zcash', 'monero', 'ethereum',
       'adx-net', 'neo'],
      dtype='object')","Index(['agoras-tokens', 'district0x', 'komodo', 'cvcoin', 'eos',
       'agrello-delta', 'populous', 'crypto-com'],
      dtype='object')","Index(['neblio', 'stellar', 'syscoin', 'nano', 'bitcoin-cash', 'rlc',
       'bitcoin', 'cardano'],
      dtype='object')"
20171110,"Index(['stellar', 'ethereum', 'nem', 'wings', 'loopring', 'steem', 'nexus',
       'crypto-com', 'district0x'],
      dtype='object')","Index(['dash', 'vibe', 'agrello-delta', '0x', 'cardano', 'cvcoin',
       'kyber-network', 'litecoin'],
      dtype='object')","Index(['ark', 'stratis', 'zcash', 'bitcoin', 'enigma', 'agoras-tokens',
       'ardor', 'neo'],
      dtype='object')","Index(['singulardtv', 'monero', 'waves', 'iota', 'nano', 'adx-net', 'primas',
       'neblio'],
      dtype='object')","Index(['eos', 'populous', 'bitcoin-cash', 'komodo', 'syscoin', 'suncontract',
       'factom', 'rlc'],
      dtype='object')"
20171120,"Index(['singulardtv', 'syscoin', 'steem', 'district0x', 'cardano', 'red-pulse',
       'crypto-com', 'rlc', 'neblio'],
      dtype='object')","Index(['agoras-tokens', '0x', 'nem', 'agrello-delta', 'komodo', 'stratis',
       'enigma', 'nexus'],
      dtype='object')","Index(['vibe', 'stellar', 'bitcoin', 'ardor', 'loopring', 'kyber-network',
       'adx-net', 'ethereum', 'wings'],
      dtype='object')","Index(['monero', 'neo', 'nano', 'ark', 'factom', 'zcash', 'litecoin',
       'primas'],
      dtype='object')","Index(['bitcoin-cash', 'populous', 'eos', 'iota', 'cvcoin', 'dash', 'waves',
       'suncontract'],
      dtype='object')"
20171130,"Index(['0x', 'district0x', 'crypto-com', 'ripio-credit-network', 'rlc',
       'kyber-network', 'red-pulse', 'singulardtv', 'primas', 'neblio'],
      dtype='object')","Index(['nem', 'factom', 'enigma', 'nexus', 'komodo', 'adx-net', 'steem',
       'agrello-delta', 'ark'],
      dtype='object')","Index(['bitcoin-cash', 'streamr-datacoin', 'zcash', 'wings', 'vibe', 'waves',
       'loopring', 'syscoin', 'neo'],
      dtype='object')","Index(['nano', 'cvcoin', 'populous', 'agoras-tokens', 'stratis', 'bitcoin',
       'litecoin', 'ethereum', 'ardor'],
      dtype='object')","Index(['cardano', 'power-ledger', 'suncontract', 'eos', 'iota', 'dash',
       'stellar', 'cryptonex', 'monero'],
      dtype='object')"
20171210,"Index(['wings', 'bitcoin-cash', 'factom', 'zcash', 'power-ledger', 'neo',
       'district0x', 'rlc', 'singulardtv', 'red-pulse'],
      dtype='object')","Index(['ark', 'primas', '0x', 'loopring', 'kyber-network', 'agrello-delta',
       'neblio', 'cvcoin', 'adx-net'],
      dtype='object')","Index(['steem', 'syscoin', 'waves', 'enigma', 'dash', 'komodo', 'ethereum',
       'ripio-credit-network', 'vibe'],
      dtype='object')","Index(['nexus', 'crypto-com', 'litecoin', 'nem', 'ardor', 'eos', 'monero',
       'streamr-datacoin', 'bitcoin'],
      dtype='object')","Index(['nano', 'iota', 'cardano', 'stellar', 'suncontract', 'populous',
       'agoras-tokens', 'cryptonex', 'stratis'],
      dtype='object')"
20171220,"Index(['loopring', 'power-ledger', 'vibe', 'agrello-delta', 'quantstamp',
       'dash', 'neblio', 'enigma', 'singulardtv', 'cvcoin'],
      dtype='object')","Index(['ark', 'bitcoin-cash', 'zcash', 'suncontract', 'rlc', 'ethereum',
       'factom', 'bitcoin', 'wings', 'adx-net'],
      dtype='object')","Index(['syscoin', 'stratis', 'streamr-datacoin', 'komodo', 'cryptonex', 'neo',
       'ripio-credit-network', 'district0x', 'monero'],
      dtype='object')","Index(['time-new-bank', 'red-pulse', 'waves', 'agoras-tokens', '0x', 'primas',
       'steem', 'crypto-com', 'nexus', 'kyber-network'],
      dtype='object')","Index(['nano', 'cardano', 'eos', 'populous', 'nem', 'iota', 'litecoin',
       'stellar', 'ardor'],
      dtype='object')"
