,Port1,Port2,Port3,Port4,Port5
20171031,"Index(['wings', 'iota', 'suncontract', '0x', 'factom', 'primas', 'nexus'], dtype='object')","Index(['monero', 'steem', 'waves', 'nem', 'eos', 'district0x', 'stratis'], dtype='object')","Index(['crypto-com', 'agoras-tokens', 'dash', 'bitcoin-cash', 'nano',
       'litecoin', 'cvcoin'],
      dtype='object')","Index(['ark', 'singulardtv', 'adx-net', 'neo', 'populous', 'ethereum',
       'zcash'],
      dtype='object')","Index(['komodo', 'ardor', 'stellar', 'bitcoin', 'syscoin', 'rlc'], dtype='object')"
20171110,"Index(['crypto-com', 'steem', 'syscoin', 'suncontract', 'stratis', 'wings',
       'agrello-delta', 'nexus'],
      dtype='object')","Index(['litecoin', 'iota', 'district0x', 'factom', 'ark', 'nem', '0x'], dtype='object')","Index(['bitcoin-cash', 'cvcoin', 'singulardtv', 'waves', 'ethereum', 'monero',
       'dash'],
      dtype='object')","Index(['neo', 'nano', 'komodo', 'primas', 'rlc', 'zcash', 'agoras-tokens'], dtype='object')","Index(['loopring', 'stellar', 'populous', 'ardor', 'bitcoin', 'eos',
       'adx-net'],
      dtype='object')"
20171120,"Index(['nem', 'steem', 'wings', 'stratis', 'singulardtv', 'crypto-com',
       'agrello-delta', 'nexus'],
      dtype='object')","Index(['primas', 'suncontract', 'district0x', 'ark', 'rlc', '0x',
       'agoras-tokens'],
      dtype='object')","Index(['litecoin', 'monero', 'komodo', 'syscoin', 'waves', 'ethereum', 'dash',
       'factom'],
      dtype='object')","Index(['bitcoin', 'adx-net', 'ardor', 'nano', 'iota', 'zcash', 'cvcoin'], dtype='object')","Index(['loopring', 'populous', 'stellar', 'eos', 'neblio', 'bitcoin-cash',
       'neo'],
      dtype='object')"
20171130,"Index(['adx-net', 'singulardtv', 'vibe', 'crypto-com', 'steem', 'nexus',
       'primas', 'kyber-network'],
      dtype='object')","Index(['loopring', 'ark', 'rlc', 'neo', '0x', 'nem', 'wings', 'district0x'], dtype='object')","Index(['ethereum', 'agoras-tokens', 'stratis', 'zcash', 'agrello-delta',
       'factom', 'waves', 'komodo'],
      dtype='object')","Index(['bitcoin', 'dash', 'cvcoin', 'iota', 'monero', 'litecoin', 'syscoin',
       'ardor'],
      dtype='object')","Index(['stellar', 'populous', 'eos', 'bitcoin-cash', 'suncontract', 'neblio',
       'nano'],
      dtype='object')"
20171210,"Index(['0x', 'neo', 'district0x', 'rlc', 'wings', 'kyber-network', 'vibe',
       'singulardtv'],
      dtype='object')","Index(['nexus', 'ark', 'primas', 'zcash', 'factom', 'agrello-delta',
       'loopring', 'adx-net'],
      dtype='object')","Index(['dash', 'neblio', 'waves', 'nem', 'komodo', 'ethereum', 'crypto-com',
       'steem'],
      dtype='object')","Index(['agoras-tokens', 'bitcoin', 'litecoin', 'monero', 'ardor', 'stratis',
       'cvcoin', 'syscoin'],
      dtype='object')","Index(['nano', 'iota', 'populous', 'stellar', 'eos', 'suncontract', 'cardano',
       'bitcoin-cash'],
      dtype='object')"
20171220,"Index(['rlc', 'crypto-com', 'agrello-delta', 'loopring', 'wings', 'district0x',
       'cvcoin', 'singulardtv', 'neblio'],
      dtype='object')","Index(['ethereum', 'factom', 'kyber-network', 'neo', 'ark', 'enigma', 'vibe',
       'adx-net'],
      dtype='object')","Index(['syscoin', 'komodo', 'nexus', 'steem', 'bitcoin', 'primas', 'zcash',
       '0x'],
      dtype='object')","Index(['agoras-tokens', 'litecoin', 'ardor', 'waves', 'nem', 'monero', 'dash',
       'stratis'],
      dtype='object')","Index(['nano', 'eos', 'cardano', 'populous', 'iota', 'suncontract',
       'bitcoin-cash', 'stellar'],
      dtype='object')"
20171230,"Index(['ethereum', 'zcash', 'crypto-com', 'loopring', 'bitcoin', 'cvcoin',
       'rlc', 'neblio', 'singulardtv'],
      dtype='object')","Index(['nebulas-token', 'factom', 'ark', 'adx-net', 'wings', 'district0x',
       'agrello-delta', 'kyber-network', 'neo'],
      dtype='object')","Index(['monero', 'waves', 'dash', 'syscoin', '0x', 'primas', 'nexus', 'steem'], dtype='object')","Index(['suncontract', 'ardor', 'enigma', 'bitcoin-cash', 'red-pulse', 'nem',
       'stratis', 'komodo', 'litecoin'],
      dtype='object')","Index(['nano', 'cardano', 'eos', 'stellar', 'populous', 'vibe', 'iota',
       'agoras-tokens'],
      dtype='object')"
20180109,"Index(['adx-net', 'dash', 'waves', 'crypto-com', 'zcash', 'primas',
       'singulardtv', 'ark', 'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['litecoin', 'rlc', 'syscoin', 'kyber-network', 'streamr-datacoin',
       'ethereum', 'monero', 'neo', 'ripio-credit-network'],
      dtype='object')","Index(['ardor', 'steem', 'stratis', 'agrello-delta', 'wings', 'cvcoin',
       'nebulas-token', 'cryptonex', 'factom', 'komodo'],
      dtype='object')","Index(['0x', 'agoras-tokens', 'loopring', 'eos', 'populous', 'power-ledger',
       'nem', 'district0x', 'iota'],
      dtype='object')","Index(['nano', 'cardano', 'suncontract', 'stellar', 'red-pulse', 'enigma',
       'vibe', 'nexus', 'neblio'],
      dtype='object')"
20180119,"Index(['ark', 'power-ledger', 'adx-net', 'dash', 'waves', 'zcash',
       'singulardtv', 'primas', 'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['ethereum', 'litecoin', 'komodo', 'factom', 'streamr-datacoin',
       'monero', 'wings', 'crypto-com', 'cvcoin'],
      dtype='object')","Index(['cryptonex', 'stratis', 'neo', 'rlc', 'district0x', 'syscoin',
       'kyber-network', 'ripio-credit-network', 'iota'],
      dtype='object')","Index(['agoras-tokens', 'red-pulse', 'ardor', 'eos', 'nem', 'loopring',
       'steem', 'populous', 'agrello-delta'],
      dtype='object')","Index(['nano', 'vibe', 'cardano', 'stellar', 'enigma', 'suncontract', 'neblio',
       '0x', 'nexus'],
      dtype='object')"
20180129,"Index(['waves', 'cvcoin', 'monero', 'adx-net', 'power-ledger', 'zcash',
       'streamr-datacoin', 'bitcoin-cash', 'bitcoin', 'dash'],
      dtype='object')","Index(['komodo', 'ripio-credit-network', 'syscoin', 'litecoin', 'singulardtv',
       'crypto-com', 'ark', 'wings', 'factom', 'iota'],
      dtype='object')","Index(['district0x', 'kyber-network', 'quantstamp', 'ardor', 'agrello-delta',
       'primas', 'suncontract', 'ethereum', 'stratis'],
      dtype='object')","Index(['cardano', 'eos', 'time-new-bank', 'loopring', 'rlc', 'nexus', 'neo',
       'nem', 'agoras-tokens', 'cryptonex'],
      dtype='object')","Index(['nano', 'vibe', '0x', 'stellar', 'red-pulse', 'populous', 'neblio',
       'steem', 'enigma'],
      dtype='object')"
