,Port1,Port2,Port3,Port4,Port5
20170909,"Index(['waves', 'stellar', 'primas', 'zcash', 'eos', 'iota', 'ethereum'], dtype='object')","Index(['rlc', 'district0x', 'agoras-tokens', 'cvcoin', 'nano', 'suncontract',
       'wings'],
      dtype='object')","Index(['steem', 'nem', 'factom', 'singulardtv', 'aidos-kuneen', 'stratis',
       'populous'],
      dtype='object')","Index(['syscoin', 'dash', 'adx-net', 'ark', 'nexus', '0x', 'ardor'], dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'neo', 'komodo', 'litecoin', 'monero',
       'crypto-com'],
      dtype='object')"
20170924,"Index(['nexus', 'eos', 'ark', 'neo', 'monero', 'litecoin', 'bitcoin-cash',
       'bitcoin'],
      dtype='object')","Index(['neblio', 'steem', 'district0x', 'factom', '0x', 'stratis', 'syscoin'], dtype='object')","Index(['stellar', 'primas', 'agrello-delta', 'nano', 'suncontract',
       'singulardtv', 'waves'],
      dtype='object')","Index(['nem', 'ardor', 'agoras-tokens', 'wings', 'loopring', 'rlc',
       'populous'],
      dtype='object')","Index(['ethereum', 'dash', 'zcash', 'iota', 'crypto-com', 'adx-net', 'komodo'], dtype='object')"
20171009,"Index(['stratis', 'nem', 'eos', 'adx-net', 'kyber-network', 'iota', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['0x', 'ardor', 'zcash', 'komodo', 'steem', 'waves', 'ark',
       'crypto-com'],
      dtype='object')","Index(['primas', 'suncontract', 'agoras-tokens', 'wings', 'district0x',
       'syscoin', 'factom', 'nexus'],
      dtype='object')","Index(['loopring', 'rlc', 'populous', 'nano', 'singulardtv', 'vibe', 'cvcoin',
       'agrello-delta'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'stellar', 'litecoin', 'dash', 'monero',
       'neblio'],
      dtype='object')"
20171024,"Index(['nem', 'enigma', 'waves', 'crypto-com', 'zcash', 'monero', 'iota',
       'litecoin', 'ethereum'],
      dtype='object')","Index(['suncontract', 'steem', 'factom', 'singulardtv', 'ark', 'kyber-network',
       'ardor', 'eos'],
      dtype='object')","Index(['vibe', 'agrello-delta', 'populous', 'cvcoin', 'primas', 'wings',
       'nano', 'nexus'],
      dtype='object')","Index(['dash', 'agoras-tokens', 'cardano', '0x', 'adx-net', 'loopring',
       'komodo', 'rlc'],
      dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'stellar', 'neo', 'district0x', 'stratis',
       'neblio', 'syscoin'],
      dtype='object')"
20171108,"Index(['red-pulse', 'iota', 'zcash', 'stratis', 'bitcoin', 'cardano',
       'crypto-com', 'neo', 'ethereum'],
      dtype='object')","Index(['wings', 'kyber-network', 'neblio', 'ark', 'rlc', 'steem', 'nem',
       'district0x'],
      dtype='object')","Index(['vibe', 'agoras-tokens', 'suncontract', 'agrello-delta', 'syscoin',
       'nano', 'enigma', 'nexus', 'adx-net'],
      dtype='object')","Index(['waves', 'loopring', 'stellar', 'cvcoin', '0x', 'ardor', 'primas',
       'populous'],
      dtype='object')","Index(['bitcoin-cash', 'litecoin', 'eos', 'monero', 'factom', 'singulardtv',
       'dash', 'komodo'],
      dtype='object')"
20171123,"Index(['komodo', 'kyber-network', 'red-pulse', 'singulardtv', 'nem', 'ark',
       'crypto-com', 'eos', 'stratis', 'waves'],
      dtype='object')","Index(['stellar', 'populous', 'nexus', 'nano', 'rlc', 'syscoin',
       'streamr-datacoin', 'neblio', 'wings'],
      dtype='object')","Index(['adx-net', 'agrello-delta', 'ripio-credit-network', 'cryptonex', 'vibe',
       'cvcoin', 'agoras-tokens', 'zcash', 'primas'],
      dtype='object')","Index(['enigma', 'ardor', 'iota', 'cardano', 'loopring', 'district0x',
       'factom', '0x', 'suncontract'],
      dtype='object')","Index(['bitcoin-cash', 'power-ledger', 'dash', 'monero', 'neo', 'bitcoin',
       'ethereum', 'litecoin', 'steem'],
      dtype='object')"
20171208,"Index(['factom', 'neo', 'quantstamp', 'power-ledger', 'cardano', 'zcash',
       'litecoin', 'dash', 'bitcoin-cash', 'ethereum'],
      dtype='object')","Index(['cvcoin', 'vibe', 'adx-net', 'wings', 'red-pulse', 'nem', 'loopring',
       'ripio-credit-network', 'agrello-delta', 'enigma'],
      dtype='object')","Index(['populous', 'time-new-bank', 'rlc', 'nexus', 'district0x',
       'suncontract', 'neblio', 'cryptonex', 'primas'],
      dtype='object')","Index(['steem', 'streamr-datacoin', 'ardor', 'kyber-network', 'syscoin',
       'nano', 'singulardtv', 'komodo', 'ark', '0x'],
      dtype='object')","Index(['bitcoin', 'iota', 'monero', 'stellar', 'crypto-com', 'eos',
       'agoras-tokens', 'stratis', 'waves'],
      dtype='object')"
20171223,"Index(['primas', 'singulardtv', 'nexus', 'populous', 'crypto-com', 'waves',
       'streamr-datacoin', 'litecoin', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['red-pulse', 'syscoin', 'factom', 'agrello-delta', 'wings', 'rlc',
       'suncontract', 'vibe', 'cvcoin', 'cryptonex'],
      dtype='object')","Index(['adx-net', 'nano', 'steem', 'neblio', 'enigma', '0x', 'district0x',
       'time-new-bank', 'ardor', 'loopring'],
      dtype='object')","Index(['iota', 'qash', 'quantstamp', 'zcash', 'agoras-tokens',
       'ripio-credit-network', 'ark', 'monero', 'kyber-network', 'stratis'],
      dtype='object')","Index(['bitcoin-cash', 'cardano', 'eos', 'neo', 'dash', 'stellar',
       'power-ledger', 'komodo', 'nem'],
      dtype='object')"
20180107,"Index(['syscoin', 'komodo', 'ripio-credit-network', 'wax', 'crypto-com',
       'waves', 'dash', 'iota', 'litecoin', 'bitcoin', 'bitcoin-cash'],
      dtype='object')","Index(['primas', 'cryptonex', 'cvcoin', 'populous', 'wings', 'ormeus-coin',
       'agoras-tokens', 'suncontract', 'adx-net', 'ark', 'ardor'],
      dtype='object')","Index(['kyber-network', 'streamr-datacoin', 'singulardtv', 'rlc', 'monero',
       'agrello-delta', 'neo', 'red-pulse', 'stratis', 'vibe',
       'dynamic-trading-rights'],
      dtype='object')","Index(['qash', 'enigma', 'time-new-bank', 'loopring', 'quantstamp',
       'district0x', 'power-ledger', 'factom', 'nuls', 'nebulas-token', '0x'],
      dtype='object')","Index(['stellar', 'ethereum', 'neblio', 'cardano', 'steem', 'zcash', 'nem',
       'nano', 'eos', 'nexus'],
      dtype='object')"
20180122,"Index(['ripio-credit-network', 'gifto', 'ark', 'zcash', 'waves', 'iota',
       'suncontract', 'qash', 'cardano', 'ardor', 'bitcoin-cash', 'ethereum'],
      dtype='object')","Index(['dynamic-trading-rights', 'cryptonex', 'agoras-tokens', 'cvcoin',
       'nano', 'streamr-datacoin', 'singulardtv', 'syscoin', 'wings',
       'red-pulse', 'enigma'],
      dtype='object')","Index(['wax', 'primas', 'adx-net', 'nuls', 'stellar', 'populous',
       'agrello-delta', 'rlc', 'factom', 'nem', 'nexus'],
      dtype='object')","Index(['dash', 'komodo', 'time-new-bank', 'nebulas-token', 'loopring', '0x',
       'district0x', 'stratis', 'power-ledger', 'crypto-com', 'ormeus-coin'],
      dtype='object')","Index(['bitcoin', 'eos', 'neo', 'vibe', 'monero', 'neblio', 'steem',
       'litecoin', 'kyber-network', 'sirin-labs-token', 'quantstamp'],
      dtype='object')"
