,Port1,Port2,Port3,Port4,Port5
20170909,"Index(['waves', 'stellar', 'primas', 'zcash', 'eos', 'iota', 'ethereum'], dtype='object')","Index(['rlc', 'district0x', 'agoras-tokens', 'cvcoin', 'nano', 'suncontract',
       'wings'],
      dtype='object')","Index(['steem', 'nem', 'factom', 'singulardtv', 'aidos-kuneen', 'stratis',
       'populous'],
      dtype='object')","Index(['syscoin', 'dash', 'adx-net', 'ark', 'nexus', '0x', 'ardor'], dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'neo', 'komodo', 'litecoin', 'monero',
       'crypto-com'],
      dtype='object')"
20170927,"Index(['stratis', 'nexus', 'eos', 'iota', 'monero', 'litecoin', 'bitcoin',
       'bitcoin-cash'],
      dtype='object')","Index(['neblio', 'district0x', '0x', 'factom', 'syscoin', 'nem', 'ark'], dtype='object')","Index(['singulardtv', 'steem', 'primas', 'agrello-delta', 'nano', 'wings',
       'suncontract', 'populous'],
      dtype='object')","Index(['stellar', 'ardor', 'crypto-com', 'agoras-tokens', 'loopring',
       'aidos-kuneen', 'rlc'],
      dtype='object')","Index(['neo', 'ethereum', 'zcash', 'dash', 'waves', 'adx-net', 'komodo'], dtype='object')"
20171015,"Index(['waves', 'adx-net', 'iota', 'stratis', 'zcash', 'stellar', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['singulardtv', 'komodo', 'steem', 'nem', 'loopring', 'factom',
       'kyber-network', 'dash'],
      dtype='object')","Index(['nano', '0x', 'primas', 'agrello-delta', 'agoras-tokens', 'suncontract',
       'rlc', 'wings'],
      dtype='object')","Index(['ark', 'eos', 'syscoin', 'populous', 'nexus', 'vibe', 'cvcoin',
       'neblio'],
      dtype='object')","Index(['bitcoin', 'litecoin', 'ethereum', 'cardano', 'district0x', 'monero',
       'ardor', 'crypto-com'],
      dtype='object')"
20171102,"Index(['waves', 'monero', 'stellar', 'neo', 'dash', 'stratis', 'crypto-com',
       'litecoin', 'ethereum'],
      dtype='object')","Index(['kyber-network', 'ark', 'factom', 'adx-net', 'district0x', 'cardano',
       'nem', 'iota'],
      dtype='object')","Index(['populous', 'neblio', 'ardor', 'suncontract', 'nexus', 'enigma',
       'steem', '0x'],
      dtype='object')","Index(['agrello-delta', 'cvcoin', 'agoras-tokens', 'vibe', 'singulardtv',
       'nano', 'komodo', 'wings'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'eos', 'zcash', 'loopring', 'rlc', 'syscoin',
       'primas'],
      dtype='object')"
20171120,"Index(['cardano', 'factom', 'nem', 'ripio-credit-network', 'litecoin',
       'monero', 'zcash', 'dash', 'ethereum', 'bitcoin-cash'],
      dtype='object')","Index(['enigma', 'streamr-datacoin', 'singulardtv', '0x', 'crypto-com',
       'kyber-network', 'syscoin', 'ark', 'stratis'],
      dtype='object')","Index(['adx-net', 'komodo', 'ardor', 'rlc', 'waves', 'neblio', 'stellar',
       'red-pulse', 'steem'],
      dtype='object')","Index(['cvcoin', 'agoras-tokens', 'nexus', 'cryptonex', 'vibe', 'primas',
       'nano', 'district0x', 'agrello-delta'],
      dtype='object')","Index(['bitcoin', 'neo', 'power-ledger', 'eos', 'iota', 'loopring', 'wings',
       'suncontract', 'populous'],
      dtype='object')"
20171208,"Index(['factom', 'neo', 'quantstamp', 'power-ledger', 'cardano', 'zcash',
       'litecoin', 'dash', 'bitcoin-cash', 'ethereum'],
      dtype='object')","Index(['cvcoin', 'vibe', 'adx-net', 'wings', 'red-pulse', 'nem', 'loopring',
       'ripio-credit-network', 'agrello-delta', 'enigma'],
      dtype='object')","Index(['populous', 'time-new-bank', 'rlc', 'nexus', 'district0x',
       'suncontract', 'neblio', 'cryptonex', 'primas'],
      dtype='object')","Index(['steem', 'streamr-datacoin', 'ardor', 'kyber-network', 'syscoin',
       'nano', 'singulardtv', 'komodo', 'ark', '0x'],
      dtype='object')","Index(['bitcoin', 'iota', 'monero', 'stellar', 'crypto-com', 'eos',
       'agoras-tokens', 'stratis', 'waves'],
      dtype='object')"
20171226,"Index(['streamr-datacoin', 'kyber-network', 'power-ledger', 'zcash', 'neo',
       'cardano', 'stellar', 'ethereum', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['vibe', 'cvcoin', 'primas', 'cryptonex', 'nexus', 'populous',
       'loopring', 'waves', 'monero', 'qash'],
      dtype='object')","Index(['ark', 'time-new-bank', 'agrello-delta', 'neblio', 'steem', 'wings',
       'rlc', 'red-pulse', 'quantstamp', 'suncontract'],
      dtype='object')","Index(['nem', 'adx-net', 'crypto-com', 'factom', 'nano', 'agoras-tokens', '0x',
       'syscoin', 'district0x', 'singulardtv'],
      dtype='object')","Index(['bitcoin-cash', 'eos', 'enigma', 'stratis', 'dash', 'iota',
       'ripio-credit-network', 'komodo', 'ardor'],
      dtype='object')"
20180113,"Index(['singulardtv', 'dynamic-trading-rights', 'ardor', 'ormeus-coin',
       'agoras-tokens', 'cvcoin', 'cryptonex', 'primas', 'dash', 'nexus',
       'nano', 'bitcoin'],
      dtype='object')","Index(['factom', 'crypto-com', 'populous', 'komodo', 'suncontract', 'nem',
       'sirin-labs-token', 'syscoin', 'streamr-datacoin', 'waves', 'steem'],
      dtype='object')","Index(['time-new-bank', 'ark', 'district0x', 'iota', 'qash', 'power-ledger',
       'red-pulse', 'nuls', 'wings', 'ripio-credit-network', 'adx-net'],
      dtype='object')","Index(['stellar', 'stratis', 'cardano', 'nebulas-token', 'monero', 'wax',
       'kyber-network', 'quantstamp', 'agrello-delta', 'enigma', 'gifto'],
      dtype='object')","Index(['ethereum', 'vibe', 'eos', 'neblio', 'bitcoin-cash', 'litecoin', 'neo',
       'rlc', 'zcash', 'loopring', '0x'],
      dtype='object')"
20180131,"Index(['ardor', 'power-ledger', 'sirin-labs-token', 'litecoin', 'monero',
       'wax', 'zcash', 'dash', 'time-new-bank', 'eos', 'bitcoin-cash',
       'bitcoin'],
      dtype='object')","Index(['wings', 'waves', 'factom', 'qlink', 'qash', 'enigma', 'adx-net',
       'neblio', 'gifto', 'quantstamp', 'vibe', 'iota'],
      dtype='object')","Index(['cryptonex', 'cvcoin', 'dynamic-trading-rights', 'nuls', 'ormeus-coin',
       'agrello-delta', 'crypto-com', 'streamr-datacoin', 'syscoin', 'maker',
       'primas', 'red-pulse'],
      dtype='object')","Index(['agoras-tokens', 'bibox-token', 'high-performance-blockchain', 'komodo',
       'ripio-credit-network', 'ark', 'singulardtv', 'suncontract', 'loopring',
       'nexus', 'rlc', 'district0x'],
      dtype='object')","Index(['ethereum', 'neo', 'stellar', 'steem', 'nem', 'cardano', 'stratis',
       'nebulas-token', 'nano', '0x', 'populous', 'kyber-network'],
      dtype='object')"
20180218,"Index(['dash', 'ardor', 'adx-net', 'kyber-network', 'steem', 'nano', '0x',
       'sirin-labs-token', 'nem', 'zcash', 'eos', 'cardano', 'ethereum'],
      dtype='object')","Index(['maker', 'ripio-credit-network', 'suncontract', 'singularitynet', 'rlc',
       'time-new-bank', 'singulardtv', 'ormeus-coin', 'nebulas-token', 'nexus',
       'iota', 'power-ledger', 'ignis'],
      dtype='object')","Index(['all-sports', 'wings', 'streamr-datacoin', 'qlink', 'qash',
       'agoras-tokens', 'coinmeet', 'cvcoin', 'cryptonex',
       'dynamic-trading-rights', 'loopring', 'primas',
       'high-performance-blockchain'],
      dtype='object')","Index(['agrello-delta', 'populous', 'komodo', 'vibe', 'stratis', 'enigma',
       'district0x', 'nuls', 'factom', 'ark', 'quantstamp', 'crypto-com',
       'syscoin'],
      dtype='object')","Index(['bitcoin', 'litecoin', 'gifto', 'bitcoin-cash', 'wax', 'red-pulse',
       'neblio', 'monero', 'neo', 'stellar', 'waves', 'bibox-token'],
      dtype='object')"
