,Port1,Port2,Port3,Port4,Port5
20170915,"Index(['wings', 'aidos-kuneen', 'populous', 'suncontract', 'nano',
       'agoras-tokens', 'cvcoin'],
      dtype='object')","Index(['steem', 'nem', 'factom', 'ardor', 'waves', 'stellar', 'rlc'], dtype='object')","Index(['0x', 'dash', 'zcash', 'singulardtv', 'nexus', 'stratis', 'district0x'], dtype='object')","Index(['iota', 'ark', 'syscoin', 'eos', 'monero', 'adx-net', 'ethereum'], dtype='object')","Index(['neo', 'bitcoin', 'litecoin', 'bitcoin-cash', 'komodo', 'primas',
       'crypto-com'],
      dtype='object')"
20170921,"Index(['steem', 'factom', 'ardor', 'nano', 'populous', 'suncontract',
       'agoras-tokens'],
      dtype='object')","Index(['stellar', 'loopring', 'district0x', 'wings', 'nexus', 'waves', 'rlc'], dtype='object')","Index(['crypto-com', 'zcash', 'nem', 'stratis', 'singulardtv', '0x',
       'adx-net'],
      dtype='object')","Index(['ethereum', 'monero', 'dash', 'iota', 'syscoin', 'eos', 'komodo'], dtype='object')","Index(['bitcoin-cash', 'litecoin', 'bitcoin', 'primas', 'neo', 'ark'], dtype='object')"
20170927,"Index(['nano', 'agoras-tokens', 'populous', 'suncontract', 'steem', 'rlc',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['singulardtv', 'wings', 'neblio', 'loopring', 'factom', 'ardor', '0x'], dtype='object')","Index(['eos', 'stratis', 'nexus', 'nem', 'komodo', 'stellar', 'district0x'], dtype='object')","Index(['ark', 'monero', 'iota', 'waves', 'crypto-com', 'adx-net', 'syscoin'], dtype='object')","Index(['bitcoin-cash', 'neo', 'bitcoin', 'litecoin', 'ethereum', 'dash',
       'zcash'],
      dtype='object')"
20171003,"Index(['singulardtv', 'neblio', 'suncontract', 'agoras-tokens', 'nano',
       'primas', 'wings', 'rlc'],
      dtype='object')","Index(['stellar', 'nem', 'syscoin', '0x', 'agrello-delta', 'factom',
       'populous'],
      dtype='object')","Index(['waves', 'stratis', 'nexus', 'monero', 'komodo', 'ark', 'district0x',
       'aidos-kuneen'],
      dtype='object')","Index(['dash', 'loopring', 'litecoin', 'steem', 'ardor', 'crypto-com', 'iota'], dtype='object')","Index(['neo', 'bitcoin-cash', 'zcash', 'adx-net', 'bitcoin', 'eos',
       'ethereum'],
      dtype='object')"
20171009,"Index(['wings', 'populous', 'agrello-delta', 'nano', 'primas', 'suncontract',
       'agoras-tokens', 'cvcoin'],
      dtype='object')","Index(['nem', 'komodo', '0x', 'factom', 'singulardtv', 'nexus', 'syscoin',
       'rlc'],
      dtype='object')","Index(['waves', 'stratis', 'litecoin', 'vibe', 'ark', 'monero', 'neblio',
       'district0x'],
      dtype='object')","Index(['aidos-kuneen', 'ethereum', 'loopring', 'steem', 'iota', 'dash',
       'ardor', 'crypto-com'],
      dtype='object')","Index(['neo', 'bitcoin', 'adx-net', 'zcash', 'bitcoin-cash', 'stellar',
       'kyber-network', 'eos'],
      dtype='object')"
20171015,"Index(['nexus', 'populous', 'suncontract', 'cvcoin', 'nano', 'agoras-tokens',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['0x', 'factom', 'komodo', 'wings', 'vibe', 'rlc', 'singulardtv',
       'steem'],
      dtype='object')","Index(['waves', 'kyber-network', 'ark', 'eos', 'ardor', 'neblio', 'nem',
       'syscoin'],
      dtype='object')","Index(['adx-net', 'iota', 'crypto-com', 'zcash', 'stratis', 'dash', 'loopring',
       'monero'],
      dtype='object')","Index(['bitcoin', 'litecoin', 'bitcoin-cash', 'stellar', 'ethereum', 'neo',
       'district0x'],
      dtype='object')"
20171021,"Index(['wings', 'nexus', 'suncontract', 'populous', 'cvcoin', 'rlc',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['loopring', 'komodo', '0x', 'factom', 'nano', 'singulardtv', 'vibe',
       'steem'],
      dtype='object')","Index(['kyber-network', 'dash', 'neblio', 'eos', 'ark', 'ardor', 'nem',
       'agoras-tokens'],
      dtype='object')","Index(['crypto-com', 'iota', 'stratis', 'adx-net', 'waves', 'monero',
       'syscoin', 'zcash'],
      dtype='object')","Index(['stellar', 'bitcoin', 'bitcoin-cash', 'litecoin', 'ethereum', 'neo',
       'district0x', 'cardano'],
      dtype='object')"
20171027,"Index(['nexus', 'loopring', 'steem', 'cvcoin', 'wings', 'vibe', 'primas',
       'agrello-delta'],
      dtype='object')","Index(['0x', 'nano', 'kyber-network', 'eos', 'suncontract', 'factom', 'rlc',
       'populous'],
      dtype='object')","Index(['monero', 'agoras-tokens', 'waves', 'ark', 'nem', 'ardor',
       'singulardtv', 'komodo'],
      dtype='object')","Index(['iota', 'adx-net', 'crypto-com', 'zcash', 'cardano', 'dash', 'neblio',
       'syscoin'],
      dtype='object')","Index(['stellar', 'bitcoin-cash', 'bitcoin', 'district0x', 'litecoin',
       'stratis', 'neo', 'ethereum'],
      dtype='object')"
20171102,"Index(['loopring', 'ardor', 'wings', 'nano', 'vibe', 'cvcoin', 'agoras-tokens',
       'primas', 'agrello-delta'],
      dtype='object')","Index(['rlc', 'suncontract', 'kyber-network', 'populous', '0x', 'nexus',
       'enigma', 'steem'],
      dtype='object')","Index(['syscoin', 'ark', 'monero', 'nem', 'factom', 'komodo', 'singulardtv',
       'neblio'],
      dtype='object')","Index(['zcash', 'neo', 'iota', 'litecoin', 'cardano', 'adx-net', 'dash',
       'waves'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'stellar', 'eos', 'ethereum', 'stratis',
       'crypto-com', 'district0x'],
      dtype='object')"
20171108,"Index(['suncontract', 'nexus', 'enigma', 'wings', 'nano', 'primas', 'vibe',
       'agrello-delta', 'agoras-tokens'],
      dtype='object')","Index(['rlc', '0x', 'ardor', 'loopring', 'neblio', 'kyber-network', 'populous',
       'steem'],
      dtype='object')","Index(['iota', 'syscoin', 'ark', 'district0x', 'nem', 'adx-net', 'komodo',
       'cvcoin'],
      dtype='object')","Index(['neo', 'stratis', 'dash', 'singulardtv', 'stellar', 'cardano', 'factom',
       'waves'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'ethereum', 'eos', 'monero', 'litecoin',
       'crypto-com', 'zcash'],
      dtype='object')"
