,Port1,Port2,Port3,Port4,Port5
20170919,"Index(['0x', 'stellar', 'eos', 'suncontract', 'nano', 'district0x', 'primas'], dtype='object')","Index(['stratis', 'monero', 'neo', 'litecoin', 'adx-net', 'zcash', 'factom'], dtype='object')","Index(['steem', 'crypto-com', 'ethereum', 'waves', 'iota', 'nem'], dtype='object')","Index(['dash', 'bitcoin', 'populous', 'ardor', 'rlc', 'bitcoin-cash', 'wings'], dtype='object')","Index(['komodo', 'ark', 'singulardtv', 'nexus', 'syscoin', 'agoras-tokens'], dtype='object')"
20171007,"Index(['syscoin', 'ark', 'crypto-com', 'stratis', 'nano', 'bitcoin-cash',
       'agrello-delta', 'nexus'],
      dtype='object')","Index(['singulardtv', 'eos', 'iota', 'nem', 'agoras-tokens', 'wings',
       'suncontract'],
      dtype='object')","Index(['litecoin', '0x', 'komodo', 'factom', 'dash', 'populous', 'monero'], dtype='object')","Index(['waves', 'district0x', 'bitcoin', 'steem', 'ethereum', 'rlc', 'primas'], dtype='object')","Index(['loopring', 'adx-net', 'neblio', 'ardor', 'neo', 'stellar', 'zcash'], dtype='object')"
20171025,"Index(['singulardtv', 'steem', 'wings', 'agrello-delta', 'waves', 'loopring',
       'kyber-network', 'vibe'],
      dtype='object')","Index(['adx-net', 'eos', 'primas', 'factom', 'suncontract', 'zcash', 'iota',
       'neo'],
      dtype='object')","Index(['nem', 'agoras-tokens', 'monero', 'ethereum', 'dash', 'nexus', 'komodo',
       'bitcoin-cash'],
      dtype='object')","Index(['nano', 'ark', 'crypto-com', '0x', 'ardor', 'litecoin', 'rlc',
       'stratis'],
      dtype='object')","Index(['neblio', 'stellar', 'district0x', 'syscoin', 'cvcoin', 'populous',
       'cardano', 'bitcoin'],
      dtype='object')"
20171112,"Index(['nem', 'steem', 'wings', 'nexus', 'neblio', 'crypto-com', 'district0x',
       'stratis', 'cvcoin'],
      dtype='object')","Index(['cardano', 'suncontract', '0x', 'syscoin', 'enigma', 'vibe', 'stellar',
       'adx-net'],
      dtype='object')","Index(['litecoin', 'nano', 'ardor', 'kyber-network', 'ethereum',
       'agoras-tokens', 'neo', 'singulardtv'],
      dtype='object')","Index(['dash', 'zcash', 'ark', 'waves', 'komodo', 'loopring', 'bitcoin',
       'rlc'],
      dtype='object')","Index(['bitcoin-cash', 'eos', 'populous', 'primas', 'iota', 'monero',
       'agrello-delta', 'factom'],
      dtype='object')"
20171130,"Index(['zcash', 'rlc', '0x', 'kyber-network', 'ripio-credit-network',
       'bitcoin-cash', 'singulardtv', 'red-pulse', 'primas', 'neblio'],
      dtype='object')","Index(['enigma', 'factom', 'nem', 'vibe', 'neo', 'district0x', 'steem', 'ark',
       'crypto-com'],
      dtype='object')","Index(['loopring', 'wings', 'monero', 'nexus', 'komodo', 'agrello-delta',
       'syscoin', 'dash', 'adx-net'],
      dtype='object')","Index(['agoras-tokens', 'bitcoin', 'nano', 'ardor', 'populous', 'litecoin',
       'streamr-datacoin', 'waves', 'ethereum'],
      dtype='object')","Index(['cardano', 'power-ledger', 'suncontract', 'eos', 'cryptonex', 'stellar',
       'iota', 'cvcoin', 'stratis'],
      dtype='object')"
20171218,"Index(['agrello-delta', 'adx-net', 'dash', 'neblio', 'bitcoin-cash', 'enigma',
       'vibe', 'cvcoin', 'power-ledger', 'singulardtv'],
      dtype='object')","Index(['ripio-credit-network', 'komodo', 'wings', 'loopring', 'zcash',
       'suncontract', 'factom', 'rlc', 'quantstamp', 'ethereum'],
      dtype='object')","Index(['primas', 'kyber-network', 'stratis', 'neo', 'district0x', 'monero',
       'ark', 'bitcoin', 'syscoin'],
      dtype='object')","Index(['eos', 'red-pulse', 'waves', 'crypto-com', 'nexus', 'streamr-datacoin',
       '0x', 'cryptonex', 'steem', 'agoras-tokens'],
      dtype='object')","Index(['nano', 'cardano', 'populous', 'time-new-bank', 'stellar', 'litecoin',
       'ardor', 'nem', 'iota'],
      dtype='object')"
20180105,"Index(['ark', 'zcash', 'populous', 'iota', 'crypto-com', 'cryptonex',
       'bitcoin', 'waves', 'cvcoin', 'litecoin'],
      dtype='object')","Index(['eos', 'syscoin', 'agoras-tokens', 'kyber-network', 'suncontract',
       'bitcoin-cash', 'streamr-datacoin', 'monero', 'qash', 'dash'],
      dtype='object')","Index(['adx-net', 'factom', 'ripio-credit-network', 'ardor', 'primas', 'wings',
       'power-ledger', 'neo', 'stratis', 'ethereum'],
      dtype='object')","Index(['steem', 'cardano', '0x', 'nexus', 'singulardtv', 'nem',
       'time-new-bank', 'loopring', 'neblio', 'komodo'],
      dtype='object')","Index(['nano', 'vibe', 'enigma', 'red-pulse', 'agrello-delta', 'stellar',
       'quantstamp', 'district0x', 'rlc'],
      dtype='object')"
20180123,"Index(['iota', 'streamr-datacoin', 'bitcoin-cash', 'bitcoin', 'nem',
       'singulardtv', 'cardano', 'primas', 'district0x', 'time-new-bank',
       'nano', 'nexus'],
      dtype='object')","Index(['komodo', 'stellar', 'litecoin', 'factom', 'power-ledger', 'crypto-com',
       'waves', 'ripio-credit-network', 'dash', 'red-pulse', 'ardor'],
      dtype='object')","Index(['agrello-delta', 'nuls', 'agoras-tokens', 'enigma', 'ark', 'stratis',
       'wings', 'zcash', 'steem', 'gifto', 'adx-net'],
      dtype='object')","Index(['ormeus-coin', 'kyber-network', 'populous', 'ethereum', 'loopring',
       'syscoin', 'wax', 'rlc', 'qash', 'quantstamp', 'monero'],
      dtype='object')","Index(['neblio', 'vibe', 'sirin-labs-token', 'cvcoin',
       'dynamic-trading-rights', '0x', 'nebulas-token', 'neo', 'suncontract',
       'eos', 'cryptonex'],
      dtype='object')"
20180210,"Index(['singulardtv', 'rlc', 'district0x', 'streamr-datacoin', 'cvcoin',
       'time-new-bank', 'ardor', 'vibe', 'agrello-delta', 'primas', 'wax',
       'sirin-labs-token'],
      dtype='object')","Index(['populous', 'wings', 'adx-net', 'ripio-credit-network', 'stratis',
       'qlink', 'neblio', 'red-pulse', 'gifto', 'nexus', 'nem', 'factom'],
      dtype='object')","Index(['maker', '0x', 'ark', 'ormeus-coin', 'nano', 'komodo', 'power-ledger',
       'nuls', 'loopring', 'cardano', 'qash', 'crypto-com'],
      dtype='object')","Index(['bibox-token', 'stellar', 'bitcoin-cash', 'bitcoin', 'cryptonex',
       'iota', 'quantstamp', 'suncontract', 'enigma', 'eos',
       'dynamic-trading-rights', 'waves'],
      dtype='object')","Index(['agoras-tokens', 'high-performance-blockchain', 'zcash', 'steem',
       'kyber-network', 'neo', 'nebulas-token', 'litecoin', 'ethereum',
       'syscoin', 'monero', 'dash'],
      dtype='object')"
20180228,"Index(['ormeus-coin', 'singulardtv', 'steem', 'ardor', 'power-ledger',
       'dynamic-trading-rights', 'coinmeet', 'time-new-bank', 'nem',
       'all-sports', 'kyber-network', 'nexus', 'sirin-labs-token'],
      dtype='object')","Index(['0x', 'komodo', 'singularitynet', 'bibox-token', 'stellar', 'cvcoin',
       'wax', 'zcash', 'populous', 'suncontract', 'cardano',
       'ripio-credit-network', 'ignis'],
      dtype='object')","Index(['dash', 'district0x', 'adx-net', 'qash', 'high-performance-blockchain',
       'vibe', 'eos', 'loopring', 'quantstamp', 'ark', 'enigma', 'primas'],
      dtype='object')","Index(['waves', 'cryptonex', 'crypto-com', 'rlc', 'nuls', 'iota',
       'streamr-datacoin', 'ethereum', 'nebulas-token', 'stratis',
       'bitcoin-cash', 'maker', 'qlink'],
      dtype='object')","Index(['nano', 'gifto', 'litecoin', 'neo', 'factom', 'agrello-delta',
       'bitcoin', 'syscoin', 'monero', 'neblio', 'wings', 'red-pulse'],
      dtype='object')"
