,Port1,Port2,Port3,Port4,Port5
20171001,"Index(['factom', '0x', 'eos', 'district0x', 'primas', 'suncontract', 'nano'], dtype='object')","Index(['wings', 'monero', 'litecoin', 'stratis', 'nexus', 'stellar',
       'populous'],
      dtype='object')","Index(['ethereum', 'iota', 'crypto-com', 'rlc', 'nem', 'bitcoin-cash',
       'cvcoin'],
      dtype='object')","Index(['zcash', 'agoras-tokens', 'bitcoin', 'aidos-kuneen', 'waves', 'dash',
       'syscoin'],
      dtype='object')","Index(['komodo', 'ardor', 'adx-net', 'ark', 'singulardtv', 'neo', 'steem'], dtype='object')"
20171004,"Index(['district0x', 'stellar', 'factom', 'suncontract', 'stratis', 'populous',
       'nano', 'nexus'],
      dtype='object')","Index(['nem', 'litecoin', 'wings', 'bitcoin-cash', 'crypto-com', 'cvcoin',
       'eos'],
      dtype='object')","Index(['ethereum', 'dash', 'komodo', 'rlc', 'monero', 'syscoin', '0x'], dtype='object')","Index(['ark', 'agoras-tokens', 'zcash', 'steem', 'bitcoin', 'waves', 'iota'], dtype='object')","Index(['loopring', 'adx-net', 'neo', 'ardor', 'singulardtv', 'primas',
       'aidos-kuneen'],
      dtype='object')"
20171007,"Index(['nano', 'stratis', 'suncontract', 'bitcoin-cash', 'komodo', 'syscoin',
       'nexus'],
      dtype='object')","Index(['populous', 'crypto-com', 'litecoin', '0x', 'district0x', 'factom',
       'eos'],
      dtype='object')","Index(['cvcoin', 'agoras-tokens', 'iota', 'steem', 'monero', 'wings', 'nem'], dtype='object')","Index(['waves', 'ark', 'rlc', 'bitcoin', 'ethereum', 'stellar', 'dash'], dtype='object')","Index(['loopring', 'adx-net', 'primas', 'ardor', 'singulardtv', 'neo',
       'zcash'],
      dtype='object')"
20171010,"Index(['factom', 'suncontract', 'district0x', 'bitcoin-cash', 'stratis',
       'syscoin', 'nexus', 'agrello-delta'],
      dtype='object')","Index(['populous', 'monero', 'nem', '0x', 'eos', 'komodo', 'nano'], dtype='object')","Index(['singulardtv', 'litecoin', 'cvcoin', 'steem', 'ark', 'agoras-tokens',
       'wings'],
      dtype='object')","Index(['ethereum', 'rlc', 'primas', 'iota', 'waves', 'crypto-com', 'dash'], dtype='object')","Index(['loopring', 'ardor', 'neo', 'adx-net', 'bitcoin', 'stellar', 'zcash'], dtype='object')"
20171013,"Index(['monero', 'ark', 'iota', 'syscoin', 'stratis', 'bitcoin-cash', 'nexus',
       'agrello-delta'],
      dtype='object')","Index(['steem', 'agoras-tokens', '0x', 'suncontract', 'eos', 'factom',
       'cvcoin'],
      dtype='object')","Index(['dash', 'populous', 'singulardtv', 'nano', 'waves', 'district0x',
       'wings', 'nem'],
      dtype='object')","Index(['zcash', 'ethereum', 'komodo', 'crypto-com', 'primas', 'litecoin',
       'rlc'],
      dtype='object')","Index(['loopring', 'ardor', 'neblio', 'adx-net', 'neo', 'bitcoin', 'stellar'], dtype='object')"
20171016,"Index(['singulardtv', 'wings', 'ark', 'suncontract', 'bitcoin-cash', 'stratis',
       'nexus', 'agrello-delta'],
      dtype='object')","Index(['komodo', 'steem', 'factom', '0x', 'eos', 'iota', 'syscoin'], dtype='object')","Index(['district0x', 'rlc', 'dash', 'crypto-com', 'agoras-tokens', 'waves',
       'nem', 'monero'],
      dtype='object')","Index(['ethereum', 'litecoin', 'zcash', 'neo', 'cvcoin', 'primas', 'populous'], dtype='object')","Index(['loopring', 'ardor', 'neblio', 'nano', 'stellar', 'bitcoin', 'adx-net'], dtype='object')"
20171019,"Index(['eos', 'iota', 'suncontract', 'wings', 'stratis', 'bitcoin-cash',
       'nexus', 'agrello-delta'],
      dtype='object')","Index(['dash', 'monero', 'crypto-com', 'factom', 'rlc', 'ark', 'singulardtv'], dtype='object')","Index(['agoras-tokens', 'komodo', 'district0x', 'steem', 'waves', 'primas',
       'nem'],
      dtype='object')","Index(['zcash', 'litecoin', 'ethereum', 'syscoin', 'populous', '0x', 'nano'], dtype='object')","Index(['neblio', 'loopring', 'stellar', 'ardor', 'neo', 'adx-net', 'bitcoin'], dtype='object')"
20171022,"Index(['bitcoin-cash', 'wings', 'iota', 'stratis', 'singulardtv',
       'suncontract', 'agrello-delta', 'nexus'],
      dtype='object')","Index(['steem', 'rlc', 'waves', 'eos', 'agoras-tokens', 'ark', 'dash'], dtype='object')","Index(['0x', 'primas', 'zcash', 'crypto-com', 'komodo', 'nem', 'monero',
       'factom'],
      dtype='object')","Index(['neo', 'nano', 'cvcoin', 'litecoin', 'populous', 'syscoin', 'ethereum'], dtype='object')","Index(['loopring', 'stellar', 'neblio', 'ardor', 'bitcoin', 'adx-net',
       'district0x'],
      dtype='object')"
20171025,"Index(['iota', 'singulardtv', 'bitcoin-cash', 'wings', 'suncontract', 'nexus',
       'agrello-delta', 'kyber-network'],
      dtype='object')","Index(['nem', 'komodo', 'eos', 'ark', 'steem', 'waves', 'dash',
       'agoras-tokens'],
      dtype='object')","Index(['cvcoin', 'rlc', 'primas', 'monero', 'crypto-com', 'stratis', 'zcash',
       'factom'],
      dtype='object')","Index(['bitcoin', 'syscoin', 'populous', 'nano', 'neo', 'litecoin', '0x',
       'ethereum'],
      dtype='object')","Index(['neblio', 'vibe', 'stellar', 'loopring', 'district0x', 'adx-net',
       'ardor'],
      dtype='object')"
20171028,"Index(['waves', 'iota', 'steem', 'eos', 'nexus', 'vibe', 'kyber-network',
       'agrello-delta'],
      dtype='object')","Index(['nem', 'dash', 'bitcoin-cash', 'agoras-tokens', 'factom', 'zcash',
       'crypto-com', 'wings'],
      dtype='object')","Index(['cvcoin', 'stratis', 'primas', 'singulardtv', 'monero', '0x', 'komodo',
       'ark'],
      dtype='object')","Index(['suncontract', 'ardor', 'rlc', 'district0x', 'litecoin', 'ethereum',
       'neo', 'adx-net'],
      dtype='object')","Index(['neblio', 'stellar', 'loopring', 'populous', 'syscoin', 'bitcoin',
       'nano'],
      dtype='object')"
