,Port1,Port2,Port3,Port4,Port5
20180405,"Index(['all-sports', 'suncontract', 'nebulas-token', 'zcash', 'district0x',
       'iota', 'neo', 'nuls', 'stellar', 'monero', 'qlink', 'mithril',
       'bitcoin-cash', 'eos', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['enigma', 'nexus', 'primas', 'ren', 'ravencoin', 'time-new-bank',
       'adx-net', 'gifto', 'coinmeet', 'kyber-network', 'nano', 'qash', 'ruff',
       'truechain', 'neblio'],
      dtype='object')","Index(['loom-network', 'cryptonex', 'maker', 'polymath-network',
       'matrix-ai-network', 'agrello-delta', 'bottos', 'singularitynet',
       'dynamic-trading-rights', 'atn', 'crpt', 'bibox-token',
       'streamr-datacoin', 'ormeus-coin', 'red-pulse', 'wings'],
      dtype='object')","Index(['wax', 'waves', 'komodo', 'quantstamp', '0x', 'loopring', 'fusion',
       'singulardtv', 'populous', 'syscoin', 'vibe', 'rlc', 'factom',
       'credits', 'cvcoin'],
      dtype='object')","Index(['ardor', 'steem', 'ontology', 'power-ledger', 'nem', 'litecoin',
       'sirin-labs-token', 'crypto-com', 'cardano',
       'high-performance-blockchain', 'dash', 'ignis', 'ripio-credit-network',
       'ark', 'stratis'],
      dtype='object')"
20180415,"Index(['nexus', 'wings', 'qash', 'quantstamp', 'fusion', 'nano', 'ruff',
       'singulardtv', 'monero', 'suncontract', 'nebulas-token', 'neo',
       'bitcoin-cash', 'ontology', 'litecoin', 'eos'],
      dtype='object')","Index(['cryptonex', 'singularitynet', 'streamr-datacoin', 'maker', 'nuls',
       'matrix-ai-network', 'cvcoin', 'dynamic-trading-rights', 'atn',
       'bottos', 'credits', 'sirin-labs-token', 'high-performance-blockchain',
       'ravencoin', 'ardor', 'mixin'],
      dtype='object')","Index(['populous', 'gifto', 'qlink', 'ren', 'district0x', 'ormeus-coin',
       'stratis', 'vibe', 'primas', 'all-sports', 'factom', 'ark',
       'agrello-delta', 'crpt', 'rlc'],
      dtype='object')","Index(['crypto-com', 'time-new-bank', 'syscoin', 'educare', 'polymath-network',
       '0x', 'wax', 'neblio', 'bibox-token', 'adx-net', 'enigma',
       'kyber-network', 'dash', 'ignis', 'ripio-credit-network',
       'loom-network'],
      dtype='object')","Index(['mithril', 'cardano', 'ethereum', 'bitcoin', 'steem', 'iota', 'nem',
       'loopring', 'stellar', 'zcash', 'waves', 'power-ledger', 'truechain',
       'komodo', 'red-pulse'],
      dtype='object')"
20180425,"Index(['loom-network', 'nano', 'ren', 'factom', 'enigma', 'nem', 'ormeus-coin',
       'populous', 'crypto-com', 'neo', 'stellar', 'mithril', 'cardano',
       'litecoin', 'adx-net', 'bitcoin'],
      dtype='object')","Index(['dynamic-trading-rights', 'stakenet', 'nexus', 'atn', 'cvcoin', 'wings',
       'crpt', 'cryptonex', 'singularitynet', 'ravencoin', 'primas', 'wax',
       'ardor', 'ignis', 'komodo', 'fusion'],
      dtype='object')","Index(['high-performance-blockchain', 'bottos', 'ark', 'red-pulse',
       'suncontract', 'polymath-network', 'qash', 'agrello-delta', 'stratis',
       'rlc', 'matrix-ai-network', 'educare', 'singulardtv', 'steem',
       'streamr-datacoin', 'maker'],
      dtype='object')","Index(['nuls', 'gifto', 'ripio-credit-network', 'mixin', 'qlink', 'quantstamp',
       '0x', 'all-sports', 'time-new-bank', 'credits', 'neblio', 'syscoin',
       'iota', 'waves', 'loopring', 'vibe'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'ethereum', 'district0x', 'cortex', 'dash',
       'truechain', 'ruff', 'power-ledger', 'monero', 'sirin-labs-token',
       'zcash', 'bibox-token', 'kyber-network', 'ontology', 'nebulas-token'],
      dtype='object')"
20180505,"Index(['power-ledger', 'steem', 'neblio', 'populous', 'sirin-labs-token',
       'crypto-com', 'loopring', 'kyber-network', 'zcash', 'monero', 'stellar',
       'gifto', 'dash', 'neo', 'cardano', 'cortex', 'eos'],
      dtype='object')","Index(['stakenet', 'odem', 'nexus', 'agrello-delta', 'mixin', 'ark',
       'district0x', 'vibe', 'adx-net', 'red-pulse', 'wings', 'factom',
       'cryptonex', 'nuls', 'qash', 'qlink'],
      dtype='object')","Index(['singulardtv', 'ruff', 'nem', 'syscoin', 'time-new-bank', 'suncontract',
       'enigma', 'singularitynet', 'rlc', 'maker', 'crpt', 'ormeus-coin',
       'dynamic-trading-rights', 'streamr-datacoin', 'atn', 'cvcoin'],
      dtype='object')","Index(['polymath-network', 'waves', 'primas', 'quantstamp', 'stratis',
       'fusion', 'wax', 'ripio-credit-network', 'matrix-ai-network', 'ren',
       'bibox-token', 'komodo', 'ravencoin', 'credits', 'ardor',
       'high-performance-blockchain'],
      dtype='object')","Index(['ethereum', 'truechain', 'bitcoin-cash', 'bitcoin', 'loom-network',
       'ontology', 'litecoin', 'iota', 'mithril', '0x', 'nebulas-token',
       'bottos', 'nano', 'all-sports', 'ignis', 'educare'],
      dtype='object')"
20180515,"Index(['qash', 'singularitynet', 'credits', 'high-performance-blockchain',
       'ruff', 'suncontract', 'educare', 'nexo', 'nebulas-token', 'loopring',
       'bibox-token', 'neo', 'bitcoin-cash', '0x', 'mithril', 'bitcoin',
       'eos'],
      dtype='object')","Index(['gifto', 'wings', 'bottos', 'atn', 'dynamic-trading-rights', 'cvcoin',
       'odem', 'stakenet', 'ormeus-coin', 'neblio', 'maker', 'ravencoin',
       'cryptonex', 'nexus', 'nano', 'syscoin', 'ark'],
      dtype='object')","Index(['quantstamp', 'qlink', 'crpt', 'ardor', 'loom-network', 'district0x',
       'matrix-ai-network', 'vibe', 'populous', 'iota', 'wax', 'factom',
       'red-pulse', 'bnktothefuture', 'singulardtv', 'mixin'],
      dtype='object')","Index(['monero', 'komodo', 'waves', 'steem', 'ignis', 'all-sports',
       'kyber-network', 'rlc', 'cardano', 'agrello-delta', 'time-new-bank',
       'power-ledger', 'sirin-labs-token', 'streamr-datacoin',
       'ripio-credit-network', 'stratis', 'adx-net'],
      dtype='object')","Index(['truechain', 'zcash', 'ethereum', 'stellar', 'ontology', 'litecoin',
       'crypto-com', 'cortex', 'dash', 'polymath-network', 'nem', 'nuls',
       'primas', 'enigma', 'fusion', 'ren'],
      dtype='object')"
20180525,"Index(['nano', 'crypto-com', 'matrix-ai-network', 'time-new-bank',
       'nebulas-token', 'kyber-network', 'nexo', 'neo', 'loopring', 'waves',
       'monero', 'primas', 'all-sports', 'cortex', 'cardano', 'bitcoin-cash',
       'ethereum'],
      dtype='object')","Index(['power-ledger', 'komodo', 'bottos', 'red-pulse', 'credits',
       'suncontract', 'ripio-credit-network', 'factom', 'fusion',
       'loom-network', 'nem', 'populous', 'qlink', 'neblio', 'steem', 'wings',
       'polymath-network'],
      dtype='object')","Index(['stratis', 'ignis', 'ruff', 'agrello-delta', 'rlc', 'ark', 'syscoin',
       'quantstamp', 'vibe', 'dash', 'wax', 'district0x', 'qash', 'ren',
       'iota', 'adx-net'],
      dtype='object')","Index(['singulardtv', 'high-performance-blockchain', 'nexus', 'ardor',
       'ormeus-coin', 'mixin', 'ravencoin', 'stakenet', 'cvcoin',
       'sirin-labs-token', 'odem', 'dynamic-trading-rights', 'cryptonex',
       'atn', 'mithril', 'bnktothefuture', 'maker'],
      dtype='object')","Index(['eos', 'bitcoin', '0x', 'bibox-token', 'truechain', 'litecoin', 'zcash',
       'educare', 'stellar', 'singularitynet', 'ontology', 'streamr-datacoin',
       'nuls', 'enigma', 'crpt', 'gifto'],
      dtype='object')"
20180604,"Index(['rlc', 'nuls', '0x', 'polymath-network', 'bottos', 'nano', 'waves',
       'cortex', 'litecoin', 'zcash', 'ethereum', 'iota', 'stellar',
       'all-sports', 'cardano', 'truechain', 'bitcoin'],
      dtype='object')","Index(['crpt', 'power-ledger', 'matrix-ai-network', 'cryptonex', 'ark',
       'neblio', 'ardor', 'primas', 'agrello-delta', 'wings', 'fusion',
       'enigma', 'populous', 'high-performance-blockchain', 'nexo', 'qlink'],
      dtype='object')","Index(['dynamic-trading-rights', 'maker', 'stakenet', 'red-pulse',
       'singulardtv', 'ren', 'steem', 'quantstamp', 'loom-network', 'komodo',
       'syscoin', 'wax', 'credits', 'loopring', 'ravencoin', 'adx-net',
       'stratis'],
      dtype='object')","Index(['nem', 'time-new-bank', 'bnktothefuture', 'ripio-credit-network',
       'singularitynet', 'ormeus-coin', 'nexus', 'atn', 'factom',
       'streamr-datacoin', 'suncontract', 'district0x', 'vibe', 'odem',
       'ignis', 'qash'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'bibox-token', 'ontology', 'educare',
       'kyber-network', 'cvcoin', 'nebulas-token', 'ruff', 'dash',
       'crypto-com', 'mithril', 'monero', 'gifto', 'neo', 'sirin-labs-token'],
      dtype='object')"
20180614,"Index(['gifto', 'nuls', 'high-performance-blockchain', 'cortex', 'monero',
       'nano', 'dash', 'waves', '0x', 'iota', 'ontology', 'ethereum',
       'mithril', 'bitcoin-cash', 'neo', 'litecoin', 'eos'],
      dtype='object')","Index(['streamr-datacoin', 'populous', 'quantstamp', 'matrix-ai-network',
       'stratis', 'loopring', 'primas', 'wings', 'qlink',
       'ripio-credit-network', 'polymath-network', 'kyber-network', 'neblio',
       'nexo', 'sirin-labs-token', 'nem', 'stellar'],
      dtype='object')","Index(['district0x', 'syscoin', 'cardano', 'power-ledger', 'time-new-bank',
       'adx-net', 'steem', 'ark', 'bottos', 'wax', 'bnktothefuture', 'fusion',
       'rlc', 'factom', 'nexus', 'qash'],
      dtype='object')","Index(['crypto-com', 'stakenet', 'ignis', 'crpt', 'odem', 'atn',
       'dynamic-trading-rights', 'maker', 'ravencoin', 'ruff', 'agrello-delta',
       'komodo', 'cvcoin', 'credits', 'singulardtv', 'red-pulse',
       'singularitynet'],
      dtype='object')","Index(['bitcoin', 'truechain', 'loom-network', 'bibox-token', 'all-sports',
       'nkn', 'educare', 'nebulas-token', 'zcash', 'suncontract', 'cryptonex',
       'vibe', 'ardor', 'enigma', 'ren', 'ormeus-coin'],
      dtype='object')"
20180624,"Index(['stellar', 'neo', '0x', 'nem', 'high-performance-blockchain',
       'nebulas-token', 'populous', 'cardano', 'all-sports', 'waves',
       'truechain', 'cortex', 'bibox-token', 'ontology', 'bitcoin-cash',
       'litecoin', 'eos'],
      dtype='object')","Index(['stratis', 'quantstamp', 'sirin-labs-token', 'smartshare', 'nexus',
       'bottos', 'fusion', 'nuls', 'ruff', 'qash', 'loopring', 'neblio', 'ren',
       'loom-network', 'kyber-network', 'nkn', 'gifto'],
      dtype='object')","Index(['vibe', 'ignis', 'cvcoin', 'adx-net', 'district0x', 'constellation',
       'qlink', 'singulardtv', 'crpt', 'syscoin', 'singularitynet', 'ardor',
       'agrello-delta', 'power-ledger', 'steem', 'ripio-credit-network',
       'primas'],
      dtype='object')","Index(['nexo', 'suncontract', 'mithril', 'komodo', 'matrix-ai-network',
       'cryptonex', 'polymath-network', 'ormeus-coin', 'ark', 'ravencoin',
       'maker', 'factom', 'stakenet', 'bnktothefuture',
       'dynamic-trading-rights', 'red-pulse', 'atn'],
      dtype='object')","Index(['bitcoin', 'streamr-datacoin', 'ethereum', 'monero', 'dash', 'iota',
       'nano', 'enigma', 'crypto-com', 'wax', 'time-new-bank', 'zcash', 'rlc',
       'wings', 'credits', 'odem', 'educare'],
      dtype='object')"
20180704,"Index(['stakenet', 'constellation', 'crpt', 'bottos', 'waves', 'cryptonex',
       'bnktothefuture', 'loopring', 'fusion', 'high-performance-blockchain',
       'cortex', 'nebulas-token', 'ontology', 'dash', 'bibox-token',
       'bitcoin-cash', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['adx-net', 'suncontract', 'ignis', 'maker', 'nexo', 'polymath-network',
       'dynamic-trading-rights', 'vibe', 'atn', 'mixin', 'nexus', 'cvcoin',
       'smartshare', 'odem', 'nkn', 'streamr-datacoin', 'ravencoin'],
      dtype='object')","Index(['qash', 'singulardtv', 'nano', 'agrello-delta', 'stratis', 'enigma',
       'sirin-labs-token', 'singularitynet', 'ardor', 'ren', 'ormeus-coin',
       'red-pulse', 'rlc', 'wings', 'factom', 'komodo', 'ruff'],
      dtype='object')","Index(['primas', 'monero', 'populous', 'all-sports', 'kyber-network',
       'litecoin', 'ripio-credit-network', 'loom-network', 'power-ledger',
       'nuls', 'district0x', 'quantstamp', 'qlink', 'neblio', 'ark',
       'matrix-ai-network', 'credits'],
      dtype='object')","Index(['syscoin', 'eos', 'neo', 'cardano', 'truechain', 'mithril', 'iota',
       '0x', 'nem', 'zcash', 'educare', 'gifto', 'crypto-com', 'wax',
       'stellar', 'time-new-bank', 'steem'],
      dtype='object')"
