,Port1,Port2,Port3,Port4,Port5
20180409,"Index(['iota', 'nano', 'mithril', 'all-sports', 'ormeus-coin', 'truechain',
       'neo', 'zcash', 'cardano', 'stellar', 'monero', 'qlink', 'litecoin',
       'ethereum', 'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['bottos', 'dynamic-trading-rights', 'bibox-token', 'atn', 'crpt',
       'primas', 'polymath-network', 'credits', 'ravencoin', 'waves',
       'district0x', 'ruff', 'nebulas-token', 'qash', 'nuls'],
      dtype='object')","Index(['vibe', 'syscoin', 'adx-net', 'agrello-delta', 'singulardtv',
       'matrix-ai-network', 'wings', 'streamr-datacoin', 'factom', 'cvcoin',
       'ren', 'rlc', 'maker', 'cryptonex', 'populous'],
      dtype='object')","Index(['loopring', 'enigma', 'ignis', 'stratis', 'red-pulse', 'ark',
       'time-new-bank', 'loom-network', 'komodo', 'fusion', 'kyber-network',
       'quantstamp', 'singularitynet', 'nexus', 'gifto'],
      dtype='object')","Index(['ontology', 'ardor', 'steem', 'eos', 'ripio-credit-network',
       'power-ledger', 'nem', 'high-performance-blockchain',
       'sirin-labs-token', 'suncontract', 'crypto-com', '0x', 'wax', 'dash',
       'neblio'],
      dtype='object')"
20180429,"Index(['high-performance-blockchain', 'zcash', 'nano', 'enigma', 'ormeus-coin',
       'populous', 'nem', 'educare', 'iota', 'crypto-com', 'monero', 'neo',
       'ethereum', 'litecoin', 'adx-net', 'bitcoin'],
      dtype='object')","Index(['wax', 'cryptonex', 'ravencoin', 'crpt', 'stratis', 'singularitynet',
       'streamr-datacoin', 'wings', 'primas', 'suncontract', 'ignis', 'ren',
       'komodo', 'ardor', 'qash', 'factom'],
      dtype='object')","Index(['vibe', 'bottos', 'credits', 'polymath-network', 'nexus', 'red-pulse',
       'rlc', 'singulardtv', 'agrello-delta', 'matrix-ai-network',
       'loom-network', 'maker', 'dynamic-trading-rights', 'stakenet', 'atn',
       'cvcoin'],
      dtype='object')","Index(['ruff', 'sirin-labs-token', 'power-ledger', '0x',
       'ripio-credit-network', 'mixin', 'bibox-token', 'neblio', 'syscoin',
       'quantstamp', 'qlink', 'dash', 'loopring', 'time-new-bank', 'ark',
       'fusion'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'gifto', 'cardano', 'ontology', 'mithril',
       'kyber-network', 'truechain', 'district0x', 'steem', 'all-sports',
       'nebulas-token', 'cortex', 'stellar', 'waves', 'nuls'],
      dtype='object')"
20180519,"Index(['ruff', 'iota', 'nano', 'loopring', 'nexo', 'neblio', 'nebulas-token',
       'cardano', 'kyber-network', 'gifto', 'power-ledger', 'neo', '0x',
       'mithril', 'bitcoin', 'bitcoin-cash', 'eos'],
      dtype='object')","Index(['qlink', 'odem', 'maker', 'nexus', 'cryptonex', 'ravencoin',
       'high-performance-blockchain', 'qash', 'red-pulse', 'all-sports',
       'factom', 'suncontract', 'bnktothefuture', 'wax', 'matrix-ai-network',
       'ark', 'bottos'],
      dtype='object')","Index(['adx-net', 'enigma', 'loom-network', 'ripio-credit-network', 'credits',
       'ardor', 'district0x', 'ormeus-coin', 'mixin', 'stakenet', 'cvcoin',
       'singulardtv', 'atn', 'dynamic-trading-rights', 'singularitynet',
       'wings'],
      dtype='object')","Index(['dash', 'polymath-network', 'ren', 'steem', 'fusion', 'komodo',
       'time-new-bank', 'sirin-labs-token', 'nem', 'ignis', 'nuls', 'stratis',
       'waves', 'agrello-delta', 'streamr-datacoin', 'crpt', 'vibe'],
      dtype='object')","Index(['zcash', 'truechain', 'ethereum', 'bibox-token', 'educare', 'rlc',
       'populous', 'primas', 'stellar', 'quantstamp', 'cortex', 'ontology',
       'syscoin', 'crypto-com', 'monero', 'litecoin'],
      dtype='object')"
20180608,"Index(['nexo', 'bottos', 'mithril', 'populous', 'polymath-network', 'dash',
       'neo', 'nexus', 'stellar', 'cortex', 'all-sports', 'litecoin', 'zcash',
       'iota', 'cardano', 'truechain', 'bitcoin'],
      dtype='object')","Index(['steem', 'suncontract', '0x', 'gifto', 'quantstamp', 'loopring',
       'qlink', 'ardor', 'crypto-com', 'nuls', 'rlc', 'nano', 'neblio',
       'credits', 'fusion', 'ormeus-coin', 'loom-network'],
      dtype='object')","Index(['singulardtv', 'ravencoin', 'qash', 'komodo', 'district0x', 'syscoin',
       'ripio-credit-network', 'wings', 'ark', 'primas', 'power-ledger',
       'adx-net', 'stratis', 'matrix-ai-network', 'agrello-delta', 'wax'],
      dtype='object')","Index(['time-new-bank', 'enigma', 'stakenet', 'ren', 'atn', 'factom', 'odem',
       'bnktothefuture', 'dynamic-trading-rights', 'mixin', 'maker', 'vibe',
       'red-pulse', 'ignis', 'cryptonex', 'crpt', 'nebulas-token'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'ontology', 'bibox-token', 'ethereum', 'cvcoin',
       'educare', 'singularitynet', 'kyber-network', 'streamr-datacoin',
       'waves', 'sirin-labs-token', 'nem', 'ruff',
       'high-performance-blockchain', 'monero'],
      dtype='object')"
20180628,"Index(['fusion', 'neblio', 'populous', 'gifto', 'dash', '0x', 'nem', 'stellar',
       'ren', 'cardano', 'neo', 'truechain', 'bibox-token', 'litecoin',
       'bitcoin-cash', 'ethereum', 'eos'],
      dtype='object')","Index(['steem', 'high-performance-blockchain', 'matrix-ai-network',
       'time-new-bank', 'power-ledger', 'crpt', 'quantstamp', 'smartshare',
       'primas', 'educare', 'qlink', 'stratis', 'nexus', 'nuls',
       'kyber-network', 'qash', 'polymath-network'],
      dtype='object')","Index(['stakenet', 'vibe', 'ignis', 'red-pulse', 'ravencoin', 'rlc',
       'district0x', 'singulardtv', 'wax', 'ruff', 'syscoin', 'ardor', 'nkn',
       'sirin-labs-token', 'agrello-delta', 'ripio-credit-network',
       'bnktothefuture'],
      dtype='object')","Index(['cryptonex', 'suncontract', 'adx-net', 'nano', 'loopring', 'waves',
       'wings', 'constellation', 'komodo', 'credits', 'dynamic-trading-rights',
       'maker', 'atn', 'nexo', 'singularitynet', 'factom', 'ark'],
      dtype='object')","Index(['bitcoin', 'streamr-datacoin', 'crypto-com', 'monero', 'all-sports',
       'nebulas-token', 'cortex', 'mithril', 'iota', 'enigma', 'loom-network',
       'ontology', 'cvcoin', 'zcash', 'odem', 'ormeus-coin', 'bottos'],
      dtype='object')"
20180718,"Index(['constellation', 'nem', 'streamr-datacoin', 'singularitynet',
       'ormeus-coin', 'matrix-ai-network', 'smartshare', 'all-sports',
       'educare', 'crypto-com', 'cortex', 'odem', 'nebulas-token', 'truechain',
       'ontology', 'bibox-token', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['ripio-credit-network', 'ravencoin', 'ignis', 'vibe', 'ruff', 'qlink',
       'nexus', 'time-new-bank', 'qash', 'loopring', 'ark', 'crpt',
       'cryptonex', 'pchain', 'nexo', 'ren', 'credits', 'sirin-labs-token'],
      dtype='object')","Index(['maker', 'wings', 'pundi-x', 'cvcoin', 'singulardtv', 'rlc', 'ardor',
       'dynamic-trading-rights', 'agrello-delta', 'nkn', 'factom', 'red-pulse',
       'quantstamp', 'stakenet', 'adx-net', 'fusion', 'populous'],
      dtype='object')","Index(['suncontract', 'iota', 'nano', 'nuls', 'neblio', 'enigma',
       'bnktothefuture', 'polymath-network', 'bottos', 'primas', 'atn',
       'kyber-network', 'steem', 'komodo', 'mixin', 'syscoin', 'district0x',
       'waves'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'mithril', '0x', 'power-ledger', 'gifto',
       'cardano', 'zcash', 'stellar', 'litecoin', 'neo', 'dash',
       'high-performance-blockchain', 'loom-network', 'wax', 'stratis',
       'monero'],
      dtype='object')"
20180807,"Index(['0x', 'cardano', 'loopring', 'pundi-x', 'nebulas-token', 'stratis',
       'bitcoin-cash', 'waves', 'dash', 'neo', 'polymath-network', 'gifto',
       'ontology', 'stellar', 'bibox-token', 'truechain', 'mithril',
       'bitcoin'],
      dtype='object')","Index(['cryptonex', 'ardor', 'constellation', 'loom-network', 'ruff',
       'ripio-credit-network', 'neblio', 'high-performance-blockchain',
       'cortex', 'nuls', 'nem', 'nano', 'fusion', 'matrix-ai-network',
       'crypto-com', 'power-ledger', 'kyber-network', 'zcash'],
      dtype='object')","Index(['wax', 'factom', 'streamr-datacoin', 'red-pulse', 'qlink', 'enigma',
       'suncontract', 'pchain', 'wings', 'primas', 'ark', 'sirin-labs-token',
       'rlc', 'educare', 'district0x', 'nkn', 'smartshare', 'adx-net'],
      dtype='object')","Index(['stakenet', 'ren', 'credits', 'dynamic-trading-rights', 'cvcoin',
       'maker', 'atn', 'metronome', 'singulardtv', 'vibe', 'mixin', 'ignis',
       'agrello-delta', 'qash', 'nexus', 'quantstamp', 'nexo', 'steem'],
      dtype='object')","Index(['ethereum', 'eos', 'litecoin', 'iota', 'komodo', 'populous', 'monero',
       'ormeus-coin', 'time-new-bank', 'ravencoin', 'syscoin',
       'bnktothefuture', 'all-sports', 'singularitynet', 'bottos', 'crpt',
       'odem'],
      dtype='object')"
20180827,"Index(['matrix-ai-network', '0x', 'stellar', 'populous', 'ormeus-coin',
       'cortex', 'mithril', 'all-sports', 'gifto', 'nebulas-token', 'neo',
       'cardano', 'zcash', 'bibox-token', 'truechain', 'dash', 'bitcoin-cash',
       'eos', 'ethereum'],
      dtype='object')","Index(['ardor', 'ignis', 'stakenet', 'power-ledger', 'suncontract', 'crpt',
       'ravencoin', 'nexus', 'steem', 'factom', 'bottos', 'atn',
       'bnktothefuture', 'seele', 'smartshare', 'ruff', 'nem', 'crypto-com'],
      dtype='object')","Index(['agrello-delta', 'adx-net', 'sirin-labs-token', 'wings', 'district0x',
       'syscoin', 'vibe', 'wax', 'nexo', 'odem', 'komodo',
       'dynamic-trading-rights', 'mixin', 'streamr-datacoin', 'metronome',
       'neblio', 'cvcoin', 'maker', 'singularitynet'],
      dtype='object')","Index(['cryptonex', 'ark', 'nuls', 'red-pulse', 'waves', 'singulardtv',
       'credits', 'fusion', 'loopring', 'primas', 'educare', 'constellation',
       'ripio-credit-network', 'stratis', 'qlink', 'time-new-bank', 'nkn',
       'ren'],
      dtype='object')","Index(['bitcoin', 'nano', 'vechain', 'iota', 'ontology', 'litecoin', 'pundi-x',
       'kyber-network', 'monero', 'loom-network',
       'high-performance-blockchain', 'qash', 'bhp-coin', 'polymath-network',
       'quantstamp', 'rlc', 'enigma', 'pchain'],
      dtype='object')"
20180916,"Index(['ruff', 'nuls', 'nebulas-token', 'steem', 'kyber-network', '0x',
       'power-ledger', 'thingschain', 'pundi-x', 'nem', 'gifto', 'vechain',
       'mithril', 'cortex', 'neo', 'ontology', 'zcash', 'cardano',
       'bitcoin-cash'],
      dtype='object')","Index(['stratis', 'neblio', 'metronome', 'nexo', 'stakenet', 'syscoin', 'odem',
       'ignis', 'quantstamp', 'wax', 'streamr-datacoin', 'smartshare',
       'ravencoin', 'komodo', 'polymath-network', 'time-new-bank', 'enigma',
       'educare', 'fusion'],
      dtype='object')","Index(['primas', 'nkn', 'singulardtv', 'bnktothefuture', 'ark', 'bhp-coin',
       'constellation', 'singularitynet', 'ardor', 'rlc', 'red-pulse',
       'suncontract', 'dynamic-trading-rights', 'stasis-euro', 'cvcoin',
       'mixin', 'agrello-delta', 'factom', 'qash'],
      dtype='object')","Index(['loom-network', 'ormeus-coin', 'loopring', 'adx-net',
       'ripio-credit-network', 'credits', 'pchain', 'populous',
       'matrix-ai-network', 'maker', 'all-sports', 'atn', 'qlink', 'ren',
       'district0x', 'sirin-labs-token', 'nexus', 'cryptonex', 'wings'],
      dtype='object')","Index(['ethereum', 'eos', 'bitcoin', 'litecoin', 'waves', 'nano', 'dash',
       'monero', 'vibe', 'bibox-token', 'stellar', 'iota', 'truechain', 'crpt',
       'bottos', 'crypto-com', 'high-performance-blockchain', 'seele'],
      dtype='object')"
20181006,"Index(['ormeus-coin', 'nano', 'gifto', 'ardor', 'monero', 'mithril', 'cardano',
       'bhp-coin', 'truechain', 'thingschain', 'crpt', 'ontology', 'stellar',
       'primas', 'bitcoin', 'dash', 'neo', 'zcash', 'bitcoin-cash',
       'litecoin'],
      dtype='object')","Index(['factom', 'nuls', 'rlc', 'ren', 'ignis', 'seele', 'ark', 'nexus',
       'crypto-com', 'power-ledger', 'steem', 'educare', 'komodo',
       'bnktothefuture', '0x', 'atn', 'constellation',
       'high-performance-blockchain', 'credits'],
      dtype='object')","Index(['vibe', 'fusion', 'qash', 'kyber-network', 'adx-net', 'stakenet',
       'metronome', 'wax', 'red-pulse', 'pchain', 'qlink', 'enigma', 'stratis',
       'thorecoin', 'odem', 'dynamic-trading-rights', 'stasis-euro', 'mixin',
       'blue-whale-exchange', 'suncontract'],
      dtype='object')","Index(['smartshare', 'ripio-credit-network', 'vechain', 'singularitynet',
       'agrello-delta', 'populous', 'time-new-bank', 'bottos', 'bibox-token',
       'cvcoin', 'nkn', 'wings', 'quantstamp', 'syscoin', 'neblio', 'waves',
       'singulardtv', 'ravencoin', 'district0x'],
      dtype='object')","Index(['ethereum', 'eos', 'nebulas-token', 'streamr-datacoin', 'cortex', 'nem',
       'nexo', 'zip', 'sirin-labs-token', 'loopring', 'loom-network', 'ruff',
       'all-sports', 'pundi-x', 'maker', 'iota', 'matrix-ai-network',
       'polymath-network', 'cryptonex'],
      dtype='object')"
