,Port1,Port2,Port3,Port4,Port5
20180405,"Index(['populous', 'syscoin', 'nexus', 'atn', 'cvcoin', 'rlc',
       'singularitynet', 'bibox-token', 'dynamic-trading-rights', 'wings',
       'red-pulse', 'agrello-delta', 'polymath-network', 'loom-network',
       'maker', 'bottos'],
      dtype='object')","Index(['primas', 'crpt', 'gifto', 'adx-net', 'iota', 'qash', 'kyber-network',
       'cryptonex', 'matrix-ai-network', 'fusion', 'time-new-bank',
       'streamr-datacoin', 'vibe', 'singulardtv', 'factom'],
      dtype='object')","Index(['zcash', 'komodo', 'ripio-credit-network', 'nano', 'all-sports',
       'ravencoin', 'ark', 'waves', 'stratis', 'truechain', '0x', 'neblio',
       'loopring', 'credits', 'ren', 'coinmeet'],
      dtype='object')","Index(['bitcoin-cash', 'ignis', 'ormeus-coin', 'suncontract', 'quantstamp',
       'dash', 'ruff', 'cardano', 'monero', 'nuls', 'nebulas-token', 'neo',
       'wax', 'district0x', 'enigma'],
      dtype='object')","Index(['bitcoin', 'ardor', 'ethereum', 'ontology', 'steem', 'eos',
       'high-performance-blockchain', 'litecoin', 'mithril', 'power-ledger',
       'nem', 'stellar', 'qlink', 'crypto-com', 'sirin-labs-token'],
      dtype='object')"
20180415,"Index(['ardor', 'crpt', 'qlink', 'agrello-delta', 'rlc', 'ravencoin', 'wings',
       'qash', 'streamr-datacoin', 'maker', 'bottos', 'cryptonex',
       'singularitynet', 'cvcoin', 'dynamic-trading-rights', 'atn'],
      dtype='object')","Index(['enigma', 'gifto', 'populous', 'kyber-network', 'stratis', 'fusion',
       'nexus', 'ark', 'matrix-ai-network', 'quantstamp', 'nano', 'vibe',
       'primas', 'mixin', 'dash', 'monero'],
      dtype='object')","Index(['adx-net', 'singulardtv', 'loom-network', '0x',
       'high-performance-blockchain', 'stellar', 'ignis',
       'ripio-credit-network', 'credits', 'ormeus-coin', 'nuls', 'ren',
       'district0x', 'factom', 'neblio'],
      dtype='object')","Index(['waves', 'komodo', 'time-new-bank', 'polymath-network', 'bitcoin',
       'power-ledger', 'sirin-labs-token', 'crypto-com', 'nebulas-token',
       'educare', 'syscoin', 'all-sports', 'wax', 'ruff', 'suncontract',
       'bibox-token'],
      dtype='object')","Index(['mithril', 'eos', 'cardano', 'steem', 'iota', 'ontology', 'litecoin',
       'neo', 'truechain', 'zcash', 'bitcoin-cash', 'ethereum', 'loopring',
       'red-pulse', 'nem'],
      dtype='object')"
20180425,"Index(['singularitynet', 'stratis', 'nexus', 'singulardtv', 'agrello-delta',
       'komodo', 'primas', 'ignis', 'wings', 'dynamic-trading-rights', 'maker',
       'atn', 'cryptonex', 'crpt', 'stakenet', 'cvcoin'],
      dtype='object')","Index(['waves', 'loopring', 'nem', 'matrix-ai-network', 'fusion', 'vibe',
       'nano', 'factom', 'red-pulse', 'ren', 'rlc', 'loom-network', 'ardor',
       'steem', 'streamr-datacoin', 'ravencoin'],
      dtype='object')","Index(['credits', 'litecoin', 'neblio', 'qlink', 'stellar', 'ormeus-coin',
       'bottos', 'syscoin', 'suncontract', 'neo', 'polymath-network', 'ark',
       'qash', 'wax', 'enigma', 'high-performance-blockchain'],
      dtype='object')","Index(['ripio-credit-network', 'crypto-com', 'cardano', 'educare',
       'quantstamp', 'nuls', 'kyber-network', 'zcash', 'gifto', '0x',
       'bibox-token', 'ontology', 'all-sports', 'time-new-bank',
       'sirin-labs-token', 'populous'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'adx-net', 'district0x', 'bitcoin', 'ethereum',
       'ruff', 'cortex', 'truechain', 'mixin', 'mithril', 'iota', 'monero',
       'dash', 'power-ledger', 'nebulas-token'],
      dtype='object')"
20180505,"Index(['ark', 'nem', 'factom', 'adx-net', 'vibe', 'ormeus-coin', 'district0x',
       'enigma', 'cvcoin', 'nexus', 'streamr-datacoin', 'odem', 'maker',
       'stakenet', 'dynamic-trading-rights', 'atn', 'crpt'],
      dtype='object')","Index(['crypto-com', 'singulardtv', 'steem', 'red-pulse', 'power-ledger',
       'qash', 'high-performance-blockchain', 'cryptonex', 'ardor',
       'suncontract', 'mixin', 'singularitynet', 'komodo', 'agrello-delta',
       'wings', 'rlc'],
      dtype='object')","Index(['wax', 'time-new-bank', 'syscoin', 'dash', 'loopring', 'stratis',
       'populous', 'ravencoin', 'kyber-network', 'zcash', 'neblio', 'credits',
       'ren', 'qlink', 'ripio-credit-network', 'nuls'],
      dtype='object')","Index(['all-sports', 'nano', 'ignis', 'ruff', 'cardano', 'polymath-network',
       'sirin-labs-token', 'educare', 'fusion', 'monero', 'quantstamp',
       'bibox-token', 'neo', 'waves', 'stellar', 'matrix-ai-network'],
      dtype='object')","Index(['truechain', 'ethereum', 'loom-network', 'eos', 'ontology', 'iota',
       'bitcoin-cash', 'gifto', 'bitcoin', '0x', 'bottos', 'mithril',
       'litecoin', 'primas', 'nebulas-token', 'cortex'],
      dtype='object')"
20180515,"Index(['ardor', 'bottos', 'mixin', 'red-pulse', 'singularitynet',
       'ormeus-coin', 'ravencoin', 'singulardtv', 'wings', 'maker', 'odem',
       'stakenet', 'nexus', 'cryptonex', 'cvcoin', 'dynamic-trading-rights',
       'atn'],
      dtype='object')","Index(['qlink', 'quantstamp', 'neo', 'credits', 'ruff', 'wax', 'adx-net',
       'matrix-ai-network', 'waves', 'loom-network', 'populous', 'nano',
       'gifto', 'factom', 'vibe', 'qash', 'syscoin'],
      dtype='object')","Index(['ignis', 'steem', 'iota', 'bnktothefuture', 'crpt', 'loopring',
       'monero', 'district0x', 'ripio-credit-network', 'suncontract', 'neblio',
       'nexo', 'stratis', 'ark', 'power-ledger',
       'high-performance-blockchain'],
      dtype='object')","Index(['polymath-network', 'dash', 'cardano', 'primas', 'fusion',
       'time-new-bank', 'kyber-network', 'streamr-datacoin', 'agrello-delta',
       'nem', 'enigma', 'komodo', 'bibox-token', 'rlc', 'nebulas-token',
       'sirin-labs-token', 'educare'],
      dtype='object')","Index(['truechain', 'eos', 'zcash', 'bitcoin-cash', 'mithril', 'bitcoin',
       'cortex', 'ethereum', 'stellar', 'ontology', 'litecoin', 'crypto-com',
       'all-sports', '0x', 'nuls', 'ren'],
      dtype='object')"
20180525,"Index(['adx-net', 'mixin', 'nexus', 'ravencoin', 'ormeus-coin',
       'high-performance-blockchain', 'cvcoin', 'nem', 'syscoin', 'stakenet',
       'maker', 'ark', 'ignis', 'rlc', 'atn', 'odem',
       'dynamic-trading-rights'],
      dtype='object')","Index(['ardor', 'red-pulse', 'stellar', 'crypto-com', 'crpt', 'neblio',
       'power-ledger', 'qash', 'ren', 'district0x', 'factom', 'komodo',
       'cryptonex', 'agrello-delta', 'ripio-credit-network', 'vibe', 'wax'],
      dtype='object')","Index(['fusion', 'quantstamp', 'iota', 'singulardtv', 'polymath-network',
       'streamr-datacoin', 'gifto', 'neo', 'credits', 'wings',
       'sirin-labs-token', 'time-new-bank', 'suncontract', 'nano', 'qlink',
       'loom-network'],
      dtype='object')","Index(['nexo', 'stratis', 'mithril', 'ontology', 'dash', 'cardano', 'zcash',
       'waves', 'loopring', 'matrix-ai-network', 'populous', 'kyber-network',
       'nuls', 'ruff', 'bottos', 'bnktothefuture', 'enigma'],
      dtype='object')","Index(['eos', 'bitcoin', 'truechain', '0x', 'bitcoin-cash', 'ethereum',
       'educare', 'all-sports', 'bibox-token', 'primas', 'steem', 'monero',
       'cortex', 'litecoin', 'nebulas-token', 'singularitynet'],
      dtype='object')"
20180604,"Index(['atn', 'wax', 'district0x', 'komodo', 'streamr-datacoin', 'qash',
       'adx-net', 'quantstamp', 'factom', 'vibe', 'ignis', 'steem',
       'singulardtv', 'maker', 'dynamic-trading-rights', 'stakenet', 'odem'],
      dtype='object')","Index(['wings', 'loom-network', 'crpt', 'ravencoin', 'nexus', 'ark',
       'time-new-bank', 'ren', 'singularitynet', 'syscoin', 'ardor',
       'power-ledger', 'matrix-ai-network', 'stratis', 'red-pulse', 'credits'],
      dtype='object')","Index(['suncontract', 'polymath-network', 'fusion', 'monero',
       'high-performance-blockchain', 'agrello-delta', 'rlc', 'nexo',
       'cryptonex', 'waves', 'sirin-labs-token', 'qlink', 'neblio', 'populous',
       'bnktothefuture', 'enigma', 'ormeus-coin'],
      dtype='object')","Index(['crypto-com', 'stellar', 'zcash', 'dash', 'cortex', 'litecoin',
       'mithril', 'loopring', 'gifto', '0x', 'nem', 'ripio-credit-network',
       'nuls', 'primas', 'nano', 'bottos'],
      dtype='object')","Index(['eos', 'cvcoin', 'bitcoin-cash', 'bitcoin', 'iota', 'ethereum',
       'educare', 'ontology', 'truechain', 'ruff', 'kyber-network',
       'all-sports', 'bibox-token', 'neo', 'nebulas-token', 'cardano'],
      dtype='object')"
20180614,"Index(['district0x', 'ark', 'syscoin', 'credits', 'crpt', 'singulardtv',
       'red-pulse', 'ravencoin', 'adx-net', 'agrello-delta', 'atn', 'komodo',
       'steem', 'ignis', 'maker', 'odem', 'dynamic-trading-rights'],
      dtype='object')","Index(['vibe', 'qlink', 'cardano', 'quantstamp', 'streamr-datacoin', 'primas',
       'stratis', 'qash', 'rlc', 'stakenet', 'ormeus-coin', 'cvcoin', 'wax',
       'nexus', 'crypto-com', 'power-ledger', 'ardor'],
      dtype='object')","Index(['singularitynet', 'matrix-ai-network', 'bnktothefuture',
       'sirin-labs-token', 'gifto', 'wings', 'fusion', 'cryptonex', 'populous',
       'polymath-network', 'kyber-network', 'ren', 'enigma',
       'ripio-credit-network', 'factom', 'ruff'],
      dtype='object')","Index(['ethereum', 'nano', 'nuls', 'high-performance-blockchain', 'waves',
       'nexo', 'time-new-bank', 'nebulas-token', 'monero', 'bottos', 'stellar',
       'cortex', 'neblio', 'suncontract', 'nem', 'loopring', 'zcash'],
      dtype='object')","Index(['eos', 'truechain', 'bitcoin', 'loom-network', 'all-sports',
       'bibox-token', 'iota', 'mithril', 'litecoin', 'nkn', 'neo',
       'bitcoin-cash', '0x', 'dash', 'educare', 'ontology'],
      dtype='object')"
20180624,"Index(['credits', 'cryptonex', 'crpt', 'red-pulse', 'singulardtv',
       'matrix-ai-network', 'constellation', 'ravencoin', 'educare', 'ignis',
       'district0x', 'atn', 'stakenet', 'factom', 'maker', 'ark',
       'dynamic-trading-rights'],
      dtype='object')","Index(['quantstamp', 'suncontract', 'vibe', 'singularitynet', 'qlink',
       'bnktothefuture', 'nexus', 'wings', 'power-ledger',
       'ripio-credit-network', 'ardor', 'adx-net', 'sirin-labs-token', 'steem',
       'cvcoin', 'komodo', 'syscoin'],
      dtype='object')","Index(['time-new-bank', 'nem', '0x', 'rlc', 'smartshare', 'odem', 'bottos',
       'kyber-network', 'wax', 'nexo', 'polymath-network', 'zcash', 'ruff',
       'agrello-delta', 'stellar', 'stratis', 'nuls'],
      dtype='object')","Index(['dash', 'enigma', 'crypto-com', 'nebulas-token', 'qash', 'nano', 'ren',
       'cardano', 'ormeus-coin', 'mithril', 'fusion', 'loopring', 'neblio',
       'primas', 'gifto', 'nkn', 'loom-network'],
      dtype='object')","Index(['streamr-datacoin', 'eos', 'bitcoin', 'litecoin', 'all-sports',
       'ontology', 'cortex', 'ethereum', 'iota', 'bitcoin-cash', 'truechain',
       'bibox-token', 'waves', 'populous', 'high-performance-blockchain',
       'monero', 'neo'],
      dtype='object')"
20180704,"Index(['rlc', 'constellation', 'komodo', 'ravencoin', 'crpt',
       'sirin-labs-token', 'nexo', 'smartshare', 'vibe', 'streamr-datacoin',
       'nkn', 'cvcoin', 'adx-net', 'atn', 'mixin', 'dynamic-trading-rights',
       'ignis', 'maker'],
      dtype='object')","Index(['ark', 'qash', 'ren', 'district0x', 'bnktothefuture', 'credits',
       'ardor', 'enigma', 'nexus', 'ormeus-coin', 'wings', 'polymath-network',
       'stakenet', 'suncontract', 'factom', 'bottos', 'ruff'],
      dtype='object')","Index(['ripio-credit-network', 'high-performance-blockchain', 'qlink',
       'stratis', 'stellar', 'nano', 'waves', 'monero', 'quantstamp', 'fusion',
       'singulardtv', 'odem', 'red-pulse', 'singularitynet', 'neblio',
       'agrello-delta', 'loopring'],
      dtype='object')","Index(['bitcoin-cash', 'steem', 'ontology', 'all-sports', 'gifto', 'dash',
       'primas', 'wax', 'power-ledger', 'zcash', 'nebulas-token',
       'matrix-ai-network', 'cryptonex', 'time-new-bank', 'kyber-network',
       'nuls', 'loom-network'],
      dtype='object')","Index(['syscoin', 'bitcoin', 'eos', 'neo', 'mithril', 'educare', 'truechain',
       'nem', '0x', 'cardano', 'crypto-com', 'ethereum', 'populous',
       'bibox-token', 'cortex', 'iota', 'litecoin'],
      dtype='object')"
