,Port1,Port2,Port3,Port4,Port5
20180409,"Index(['matrix-ai-network', 'polymath-network', 'agrello-delta', 'vibe',
       'factom', 'populous', 'syscoin', 'singulardtv', 'atn',
       'dynamic-trading-rights', 'cvcoin', 'wings', 'rlc', 'bibox-token',
       'bottos', 'maker'],
      dtype='object')","Index(['stratis', 'qash', 'time-new-bank', 'ravencoin', 'ark', 'iota',
       'adx-net', 'gifto', 'cryptonex', 'ren', 'credits', 'nexus', 'primas',
       'crpt', 'streamr-datacoin'],
      dtype='object')","Index(['quantstamp', 'district0x', 'truechain', '0x', 'nebulas-token', 'ruff',
       'loopring', 'kyber-network', 'zcash', 'all-sports', 'fusion', 'nano',
       'singularitynet', 'komodo', 'waves'],
      dtype='object')","Index(['bitcoin-cash', 'qlink', 'crypto-com', 'sirin-labs-token', 'neblio',
       'neo', 'enigma', 'wax', 'dash', 'red-pulse', 'ignis', 'monero',
       'ormeus-coin', 'nuls', 'loom-network'],
      dtype='object')","Index(['mithril', 'ontology', 'bitcoin', 'eos', 'ardor', 'ethereum',
       'high-performance-blockchain', 'steem', 'ripio-credit-network',
       'suncontract', 'litecoin', 'power-ledger', 'cardano', 'nem', 'stellar'],
      dtype='object')"
20180419,"Index(['crpt', 'fusion', 'vibe', 'matrix-ai-network', 'bottos', 'wings',
       'mixin', 'primas', 'ravencoin', 'qash', 'cryptonex', 'streamr-datacoin',
       'maker', 'cvcoin', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['credits', 'gifto', 'neblio', 'singulardtv', 'quantstamp',
       'kyber-network', 'enigma', 'nuls', 'nano', 'district0x',
       'singularitynet', 'ardor', 'rlc', 'ignis', 'ark', 'factom'],
      dtype='object')","Index(['komodo', 'polymath-network', 'qlink', 'sirin-labs-token', 'adx-net',
       'ruff', 'educare', 'nebulas-token', 'syscoin', 'all-sports',
       'loom-network', 'suncontract', 'ripio-credit-network', 'bibox-token',
       'stratis'],
      dtype='object')","Index(['dash', 'truechain', 'zcash', 'agrello-delta', 'crypto-com',
       'ormeus-coin', '0x', 'wax', 'ren', 'loopring', 'red-pulse',
       'high-performance-blockchain', 'time-new-bank', 'waves', 'power-ledger',
       'nexus'],
      dtype='object')","Index(['mithril', 'cardano', 'eos', 'bitcoin', 'bitcoin-cash', 'steem',
       'stellar', 'ethereum', 'iota', 'litecoin', 'populous', 'monero', 'nem',
       'ontology', 'neo'],
      dtype='object')"
20180429,"Index(['ardor', 'komodo', 'stratis', 'wings', 'primas', 'ravencoin',
       'singularitynet', 'ignis', 'agrello-delta', 'crpt', 'cryptonex',
       'maker', 'dynamic-trading-rights', 'atn', 'cvcoin', 'stakenet'],
      dtype='object')","Index(['suncontract', 'fusion', 'qash', 'ark', 'polymath-network', 'nem',
       'ren', 'loom-network', 'vibe', 'red-pulse', 'factom',
       'streamr-datacoin', 'matrix-ai-network', 'rlc', 'nexus', 'singulardtv'],
      dtype='object')","Index(['zcash', '0x', 'neblio', 'quantstamp', 'time-new-bank', 'ormeus-coin',
       'populous', 'qlink', 'bibox-token', 'wax', 'enigma', 'loopring',
       'syscoin', 'high-performance-blockchain', 'bottos', 'nano'],
      dtype='object')","Index(['cortex', 'iota', 'stellar', 'mixin', 'nuls', 'monero', 'litecoin',
       'dash', 'waves', 'sirin-labs-token', 'power-ledger',
       'ripio-credit-network', 'educare', 'crypto-com', 'credits', 'neo'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'gifto', 'mithril', 'bitcoin', 'adx-net',
       'cardano', 'ontology', 'steem', 'district0x', 'kyber-network',
       'truechain', 'ethereum', 'all-sports', 'ruff', 'nebulas-token'],
      dtype='object')"
20180509,"Index(['qash', 'district0x', 'wings', 'vibe', 'ark', 'mixin', 'singularitynet',
       'rlc', 'cvcoin', 'streamr-datacoin', 'nexus', 'maker', 'crpt', 'odem',
       'stakenet', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['qlink', 'steem', 'credits', 'nuls', 'enigma', 'nem', 'power-ledger',
       'red-pulse', 'singulardtv', 'cryptonex', 'factom', 'adx-net',
       'ormeus-coin', 'komodo', 'agrello-delta', 'ardor'],
      dtype='object')","Index(['neo', 'dash', 'loopring', 'stellar', 'kyber-network',
       'matrix-ai-network', 'ren', 'populous', 'wax', 'syscoin',
       'high-performance-blockchain', 'suncontract', 'zcash',
       'ripio-credit-network', 'stratis', 'ravencoin'],
      dtype='object')","Index(['fusion', 'sirin-labs-token', 'nebulas-token', 'nano', 'ignis', 'ruff',
       'cardano', 'polymath-network', 'educare', 'time-new-bank', 'crypto-com',
       'neblio', 'waves', 'bibox-token', 'monero', 'quantstamp'],
      dtype='object')","Index(['all-sports', 'truechain', 'bitcoin-cash', 'eos', 'ethereum',
       'loom-network', 'iota', 'ontology', '0x', 'gifto', 'bitcoin',
       'litecoin', 'mithril', 'cortex', 'bottos', 'primas'],
      dtype='object')"
20180519,"Index(['mixin', 'adx-net', 'stakenet', 'ardor', 'qash', 'singularitynet',
       'red-pulse', 'ravencoin', 'cryptonex', 'wings', 'singulardtv', 'odem',
       'nexus', 'maker', 'cvcoin', 'dynamic-trading-rights', 'atn'],
      dtype='object')","Index(['bottos', 'waves', 'neo', 'ripio-credit-network', 'credits',
       'suncontract', 'ark', 'ruff', 'district0x', 'vibe', 'loom-network',
       'qlink', 'high-performance-blockchain', 'matrix-ai-network', 'factom',
       'nano', 'ormeus-coin'],
      dtype='object')","Index(['fusion', 'nem', 'enigma', 'streamr-datacoin', 'sirin-labs-token',
       'nebulas-token', 'stratis', 'steem', 'monero', 'agrello-delta', 'wax',
       'nexo', 'komodo', 'crpt', 'bnktothefuture', 'ignis'],
      dtype='object')","Index(['ontology', 'quantstamp', 'crypto-com', 'syscoin', 'power-ledger',
       'iota', 'all-sports', 'polymath-network', 'loopring', '0x', 'dash',
       'nuls', 'ren', 'cardano', 'kyber-network', 'time-new-bank', 'neblio'],
      dtype='object')","Index(['truechain', 'zcash', 'eos', 'bitcoin', 'bitcoin-cash', 'mithril',
       'educare', 'bibox-token', 'rlc', 'populous', 'ethereum', 'cortex',
       'stellar', 'gifto', 'primas', 'litecoin'],
      dtype='object')"
20180529,"Index(['factom', 'wax', 'adx-net', 'agrello-delta', 'ripio-credit-network',
       'komodo', 'vibe', 'ormeus-coin', 'ravencoin', 'cvcoin', 'ignis',
       'syscoin', 'maker', 'ark', 'atn', 'odem', 'dynamic-trading-rights'],
      dtype='object')","Index(['singulardtv', 'iota', 'loom-network', 'streamr-datacoin', 'nexus',
       'suncontract', 'high-performance-blockchain', 'neblio', 'crpt',
       'stakenet', 'nem', 'red-pulse', 'mixin', 'qash', 'power-ledger',
       'cryptonex', 'ren'],
      dtype='object')","Index(['matrix-ai-network', 'ruff', 'nuls', 'enigma', 'time-new-bank',
       'crypto-com', 'nano', 'stellar', 'sirin-labs-token', 'district0x',
       'wings', 'quantstamp', 'qlink', 'ardor', 'gifto', 'credits'],
      dtype='object')","Index(['primas', 'nebulas-token', 'nexo', 'singularitynet', 'mithril',
       'stratis', 'bottos', 'ontology', 'cardano', 'fusion', 'waves',
       'kyber-network', 'bnktothefuture', 'populous', 'neo', 'loopring',
       'polymath-network'],
      dtype='object')","Index(['eos', 'bitcoin', 'truechain', '0x', 'all-sports', 'ethereum',
       'bitcoin-cash', 'educare', 'cortex', 'bibox-token', 'zcash', 'litecoin',
       'rlc', 'steem', 'dash', 'monero'],
      dtype='object')"
20180608,"Index(['crpt', 'ravencoin', 'power-ledger', 'ark', 'syscoin', 'district0x',
       'adx-net', 'odem', 'qash', 'atn', 'singulardtv', 'komodo', 'ignis',
       'factom', 'vibe', 'maker', 'dynamic-trading-rights'],
      dtype='object')","Index(['cryptonex', 'neblio', 'quantstamp', 'primas', 'steem', 'agrello-delta',
       'bnktothefuture', 'wings', 'qlink', 'ren', 'ardor', 'stakenet', 'wax',
       'matrix-ai-network', 'stratis', 'red-pulse'],
      dtype='object')","Index(['populous', 'high-performance-blockchain', 'gifto', 'polymath-network',
       'nano', 'bottos', 'monero', 'credits', 'nem', 'nexo', 'time-new-bank',
       'loom-network', 'rlc', 'suncontract', 'nuls', 'enigma',
       'ripio-credit-network'],
      dtype='object')","Index(['cardano', 'nexus', 'mithril', 'ormeus-coin', 'crypto-com', '0x',
       'loopring', 'waves', 'zcash', 'stellar', 'dash', 'fusion',
       'streamr-datacoin', 'cortex', 'sirin-labs-token', 'litecoin'],
      dtype='object')","Index(['eos', 'cvcoin', 'bitcoin', 'bitcoin-cash', 'iota', 'ontology',
       'bibox-token', 'ethereum', 'educare', 'truechain', 'ruff',
       'kyber-network', 'all-sports', 'singularitynet', 'nebulas-token',
       'neo'],
      dtype='object')"
20180618,"Index(['ravencoin', 'wax', 'agrello-delta', 'adx-net', 'ardor', 'power-ledger',
       'district0x', 'ark', 'syscoin', 'steem', 'red-pulse', 'maker', 'komodo',
       'atn', 'ignis', 'odem', 'dynamic-trading-rights'],
      dtype='object')","Index(['enigma', 'stratis', 'vibe', 'ormeus-coin', 'cryptonex', 'factom',
       'qash', 'ruff', 'rlc', 'qlink', 'crypto-com', 'quantstamp',
       'streamr-datacoin', 'nexus', 'credits', 'stakenet', 'crpt'],
      dtype='object')","Index(['time-new-bank', 'neblio', 'cvcoin', 'populous', 'loopring', 'gifto',
       'suncontract', 'nem', 'bnktothefuture', 'primas', 'wings',
       'kyber-network', 'cardano', 'singulardtv', 'polymath-network', 'ren'],
      dtype='object')","Index(['nkn', 'nebulas-token', 'educare', 'bottos', 'ontology',
       'ripio-credit-network', 'monero', 'cortex', 'nuls',
       'high-performance-blockchain', 'stellar', 'zcash', 'waves',
       'singularitynet', 'fusion', 'sirin-labs-token', 'matrix-ai-network'],
      dtype='object')","Index(['mithril', 'eos', 'bitcoin', 'truechain', 'bibox-token', 'all-sports',
       'loom-network', 'ethereum', 'iota', 'litecoin', 'neo', 'dash', '0x',
       'bitcoin-cash', 'nano', 'nexo'],
      dtype='object')"
20180628,"Index(['sirin-labs-token', 'wings', 'syscoin', 'ravencoin', 'steem',
       'district0x', 'komodo', 'red-pulse', 'credits', 'singulardtv',
       'stakenet', 'ignis', 'ark', 'factom', 'atn', 'maker',
       'dynamic-trading-rights'],
      dtype='object')","Index(['gifto', 'suncontract', 'qlink', 'adx-net', 'constellation',
       'singularitynet', 'nuls', 'nexus', 'stratis', 'cryptonex', 'ruff',
       'crpt', 'ardor', 'agrello-delta', 'power-ledger', 'vibe', 'quantstamp'],
      dtype='object')","Index(['odem', 'bnktothefuture', 'qash', 'ormeus-coin', 'smartshare',
       'time-new-bank', 'bottos', 'loopring', 'wax', 'nexo', 'primas',
       'ripio-credit-network', 'rlc', 'nkn', 'neblio', 'polymath-network',
       'stellar'],
      dtype='object')","Index(['waves', 'dash', 'populous', 'cvcoin', 'high-performance-blockchain',
       'educare', 'mithril', 'matrix-ai-network', 'loom-network', 'zcash',
       'kyber-network', 'enigma', 'nem', 'nano', 'fusion', 'cardano', '0x'],
      dtype='object')","Index(['bitcoin', 'streamr-datacoin', 'eos', 'all-sports', 'cortex',
       'crypto-com', 'ontology', 'ethereum', 'bibox-token', 'litecoin',
       'truechain', 'ren', 'nebulas-token', 'bitcoin-cash', 'monero', 'iota',
       'neo'],
      dtype='object')"
20180708,"Index(['credits', 'smartshare', 'enigma', 'adx-net', 'streamr-datacoin',
       'factom', 'ruff', 'ormeus-coin', 'nexo', 'stakenet', 'crpt', 'atn',
       'komodo', 'vibe', 'mixin', 'cvcoin', 'dynamic-trading-rights', 'maker'],
      dtype='object')","Index(['waves', 'ark', 'nano', 'loopring', 'nkn', 'fusion', 'constellation',
       'singularitynet', 'quantstamp', 'wings', 'ravencoin', 'neblio', 'ren',
       'agrello-delta', 'bottos', 'rlc', 'suncontract'],
      dtype='object')","Index(['zcash', 'power-ledger', 'high-performance-blockchain', 'ardor',
       'time-new-bank', 'stellar', 'nexus', 'cryptonex', 'nuls', 'monero',
       'ripio-credit-network', 'singulardtv', 'sirin-labs-token', 'red-pulse',
       'qlink', 'stratis', 'bnktothefuture'],
      dtype='object')","Index(['cardano', 'ontology', 'populous', 'litecoin', 'ignis', 'steem',
       'all-sports', 'gifto', 'matrix-ai-network', 'district0x', 'dash',
       'polymath-network', 'odem', 'kyber-network', 'nebulas-token', 'qash',
       'wax'],
      dtype='object')","Index(['syscoin', 'bitcoin', 'neo', 'mithril', 'loom-network', 'ethereum',
       'eos', 'primas', 'cortex', 'educare', 'bibox-token', 'truechain',
       'crypto-com', '0x', 'nem', 'bitcoin-cash', 'iota'],
      dtype='object')"
