,Port1,Port2,Port3,Port4,Port5
20180421,"Index(['bibox-token', 'suncontract', 'dynamic-trading-rights', 'nano',
       'litecoin', 'nebulas-token', 'nuls', 'qash', 'cryptonex', 'qlink',
       'bitcoin', 'truechain', 'ormeus-coin', 'credits', 'atn', 'ravencoin'],
      dtype='object')","Index(['matrix-ai-network', 'ethereum', 'dash', 'nexus', 'wings', 'factom',
       'monero', 'adx-net', 'zcash', 'district0x', 'waves', 'all-sports',
       'bottos', 'primas', 'polymath-network'],
      dtype='object')","Index(['kyber-network', 'agrello-delta', 'stratis', 'syscoin',
       'high-performance-blockchain', 'bitcoin-cash', 'vibe', 'komodo',
       'red-pulse', 'gifto', 'neo', 'ruff', 'ark', 'neblio', 'ignis'],
      dtype='object')","Index(['0x', 'singulardtv', 'quantstamp', 'nem', 'power-ledger',
       'singularitynet', 'stellar', 'ardor', 'maker', 'crpt', 'rlc', 'enigma',
       'time-new-bank', 'ripio-credit-network', 'sirin-labs-token'],
      dtype='object')","Index(['loom-network', 'crypto-com', 'fusion', 'mithril', 'wax', 'populous',
       'cvcoin', 'ren', 'steem', 'loopring', 'ontology', 'streamr-datacoin',
       'eos', 'cardano', 'iota'],
      dtype='object')"
20180501,"Index(['komodo', 'credits', 'educare', 'dynamic-trading-rights', 'factom',
       'singulardtv', 'atn', 'bitcoin', 'ignis', 'cryptonex', 'litecoin',
       'streamr-datacoin', 'suncontract', 'high-performance-blockchain',
       'ravencoin', 'ormeus-coin'],
      dtype='object')","Index(['nano', 'primas', 'qash', 'ethereum', 'singularitynet', 'zcash', 'dash',
       'polymath-network', 'ripio-credit-network', 'ark', 'ardor',
       'matrix-ai-network', 'wings', 'neo', 'monero', 'nexus'],
      dtype='object')","Index(['neblio', 'qlink', 'maker', 'waves', 'sirin-labs-token', 'fusion',
       'rlc', 'power-ledger', 'bibox-token', 'district0x', 'crpt', 'stratis',
       'nem', 'quantstamp', 'adx-net'],
      dtype='object')","Index(['populous', 'stellar', 'steem', '0x', 'time-new-bank', 'wax', 'nuls',
       'red-pulse', 'nebulas-token', 'vibe', 'agrello-delta', 'syscoin',
       'iota', 'cvcoin', 'ontology', 'enigma'],
      dtype='object')","Index(['mithril', 'all-sports', 'truechain', 'bottos', 'mixin', 'gifto',
       'loom-network', 'kyber-network', 'ren', 'ruff', 'crypto-com', 'eos',
       'cardano', 'loopring', 'bitcoin-cash'],
      dtype='object')"
20180511,"Index(['power-ledger', 'singularitynet', 'qash', 'nem',
       'dynamic-trading-rights', 'vibe', 'wax', 'komodo', 'monero',
       'crypto-com', 'factom', 'crpt', 'cvcoin', 'populous', 'ormeus-coin',
       'adx-net'],
      dtype='object')","Index(['nexus', 'litecoin', 'ark', 'zcash', 'singulardtv',
       'ripio-credit-network', 'nano', 'red-pulse', 'syscoin', 'wings',
       'cryptonex', 'stakenet', 'dash', 'stellar', 'neo', 'ardor'],
      dtype='object')","Index(['ethereum', 'maker', 'rlc', 'time-new-bank', 'streamr-datacoin',
       'stratis', 'high-performance-blockchain', 'iota', 'district0x',
       'agrello-delta', 'steem', 'qlink', 'loopring', 'cardano', 'enigma',
       'bitcoin'],
      dtype='object')","Index(['bibox-token', 'ravencoin', 'sirin-labs-token', 'kyber-network',
       'gifto', 'educare', 'cortex', 'bitcoin-cash', 'ren', 'suncontract',
       'atn', 'quantstamp', 'waves', 'neblio', 'ignis', 'mithril'],
      dtype='object')","Index(['all-sports', 'truechain', 'primas', 'bottos', 'ontology', '0x',
       'mixin', 'polymath-network', 'loom-network', 'ruff',
       'matrix-ai-network', 'nuls', 'fusion', 'eos', 'credits',
       'nebulas-token'],
      dtype='object')"
20180521,"Index(['qlink', 'singulardtv', 'kyber-network', 'dynamic-trading-rights',
       'cardano', 'loopring', 'nano', 'qash', 'neblio', 'mixin', 'vibe',
       'mithril', 'sirin-labs-token', 'red-pulse', 'gifto', 'factom',
       'cvcoin'],
      dtype='object')","Index(['wings', 'steem', 'nebulas-token', 'ripio-credit-network',
       'singularitynet', 'ardor', 'adx-net', 'stellar', 'power-ledger', 'neo',
       'populous', 'ruff', 'time-new-bank', 'wax', 'ignis', 'eos'],
      dtype='object')","Index(['ormeus-coin', 'maker', 'enigma', 'cortex', 'ark', 'syscoin', 'monero',
       'dash', 'odem', 'nexus', 'cryptonex', 'stratis', 'district0x',
       'crypto-com', 'nem', 'agrello-delta'],
      dtype='object')","Index(['ravencoin', 'suncontract', 'quantstamp', 'ethereum',
       'streamr-datacoin', 'high-performance-blockchain', 'stakenet', 'atn',
       'bitcoin-cash', 'litecoin', 'bitcoin', 'iota', 'bottos', 'ontology',
       'waves', 'komodo'],
      dtype='object')","Index(['primas', 'truechain', 'polymath-network', 'all-sports', 'educare',
       'loom-network', 'ren', 'bibox-token', 'rlc', '0x', 'zcash', 'fusion',
       'crpt', 'matrix-ai-network', 'nuls', 'credits'],
      dtype='object')"
20180531,"Index(['vibe', 'sirin-labs-token', 'district0x', 'ripio-credit-network',
       'gifto', 'waves', 'qlink', 'nano', 'suncontract', 'matrix-ai-network',
       'credits', 'ravencoin', 'neblio', 'kyber-network', 'red-pulse', 'nexo',
       'mithril'],
      dtype='object')","Index(['qash', 'wings', 'maker', 'dash', 'stratis', 'agrello-delta', 'nem',
       'singulardtv', 'ruff', 'ignis', 'ark', '0x', 'loopring', 'wax',
       'loom-network', 'crypto-com', 'bitcoin-cash'],
      dtype='object')","Index(['steem', 'neo', 'cardano', 'bottos', 'factom', 'eos', 'enigma',
       'fusion', 'cryptonex', 'ormeus-coin', 'adx-net',
       'dynamic-trading-rights', 'nebulas-token', 'bnktothefuture',
       'time-new-bank', 'monero'],
      dtype='object')","Index(['cortex', 'nuls', 'odem', 'komodo', 'singularitynet', 'stellar', 'ren',
       'syscoin', 'bitcoin', 'atn', 'ardor', 'litecoin', 'iota', 'populous',
       'ethereum', 'streamr-datacoin', 'power-ledger'],
      dtype='object')","Index(['bibox-token', 'stakenet', 'truechain', 'educare', 'nexus', 'rlc',
       'crpt', 'zcash', 'primas', 'high-performance-blockchain', 'all-sports',
       'quantstamp', 'ontology', 'polymath-network', 'cvcoin', 'mixin'],
      dtype='object')"
20180610,"Index(['ravencoin', 'singulardtv', 'neblio', 'fusion', 'red-pulse',
       'district0x', 'rlc', 'agrello-delta', 'populous', 'polymath-network',
       'vibe', 'credits', 'quantstamp', 'bottos', 'loom-network',
       'suncontract', 'primas'],
      dtype='object')","Index(['steem', 'wax', 'komodo', 'ripio-credit-network', 'adx-net', 'stratis',
       'qlink', 'matrix-ai-network', 'crypto-com', 'cortex', 'zcash', 'factom',
       'nano', 'syscoin', 'ignis', 'gifto'],
      dtype='object')","Index(['enigma', 'truechain', 'nem', 'dynamic-trading-rights', 'nexo', 'ardor',
       'monero', 'dash', 'ark', 'time-new-bank', 'ormeus-coin',
       'sirin-labs-token', 'loopring', 'waves', 'kyber-network', 'mithril',
       'wings'],
      dtype='object')","Index(['stellar', 'bitcoin-cash', 'ruff', 'litecoin', 'nuls', 'maker',
       'cryptonex', 'all-sports', 'ethereum', 'ren', 'educare', 'neo', 'qash',
       'power-ledger', 'cardano', 'atn'],
      dtype='object')","Index(['odem', 'stakenet', 'bibox-token', 'cvcoin', 'streamr-datacoin',
       'ontology', 'eos', 'high-performance-blockchain', 'singularitynet',
       'crpt', 'iota', '0x', 'nexus', 'nebulas-token', 'bnktothefuture',
       'bitcoin'],
      dtype='object')"
20180620,"Index(['neblio', 'bottos', 'populous', 'matrix-ai-network', 'ark', 'wax',
       'vibe', 'agrello-delta', 'suncontract', 'cortex', 'rlc', 'truechain',
       'quantstamp', 'loom-network', 'polymath-network', 'primas',
       'all-sports'],
      dtype='object')","Index(['stratis', 'red-pulse', 'nuls', 'qlink', '0x', 'syscoin', 'qash',
       'nexo', 'ripio-credit-network', 'sirin-labs-token', 'iota', 'credits',
       'nano', 'ravencoin', 'wings', 'nexus'],
      dtype='object')","Index(['neo', 'kyber-network', 'maker', 'ruff', 'cardano', 'time-new-bank',
       'enigma', 'loopring', 'bnktothefuture', 'singulardtv', 'ardor', 'gifto',
       'fusion', 'adx-net', 'district0x', 'high-performance-blockchain',
       'steem'],
      dtype='object')","Index(['nebulas-token', 'litecoin', 'crpt', 'ormeus-coin', 'power-ledger',
       'singularitynet', 'monero', 'nem', 'zcash', 'factom', 'stellar',
       'ignis', 'crypto-com', 'mithril', 'dynamic-trading-rights', 'komodo'],
      dtype='object')","Index(['odem', 'stakenet', 'bibox-token', 'cvcoin', 'streamr-datacoin',
       'ontology', 'ethereum', 'atn', 'bitcoin-cash', 'cryptonex', 'bitcoin',
       'ren', 'eos', 'waves', 'dash', 'educare'],
      dtype='object')"
20180630,"Index(['0x', 'bibox-token', 'wings', 'ripio-credit-network',
       'sirin-labs-token', 'nuls', 'truechain', 'agrello-delta', 'neblio',
       'polymath-network', 'ren', 'bnktothefuture', 'rlc', 'quantstamp',
       'qash', 'primas', 'all-sports'],
      dtype='object')","Index(['waves', 'komodo', 'time-new-bank', 'eos', 'stratis', 'gifto', 'factom',
       'singulardtv', 'qlink', 'ravencoin', 'ark', 'syscoin', 'district0x',
       'neo', 'fusion', 'vibe', 'wax'],
      dtype='object')","Index(['bottos', 'stakenet', 'nano', 'nexo', 'steem', 'cardano', 'red-pulse',
       'populous', 'ardor', 'iota', 'nexus', 'nem', 'crpt', 'atn',
       'high-performance-blockchain', 'matrix-ai-network', 'ignis'],
      dtype='object')","Index(['zcash', 'suncontract', 'cryptonex', 'cvcoin', 'power-ledger',
       'kyber-network', 'cortex', 'bitcoin-cash', 'maker', 'stellar',
       'ontology', 'educare', 'credits', 'mixin', 'litecoin', 'ruff',
       'loom-network'],
      dtype='object')","Index(['crypto-com', 'odem', 'mithril', 'enigma', 'bitcoin',
       'streamr-datacoin', 'monero', 'nkn', 'ormeus-coin', 'dash',
       'nebulas-token', 'loopring', 'ethereum', 'dynamic-trading-rights',
       'singularitynet', 'adx-net'],
      dtype='object')"
20180710,"Index(['cvcoin', 'ruff', 'bottos', 'nkn', 'eos', 'bnktothefuture', 'syscoin',
       'crpt', 'all-sports', 'stakenet', 'ravencoin', 'atn', 'cryptonex',
       'fusion', 'ontology', 'bibox-token', 'ren'],
      dtype='object')","Index(['rlc', 'agrello-delta', 'dynamic-trading-rights', 'truechain',
       'loopring', 'singulardtv', 'stratis', 'qash', 'litecoin',
       'bitcoin-cash', 'enigma', 'constellation', 'educare', 'nebulas-token',
       'qlink', 'waves', 'high-performance-blockchain'],
      dtype='object')","Index(['gifto', 'stellar', 'time-new-bank', 'nexus', 'ethereum', 'neblio',
       'credits', 'ripio-credit-network', 'dash', 'komodo', 'adx-net', 'nexo',
       'smartshare', 'zcash', 'cardano', 'quantstamp', 'vibe'],
      dtype='object')","Index(['bitcoin', 'kyber-network', 'populous', 'cortex', 'red-pulse',
       'singularitynet', 'district0x', 'neo', 'wings', 'sirin-labs-token',
       'ardor', 'nem', 'streamr-datacoin', 'suncontract', 'steem', 'nano',
       'iota'],
      dtype='object')","Index(['crypto-com', 'odem', 'loom-network', 'primas', 'mithril', 'monero',
       'matrix-ai-network', 'ormeus-coin', 'power-ledger', '0x', 'ignis',
       'wax', 'polymath-network', 'ark', 'factom', 'nuls', 'maker'],
      dtype='object')"
20180720,"Index(['fusion', 'populous', 'bnktothefuture', 'bottos', 'nexo', 'educare',
       'loopring', 'crpt', 'constellation', 'cortex', 'bibox-token', 'nkn',
       'nebulas-token', 'all-sports', 'ontology', 'ormeus-coin', 'stakenet',
       'smartshare'],
      dtype='object')","Index(['waves', 'time-new-bank', 'matrix-ai-network', 'enigma', 'mixin',
       'suncontract', 'singularitynet', 'syscoin', 'ravencoin', 'truechain',
       'ruff', 'qlink', 'steem', 'streamr-datacoin', 'credits', 'ren',
       'cryptonex'],
      dtype='object')","Index(['agrello-delta', 'bitcoin-cash', 'ripio-credit-network', 'dash',
       'adx-net', 'nano', 'monero', 'litecoin', 'cvcoin', 'crypto-com',
       'komodo', 'iota', 'ethereum', 'eos', 'quantstamp',
       'dynamic-trading-rights', 'vibe'],
      dtype='object')","Index(['wax', 'neo', 'nuls', 'red-pulse', 'singulardtv', 'sirin-labs-token',
       'bitcoin', 'neblio', 'atn', 'maker', 'nem', 'wings', 'ark', 'rlc',
       'stratis', 'kyber-network', 'high-performance-blockchain'],
      dtype='object')","Index(['0x', 'stellar', 'ignis', 'ardor', 'primas', 'odem', 'power-ledger',
       'loom-network', 'cardano', 'gifto', 'mithril', 'nexus', 'factom',
       'qash', 'polymath-network', 'zcash', 'district0x'],
      dtype='object')"
