,Port1,Port2,Port3,Port4,Port5
20180610,"Index(['adx-net', 'atn', 'populous', 'cryptonex', 'monero', 'vibe', 'qash',
       'suncontract', 'credits', 'dynamic-trading-rights', 'red-pulse',
       'qlink', 'factom', 'nano', 'ravencoin', 'ormeus-coin'],
      dtype='object')","Index(['syscoin', 'nem', 'ignis', 'agrello-delta', 'bitcoin', 'neo', 'ardor',
       'singulardtv', 'komodo', 'ripio-credit-network', 'dash', 'litecoin',
       'wings', 'district0x', 'neblio'],
      dtype='object')","Index(['singularitynet', 'enigma', 'cardano', 'loopring', 'nexus',
       'sirin-labs-token', 'time-new-bank', 'wax', 'mithril', 'zcash', 'waves',
       'gifto', 'power-ledger', 'stratis', 'ark'],
      dtype='object')","Index(['nuls', 'crpt', 'ruff', 'bitcoin-cash', 'iota', 'rlc', 'maker',
       'ethereum', 'steem', 'matrix-ai-network', 'crypto-com', 'kyber-network',
       'nebulas-token', 'quantstamp', 'stellar'],
      dtype='object')","Index(['all-sports', 'truechain', 'bibox-token', 'ontology', 'primas',
       'fusion', 'loom-network', 'ren', 'eos', '0x', 'bottos', 'cvcoin',
       'polymath-network', 'streamr-datacoin', 'high-performance-blockchain'],
      dtype='object')"
20180630,"Index(['district0x', 'singulardtv', 'wings', 'qlink', 'ormeus-coin',
       'agrello-delta', 'nano', 'ripio-credit-network', 'neblio', 'red-pulse',
       'wax', 'factom', 'qash', 'vibe', 'populous', 'adx-net'],
      dtype='object')","Index(['time-new-bank', 'cardano', 'power-ledger', 'steem', 'sirin-labs-token',
       'ravencoin', 'dynamic-trading-rights', 'stratis', 'ark', 'neo', 'nem',
       'syscoin', 'komodo', 'suncontract', 'ardor', 'quantstamp'],
      dtype='object')","Index(['singularitynet', 'nexus', 'waves', 'credits', 'iota', 'stellar',
       'matrix-ai-network', 'monero', 'crpt', 'crypto-com', 'cryptonex', 'rlc',
       'mithril', 'loopring', 'ignis', 'gifto'],
      dtype='object')","Index(['ruff', 'bitcoin-cash', 'fusion', 'zcash',
       'high-performance-blockchain', 'atn', 'polymath-network', 'maker',
       'ren', 'cortex', 'enigma', 'cvcoin', 'litecoin', 'dash', 'loom-network',
       'kyber-network'],
      dtype='object')","Index(['truechain', 'bibox-token', 'all-sports', 'ontology', 'stakenet',
       'educare', 'mixin', 'bottos', 'primas', 'nebulas-token', 'nuls',
       'ethereum', 'streamr-datacoin', '0x', 'bitcoin', 'eos'],
      dtype='object')"
20180720,"Index(['red-pulse', 'agrello-delta', 'cortex', 'quantstamp',
       'ripio-credit-network', 'vibe', 'neblio', 'qlink', 'matrix-ai-network',
       'suncontract', 'ravencoin', 'fusion', 'bnktothefuture', 'bottos',
       'credits', 'nexo', 'all-sports'],
      dtype='object')","Index(['polymath-network', 'singulardtv', 'waves', 'loom-network', 'truechain',
       'ark', 'populous', 'district0x', 'qash', 'ruff', 'nebulas-token',
       'loopring', 'sirin-labs-token', 'ren', 'ormeus-coin', 'syscoin',
       'nano'],
      dtype='object')","Index(['iota', 'gifto', 'adx-net', 'eos', 'rlc', 'crpt',
       'dynamic-trading-rights', 'wax', 'kyber-network', 'steem', 'stratis',
       'ontology', 'time-new-bank', 'cryptonex', 'primas', 'wings'],
      dtype='object')","Index(['ethereum', 'high-performance-blockchain', 'dash', 'maker', 'ignis',
       'litecoin', 'atn', 'enigma', 'bitcoin-cash', 'nuls', 'factom', 'mixin',
       'singularitynet', 'nem', 'mithril', 'neo', 'komodo'],
      dtype='object')","Index(['odem', 'bibox-token', 'power-ledger', 'cvcoin', 'stellar', 'stakenet',
       'bitcoin', 'crypto-com', 'zcash', 'nexus', '0x', 'ardor', 'educare',
       'monero', 'streamr-datacoin', 'cardano'],
      dtype='object')"
20180809,"Index(['nexo', 'suncontract', 'ruff', 'neblio', 'bnktothefuture', 'bottos',
       'ontology', 'loopring', 'quantstamp', 'nebulas-token', 'agrello-delta',
       'vibe', 'cortex', 'fusion', 'rlc', 'truechain', 'all-sports'],
      dtype='object')","Index(['credits', 'mixin', 'populous', 'iota', 'qlink', 'red-pulse',
       'ripio-credit-network', 'ark', 'nano', 'sirin-labs-token', 'ren',
       'syscoin', 'qash', 'educare', 'polymath-network', 'loom-network',
       'primas'],
      dtype='object')","Index(['time-new-bank', 'neo', 'singularitynet', 'enigma', 'nexus', 'gifto',
       'waves', 'factom', 'wings', 'stakenet', 'adx-net', 'matrix-ai-network',
       'stratis', 'singulardtv', 'high-performance-blockchain', 'nuls'],
      dtype='object')","Index(['cvcoin', 'ignis', 'litecoin', 'atn', 'bibox-token', 'cardano',
       'dynamic-trading-rights', 'nem', 'komodo', 'cryptonex', 'eos',
       'streamr-datacoin', 'ardor', 'wax', 'steem', 'district0x',
       'kyber-network'],
      dtype='object')","Index(['odem', 'bitcoin', 'crypto-com', 'stellar', 'maker', 'ormeus-coin',
       '0x', 'zcash', 'crpt', 'mithril', 'ethereum', 'monero', 'power-ledger',
       'bitcoin-cash', 'ravencoin', 'dash'],
      dtype='object')"
20180829,"Index(['ripio-credit-network', 'agrello-delta', 'atn', 'nebulas-token',
       'bibox-token', 'loopring', 'constellation', 'fusion', 'bnktothefuture',
       'bottos', 'ren', 'ruff', 'all-sports', 'educare', 'stakenet', 'nkn',
       'smartshare'],
      dtype='object')","Index(['quantstamp', 'nexo', 'enigma', 'streamr-datacoin', 'neblio',
       'time-new-bank', 'suncontract', 'adx-net', 'red-pulse', 'syscoin',
       'rlc', 'vibe', 'truechain', 'singularitynet', 'dynamic-trading-rights',
       'ontology', 'high-performance-blockchain'],
      dtype='object')","Index(['ark', 'loom-network', 'kyber-network', 'nem', 'stratis', 'gifto',
       'credits', 'eos', 'nexus', 'cryptonex', 'cortex', 'ethereum',
       'singulardtv', 'neo', 'matrix-ai-network', 'sirin-labs-token',
       'factom'],
      dtype='object')","Index(['komodo', 'qash', 'iota', 'ardor', 'crpt', 'cardano',
       'polymath-network', 'litecoin', 'wings', 'bitcoin-cash', 'nuls',
       'district0x', 'populous', 'steem', 'cvcoin', 'waves', 'ormeus-coin'],
      dtype='object')","Index(['odem', 'nano', 'bitcoin', 'stellar', 'ravencoin', 'crypto-com', '0x',
       'monero', 'maker', 'power-ledger', 'zcash', 'qlink', 'mithril', 'ignis',
       'dash', 'primas', 'wax'],
      dtype='object')"
20180918,"Index(['pundi-x', 'loom-network', 'time-new-bank', 'sirin-labs-token',
       'singularitynet', 'all-sports', 'fusion', 'ruff',
       'dynamic-trading-rights', 'red-pulse', 'nebulas-token', 'stakenet',
       'loopring', 'pchain', 'mixin', 'nkn', 'educare', 'smartshare'],
      dtype='object')","Index(['agrello-delta', 'adx-net', 'ethereum', 'matrix-ai-network', 'enigma',
       'bnktothefuture', 'bottos', 'neblio', 'quantstamp', 'kyber-network',
       'streamr-datacoin', 'suncontract', 'high-performance-blockchain',
       'polymath-network', 'gifto', 'constellation', 'factom', 'ormeus-coin'],
      dtype='object')","Index(['steem', 'syscoin', 'crypto-com', 'nem', 'ripio-credit-network', 'neo',
       'wax', 'cardano', 'populous', 'mithril', 'nexo', 'rlc', 'cortex', 'ark',
       'odem', 'nuls', 'ontology'],
      dtype='object')","Index(['komodo', 'singulardtv', 'nexus', 'ardor', 'credits', '0x', 'wings',
       'ignis', 'district0x', 'bitcoin-cash', 'power-ledger', 'primas',
       'truechain', 'iota', 'cvcoin', 'atn', 'bibox-token', 'stratis'],
      dtype='object')","Index(['vibe', 'stellar', 'ravencoin', 'bitcoin', 'qlink', 'nano', 'monero',
       'dash', 'cryptonex', 'crpt', 'qash', 'waves', 'ren', 'maker',
       'litecoin', 'zcash', 'eos'],
      dtype='object')"
20181008,"Index(['high-performance-blockchain', 'bibox-token', 'ormeus-coin', 'loopring',
       'red-pulse', 'atn', 'pchain', 'fusion', 'stakenet', 'cvcoin', 'mithril',
       'smartshare', 'nkn', 'constellation', 'odem', 'dynamic-trading-rights',
       'mixin', 'educare'],
      dtype='object')","Index(['cardano', 'enigma', 'singularitynet', 'all-sports', 'stratis',
       'power-ledger', 'bottos', 'time-new-bank', 'pundi-x', 'ethereum',
       'suncontract', 'wax', 'nuls', 'factom', 'crpt', 'gifto',
       'kyber-network', 'polymath-network'],
      dtype='object')","Index(['ripio-credit-network', 'loom-network', 'rlc', 'district0x', 'ignis',
       'streamr-datacoin', 'nebulas-token', 'iota', 'crypto-com', 'zcash',
       'quantstamp', 'ruff', 'credits', 'matrix-ai-network', 'neblio',
       'syscoin', 'neo', 'adx-net'],
      dtype='object')","Index(['ravencoin', 'truechain', 'komodo', 'litecoin', 'ardor', 'wings',
       'cortex', 'ontology', 'steem', 'populous', 'bitcoin-cash', '0x',
       'nexus', 'ark', 'sirin-labs-token', 'nem', 'bnktothefuture',
       'metronome'],
      dtype='object')","Index(['vibe', 'nexo', 'nano', 'maker', 'qash', 'qlink', 'monero', 'stellar',
       'agrello-delta', 'waves', 'bitcoin', 'ren', 'dash', 'primas', 'eos',
       'singulardtv', 'cryptonex'],
      dtype='object')"
20181028,"Index(['atn', 'nebulas-token', 'nuls', 'pchain', 'ontology', 'cardano',
       'truechain', 'ethereum', 'nkn', 'educare', 'populous', 'bibox-token',
       'cortex', 'smartshare', 'mixin', 'seele', 'odem', 'all-sports',
       'ormeus-coin'],
      dtype='object')","Index(['constellation', 'sirin-labs-token', 'nem', 'power-ledger', 'credits',
       'zcash', 'steem', 'stakenet', 'neo', 'crpt', 'mithril', 'factom',
       'suncontract', 'ignis', 'cvcoin', 'gifto', 'bitcoin-cash', 'vechain'],
      dtype='object')","Index(['cryptonex', 'bitcoin', 'dash', 'crypto-com', 'loopring', 'enigma',
       'ardor', 'kyber-network', 'syscoin', 'high-performance-blockchain',
       'bottos', 'pundi-x', 'matrix-ai-network', 'nexus', 'litecoin', 'fusion',
       'iota', 'waves', 'time-new-bank'],
      dtype='object')","Index(['singularitynet', 'qlink', 'wings', 'nano', 'district0x', 'ark',
       'bnktothefuture', 'quantstamp', 'wax', 'stratis', 'streamr-datacoin',
       'monero', 'dynamic-trading-rights', '0x', 'stellar', 'metronome',
       'ruff', 'eos'],
      dtype='object')","Index(['nexo', 'ravencoin', 'red-pulse', 'vibe', 'agrello-delta',
       'ripio-credit-network', 'ren', 'polymath-network', 'maker',
       'loom-network', 'qash', 'primas', 'neblio', 'rlc', 'adx-net', 'komodo',
       'singulardtv', 'bhp-coin'],
      dtype='object')"
20181117,"Index(['bibox-token', 'suncontract', 'kyber-network', 'gifto', 'populous',
       'neo', 'ignis', 'nano', 'nuls', 'seele', 'nexus', 'ormeus-coin',
       'cortex', 'truechain', 'bottos', 'vechain', 'all-sports', 'educare',
       'constellation'],
      dtype='object')","Index(['bitcoin-cash', 'ark', 'loopring', 'litecoin', 'stakenet', 'nkn',
       'cardano', 'iota', 'waves', 'nebulas-token', 'crpt', 'steem', 'enigma',
       'stratis', 'mithril', 'pundi-x', 'dash', 'mixin', 'ontology'],
      dtype='object')","Index(['bhp-coin', 'adx-net', 'zcash', 'bitcoin', 'bnktothefuture', 'ethereum',
       'qlink', 'matrix-ai-network', 'atn', 'komodo', 'cryptonex', 'syscoin',
       'credits', 'power-ledger', 'monero', 'ardor', 'time-new-bank',
       'high-performance-blockchain'],
      dtype='object')","Index(['wings', 'loom-network', 'rlc', 'singulardtv', 'odem', 'qash',
       'district0x', 'streamr-datacoin', 'pchain', 'stasis-euro', 'primas',
       'nem', '0x', 'ruff', 'eos', 'quantstamp', 'neblio', 'cvcoin',
       'crypto-com'],
      dtype='object')","Index(['nexo', 'dynamic-trading-rights', 'sirin-labs-token', 'agrello-delta',
       'maker', 'ravencoin', 'red-pulse', 'vibe', 'wax', 'polymath-network',
       'factom', 'ripio-credit-network', 'singularitynet', 'stellar', 'ren',
       'smartshare', 'fusion', 'metronome'],
      dtype='object')"
20181207,"Index(['eos', 'vibe', 'vechain', 'neo', 'ormeus-coin',
       'high-performance-blockchain', 'educare', 'nexus', 'primas', 'ontology',
       'mithril', 'steem', 'zip', 'seele', 'all-sports', 'bottos', 'crpt',
       'bitcoin-cash', 'constellation'],
      dtype='object')","Index(['quantstamp', 'bnktothefuture', 'atn', 'syscoin', 'pchain', 'cortex',
       'truechain', 'nano', 'pundi-x', 'time-new-bank', 'suncontract',
       'cardano', 'kyber-network', 'matrix-ai-network', 'qlink', 'dash',
       'gifto', 'nuls', 'nkn'],
      dtype='object')","Index(['district0x', 'ripio-credit-network', 'litecoin', 'power-ledger',
       'loom-network', 'bibox-token', 'zcash', 'nebulas-token', 'enigma',
       'populous', 'mixin', 'ignis', 'ardor', 'iota', 'ethereum', 'ruff',
       'stratis', 'monero', 'loopring'],
      dtype='object')","Index(['ren', 'red-pulse', 'smartshare', 'credits', 'bitcoin',
       'streamr-datacoin', 'cryptonex', 'neblio', 'wings', '0x', 'metronome',
       'ark', 'rlc', 'stellar', 'adx-net', 'agrello-delta', 'crypto-com',
       'singulardtv', 'komodo'],
      dtype='object')","Index(['factom', 'odem', 'dynamic-trading-rights', 'nexo', 'ravencoin',
       'stasis-euro', 'qash', 'singularitynet', 'wax', 'thorecoin', 'cvcoin',
       'nem', 'fusion', 'maker', 'sirin-labs-token', 'polymath-network',
       'stakenet', 'waves'],
      dtype='object')"
