,Port1,Port2,Port3,Port4,Port5
20180415,"Index(['qash', 'credits', 'nuls', 'nano', 'all-sports', 'stellar',
       'nebulas-token', 'polymath-network', 'zcash', 'dash', 'qlink',
       'truechain', 'monero', 'bitcoin-cash', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['rlc', 'vibe', 'agrello-delta', 'wings', 'primas', 'factom',
       'matrix-ai-network', 'maker', 'cvcoin', 'crpt',
       'dynamic-trading-rights', 'atn', 'bottos', 'cryptonex', 'ravencoin'],
      dtype='object')","Index(['stratis', 'syscoin', 'ruff', 'ark', 'loom-network', 'adx-net',
       'fusion', 'bibox-token', 'gifto', 'singularitynet', 'ormeus-coin',
       'ren', 'streamr-datacoin', 'populous', 'nexus'],
      dtype='object')","Index(['sirin-labs-token', 'high-performance-blockchain', 'quantstamp', '0x',
       'wax', 'red-pulse', 'waves', 'komodo', 'time-new-bank', 'neblio',
       'enigma', 'ignis', 'district0x', 'suncontract', 'kyber-network'],
      dtype='object')","Index(['eos', 'mithril', 'ontology', 'ethereum', 'neo', 'cardano', 'steem',
       'ardor', 'singulardtv', 'nem', 'iota', 'ripio-credit-network',
       'power-ledger', 'crypto-com', 'loopring'],
      dtype='object')"
20180421,"Index(['atn', 'factom', 'waves', 'qash', 'ravencoin', 'nuls', 'nebulas-token',
       'cryptonex', 'ormeus-coin', 'sirin-labs-token', 'credits',
       'high-performance-blockchain', 'polymath-network', 'truechain',
       'litecoin', 'bitcoin'],
      dtype='object')","Index(['ark', 'streamr-datacoin', 'qlink', 'wings', 'zcash', 'crpt', 'primas',
       'nano', 'singularitynet', 'bottos', 'maker', 'matrix-ai-network',
       'cvcoin', 'dynamic-trading-rights', 'bibox-token'],
      dtype='object')","Index(['neblio', 'syscoin', 'nexus', 'komodo', 'loom-network', 'red-pulse',
       'kyber-network', 'stratis', 'gifto', 'adx-net', 'fusion', 'ardor',
       'vibe', 'ignis', 'all-sports'],
      dtype='object')","Index(['ripio-credit-network', 'loopring', 'quantstamp', '0x', 'enigma', 'wax',
       'power-ledger', 'suncontract', 'district0x', 'agrello-delta', 'ren',
       'ruff', 'rlc', 'dash', 'time-new-bank'],
      dtype='object')","Index(['eos', 'mithril', 'crypto-com', 'cardano', 'bitcoin-cash', 'ethereum',
       'neo', 'stellar', 'iota', 'ontology', 'monero', 'singulardtv', 'nem',
       'steem', 'populous'],
      dtype='object')"
20180427,"Index(['credits', 'cryptonex', 'factom', 'waves', 'singulardtv', 'zcash',
       'suncontract', 'ontology', 'high-performance-blockchain', 'ormeus-coin',
       'educare', 'neo', 'adx-net', 'litecoin', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['ardor', 'ignis', 'stratis', 'crpt', 'matrix-ai-network',
       'singularitynet', 'cvcoin', 'maker', 'dynamic-trading-rights', 'atn',
       'primas', 'streamr-datacoin', 'wings', 'ravencoin', 'qash',
       'sirin-labs-token'],
      dtype='object')","Index(['time-new-bank', 'ren', 'nexus', 'enigma', 'komodo', 'nebulas-token',
       'ark', 'neblio', 'loopring', 'vibe', 'loom-network', 'nano', 'nuls',
       'fusion', 'bottos'],
      dtype='object')","Index(['populous', 'power-ledger', '0x', 'ruff', 'wax', 'syscoin',
       'agrello-delta', 'qlink', 'mixin', 'quantstamp', 'bibox-token',
       'all-sports', 'rlc', 'ripio-credit-network', 'polymath-network',
       'red-pulse'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'crypto-com', 'mithril', 'cardano', 'stellar',
       'kyber-network', 'district0x', 'iota', 'gifto', 'steem', 'monero',
       'truechain', 'nem', 'dash'],
      dtype='object')"
20180503,"Index(['factom', 'high-performance-blockchain', 'komodo', 'ardor', 'populous',
       'ormeus-coin', 'wax', 'zcash', 'nem', 'dash', 'monero', 'adx-net',
       'crypto-com', 'ethereum', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['matrix-ai-network', 'rlc', 'ren', 'dynamic-trading-rights', 'maker',
       'cvcoin', 'stakenet', 'atn', 'singularitynet', 'crpt', 'wings', 'nexus',
       'singulardtv', 'streamr-datacoin', 'cryptonex', 'suncontract'],
      dtype='object')","Index(['power-ledger', 'mixin', 'nano', 'polymath-network', 'quantstamp',
       'syscoin', 'ripio-credit-network', 'enigma', 'qlink', 'agrello-delta',
       'ark', 'bibox-token', 'vibe', 'credits', 'qash', 'ravencoin'],
      dtype='object')","Index(['waves', 'ruff', 'loom-network', 'cortex', 'time-new-bank', 'stellar',
       'nuls', 'mithril', 'educare', 'red-pulse', 'loopring', 'stratis',
       'fusion', '0x', 'primas', 'neblio'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'gifto', 'ontology', 'cardano', 'truechain',
       'ignis', 'all-sports', 'kyber-network', 'district0x', 'nebulas-token',
       'steem', 'sirin-labs-token', 'neo', 'iota', 'bottos'],
      dtype='object')"
20180509,"Index(['ardor', 'credits', 'high-performance-blockchain', 'factom',
       'power-ledger', 'ormeus-coin', 'qlink', 'populous', 'bibox-token',
       'crypto-com', 'nem', 'cortex', 'zcash', 'steem', 'dash', 'monero',
       'bitcoin'],
      dtype='object')","Index(['odem', 'cvcoin', 'atn', 'dynamic-trading-rights', 'stakenet', 'maker',
       'vibe', 'streamr-datacoin', 'crpt', 'komodo', 'qash', 'syscoin',
       'mixin', 'wings', 'adx-net', 'cryptonex'],
      dtype='object')","Index(['neblio', 'quantstamp', 'wax', 'ren', 'enigma', 'singulardtv',
       'matrix-ai-network', 'suncontract', 'ripio-credit-network',
       'agrello-delta', 'ravencoin', 'nexus', 'ark', 'district0x',
       'singularitynet', 'rlc'],
      dtype='object')","Index(['sirin-labs-token', 'stellar', 'bottos', 'waves', 'litecoin', 'educare',
       'nano', 'time-new-bank', 'ruff', 'nuls', 'loopring', 'red-pulse',
       'stratis', 'polymath-network', 'fusion', 'primas'],
      dtype='object')","Index(['eos', 'ethereum', 'bitcoin-cash', 'truechain', 'ontology', 'gifto',
       'all-sports', 'cardano', 'ignis', 'iota', 'mithril', 'loom-network',
       'kyber-network', 'neo', 'nebulas-token', '0x'],
      dtype='object')"
20180515,"Index(['dash', 'syscoin', 'qash', 'red-pulse', 'time-new-bank', 'steem',
       'power-ledger', 'qlink', 'sirin-labs-token', 'populous', 'monero',
       'loopring', 'gifto', 'neo', 'cortex', 'cardano', 'eos'],
      dtype='object')","Index(['atn', 'ardor', 'odem', 'nexus', 'cvcoin', 'dynamic-trading-rights',
       'singularitynet', 'stakenet', 'mixin', 'neblio', 'ormeus-coin',
       'singulardtv', 'district0x', 'vibe', 'wings', 'factom'],
      dtype='object')","Index(['suncontract', 'high-performance-blockchain', 'agrello-delta',
       'adx-net', 'ark', 'kyber-network', 'ripio-credit-network', 'ravencoin',
       'nano', 'stellar', 'crpt', 'ruff', 'wax', 'stratis', 'maker',
       'cryptonex'],
      dtype='object')","Index(['crypto-com', 'ignis', 'bottos', 'fusion', 'ren', 'waves',
       'nebulas-token', 'educare', 'credits', 'enigma', 'nem',
       'matrix-ai-network', 'rlc', 'quantstamp', 'streamr-datacoin', 'komodo'],
      dtype='object')","Index(['ethereum', 'bitcoin', 'bitcoin-cash', 'truechain', 'all-sports',
       'zcash', 'iota', 'litecoin', 'loom-network', 'ontology', '0x', 'primas',
       'mithril', 'polymath-network', 'bibox-token', 'nuls'],
      dtype='object')"
20180521,"Index(['stratis', 'wax', 'all-sports', 'matrix-ai-network', 'loopring',
       'neblio', 'nano', 'power-ledger', 'nebulas-token', 'loom-network',
       'gifto', 'litecoin', 'neo', 'cardano', 'mithril', 'bitcoin-cash',
       'eos'],
      dtype='object')","Index(['ravencoin', 'cvcoin', 'dynamic-trading-rights',
       'high-performance-blockchain', 'nexus', 'singularitynet', 'bottos',
       'ardor', 'qash', 'qlink', 'singulardtv', 'ripio-credit-network',
       'factom', 'time-new-bank', 'nexo', 'red-pulse', 'kyber-network'],
      dtype='object')","Index(['enigma', 'nem', 'agrello-delta', 'wings', 'ignis', 'crpt',
       'ormeus-coin', 'maker', 'vibe', 'ark', 'cryptonex', 'mixin', 'stakenet',
       'district0x', 'atn', 'odem'],
      dtype='object')","Index(['populous', 'syscoin', 'stellar', 'bnktothefuture', 'fusion', 'ren',
       'monero', 'komodo', 'waves', 'steem', 'crypto-com', 'credits',
       'adx-net', 'streamr-datacoin', 'ruff', 'dash', 'suncontract'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'zcash', 'truechain', 'bibox-token', 'cortex',
       'iota', 'educare', 'primas', 'rlc', '0x', 'nuls', 'ontology',
       'polymath-network', 'sirin-labs-token', 'quantstamp'],
      dtype='object')"
20180527,"Index(['stellar', 'nano', 'neo', 'matrix-ai-network', 'neblio', 'gifto',
       'nebulas-token', 'loopring', 'power-ledger', 'crypto-com', 'iota',
       'kyber-network', 'waves', 'dash', 'cardano', 'mithril', 'bitcoin-cash'],
      dtype='object')","Index(['credits', 'wings', 'loom-network', 'red-pulse', 'monero', 'enigma',
       'nuls', 'streamr-datacoin', 'stratis', 'ruff', 'steem',
       'bnktothefuture', 'wax', 'ark', 'qlink', 'time-new-bank', 'nexo'],
      dtype='object')","Index(['odem', 'atn', 'dynamic-trading-rights', 'ravencoin', 'singulardtv',
       'agrello-delta', 'adx-net', 'cryptonex', 'maker', 'qash', 'ignis',
       'nem', 'district0x', 'polymath-network', 'fusion',
       'ripio-credit-network'],
      dtype='object')","Index(['populous', 'ren', 'sirin-labs-token', 'bottos',
       'high-performance-blockchain', 'singularitynet', 'nexus', 'komodo',
       'crpt', 'ardor', 'ormeus-coin', 'stakenet', 'mixin', 'suncontract',
       'vibe', 'factom', 'cvcoin'],
      dtype='object')","Index(['bitcoin', 'eos', 'zcash', 'truechain', 'bibox-token', 'cortex',
       'educare', '0x', 'rlc', 'litecoin', 'ethereum', 'quantstamp', 'syscoin',
       'primas', 'all-sports', 'ontology'],
      dtype='object')"
20180602,"Index(['neblio', 'stratis', 'time-new-bank', 'matrix-ai-network', 'fusion',
       'nano', 'loopring', 'primas', 'steem', 'crypto-com', 'monero', 'waves',
       'dash', 'populous', 'zcash', 'cortex', 'ethereum'],
      dtype='object')","Index(['vibe', 'streamr-datacoin', 'enigma', 'adx-net', 'ignis', 'komodo',
       'quantstamp', 'polymath-network', 'red-pulse', 'wax', 'loom-network',
       'power-ledger', 'nem', 'qlink', 'credits', 'gifto', 'nexo'],
      dtype='object')","Index(['sirin-labs-token', 'ravencoin', 'odem', 'dynamic-trading-rights',
       'singulardtv', 'maker', 'ripio-credit-network', 'qash', 'atn',
       'ormeus-coin', 'factom', 'ren', 'suncontract', 'ark', 'agrello-delta',
       'syscoin'],
      dtype='object')","Index(['bitcoin-cash', 'mithril', 'rlc', 'nexus',
       'high-performance-blockchain', 'kyber-network', 'singularitynet',
       'nuls', 'bnktothefuture', 'bottos', 'wings', 'cryptonex', 'mixin',
       'stakenet', 'ardor', 'district0x', 'crpt'],
      dtype='object')","Index(['bitcoin', 'eos', 'iota', 'cardano', '0x', 'bibox-token', 'all-sports',
       'truechain', 'ontology', 'educare', 'neo', 'nebulas-token', 'litecoin',
       'ruff', 'stellar', 'cvcoin'],
      dtype='object')"
20180608,"Index(['gifto', 'stratis', 'ormeus-coin', 'credits', 'fusion', 'crypto-com',
       'polymath-network', 'loom-network', 'bottos', 'steem', 'monero',
       'nexus', 'litecoin', 'populous', 'cortex', 'dash', 'zcash'],
      dtype='object')","Index(['qash', 'agrello-delta', 'syscoin', 'ignis', 'nano', 'adx-net',
       'primas', 'matrix-ai-network', 'qlink', 'bnktothefuture', 'wax', 'nexo',
       'ardor', 'suncontract', 'quantstamp', 'neblio'],
      dtype='object')","Index(['district0x', 'cryptonex', 'crpt', 'odem', 'maker',
       'dynamic-trading-rights', 'komodo', 'vibe', 'ravencoin', 'atn', 'nem',
       'ark', 'red-pulse', 'ripio-credit-network', 'power-ledger',
       'singulardtv', 'factom'],
      dtype='object')","Index(['singularitynet', 'kyber-network', 'rlc', 'streamr-datacoin', 'stellar',
       'mithril', 'loopring', 'sirin-labs-token', 'time-new-bank', 'waves',
       'ren', 'nuls', 'wings', 'enigma', 'neo', 'stakenet'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'ontology', 'cardano', 'ethereum', 'iota',
       'bibox-token', 'all-sports', 'truechain', 'nebulas-token', 'educare',
       'bitcoin', '0x', 'cvcoin', 'ruff', 'high-performance-blockchain'],
      dtype='object')"
