,Port1,Port2,Port3,Port4,Port5
20180405,"Index(['all-sports', 'suncontract', 'nebulas-token', 'zcash', 'district0x',
       'iota', 'neo', 'nuls', 'stellar', 'monero', 'qlink', 'mithril',
       'bitcoin-cash', 'eos', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['enigma', 'nexus', 'primas', 'ren', 'ravencoin', 'time-new-bank',
       'adx-net', 'gifto', 'coinmeet', 'kyber-network', 'nano', 'qash', 'ruff',
       'truechain', 'neblio'],
      dtype='object')","Index(['loom-network', 'cryptonex', 'maker', 'polymath-network',
       'matrix-ai-network', 'agrello-delta', 'bottos', 'singularitynet',
       'dynamic-trading-rights', 'atn', 'crpt', 'bibox-token',
       'streamr-datacoin', 'ormeus-coin', 'red-pulse', 'wings'],
      dtype='object')","Index(['wax', 'waves', 'komodo', 'quantstamp', '0x', 'loopring', 'fusion',
       'singulardtv', 'populous', 'syscoin', 'vibe', 'rlc', 'factom',
       'credits', 'cvcoin'],
      dtype='object')","Index(['ardor', 'steem', 'ontology', 'power-ledger', 'nem', 'litecoin',
       'sirin-labs-token', 'crypto-com', 'cardano',
       'high-performance-blockchain', 'dash', 'ignis', 'ripio-credit-network',
       'ark', 'stratis'],
      dtype='object')"
20180414,"Index(['wings', 'ignis', 'ardor', 'suncontract', 'adx-net', 'nebulas-token',
       'credits', 'dash', 'quantstamp', 'polymath-network', 'monero',
       'sirin-labs-token', 'bitcoin-cash', 'ontology', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['qlink', 'dynamic-trading-rights', 'maker', 'crpt', 'streamr-datacoin',
       'cvcoin', 'bottos', 'atn', 'ripio-credit-network', 'fusion',
       'cryptonex', 'ravencoin', 'ark', 'high-performance-blockchain', 'qash',
       'district0x'],
      dtype='object')","Index(['vibe', 'komodo', 'factom', 'crypto-com', 'red-pulse', 'nexus',
       'enigma', 'syscoin', 'matrix-ai-network', 'primas', 'wax', 'rlc',
       'singularitynet', 'agrello-delta', 'ruff'],
      dtype='object')","Index(['kyber-network', 'bibox-token', 'ormeus-coin', 'power-ledger',
       'all-sports', '0x', 'neblio', 'nuls', 'ren', 'time-new-bank',
       'loom-network', 'waves', 'gifto', 'populous', 'nano', 'mixin'],
      dtype='object')","Index(['eos', 'mithril', 'cardano', 'steem', 'singulardtv', 'ethereum', 'iota',
       'neo', 'zcash', 'stellar', 'loopring', 'truechain', 'educare', 'nem',
       'stratis'],
      dtype='object')"
20180423,"Index(['steem', 'loopring', 'cardano', 'zcash', 'waves', 'wax', 'nem',
       'cortex', 'stellar', 'ontology', 'neo', 'crypto-com', 'adx-net',
       'litecoin', 'mithril', 'bitcoin'],
      dtype='object')","Index(['vibe', 'wings', 'high-performance-blockchain', 'qlink', 'gifto', 'ren',
       'nexus', 'power-ledger', 'komodo', 'ignis', 'ardor', 'neblio',
       'stratis', 'singulardtv', 'sirin-labs-token', 'nano'],
      dtype='object')","Index(['streamr-datacoin', 'crpt', 'maker', 'cvcoin', 'stakenet',
       'bibox-token', 'factom', 'cryptonex', 'dynamic-trading-rights', 'atn',
       'fusion', 'agrello-delta', 'qash', 'singularitynet', 'loom-network',
       'ravencoin'],
      dtype='object')","Index(['polymath-network', 'bottos', 'nebulas-token', 'time-new-bank', 'ark',
       '0x', 'nuls', 'populous', 'credits', 'ormeus-coin', 'primas',
       'kyber-network', 'rlc', 'mixin', 'red-pulse', 'matrix-ai-network'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'ethereum', 'district0x', 'monero', 'iota',
       'ruff', 'truechain', 'dash', 'ripio-credit-network', 'all-sports',
       'educare', 'quantstamp', 'enigma', 'syscoin', 'suncontract'],
      dtype='object')"
20180502,"Index(['cardano', 'ripio-credit-network', 'zcash', 'syscoin', 'nem',
       'crypto-com', 'gifto', 'iota', 'dash', 'steem', 'kyber-network',
       'monero', 'litecoin', 'mithril', 'bitcoin-cash', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['atn', 'crpt', 'stakenet', 'populous', 'maker', 'rlc',
       'streamr-datacoin', 'ren', 'adx-net', '0x', 'cryptonex', 'ormeus-coin',
       'mixin', 'matrix-ai-network', 'nexus', 'ark'],
      dtype='object')","Index(['power-ledger', 'bibox-token', 'komodo', 'singularitynet', 'vibe',
       'nuls', 'credits', 'primas', 'suncontract', 'loom-network', 'ardor',
       'cvcoin', 'ravencoin', 'factom', 'dynamic-trading-rights', 'odem'],
      dtype='object')","Index(['nano', 'stratis', 'ruff', 'neblio', 'enigma', 'quantstamp', 'fusion',
       'qash', 'agrello-delta', 'singulardtv', 'high-performance-blockchain',
       'district0x', 'polymath-network', 'qlink', 'wings', 'wax'],
      dtype='object')","Index(['eos', 'ontology', 'ignis', 'neo', 'all-sports', 'truechain', 'cortex',
       'sirin-labs-token', 'educare', 'bottos', 'time-new-bank', 'stellar',
       'loopring', 'nebulas-token', 'red-pulse', 'waves'],
      dtype='object')"
20180511,"Index(['stratis', 'dash', 'populous', 'crypto-com', 'cortex', 'bitcoin-cash',
       'stellar', 'nano', 'educare', 'all-sports', 'nebulas-token', 'gifto',
       'loom-network', 'ontology', 'neo', 'cardano', 'litecoin'],
      dtype='object')","Index(['factom', 'qash', 'district0x', 'komodo', 'vibe', 'qlink',
       'singulardtv', 'syscoin', 'ignis', 'neblio', 'wax',
       'ripio-credit-network', 'power-ledger', 'red-pulse', 'nem', 'loopring',
       'time-new-bank'],
      dtype='object')","Index(['ormeus-coin', 'atn', 'quantstamp', 'steem', 'mixin', 'cvcoin',
       'stakenet', 'agrello-delta', 'dynamic-trading-rights', 'odem', 'nexus',
       'ardor', 'wings', 'crpt', 'ark', 'singularitynet'],
      dtype='object')","Index(['credits', 'fusion', 'adx-net', 'ren', 'suncontract', 'enigma', 'nexo',
       'matrix-ai-network', 'streamr-datacoin', 'monero', 'zcash', 'bottos',
       'rlc', 'maker', 'cryptonex', 'high-performance-blockchain',
       'ravencoin'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'iota', 'bibox-token', '0x', 'primas',
       'sirin-labs-token', 'mithril', 'polymath-network', 'bnktothefuture',
       'truechain', 'nuls', 'kyber-network', 'ruff', 'waves'],
      dtype='object')"
20180520,"Index(['nebulas-token', 'loopring', 'litecoin', 'power-ledger', 'stellar',
       'matrix-ai-network', 'neblio', 'gifto', 'rlc', 'crypto-com', 'neo',
       'cardano', 'iota', 'dash', 'mithril', 'truechain', 'bitcoin-cash'],
      dtype='object')","Index(['red-pulse', 'credits', 'ren', 'cryptonex', 'bottos',
       'streamr-datacoin', 'bnktothefuture', 'enigma', 'loom-network', 'nexo',
       'wax', 'kyber-network', 'waves', 'stratis', 'nem', 'sirin-labs-token',
       'nano'],
      dtype='object')","Index(['singulardtv', 'agrello-delta', 'stakenet', 'qlink', 'cvcoin', 'atn',
       'maker', 'wings', 'odem', 'dynamic-trading-rights', 'nexus', 'qash',
       'ravencoin', 'adx-net', 'ruff', 'nuls'],
      dtype='object')","Index(['komodo', 'fusion', 'ormeus-coin', 'primas', 'vibe', 'suncontract',
       'mixin', 'high-performance-blockchain', 'ripio-credit-network',
       'district0x', 'ark', 'ignis', 'singularitynet', 'polymath-network',
       'ardor', 'crpt', 'factom'],
      dtype='object')","Index(['eos', 'bitcoin', 'ethereum', 'cortex', 'bibox-token', 'populous',
       'zcash', 'quantstamp', 'syscoin', 'educare', 'all-sports', '0x',
       'ontology', 'monero', 'steem', 'time-new-bank'],
      dtype='object')"
20180529,"Index(['nem', 'nano', 'crypto-com', 'kyber-network', 'waves', 'ontology',
       'steem', 'mithril', 'stellar', 'populous', '0x', 'cardano', 'cortex',
       'dash', 'zcash', 'bitcoin-cash', 'ethereum'],
      dtype='object')","Index(['factom', 'gifto', 'time-new-bank', 'wax', 'bibox-token', 'quantstamp',
       'nuls', 'credits', 'suncontract', 'singularitynet', 'sirin-labs-token',
       'loom-network', 'enigma', 'qlink', 'bnktothefuture', 'fusion',
       'stratis'],
      dtype='object')","Index(['cvcoin', 'adx-net', 'atn', 'syscoin', 'primas', 'komodo', 'ravencoin',
       'vibe', 'ripio-credit-network', 'ark', 'singulardtv', 'ignis', 'crpt',
       'matrix-ai-network', 'red-pulse', 'power-ledger'],
      dtype='object')","Index(['wings', 'nexus', 'bottos', 'neblio', 'district0x', 'cryptonex',
       'loopring', 'ormeus-coin', 'stakenet', 'ren', 'streamr-datacoin',
       'mixin', 'maker', 'agrello-delta', 'dynamic-trading-rights', 'odem',
       'qash'],
      dtype='object')","Index(['bitcoin', 'eos', 'truechain', 'all-sports', 'litecoin', 'educare',
       'nebulas-token', 'rlc', 'polymath-network', 'neo', 'nexo', 'ruff',
       'high-performance-blockchain', 'monero', 'ardor', 'iota'],
      dtype='object')"
20180607,"Index(['kyber-network', 'cortex', 'crypto-com', 'truechain',
       'polymath-network', 'bibox-token', 'neo', 'nexus', 'dash', 'educare',
       'zcash', 'cardano', 'litecoin', 'iota', 'mithril', 'bitcoin-cash',
       'eos'],
      dtype='object')","Index(['ripio-credit-network', 'wax', 'credits', 'suncontract', 'nkn',
       'quantstamp', 'ardor', 'sirin-labs-token', 'populous', 'ruff', 'gifto',
       'nem', 'nano', 'nexo', 'loom-network', 'neblio', 'bottos'],
      dtype='object')","Index(['vibe', 'syscoin', 'singulardtv', 'bnktothefuture', 'agrello-delta',
       'rlc', 'adx-net', 'district0x', 'matrix-ai-network', 'ormeus-coin',
       'steem', 'qlink', 'monero', 'stratis', 'nuls', 'wings'],
      dtype='object')","Index(['ren', 'cryptonex', 'factom', 'odem', 'atn', 'crpt', 'power-ledger',
       'primas', 'dynamic-trading-rights', 'red-pulse', 'maker', 'ravencoin',
       'cvcoin', 'ark', 'komodo', 'ignis', 'qash'],
      dtype='object')","Index(['bitcoin', 'ontology', 'ethereum', 'singularitynet', 'streamr-datacoin',
       'high-performance-blockchain', 'stellar', '0x', 'enigma', 'all-sports',
       'waves', 'time-new-bank', 'nebulas-token', 'loopring', 'fusion',
       'stakenet'],
      dtype='object')"
20180616,"Index(['gifto', 'qash', 'polymath-network', 'all-sports', 'stratis',
       'singularitynet', 'waves', 'cortex', 'loom-network', 'nem', 'truechain',
       'ontology', 'bitcoin-cash', 'iota', 'neo', 'litecoin', 'bibox-token'],
      dtype='object')","Index(['maker', 'stakenet', 'ormeus-coin', 'adx-net', 'matrix-ai-network',
       'streamr-datacoin', 'nexus', 'power-ledger', 'credits', 'factom', 'wax',
       'quantstamp', 'bnktothefuture', 'primas', 'neblio', 'wings',
       'time-new-bank'],
      dtype='object')","Index(['singulardtv', 'agrello-delta', 'vibe', 'ignis', 'atn', 'odem',
       'dynamic-trading-rights', 'komodo', 'ark', 'rlc', 'nuls', 'red-pulse',
       'syscoin', 'district0x', 'steem', 'suncontract'],
      dtype='object')","Index(['educare', 'enigma', 'nkn', 'high-performance-blockchain',
       'sirin-labs-token', 'loopring', 'crypto-com', 'ruff', 'crpt', 'cvcoin',
       'ren', 'monero', 'qlink', 'cryptonex', 'ravencoin', 'kyber-network',
       'ardor'],
      dtype='object')","Index(['eos', 'ethereum', 'mithril', 'bitcoin', 'nebulas-token', 'dash',
       'stellar', 'zcash', 'ripio-credit-network', 'bottos', 'nexo', 'cardano',
       'fusion', 'nano', 'populous', '0x'],
      dtype='object')"
20180625,"Index(['populous', '0x', 'stellar', 'iota', 'nem', 'nebulas-token', 'mithril',
       'cardano', 'waves', 'cortex', 'bitcoin-cash', 'neo', 'ontology',
       'truechain', 'bibox-token', 'litecoin', 'eos'],
      dtype='object')","Index(['power-ledger', 'sirin-labs-token', 'educare', 'nexus', 'kyber-network',
       'fusion', 'qlink', 'nuls', 'qash', 'nkn', 'stratis', 'ren',
       'time-new-bank', 'gifto', 'neblio', 'streamr-datacoin', 'nano'],
      dtype='object')","Index(['syscoin', 'red-pulse', 'district0x', 'vibe', 'agrello-delta', 'steem',
       'smartshare', 'adx-net', 'primas', 'crpt', 'ripio-credit-network',
       'bottos', 'ardor', 'enigma', 'ruff', 'quantstamp', 'matrix-ai-network'],
      dtype='object')","Index(['suncontract', 'nexo', 'komodo', 'rlc', 'wings', 'loopring', 'maker',
       'dynamic-trading-rights', 'cvcoin', 'stakenet', 'atn', 'ravencoin',
       'ark', 'factom', 'singulardtv', 'polymath-network', 'ignis'],
      dtype='object')","Index(['bitcoin', 'all-sports', 'monero', 'ethereum', 'dash', 'crypto-com',
       'loom-network', 'odem', 'bnktothefuture', 'zcash',
       'high-performance-blockchain', 'singularitynet', 'ormeus-coin', 'wax',
       'cryptonex', 'credits', 'constellation'],
      dtype='object')"
