,Port1,Port2,Port3,Port4,Port5
20180415,"Index(['nexus', 'factom', 'populous', 'cryptonex', 'matrix-ai-network',
       'primas', 'crpt', 'wings', 'vibe', 'agrello-delta', 'rlc',
       'dynamic-trading-rights', 'atn', 'maker', 'cvcoin', 'bottos'],
      dtype='object')","Index(['fusion', 'credits', 'kyber-network', 'nano', 'syscoin', 'adx-net',
       'streamr-datacoin', 'stratis', 'bibox-token', 'ark', 'ren', 'ravencoin',
       'singularitynet', 'gifto', 'qash'],
      dtype='object')","Index(['wax', 'ormeus-coin', 'dash', 'waves', 'monero', 'enigma',
       'time-new-bank', 'komodo', 'ignis', 'nebulas-token', 'district0x',
       'nuls', 'all-sports', 'loom-network', '0x'],
      dtype='object')","Index(['suncontract', 'iota', 'bitcoin-cash', 'power-ledger', 'nem',
       'sirin-labs-token', 'quantstamp', 'crypto-com', 'stellar', 'ruff',
       'zcash', 'neblio', 'qlink', 'red-pulse', 'loopring'],
      dtype='object')","Index(['mithril', 'eos', 'ontology', 'bitcoin', 'cardano', 'neo', 'steem',
       'ethereum', 'ardor', 'truechain', 'litecoin', 'singulardtv',
       'high-performance-blockchain', 'polymath-network',
       'ripio-credit-network'],
      dtype='object')"
20180503,"Index(['agrello-delta', 'nexus', 'factom', 'singularitynet', 'wings', 'komodo',
       'streamr-datacoin', 'matrix-ai-network', 'rlc', 'cryptonex', 'crpt',
       'atn', 'maker', 'dynamic-trading-rights', 'cvcoin', 'stakenet'],
      dtype='object')","Index(['qlink', 'ormeus-coin', 'qash', 'enigma', 'stratis', 'populous',
       'syscoin', 'high-performance-blockchain', 'nem', 'singulardtv', 'ark',
       'suncontract', 'ren', 'vibe', 'ardor', 'ravencoin'],
      dtype='object')","Index(['nuls', 'time-new-bank', 'mixin', 'dash', 'wax', 'ripio-credit-network',
       'nano', 'power-ledger', 'zcash', 'neblio', '0x', 'bibox-token',
       'quantstamp', 'fusion', 'polymath-network', 'credits'],
      dtype='object')","Index(['ethereum', 'bottos', 'nebulas-token', 'educare', 'iota',
       'loom-network', 'ruff', 'crypto-com', 'sirin-labs-token', 'litecoin',
       'monero', 'primas', 'red-pulse', 'stellar', 'loopring', 'waves'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'bitcoin', 'gifto', 'mithril', 'adx-net',
       'ontology', 'ignis', 'truechain', 'cardano', 'all-sports', 'steem',
       'cortex', 'district0x', 'neo', 'kyber-network'],
      dtype='object')"
20180521,"Index(['wings', 'cryptonex', 'ormeus-coin', 'red-pulse', 'mixin', 'maker',
       'ravencoin', 'odem', 'ardor', 'singulardtv', 'stakenet', 'qash',
       'singularitynet', 'atn', 'cvcoin', 'nexus', 'dynamic-trading-rights'],
      dtype='object')","Index(['steem', 'ark', 'waves', 'suncontract', 'wax', 'komodo',
       'agrello-delta', 'nano', 'crpt', 'adx-net', 'bottos', 'ignis',
       'district0x', 'ripio-credit-network', 'factom', 'qlink', 'vibe'],
      dtype='object')","Index(['ren', 'kyber-network', 'time-new-bank', 'loom-network', 'neo',
       'streamr-datacoin', 'neblio', 'credits', 'nebulas-token', 'fusion',
       'high-performance-blockchain', 'monero', 'enigma', 'ruff', 'stratis',
       'nem'],
      dtype='object')","Index(['ontology', 'gifto', 'stellar', 'nuls', 'litecoin', 'polymath-network',
       'crypto-com', 'quantstamp', 'sirin-labs-token', 'cardano', 'loopring',
       'syscoin', 'power-ledger', 'dash', 'nexo', 'bnktothefuture',
       'matrix-ai-network'],
      dtype='object')","Index(['truechain', 'eos', 'zcash', 'bitcoin', 'cortex', 'bitcoin-cash',
       'mithril', 'bibox-token', 'educare', 'ethereum', 'primas', 'iota',
       'rlc', 'populous', '0x', 'all-sports'],
      dtype='object')"
20180608,"Index(['atn', 'wax', 'factom', 'power-ledger', 'red-pulse',
       'matrix-ai-network', 'ark', 'syscoin', 'adx-net', 'ignis', 'qash',
       'komodo', 'singulardtv', 'odem', 'vibe', 'maker',
       'dynamic-trading-rights'],
      dtype='object')","Index(['bnktothefuture', 'loom-network', 'cryptonex', 'ardor', 'agrello-delta',
       'district0x', 'suncontract', 'wings', 'ripio-credit-network',
       'quantstamp', 'crpt', 'ren', 'primas', 'stakenet', 'stratis',
       'ravencoin'],
      dtype='object')","Index(['bottos', 'monero', 'populous', 'nano', 'nexo', 'nem',
       'polymath-network', 'streamr-datacoin', 'sirin-labs-token', 'nuls',
       'steem', 'time-new-bank', 'qlink', 'gifto', 'enigma', 'neblio',
       'credits'],
      dtype='object')","Index(['kyber-network', 'litecoin', 'mithril', 'nexus', 'rlc',
       'singularitynet', 'cortex', 'dash', 'neo', 'stellar',
       'high-performance-blockchain', 'fusion', 'waves', 'loopring',
       'ormeus-coin', 'crypto-com'],
      dtype='object')","Index(['eos', 'bitcoin', 'cvcoin', 'truechain', 'bitcoin-cash', 'all-sports',
       'iota', 'ethereum', 'ontology', 'cardano', 'educare', 'bibox-token',
       'nebulas-token', 'zcash', 'ruff', '0x'],
      dtype='object')"
20180626,"Index(['adx-net', 'power-ledger', 'crpt', 'ardor', 'cryptonex', 'credits',
       'district0x', 'ravencoin', 'steem', 'stakenet', 'ark', 'red-pulse',
       'komodo', 'ignis', 'maker', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['neblio', 'rlc', 'time-new-bank', 'ormeus-coin', 'polymath-network',
       'wings', 'stratis', 'syscoin', 'singulardtv', 'vibe', 'nexus', 'qlink',
       'factom', 'agrello-delta', 'quantstamp', 'wax', 'suncontract'],
      dtype='object')","Index(['nuls', 'cardano', 'singularitynet', 'nem', 'stellar', 'crypto-com',
       'bnktothefuture', 'kyber-network', 'sirin-labs-token', 'qash', 'odem',
       'ruff', 'gifto', 'ren', 'cvcoin', 'loopring'],
      dtype='object')","Index(['nebulas-token', 'enigma', 'waves', 'nexo', 'loom-network', 'educare',
       'nano', 'populous', '0x', 'high-performance-blockchain', 'fusion',
       'ripio-credit-network', 'bottos', 'zcash', 'nkn', 'primas',
       'matrix-ai-network'],
      dtype='object')","Index(['bitcoin', 'eos', 'streamr-datacoin', 'all-sports', 'mithril',
       'bibox-token', 'ethereum', 'cortex', 'truechain', 'ontology',
       'litecoin', 'neo', 'bitcoin-cash', 'dash', 'iota', 'monero'],
      dtype='object')"
20180714,"Index(['ormeus-coin', 'ravencoin', 'atn', 'crpt', 'agrello-delta',
       'streamr-datacoin', 'rlc', 'adx-net', 'mixin', 'ruff', 'komodo',
       'factom', 'nexo', 'stakenet', 'vibe', 'cvcoin', 'maker',
       'dynamic-trading-rights'],
      dtype='object')","Index(['ripio-credit-network', 'singulardtv', 'neblio', 'qlink', 'waves',
       'ark', 'smartshare', 'red-pulse', 'ren', 'stratis', 'singularitynet',
       'nano', 'wings', 'credits', 'quantstamp', 'suncontract', 'enigma'],
      dtype='object')","Index(['nuls', 'constellation', 'fusion', 'kyber-network', 'polymath-network',
       'monero', 'wax', 'qash', 'time-new-bank', 'nexus', 'bnktothefuture',
       'ardor', 'sirin-labs-token', 'cryptonex', 'bottos', 'nkn', 'loopring'],
      dtype='object')","Index(['educare', 'bitcoin-cash', 'litecoin', 'nem', 'iota', 'nebulas-token',
       'dash', 'stellar', 'odem', 'gifto', 'populous', 'matrix-ai-network',
       'ignis', 'steem', 'all-sports', 'high-performance-blockchain',
       'district0x'],
      dtype='object')","Index(['syscoin', 'bitcoin', 'eos', 'neo', '0x', 'mithril', 'ethereum',
       'loom-network', 'cortex', 'truechain', 'zcash', 'power-ledger',
       'crypto-com', 'bibox-token', 'primas', 'ontology', 'cardano'],
      dtype='object')"
20180801,"Index(['ravencoin', 'nexus', 'sirin-labs-token', 'mixin', 'vibe', 'qash',
       'red-pulse', 'pchain', 'bottos', 'wax', 'streamr-datacoin', 'cvcoin',
       'agrello-delta', 'singulardtv', 'stakenet', 'maker', 'atn',
       'dynamic-trading-rights'],
      dtype='object')","Index(['nexo', 'constellation', 'nuls', 'ruff', 'komodo', 'nem', 'ark',
       'kyber-network', 'syscoin', 'bnktothefuture', 'ripio-credit-network',
       'wings', 'enigma', 'steem', 'rlc', 'ren', 'time-new-bank',
       'quantstamp'],
      dtype='object')","Index(['power-ledger', 'high-performance-blockchain', 'nano', 'smartshare',
       'neblio', 'educare', 'crpt', 'qlink', 'credits', 'populous',
       'all-sports', 'cryptonex', 'singularitynet', 'loopring', 'factom',
       'suncontract', 'loom-network'],
      dtype='object')","Index(['litecoin', 'polymath-network', 'crypto-com', 'pundi-x', 'dash',
       'truechain', 'primas', 'iota', 'neo', 'matrix-ai-network', 'ignis',
       'ardor', 'fusion', 'monero', 'waves', 'nebulas-token', 'stratis',
       'cortex'],
      dtype='object')","Index(['bitcoin', 'mithril', 'adx-net', 'district0x', 'bibox-token', 'stellar',
       'bitcoin-cash', 'eos', 'ethereum', 'cardano', 'zcash', '0x', 'gifto',
       'odem', 'ormeus-coin', 'nkn', 'ontology'],
      dtype='object')"
20180819,"Index(['singularitynet', 'komodo', 'red-pulse', 'pchain', 'wings', 'steem',
       'streamr-datacoin', 'ren', 'maker', 'syscoin', 'cvcoin', 'atn', 'mixin',
       'rlc', 'singulardtv', 'metronome', 'vibe', 'agrello-delta',
       'dynamic-trading-rights'],
      dtype='object')","Index(['enigma', 'ripio-credit-network', 'smartshare', 'qash', 'nkn', 'neblio',
       'bottos', 'qlink', 'suncontract', 'wax', 'nexus', 'nexo', 'ark',
       'quantstamp', 'odem', 'stakenet', 'constellation', 'district0x'],
      dtype='object')","Index(['nem', 'crypto-com', 'kyber-network', 'sirin-labs-token',
       'loom-network', 'time-new-bank', 'ardor', 'credits', 'cryptonex',
       'educare', 'power-ledger', 'adx-net', 'ormeus-coin', 'stratis',
       'bnktothefuture', 'factom', 'crpt', 'bhp-coin'],
      dtype='object')","Index(['litecoin', 'pundi-x', 'bitcoin-cash', 'gifto', 'cardano', 'ignis',
       'ravencoin', 'nuls', 'waves', 'fusion', '0x', 'monero',
       'high-performance-blockchain', 'loopring', 'polymath-network', 'primas',
       'matrix-ai-network', 'ruff'],
      dtype='object')","Index(['bitcoin', 'ontology', 'vechain', 'eos', 'ethereum', 'cortex',
       'all-sports', 'truechain', 'nebulas-token', 'neo', 'dash', 'iota',
       'stellar', 'bibox-token', 'nano', 'mithril', 'zcash', 'populous'],
      dtype='object')"
20180906,"Index(['factom', 'syscoin', 'singulardtv', 'streamr-datacoin', 'odem', 'atn',
       'metronome', 'singularitynet', 'district0x', 'stakenet', 'wings',
       'maker', 'wax', 'ardor', 'ignis', 'agrello-delta', 'stasis-euro',
       'mixin', 'dynamic-trading-rights'],
      dtype='object')","Index(['ren', 'educare', 'qlink', 'crpt', 'bnktothefuture',
       'ripio-credit-network', 'ravencoin', 'ark', 'nexus', 'neblio',
       'adx-net', 'suncontract', 'power-ledger', 'smartshare', 'vibe',
       'cvcoin', 'sirin-labs-token', 'nexo', 'red-pulse'],
      dtype='object')","Index(['gifto', 'nkn', 'rlc', 'matrix-ai-network', 'bhp-coin', 'enigma',
       'loopring', 'populous', 'komodo', 'fusion', 'steem', 'polymath-network',
       'high-performance-blockchain', 'waves', 'all-sports', 'constellation',
       'bottos', 'time-new-bank'],
      dtype='object')","Index(['truechain', 'litecoin', 'mithril', 'primas', 'stellar', 'cardano',
       '0x', 'cryptonex', 'qash', 'ormeus-coin', 'stratis', 'nem',
       'crypto-com', 'seele', 'credits', 'quantstamp', 'nebulas-token',
       'kyber-network', 'pchain'],
      dtype='object')","Index(['bitcoin', 'dash', 'nano', 'eos', 'ethereum', 'bitcoin-cash', 'iota',
       'ontology', 'neo', 'monero', 'vechain', 'pundi-x', 'ruff', 'cortex',
       'bibox-token', 'loom-network', 'zcash', 'nuls'],
      dtype='object')"
20180924,"Index(['singularitynet', 'neblio', 'ark', 'factom', 'constellation', 'wings',
       'ren', 'qlink', 'odem', 'syscoin', 'ignis', 'bnktothefuture', 'komodo',
       'suncontract', 'stakenet', 'rlc', 'stasis-euro', 'mixin',
       'dynamic-trading-rights'],
      dtype='object')","Index(['zip', 'enigma', 'smartshare', 'pchain', 'bottos', 'district0x',
       'nexus', 'sirin-labs-token', 'wax', 'nuls', 'atn', 'ravencoin',
       'metronome', 'educare', 'stratis', 'matrix-ai-network', 'quantstamp',
       'qash', 'fusion'],
      dtype='object')","Index(['crpt', 'high-performance-blockchain', 'nem', 'pundi-x', 'nkn',
       'red-pulse', 'adx-net', 'seele', 'bhp-coin', 'maker', 'nebulas-token',
       'all-sports', 'polymath-network', 'ardor', 'credits', 'nexo',
       'cryptonex', 'streamr-datacoin', 'kyber-network'],
      dtype='object')","Index(['power-ledger', 'waves', 'mithril', 'vechain', 'monero', 'ruff', 'neo',
       'steem', 'ormeus-coin', 'thingschain', 'iota', 'cortex', 'loopring',
       'loom-network', '0x', 'time-new-bank', 'populous', 'cvcoin',
       'crypto-com'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'vibe', 'stellar', 'eos', 'ripio-credit-network',
       'truechain', 'nano', 'cardano', 'primas', 'litecoin', 'bitcoin-cash',
       'singulardtv', 'dash', 'bibox-token', 'zcash', 'ontology',
       'agrello-delta', 'gifto'],
      dtype='object')"
