,Port1,Port2,Port3,Port4,Port5
20180409,"Index(['matrix-ai-network', 'polymath-network', 'agrello-delta', 'vibe',
       'factom', 'populous', 'syscoin', 'singulardtv', 'atn',
       'dynamic-trading-rights', 'cvcoin', 'wings', 'rlc', 'bibox-token',
       'bottos', 'maker'],
      dtype='object')","Index(['stratis', 'qash', 'time-new-bank', 'ravencoin', 'ark', 'iota',
       'adx-net', 'gifto', 'cryptonex', 'ren', 'credits', 'nexus', 'primas',
       'crpt', 'streamr-datacoin'],
      dtype='object')","Index(['quantstamp', 'district0x', 'truechain', '0x', 'nebulas-token', 'ruff',
       'loopring', 'kyber-network', 'zcash', 'all-sports', 'fusion', 'nano',
       'singularitynet', 'komodo', 'waves'],
      dtype='object')","Index(['bitcoin-cash', 'qlink', 'crypto-com', 'sirin-labs-token', 'neblio',
       'neo', 'enigma', 'wax', 'dash', 'red-pulse', 'ignis', 'monero',
       'ormeus-coin', 'nuls', 'loom-network'],
      dtype='object')","Index(['mithril', 'ontology', 'bitcoin', 'eos', 'ardor', 'ethereum',
       'high-performance-blockchain', 'steem', 'ripio-credit-network',
       'suncontract', 'litecoin', 'power-ledger', 'cardano', 'nem', 'stellar'],
      dtype='object')"
20180427,"Index(['matrix-ai-network', 'nexus', 'rlc', 'loom-network', 'wings',
       'ravencoin', 'singularitynet', 'primas', 'agrello-delta', 'crpt', 'atn',
       'maker', 'cryptonex', 'dynamic-trading-rights', 'cvcoin', 'stakenet'],
      dtype='object')","Index(['singulardtv', 'fusion', 'suncontract', 'ark', 'polymath-network',
       'qash', 'high-performance-blockchain', 'vibe', 'ren', 'red-pulse',
       'ardor', 'stratis', 'streamr-datacoin', 'factom', 'komodo', 'ignis'],
      dtype='object')","Index(['credits', 'time-new-bank', '0x', 'zcash', 'neblio', 'bibox-token',
       'qlink', 'populous', 'loopring', 'waves', 'ormeus-coin', 'nem', 'nano',
       'enigma', 'syscoin', 'bottos'],
      dtype='object')","Index(['iota', 'mixin', 'stellar', 'litecoin', 'wax', 'dash',
       'sirin-labs-token', 'nebulas-token', 'power-ledger', 'cardano',
       'ripio-credit-network', 'educare', 'neo', 'nuls', 'all-sports',
       'quantstamp'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'mithril', 'adx-net', 'bitcoin', 'steem',
       'district0x', 'gifto', 'kyber-network', 'ontology', 'ethereum',
       'crypto-com', 'truechain', 'cortex', 'ruff', 'monero'],
      dtype='object')"
20180515,"Index(['ravencoin', 'odem', 'factom', 'ardor', 'singulardtv', 'vibe',
       'cryptonex', 'atn', 'qash', 'mixin', 'ormeus-coin', 'singularitynet',
       'cvcoin', 'wings', 'nexus', 'stakenet', 'dynamic-trading-rights'],
      dtype='object')","Index(['steem', 'suncontract', 'ignis', 'district0x', 'neblio', 'stratis',
       'waves', 'crpt', 'quantstamp', 'power-ledger', 'ripio-credit-network',
       'wax', 'qlink', 'bottos', 'maker', 'syscoin', 'red-pulse'],
      dtype='object')","Index(['gifto', 'credits', 'ruff', 'nebulas-token', 'neo', 'loopring',
       'enigma', 'nem', 'agrello-delta', 'ark', 'monero', 'rlc', 'adx-net',
       'nano', 'populous', 'komodo'],
      dtype='object')","Index(['litecoin', 'crypto-com', 'sirin-labs-token', 'polymath-network',
       'cardano', 'bnktothefuture', 'nexo', 'matrix-ai-network', 'ren', 'dash',
       'time-new-bank', 'loom-network', 'streamr-datacoin', 'educare',
       'kyber-network', 'fusion', 'high-performance-blockchain'],
      dtype='object')","Index(['truechain', 'eos', 'bitcoin', 'zcash', 'bitcoin-cash', 'mithril',
       'ethereum', 'primas', 'iota', 'cortex', '0x', 'bibox-token', 'stellar',
       'all-sports', 'nuls', 'ontology'],
      dtype='object')"
20180602,"Index(['power-ledger', 'quantstamp', 'ark', 'ignis', 'red-pulse', 'wax',
       'matrix-ai-network', 'syscoin', 'adx-net', 'komodo', 'streamr-datacoin',
       'qash', 'vibe', 'singulardtv', 'maker', 'dynamic-trading-rights',
       'odem'],
      dtype='object')","Index(['ripio-credit-network', 'wings', 'sirin-labs-token', 'ormeus-coin',
       'cryptonex', 'stratis', 'primas', 'ren', 'atn', 'ravencoin',
       'loom-network', 'stakenet', 'factom', 'credits', 'gifto',
       'suncontract'],
      dtype='object')","Index(['loopring', 'nem', 'populous', 'nuls', 'polymath-network', 'qlink',
       'steem', 'bnktothefuture', 'neblio', 'enigma', 'agrello-delta',
       'time-new-bank', 'crypto-com', 'district0x', 'ardor', 'singularitynet',
       'crpt'],
      dtype='object')","Index(['litecoin', 'rlc', 'cortex', 'mithril', 'stellar', 'dash', 'neo',
       'nexus', 'bibox-token', 'high-performance-blockchain', 'fusion',
       'bottos', 'nexo', 'monero', 'waves', 'nano'],
      dtype='object')","Index(['cvcoin', 'bitcoin', 'truechain', 'all-sports', 'eos', 'iota',
       'ethereum', 'cardano', 'educare', 'bitcoin-cash', 'ontology',
       'nebulas-token', 'zcash', '0x', 'ruff', 'kyber-network'],
      dtype='object')"
20180620,"Index(['ren', 'crpt', 'qlink', 'district0x', 'stakenet', 'power-ledger',
       'adx-net', 'ardor', 'ark', 'odem', 'steem', 'maker', 'red-pulse',
       'ignis', 'komodo', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['vibe', 'factom', 'enigma', 'crypto-com', 'rlc', 'loopring',
       'polymath-network', 'ormeus-coin', 'agrello-delta', 'time-new-bank',
       'quantstamp', 'suncontract', 'nexus', 'credits', 'ravencoin', 'wax',
       'cryptonex'],
      dtype='object')","Index(['stellar', 'cvcoin', 'bnktothefuture', 'ruff', 'matrix-ai-network',
       'populous', 'nem', 'wings', 'singulardtv', 'cardano', 'syscoin', 'qash',
       'gifto', 'kyber-network', 'neblio', 'stratis'],
      dtype='object')","Index(['nebulas-token', 'nano', 'waves', 'cortex', '0x', 'iota', 'bottos',
       'ripio-credit-network', 'monero', 'nuls', 'nkn', 'fusion', 'primas',
       'zcash', 'high-performance-blockchain', 'singularitynet',
       'sirin-labs-token'],
      dtype='object')","Index(['mithril', 'bibox-token', 'eos', 'bitcoin', 'ethereum', 'all-sports',
       'truechain', 'dash', 'ontology', 'litecoin', 'nexo', 'neo',
       'loom-network', 'bitcoin-cash', 'streamr-datacoin', 'educare'],
      dtype='object')"
20180708,"Index(['credits', 'smartshare', 'enigma', 'adx-net', 'streamr-datacoin',
       'factom', 'ruff', 'ormeus-coin', 'nexo', 'stakenet', 'crpt', 'atn',
       'komodo', 'vibe', 'mixin', 'cvcoin', 'dynamic-trading-rights', 'maker'],
      dtype='object')","Index(['waves', 'ark', 'nano', 'loopring', 'nkn', 'fusion', 'constellation',
       'singularitynet', 'quantstamp', 'wings', 'ravencoin', 'neblio', 'ren',
       'agrello-delta', 'bottos', 'rlc', 'suncontract'],
      dtype='object')","Index(['zcash', 'power-ledger', 'high-performance-blockchain', 'ardor',
       'time-new-bank', 'stellar', 'nexus', 'cryptonex', 'nuls', 'monero',
       'ripio-credit-network', 'singulardtv', 'sirin-labs-token', 'red-pulse',
       'qlink', 'stratis', 'bnktothefuture'],
      dtype='object')","Index(['cardano', 'ontology', 'populous', 'litecoin', 'ignis', 'steem',
       'all-sports', 'gifto', 'matrix-ai-network', 'district0x', 'dash',
       'polymath-network', 'odem', 'kyber-network', 'nebulas-token', 'qash',
       'wax'],
      dtype='object')","Index(['syscoin', 'bitcoin', 'neo', 'mithril', 'loom-network', 'ethereum',
       'eos', 'primas', 'cortex', 'educare', 'bibox-token', 'truechain',
       'crypto-com', '0x', 'nem', 'bitcoin-cash', 'iota'],
      dtype='object')"
20180726,"Index(['qash', 'nexo', 'rlc', 'red-pulse', 'streamr-datacoin', 'ravencoin',
       'wax', 'bottos', 'cvcoin', 'vibe', 'singulardtv', 'agrello-delta',
       'pchain', 'stakenet', 'maker', 'mixin', 'atn',
       'dynamic-trading-rights'],
      dtype='object')","Index(['credits', 'ruff', 'qlink', 'bnktothefuture', 'nuls', 'steem', 'ark',
       'quantstamp', 'nexus', 'enigma', 'time-new-bank', 'constellation',
       'ren', 'sirin-labs-token', 'ripio-credit-network', 'district0x',
       'loopring', 'wings'],
      dtype='object')","Index(['nebulas-token', 'nano', 'neblio', 'all-sports', 'populous', 'factom',
       'suncontract', 'stratis', 'singularitynet', 'primas', 'loom-network',
       'smartshare', 'komodo', 'nem', 'cryptonex', 'syscoin', 'kyber-network'],
      dtype='object')","Index(['dash', 'crypto-com', 'polymath-network', 'ignis', 'neo', 'ardor',
       'truechain', 'waves', 'iota', 'matrix-ai-network', 'monero', 'pundi-x',
       'crpt', 'power-ledger', 'educare', 'high-performance-blockchain',
       'cortex', 'fusion'],
      dtype='object')","Index(['bitcoin', 'mithril', 'adx-net', 'stellar', 'bitcoin-cash', 'ethereum',
       'cardano', 'zcash', 'gifto', 'ormeus-coin', '0x', 'nkn', 'bibox-token',
       'eos', 'ontology', 'odem', 'litecoin'],
      dtype='object')"
20180813,"Index(['maker', 'district0x', 'steem', 'ravencoin', 'atn', 'factom', 'syscoin',
       'ark', 'mixin', 'ren', 'cvcoin', 'singulardtv', 'streamr-datacoin',
       'vibe', 'neblio', 'dynamic-trading-rights', 'metronome', 'rlc',
       'agrello-delta'],
      dtype='object')","Index(['suncontract', 'nexo', 'nkn', 'qlink', 'adx-net', 'bhp-coin', 'wax',
       'red-pulse', 'komodo', 'quantstamp', 'crpt', 'singularitynet',
       'smartshare', 'odem', 'stratis', 'wings', 'nexus', 'pchain'],
      dtype='object')","Index(['ormeus-coin', 'loopring', 'loom-network', 'power-ledger', 'cryptonex',
       'nem', 'polymath-network', 'qash', 'nano', 'matrix-ai-network',
       'enigma', 'kyber-network', 'bnktothefuture', 'stakenet',
       'ripio-credit-network', 'constellation', 'credits', 'bottos'],
      dtype='object')","Index(['nebulas-token', 'all-sports', 'bitcoin-cash', 'cardano', 'dash',
       'high-performance-blockchain', 'monero', '0x', 'primas', 'fusion',
       'crypto-com', 'populous', 'ardor', 'time-new-bank', 'educare',
       'sirin-labs-token', 'ruff', 'cortex'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'iota', 'stellar', 'mithril', 'ignis',
       'litecoin', 'ontology', 'truechain', 'vechain', 'zcash', 'pundi-x',
       'bibox-token', 'nuls', 'neo', 'gifto', 'waves'],
      dtype='object')"
20180831,"Index(['streamr-datacoin', 'suncontract', 'district0x', 'factom', 'odem',
       'power-ledger', 'ardor', 'wax', 'singulardtv', 'wings', 'bottos',
       'syscoin', 'ignis', 'agrello-delta', 'maker', 'stasis-euro', 'mixin',
       'metronome', 'dynamic-trading-rights'],
      dtype='object')","Index(['credits', 'bnktothefuture', 'crypto-com', 'matrix-ai-network', 'nem',
       'komodo', 'vibe', 'nexus', 'smartshare', 'cvcoin', 'nexo', 'neblio',
       'adx-net', 'sirin-labs-token', 'steem', 'atn', 'singularitynet',
       'red-pulse', 'stakenet'],
      dtype='object')","Index(['loopring', 'constellation', 'time-new-bank', 'fusion', 'all-sports',
       'bhp-coin', 'educare', 'ren', 'waves', 'nebulas-token', 'stratis',
       'crpt', 'seele', 'ripio-credit-network', 'ravencoin', 'ark', 'ruff',
       'qlink'],
      dtype='object')","Index(['mithril', 'qash', 'monero', 'ormeus-coin', 'cardano', '0x', 'litecoin',
       'stellar', 'quantstamp', 'nkn', 'rlc', 'pchain', 'cryptonex',
       'kyber-network', 'populous', 'gifto', 'polymath-network',
       'high-performance-blockchain', 'enigma'],
      dtype='object')","Index(['dash', 'nano', 'bitcoin', 'eos', 'iota', 'ontology', 'ethereum', 'neo',
       'vechain', 'cortex', 'bibox-token', 'loom-network', 'zcash', 'nuls',
       'bitcoin-cash', 'truechain', 'pundi-x', 'primas'],
      dtype='object')"
20180918,"Index(['factom', 'fusion', 'odem', 'matrix-ai-network', 'stratis',
       'singularitynet', 'wings', 'ignis', 'nuls', 'komodo', 'stakenet',
       'syscoin', 'constellation', 'rlc', 'suncontract', 'bnktothefuture',
       'stasis-euro', 'mixin', 'dynamic-trading-rights'],
      dtype='object')","Index(['atn', 'steem', 'zip', 'streamr-datacoin', 'nkn', 'nexo', 'nexus',
       'district0x', 'enigma', 'qash', 'quantstamp', 'ark', 'neblio', 'ruff',
       'ravencoin', 'ren', 'educare', 'wax', 'qlink'],
      dtype='object')","Index(['mithril', 'crypto-com', 'nebulas-token', 'maker', 'all-sports', 'iota',
       'kyber-network', 'nem', 'polymath-network', 'pchain', 'ardor',
       'sirin-labs-token', 'bottos', 'metronome', 'cryptonex', 'bhp-coin',
       'smartshare', 'red-pulse', 'credits'],
      dtype='object')","Index(['monero', 'zcash', 'ormeus-coin', 'loom-network', 'loopring',
       'time-new-bank', 'cortex', '0x', 'neo', 'cvcoin', 'populous', 'crpt',
       'adx-net', 'waves', 'high-performance-blockchain', 'thingschain',
       'seele', 'ripio-credit-network', 'pundi-x'],
      dtype='object')","Index(['ethereum', 'vibe', 'bitcoin', 'truechain', 'eos', 'nano', 'primas',
       'singulardtv', 'litecoin', 'bitcoin-cash', 'stellar', 'bibox-token',
       'agrello-delta', 'dash', 'gifto', 'power-ledger', 'cardano', 'ontology',
       'vechain'],
      dtype='object')"
