,Port1,Port2,Port3,Port4,Port5
20180404,0.00013626028161604523,0.020294374156229863,0.05210700191294943,0.014269938020614329,0.03238162467119085
20180407,0.04426841775171107,0.013799729905802756,0.058513127742051176,0.04814901622955933,0.05315269376122629
20180410,0.3684085559961236,0.23673823031273344,0.20618477898355037,0.22306758370305965,0.16503623666039283
20180413,-0.009722938497321419,0.05644621094248216,0.1063732252905802,0.06095484790461493,0.09966340022736343
20180416,0.16237022141287918,0.10518064725597473,0.19261969696498954,0.1573132042363864,0.2395921429538401
20180419,0.08660914102589762,0.024049718281633964,0.06629176725429232,0.06591825406389691,0.0448042050153661
20180422,-0.024361933477412015,-0.026349969520622407,0.0012556750881956623,-0.06241146299645667,0.027766517529512813
20180425,0.12823021676355506,0.13666890669150894,0.12676378132082958,0.21294449800546547,0.2593014858655098
20180428,0.028527825518159064,0.03383429342333707,0.08160867374454238,0.09087186004971173,0.06250959169045482
20180501,0.08592327383964994,0.08457940071928592,0.10405154546700468,0.13968571487704728,0.054680872499279276
20180504,-0.070414197844802,-0.060876077318291553,-0.03496544888021241,-0.056946268544143336,-0.07214297005900307
20180507,-0.0830269140954248,-0.040739387395254,-0.071898089492809,-0.02811998466948239,0.009101504627115722
20180510,-0.015604993699275182,-0.014578511966184416,-0.024639025349676547,-0.008327776680814738,-0.008717726456476452
20180513,-0.03528891401579066,-0.0791468984360808,-0.07681987305001903,-0.043272587044738804,0.009598303222440815
20180516,-0.024843903185745336,-0.04015373791285213,0.0005962112306437498,-0.008646714751979898,-0.01090455146618986
20180519,-0.09387900943728048,-0.09113747441698328,-0.08208087909073403,-0.06587024730790182,-0.08920245414961328
20180522,-0.021785049423776476,-0.10214529424074065,-0.09226102317015956,-0.06012804635814729,-0.08934199468487827
20180525,-0.0656891249730763,-0.10603570092234714,-0.1074914679663558,-0.11710371894406002,-0.09980953124522692
20180528,0.11180876015360026,0.11185248667977059,0.12068323160315934,0.09297172320555798,0.03896732365396142
20180531,0.09887001955263348,0.0427454509982608,0.0644909648046691,0.04550014886577219,0.058590703947919404
20180603,-0.05617100832003239,-0.019282106961643404,-0.03678884774597866,-0.046547419399476944,-0.0610110003759936
20180606,-0.06945519434208436,-0.07909159596421024,-0.05707513363783792,-0.024048572801636723,-0.01875790415561536
20180609,-0.19362829041229296,-0.22706661350897694,-0.21853182830144915,-0.2002578062473521,-0.21326585668760314
20180612,-0.005719671823277647,-0.032935970461023686,-0.04184386273466035,-0.03905382070592482,-0.031380924026915856
20180615,-0.005482551820245286,0.033124440769722034,0.022649121183778105,0.021047228429386104,-0.006975388018594842
20180618,-0.02453729041948446,-0.047509972631531,-0.003221491982494218,-3.9358609798906816e-05,-0.050959472846346214
20180621,-0.17893827016763575,-0.13855460771441136,-0.1717426798813262,-0.16960663316696473,-0.1824963843300319
20180624,-0.008073862806605334,-0.017344144693358477,0.04937163048200857,-0.019230960682861932,-0.004363213699512154
20180627,0.03803230450958455,0.050793712279034516,0.057883136970989485,0.07594623186457712,0.03272124568368747
20180630,0.03475625376017854,0.033064992306195855,0.1205315489667064,0.06224415092985789,0.06910679685971453
20180703,0.022839357751461654,-0.01231726084034177,-0.00973101004217354,0.04637726501162317,0.02377557951386571
20180706,-0.016457159371093343,-0.01793010840563331,-0.023480193035388865,-0.006350484019864198,-0.03421931088840685
20180709,-0.15227979962428997,-0.13179347044648926,-0.10285496230076888,-0.1426727121272898,-0.12004985446340852
20180712,0.006354302643886934,0.0054193001622715505,0.06897147000259803,0.059815693822012066,0.043769086450057115
20180715,0.13926000754676016,0.15364458878690537,0.16995343619358388,0.10782039794413854,0.17843115499453976
20180718,-0.07291838808907576,-0.08021418427585121,-0.08652676241139783,-0.09075911742482673,-0.11131132713638782
20180721,-0.004976725925102152,0.020921605796014764,-0.009068229916186266,0.02620553201516233,0.04603307828829501
20180724,0.03961913423735755,-0.01080584428593615,-0.007358796178848577,-0.0051588484088574684,0.004559040590062482
20180727,0.025349616386110465,-0.028897951989375725,-0.040343617949948604,-0.021945205830246617,-0.028536958932775126
20180730,-0.1314822883098839,-0.16044560395449092,-0.1562665787036296,-0.18905608769434598,-0.17674149742889353
20180802,-0.03443405377452638,-0.02756573163489654,-0.024095392253080876,-0.03482029198007273,-0.04523491545574859
20180805,-0.19173098054415438,-0.17565651312808128,-0.17097162992081236,-0.17708530911720632,-0.15293382502591255
20180808,-0.08048775741854128,-0.09780672494267613,-0.08565689792201721,-0.026837237518649713,-0.06152560033475362
20180811,-0.15595347849840388,-0.1678170148872757,-0.15561960593915847,-0.17050868757386037,-0.13493786741133937
20180814,0.40940442252094394,0.3093090209914673,0.325246172813806,0.14570953412950424,0.16643723072276762
20180817,-0.10759530967204677,-0.11018690777162461,-0.13588468820025246,-0.10048933586993682,-0.13497875883339183
20180820,0.0315030316537439,0.00477209598288068,0.014855264314563186,0.04097062083129382,0.030855314428082495
20180823,0.05433959033848725,0.08175744825481646,0.024763328885757958,0.04252605081506616,0.06518109152363255
20180826,0.06698501769954467,0.0892516621892464,0.06991147965551825,0.13369142269243392,0.026859130751706997
20180829,0.042335759679712655,0.01703999173189337,0.05058747716452223,0.04772638352565103,0.09696039544180995
20180901,-0.02979993637553799,0.015888262281477744,0.014753430931718261,0.03349610421152825,0.011108868454749635
20180904,-0.20647894798417804,-0.1565496623192576,-0.18414116564899294,-0.19199556197690545,-0.22164407714719497
20180907,-0.021114722040801188,-0.07469825217577643,-0.07593587217146557,-0.06712182681158696,-0.025328286320749804
20180910,0.04416172935455701,0.008632115988677153,0.007489504863505416,0.017669531241950937,0.05488627118192494
20180913,0.025155862260687674,0.07017048643614543,0.11109888990795881,0.0020401337179874867,-0.003919191655025629
20180916,-0.011127096144035958,-0.05135137469386155,-0.05360868338695167,-0.04885553079161135,-0.057437029603420016
20180919,0.12156051365599654,0.13055254600828087,0.08339791822568267,0.08526239986117085,0.05907064674121186
20180922,-0.06205499857291516,-0.03278981427927556,-0.04741007507974899,-0.05110791928158097,-0.04641871476659987
20180925,0.06124316873736918,0.055545735327932104,0.02351626475750718,0.022225193677152557,0.07758202739372107
20180928,0.024863095154276284,0.008986999796409104,0.01671877227724931,-0.0037418408024086297,0.036599137445628656
20181001,-0.015659918809610308,-0.01903217591791771,0.007819224810849602,-0.0029384757213061453,0.009211109346055128
20181004,0.06669850329951248,0.01276746000083565,0.00856059959557639,0.00407630400054574,0.006072678617713709
20181007,0.03444390144124935,0.021683581873407392,0.031765502365096315,0.04462214679809439,0.03160592675000736
20181010,-0.096659529617885,-0.07017739174453572,-0.10498011222184325,-0.11046333611608704,-0.11013444956115542
20181013,0.08380422123070558,0.0384588960183802,0.04988862774839234,0.03782832955364391,0.04195455622417839
20181016,0.02599695861010327,0.010632516302980097,-0.002031221868403443,-0.0014906227256754163,-0.00872460024606908
20181019,0.02448293639833106,0.034289600916810624,0.027619157907346138,0.010373468343522117,0.16921748811518245
20181022,0.002646669390124229,0.00017114687940056585,0.004277957777412553,0.012101315861599935,-0.0045364809715020184
20181025,-0.0015536848040370518,-0.0021704724131103577,0.01633422013381129,0.006261565967387373,0.07019368115550505
20181028,-0.04432294446365735,-0.03041284217710101,-0.024587506140716153,-0.035689747393285086,-0.058536224482642965
20181031,0.02643072358433918,0.007431884663250222,-0.0026843532545994396,0.050117472272313515,0.07921491063341957
20181103,-0.006516916815357086,0.004335898922221176,0.006074797703375376,0.04176670417367658,0.018125819075951462
20181106,-0.011166625753575748,-0.032587475232104667,-0.04994409932545765,-0.017493962890610934,-0.01601411811249066
20181109,0.0008110324834797163,-0.0014072100787150682,-6.875158503617424e-05,0.004011566058056269,0.009434614154024697
