,Port1,Port2,Port3,Port4,Port5
20180413,"Index(['bitcoin', 'bitcoin-cash', 'bottos', 'litecoin', 'nano',
       'dynamic-trading-rights', 'monero', 'qash', 'primas', 'crpt', 'credits',
       'atn', 'all-sports', 'qlink', 'ravencoin', 'truechain'],
      dtype='object')","Index(['red-pulse', 'mithril', 'populous', 'dash', 'adx-net', 'waves',
       'ormeus-coin', 'zcash', 'district0x', 'cryptonex', 'polymath-network',
       'bibox-token', 'nuls', 'stellar', 'nebulas-token'],
      dtype='object')","Index(['nem', 'komodo', 'ignis', 'ethereum', 'gifto', 'neblio',
       'agrello-delta', 'suncontract', 'wings', 'enigma', 'rlc', 'nexus',
       'time-new-bank', 'vibe', 'syscoin'],
      dtype='object')","Index(['ripio-credit-network', 'neo', 'cardano', 'power-ledger', 'cvcoin',
       '0x', 'factom', 'ardor', 'kyber-network', 'maker', 'iota', 'ark', 'ren',
       'stratis', 'ruff'],
      dtype='object')","Index(['fusion', 'ontology', 'steem', 'high-performance-blockchain',
       'singulardtv', 'streamr-datacoin', 'loom-network', 'wax', 'loopring',
       'eos', 'quantstamp', 'sirin-labs-token', 'matrix-ai-network',
       'singularitynet', 'crypto-com'],
      dtype='object')"
20180501,"Index(['komodo', 'dynamic-trading-rights', 'monero', 'singularitynet',
       'litecoin', 'populous', 'mithril', 'factom', 'streamr-datacoin',
       'ignis', 'atn', 'wax', 'crpt', 'ravencoin', 'crypto-com',
       'ormeus-coin'],
      dtype='object')","Index(['wings', 'bitcoin', 'primas', 'iota', 'loom-network',
       'ripio-credit-network', 'dash', 'nexus', 'zcash', 'suncontract', 'ren',
       'cryptonex', 'educare', 'nem', 'high-performance-blockchain', 'ardor'],
      dtype='object')","Index(['polymath-network', 'adx-net', 'ark', 'qash', 'ethereum',
       'matrix-ai-network', 'stratis', 'nano', 'quantstamp', 'stellar',
       'power-ledger', 'stakenet', 'bibox-token', 'singulardtv', 'neo', 'rlc'],
      dtype='object')","Index(['neblio', '0x', 'waves', 'red-pulse', 'credits', 'cardano', 'steem',
       'loopring', 'maker', 'agrello-delta', 'enigma', 'qlink', 'district0x',
       'cvcoin', 'syscoin', 'vibe'],
      dtype='object')","Index(['all-sports', 'mixin', 'bottos', 'truechain', 'eos', 'ontology', 'ruff',
       'kyber-network', 'gifto', 'nebulas-token', 'cortex', 'nuls',
       'sirin-labs-token', 'bitcoin-cash', 'fusion', 'time-new-bank'],
      dtype='object')"
20180519,"Index(['wax', 'ontology', 'cardano', 'bitcoin-cash', 'loom-network', 'eos',
       'bnktothefuture', 'singulardtv', 'nebulas-token', 'nexo', 'factom',
       'all-sports', 'nano', 'neblio', 'red-pulse', 'mithril', 'gifto'],
      dtype='object')","Index(['mixin', 'singularitynet', 'nexus', 'iota', 'sirin-labs-token', 'qlink',
       'kyber-network', 'time-new-bank', 'stratis', 'crypto-com', 'ravencoin',
       '0x', 'loopring', 'neo', 'ripio-credit-network', 'qash', 'ignis'],
      dtype='object')","Index(['steem', 'high-performance-blockchain', 'agrello-delta', 'adx-net',
       'district0x', 'cortex', 'bottos', 'power-ledger', 'litecoin', 'wings',
       'vibe', 'ardor', 'stellar', 'nem', 'ruff', 'dynamic-trading-rights'],
      dtype='object')","Index(['atn', 'ark', 'odem', 'ethereum', 'cryptonex', 'enigma', 'waves',
       'matrix-ai-network', 'maker', 'syscoin', 'bitcoin', 'suncontract',
       'monero', 'populous', 'ormeus-coin', 'dash', 'komodo'],
      dtype='object')","Index(['primas', 'bibox-token', 'ren', 'educare', 'rlc', 'truechain', 'zcash',
       'crpt', 'nuls', 'polymath-network', 'credits', 'fusion', 'stakenet',
       'cvcoin', 'quantstamp', 'streamr-datacoin'],
      dtype='object')"
20180606,"Index(['nano', 'crpt', 'stratis', 'matrix-ai-network', 'quantstamp',
       'singulardtv', 'populous', 'fusion', 'cortex', 'suncontract', 'steem',
       'primas', 'loom-network', 'ravencoin', 'zcash', 'credits', 'bottos'],
      dtype='object')","Index(['vibe', 'agrello-delta', 'wax', 'nem', 'qlink', 'ardor',
       'polymath-network', 'dynamic-trading-rights', 'dash',
       'sirin-labs-token', 'neblio', 'district0x', 'syscoin', 'ignis', 'rlc',
       'red-pulse'],
      dtype='object')","Index(['monero', 'komodo', 'ark', 'enigma', 'mithril', 'truechain',
       'cryptonex', '0x', 'ripio-credit-network', 'nexo', 'factom', 'gifto',
       'qash', 'atn', 'waves', 'adx-net', 'crypto-com'],
      dtype='object')","Index(['cardano', 'bnktothefuture', 'ormeus-coin', 'time-new-bank',
       'kyber-network', 'ren', 'ethereum', 'singularitynet', 'power-ledger',
       'neo', 'maker', 'stellar', 'bitcoin', 'nuls', 'litecoin', 'wings'],
      dtype='object')","Index(['all-sports', 'cvcoin', 'nexus', 'high-performance-blockchain',
       'stakenet', 'ontology', 'ruff', 'nebulas-token', 'iota',
       'streamr-datacoin', 'educare', 'odem', 'eos', 'bitcoin-cash',
       'bibox-token', 'loopring'],
      dtype='object')"
20180624,"Index(['fusion', 'high-performance-blockchain', 'sirin-labs-token', 'stratis',
       'polymath-network', 'ren', 'agrello-delta', 'neblio', 'bibox-token',
       'populous', 'truechain', 'qash', 'cortex', 'quantstamp', 'primas',
       'loom-network', 'all-sports'],
      dtype='object')","Index(['bottos', 'ontology', 'ignis', 'syscoin', '0x', 'power-ledger', 'gifto',
       'nem', 'kyber-network', 'bnktothefuture', 'ormeus-coin', 'vibe',
       'steem', 'ardor', 'matrix-ai-network', 'wings', 'rlc'],
      dtype='object')","Index(['dynamic-trading-rights', 'district0x', 'suncontract', 'ruff',
       'time-new-bank', 'ripio-credit-network', 'ark', 'cardano', 'neo',
       'maker', 'waves', 'eos', 'litecoin', 'iota', 'nuls', 'singularitynet'],
      dtype='object')","Index(['singulardtv', 'credits', 'adx-net', 'crpt', 'stellar', 'nexus',
       'ravencoin', 'zcash', 'nebulas-token', 'loopring', 'bitcoin-cash',
       'qlink', 'atn', 'komodo', 'wax', 'stakenet', 'red-pulse'],
      dtype='object')","Index(['streamr-datacoin', 'enigma', 'cryptonex', 'cvcoin', 'educare', 'nkn',
       'crypto-com', 'ethereum', 'odem', 'bitcoin', 'mithril', 'dash',
       'factom', 'monero', 'nano', 'nexo'],
      dtype='object')"
20180712,"Index(['mixin', 'syscoin', 'fusion', 'enigma', 'cryptonex', 'all-sports',
       'ruff', 'steem', 'ren', 'populous', 'bottos', 'cortex', 'stakenet',
       'constellation', 'bibox-token', 'loopring', 'nebulas-token',
       'ontology'],
      dtype='object')","Index(['bnktothefuture', 'quantstamp', 'dash', 'kyber-network', 'suncontract',
       'stratis', 'streamr-datacoin', 'smartshare', 'time-new-bank', 'eos',
       'cvcoin', 'nexo', 'qlink', 'truechain', 'crpt', 'ravencoin', 'nkn'],
      dtype='object')","Index(['stellar', 'zcash', 'ark', 'litecoin', 'wings', 'adx-net', 'monero',
       'cardano', 'komodo', 'educare', 'neblio', 'bitcoin-cash',
       'high-performance-blockchain', 'dynamic-trading-rights', 'vibe',
       'singularitynet', 'waves'],
      dtype='object')","Index(['ormeus-coin', 'crypto-com', 'singulardtv', 'district0x',
       'power-ledger', 'rlc', 'matrix-ai-network', 'mithril', 'red-pulse',
       'nem', 'atn', 'agrello-delta', 'ripio-credit-network', 'bitcoin',
       'iota', 'nano', 'ethereum'],
      dtype='object')","Index(['odem', 'primas', 'qash', 'ignis', 'factom', 'sirin-labs-token',
       'loom-network', 'nexus', 'nuls', 'neo', 'credits', 'polymath-network',
       'maker', 'wax', 'ardor', 'gifto', '0x'],
      dtype='object')"
20180730,"Index(['high-performance-blockchain', 'educare', 'suncontract', 'enigma',
       'qash', 'populous', 'vibe', 'ormeus-coin', 'factom', 'loom-network',
       'rlc', 'nano', 'bnktothefuture', 'all-sports', 'gifto', 'ardor',
       'singularitynet', 'cvcoin'],
      dtype='object')","Index(['red-pulse', 'streamr-datacoin', 'primas', 'waves', 'credits',
       'kyber-network', 'pundi-x', 'neblio', 'truechain', 'qlink', 'ontology',
       'ren', 'fusion', 'quantstamp', 'singulardtv', 'sirin-labs-token',
       'power-ledger', 'ark'],
      dtype='object')","Index(['iota', 'ripio-credit-network', 'agrello-delta',
       'dynamic-trading-rights', 'polymath-network', 'steem', 'ruff', 'mixin',
       'cardano', 'dash', 'stakenet', 'cortex', 'neo', 'loopring',
       'time-new-bank', 'nexus', 'nebulas-token'],
      dtype='object')","Index(['bitcoin-cash', '0x', 'ignis', 'nuls', 'matrix-ai-network', 'adx-net',
       'pchain', 'ethereum', 'eos', 'monero', 'litecoin', 'stratis', 'komodo',
       'wax', 'crypto-com', 'atn', 'nem', 'bottos'],
      dtype='object')","Index(['mithril', 'crpt', 'bibox-token', 'constellation', 'district0x', 'odem',
       'smartshare', 'nexo', 'ravencoin', 'bitcoin', 'cryptonex', 'nkn',
       'zcash', 'stellar', 'wings', 'syscoin', 'maker'],
      dtype='object')"
20180817,"Index(['ripio-credit-network', 'primas', 'neo', 'odem', 'loopring',
       'red-pulse', 'bnktothefuture', 'nebulas-token', 'loom-network',
       'smartshare', 'adx-net', 'ruff', 'educare', 'iota', 'fusion', 'bottos',
       'high-performance-blockchain', 'constellation', 'nkn'],
      dtype='object')","Index(['truechain', 'crpt', 'metronome', 'wax', 'stratis', 'ren',
       'singularitynet', 'sirin-labs-token', 'eos', 'gifto', 'agrello-delta',
       'atn', 'time-new-bank', 'streamr-datacoin', 'kyber-network',
       'dynamic-trading-rights', 'mixin', 'stakenet'],
      dtype='object')","Index(['nem', 'pchain', 'ark', 'crypto-com', 'ethereum', 'bibox-token',
       'quantstamp', 'rlc', 'komodo', 'cortex', 'polymath-network',
       'matrix-ai-network', 'syscoin', 'vibe', 'neblio', 'enigma',
       'district0x', 'mithril'],
      dtype='object')","Index(['credits', 'monero', 'power-ledger', 'nuls', 'maker', 'factom', '0x',
       'steem', 'ontology', 'litecoin', 'nexus', 'singulardtv', 'suncontract',
       'dash', 'bitcoin-cash', 'cardano', 'pundi-x', 'cvcoin'],
      dtype='object')","Index(['waves', 'bhp-coin', 'populous', 'bitcoin', 'qlink', 'cryptonex',
       'stellar', 'ignis', 'all-sports', 'nano', 'ormeus-coin', 'ardor',
       'nexo', 'vechain', 'ravencoin', 'qash', 'wings', 'zcash'],
      dtype='object')"
20180904,"Index(['power-ledger', 'stasis-euro', 'ethereum', 'ignis', 'seele', 'credits',
       'stellar', 'mixin', 'pchain', 'waves', 'red-pulse', 'crpt', 'atn',
       'bibox-token', 'populous', 'stakenet', 'cortex', 'ormeus-coin',
       'dynamic-trading-rights'],
      dtype='object')","Index(['sirin-labs-token', 'time-new-bank', 'smartshare', 'bitcoin',
       'ontology', 'maker', 'gifto', 'ardor', '0x', 'streamr-datacoin',
       'wings', 'cryptonex', 'fusion', 'kyber-network', 'mithril', 'rlc',
       'crypto-com', 'nebulas-token', 'all-sports'],
      dtype='object')","Index(['bitcoin-cash', 'ark', 'singularitynet', 'wax', 'zcash', 'nem',
       'agrello-delta', 'suncontract', 'ripio-credit-network', 'nexo',
       'bhp-coin', 'polymath-network', 'litecoin', 'bnktothefuture', 'educare',
       'loopring', 'cardano', 'steem'],
      dtype='object')","Index(['enigma', 'ravencoin', 'qash', 'syscoin', 'neo', 'stratis', 'vechain',
       'matrix-ai-network', 'bottos', 'adx-net', 'nkn', 'district0x', 'primas',
       'nuls', 'truechain', 'odem', 'high-performance-blockchain',
       'quantstamp', 'singulardtv'],
      dtype='object')","Index(['constellation', 'ren', 'ruff', 'dash', 'monero', 'cvcoin', 'nano',
       'komodo', 'nexus', 'qlink', 'iota', 'factom', 'metronome',
       'loom-network', 'pundi-x', 'neblio', 'eos', 'vibe'],
      dtype='object')"
20180922,"Index(['dash', 'vechain', 'bibox-token', 'stasis-euro', 'ignis', 'cortex',
       'nuls', 'pundi-x', 'waves', 'crypto-com', 'credits', 'ravencoin',
       'populous', 'stakenet', 'cvcoin', 'mixin', 'educare', 'smartshare',
       'odem'],
      dtype='object')","Index(['ormeus-coin', 'pchain', 'qash', 'bhp-coin', 'wax', 'mithril', 'nem',
       'bitcoin-cash', 'singularitynet', 'neo', 'truechain', 'metronome',
       'bitcoin', 'nkn', 'zcash', 'thingschain', 'cryptonex',
       'streamr-datacoin', 'nebulas-token'],
      dtype='object')","Index(['matrix-ai-network', 'red-pulse', 'all-sports', 'loopring', 'zip',
       'stratis', 'nexus', 'bnktothefuture', 'time-new-bank',
       'sirin-labs-token', 'kyber-network', 'litecoin', 'seele', 'bottos',
       'iota', 'dynamic-trading-rights', 'gifto', 'komodo', 'enigma'],
      dtype='object')","Index(['crpt', 'eos', 'nexo', 'rlc', 'cardano', 'quantstamp', 'power-ledger',
       'ark', 'wings', 'adx-net', 'monero', 'suncontract', 'neblio',
       'ontology', 'constellation', 'polymath-network', '0x', 'syscoin',
       'steem'],
      dtype='object')","Index(['vibe', 'primas', 'ren', 'high-performance-blockchain',
       'ripio-credit-network', 'atn', 'nano', 'agrello-delta', 'singulardtv',
       'stellar', 'maker', 'fusion', 'qlink', 'factom', 'ruff', 'ethereum',
       'ardor', 'district0x', 'loom-network'],
      dtype='object')"
