,Port1,Port2,Port3,Port4,Port5
20180501,"Index(['qlink', 'zcash', 'ignis', 'primas', 'qash', 'factom', 'suncontract',
       'dynamic-trading-rights', 'monero', 'bitcoin', 'cryptonex', 'litecoin',
       'atn', 'credits', 'ravencoin', 'ormeus-coin'],
      dtype='object')","Index(['district0x', 'adx-net', 'neo', 'high-performance-blockchain',
       'matrix-ai-network', 'streamr-datacoin', 'ethereum', 'wings', 'komodo',
       'bibox-token', 'nexus', 'polymath-network', 'dash', 'nano', 'crpt'],
      dtype='object')","Index(['stellar', 'syscoin', 'vibe', 'ripio-credit-network', 'stratis',
       'enigma', 'rlc', 'iota', 'nem', 'singularitynet', 'nebulas-token',
       'waves', 'ark', 'nuls', 'ardor'],
      dtype='object')","Index(['loopring', 'sirin-labs-token', 'ren', '0x', 'cardano', 'singulardtv',
       'time-new-bank', 'quantstamp', 'maker', 'populous', 'agrello-delta',
       'bitcoin-cash', 'power-ledger', 'neblio', 'red-pulse'],
      dtype='object')","Index(['all-sports', 'ontology', 'bottos', 'fusion', 'loom-network', 'eos',
       'gifto', 'kyber-network', 'truechain', 'steem', 'mithril', 'crypto-com',
       'ruff', 'wax', 'cvcoin'],
      dtype='object')"
20180510,"Index(['ripio-credit-network', 'ardor', 'qash', 'wings', 'singulardtv',
       'litecoin', 'monero', 'bitcoin', 'komodo', 'streamr-datacoin', 'cvcoin',
       'cryptonex', 'ravencoin', 'high-performance-blockchain', 'factom',
       'ormeus-coin'],
      dtype='object')","Index(['credits', 'nem', 'qlink', 'atn', 'adx-net', 'nano', 'power-ledger',
       'vibe', 'crpt', 'zcash', 'singularitynet', 'nexus', 'ark', 'dash',
       'dynamic-trading-rights', 'neo'],
      dtype='object')","Index(['steem', 'time-new-bank', 'waves', 'ignis', 'ethereum', 'wax', 'maker',
       'agrello-delta', 'district0x', 'syscoin', 'populous',
       'sirin-labs-token', 'quantstamp', 'red-pulse', 'suncontract'],
      dtype='object')","Index(['iota', 'ruff', 'kyber-network', 'cardano', 'nuls', 'bibox-token',
       'nebulas-token', 'crypto-com', 'educare', 'loopring', 'rlc', 'stratis',
       'ontology', 'enigma', 'stellar', 'neblio'],
      dtype='object')","Index(['all-sports', 'truechain', 'mithril', 'loom-network', 'bottos', 'mixin',
       'matrix-ai-network', 'primas', '0x', 'ren', 'eos', 'bitcoin-cash',
       'fusion', 'gifto', 'polymath-network'],
      dtype='object')"
20180519,"Index(['neo', 'ripio-credit-network', 'dynamic-trading-rights', 'red-pulse',
       'qash', 'ardor', 'singulardtv', 'nano', 'singularitynet', 'cvcoin',
       'populous', 'mithril', 'wax', 'crypto-com', 'factom', 'ormeus-coin'],
      dtype='object')","Index(['neblio', 'dash', 'cryptonex', 'cardano', 'adx-net', 'stellar',
       'power-ledger', 'qlink', 'atn', 'loopring', 'monero', 'nexus', 'wings',
       'vibe', 'komodo', 'nem'],
      dtype='object')","Index(['time-new-bank', 'streamr-datacoin', 'ark', 'agrello-delta', 'gifto',
       'ignis', 'stratis', 'high-performance-blockchain', 'sirin-labs-token',
       'bitcoin', 'iota', 'ravencoin', 'district0x', 'syscoin', 'steem',
       'litecoin'],
      dtype='object')","Index(['0x', 'eos', 'zcash', 'nebulas-token', 'ruff', 'quantstamp',
       'bitcoin-cash', 'ethereum', 'waves', 'kyber-network', 'cortex',
       'suncontract', 'crpt', 'maker', 'enigma', 'stakenet'],
      dtype='object')","Index(['truechain', 'primas', 'all-sports', 'bottos', 'educare',
       'polymath-network', 'mixin', 'bibox-token', 'loom-network', 'fusion',
       'ren', 'nuls', 'credits', 'ontology', 'matrix-ai-network', 'rlc'],
      dtype='object')"
20180528,"Index(['mixin', 'factom', 'adx-net', 'steem', 'power-ledger',
       'ripio-credit-network', 'wax', 'crypto-com', 'cardano', 'nano', 'qlink',
       'populous', 'red-pulse', 'vibe', 'mithril', 'kyber-network', 'gifto'],
      dtype='object')","Index(['cryptonex', 'sirin-labs-token', 'waves', 'stellar', 'komodo', 'dash',
       'monero', 'wings', 'singulardtv', 'syscoin', 'nem', 'ark',
       'agrello-delta', 'dynamic-trading-rights', 'neblio', 'loopring'],
      dtype='object')","Index(['odem', 'cvcoin', 'enigma', 'ormeus-coin', 'maker', 'iota',
       'time-new-bank', 'bitcoin-cash', 'stratis', 'ruff', 'nebulas-token',
       'neo', 'qash', 'ardor', 'district0x', 'eos'],
      dtype='object')","Index(['ontology', 'high-performance-blockchain', 'credits', 'zcash',
       'quantstamp', 'ignis', 'ethereum', 'streamr-datacoin', 'cortex',
       'matrix-ai-network', 'bitcoin', 'nexus', 'atn', 'litecoin',
       'suncontract', 'singularitynet'],
      dtype='object')","Index(['primas', 'all-sports', 'truechain', 'educare', 'bottos', 'bibox-token',
       'polymath-network', 'rlc', 'ren', 'loom-network', 'ravencoin',
       'stakenet', 'crpt', '0x', 'nuls', 'fusion'],
      dtype='object')"
20180606,"Index(['agrello-delta', 'populous', 'stratis', 'matrix-ai-network',
       'ripio-credit-network', 'qlink', 'crypto-com', 'vibe', 'ignis',
       'singulardtv', 'wax', 'gifto', 'loom-network', 'mithril', 'nano',
       'neblio', 'red-pulse'],
      dtype='object')","Index(['steem', 'cardano', 'adx-net', 'waves', 'nem', 'loopring', 'ardor',
       'dynamic-trading-rights', 'time-new-bank', 'sirin-labs-token',
       'kyber-network', 'nexo', 'suncontract', 'ravencoin', 'district0x',
       'bottos'],
      dtype='object')","Index(['bnktothefuture', 'ark', 'quantstamp', 'nebulas-token', 'monero',
       'komodo', 'factom', 'cortex', 'syscoin', 'bitcoin-cash', 'dash', 'neo',
       'credits', 'power-ledger', 'wings', 'qash', 'all-sports'],
      dtype='object')","Index(['polymath-network', 'ontology', 'zcash', 'bitcoin', 'ethereum', 'atn',
       'ruff', 'eos', 'enigma', 'maker', 'iota', 'cryptonex', 'fusion',
       'stellar', '0x', 'litecoin'],
      dtype='object')","Index(['primas', 'bibox-token', 'stakenet', 'cvcoin', 'educare', 'odem', 'ren',
       'nexus', 'rlc', 'nuls', 'streamr-datacoin', 'truechain', 'crpt',
       'high-performance-blockchain', 'singularitynet', 'ormeus-coin'],
      dtype='object')"
20180615,"Index(['loom-network', 'cortex', 'nano', 'agrello-delta', 'qlink',
       'suncontract', 'truechain', 'bottos', 'red-pulse', 'gifto', 'wax',
       'neblio', 'credits', 'polymath-network', 'mithril', 'matrix-ai-network',
       'primas'],
      dtype='object')","Index(['enigma', 'power-ledger', 'singulardtv', 'fusion', 'ark',
       'kyber-network', 'nexo', 'ripio-credit-network', 'zcash', 'vibe',
       'crypto-com', 'stratis', 'sirin-labs-token', 'district0x', 'adx-net',
       'rlc'],
      dtype='object')","Index(['syscoin', 'dynamic-trading-rights', 'bnktothefuture', 'nem', 'steem',
       'nuls', 'streamr-datacoin', 'time-new-bank', 'quantstamp', 'qash',
       'ravencoin', 'factom', 'ignis', 'waves', 'loopring', 'wings',
       'populous'],
      dtype='object')","Index(['stellar', 'singularitynet', 'atn', 'bitcoin-cash', 'maker', '0x',
       'cardano', 'iota', 'monero', 'ren', 'komodo', 'neo', 'ruff', 'dash',
       'ardor', 'crpt'],
      dtype='object')","Index(['bibox-token', 'odem', 'stakenet', 'eos', 'ontology', 'educare',
       'cvcoin', 'all-sports', 'bitcoin', 'ormeus-coin', 'nexus', 'cryptonex',
       'high-performance-blockchain', 'ethereum', 'nebulas-token', 'litecoin'],
      dtype='object')"
20180624,"Index(['qash', 'steem', 'suncontract', 'neblio', 'vibe', 'rlc',
       'sirin-labs-token', 'bottos', 'agrello-delta', 'polymath-network',
       'truechain', 'all-sports', 'populous', 'cortex', 'quantstamp',
       'loom-network', 'primas'],
      dtype='object')","Index(['adx-net', 'wax', 'ravencoin', '0x', 'red-pulse', 'singularitynet',
       'qlink', 'singulardtv', 'district0x', 'fusion', 'ripio-credit-network',
       'credits', 'syscoin', 'stratis', 'gifto', 'matrix-ai-network'],
      dtype='object')","Index(['loopring', 'power-ledger', 'high-performance-blockchain', 'mithril',
       'bnktothefuture', 'nem', 'factom', 'ormeus-coin', 'nexo', 'zcash',
       'kyber-network', 'wings', 'nuls', 'nano', 'ardor', 'ark', 'ignis'],
      dtype='object')","Index(['iota', 'litecoin', 'maker', 'cardano', 'eos', 'crpt', 'crypto-com',
       'nexus', 'ren', 'komodo', 'atn', 'waves', 'time-new-bank',
       'dynamic-trading-rights', 'ruff', 'neo'],
      dtype='object')","Index(['odem', 'stakenet', 'streamr-datacoin', 'bibox-token', 'cvcoin',
       'cryptonex', 'bitcoin', 'ethereum', 'educare', 'ontology', 'enigma',
       'bitcoin-cash', 'nebulas-token', 'dash', 'stellar', 'monero'],
      dtype='object')"
20180703,"Index(['ren', 'syscoin', 'vibe', 'sirin-labs-token', 'ravencoin', 'nexus',
       'rlc', 'polymath-network', 'qash', 'nkn', 'quantstamp', 'fusion',
       'educare', 'bnktothefuture', 'truechain', 'primas', 'all-sports'],
      dtype='object')","Index(['eos', 'nexo', 'cryptonex', 'ignis', 'ruff', 'ripio-credit-network',
       'district0x', 'wings', 'high-performance-blockchain', 'bottos',
       'cortex', 'credits', 'agrello-delta', 'suncontract', 'neblio',
       'loom-network', 'cvcoin'],
      dtype='object')","Index(['ardor', 'iota', 'atn', 'kyber-network', 'nano', 'neo', 'komodo',
       'red-pulse', 'gifto', 'factom', 'crpt', 'matrix-ai-network', 'qlink',
       'ark', 'nuls', 'singulardtv', 'stratis'],
      dtype='object')","Index(['waves', '0x', 'stellar', 'maker', 'nebulas-token', 'cardano',
       'dynamic-trading-rights', 'singularitynet', 'litecoin', 'time-new-bank',
       'loopring', 'bitcoin-cash', 'ontology', 'populous', 'steem', 'wax',
       'adx-net'],
      dtype='object')","Index(['odem', 'stakenet', 'crypto-com', 'streamr-datacoin', 'power-ledger',
       'bitcoin', 'ormeus-coin', 'monero', 'enigma', 'nem', 'ethereum', 'dash',
       'mixin', 'zcash', 'mithril', 'bibox-token'],
      dtype='object')"
20180712,"Index(['rlc', 'nebulas-token', 'neblio', 'crpt', 'bottos', 'ravencoin',
       'quantstamp', 'mixin', 'syscoin', 'stakenet', 'bnktothefuture',
       'ontology', 'truechain', 'fusion', 'ren', 'bibox-token', 'all-sports'],
      dtype='object')","Index(['steem', 'waves', 'dynamic-trading-rights', 'komodo', 'agrello-delta',
       'nexo', 'stratis', 'time-new-bank', 'loopring', 'ruff', 'vibe',
       'cryptonex', 'eos', 'cortex', 'qlink', 'qash', 'wings'],
      dtype='object')","Index(['neo', 'primas', 'district0x', 'nem', 'bitcoin-cash', 'populous',
       'iota', 'cardano', 'loom-network', 'litecoin',
       'high-performance-blockchain', 'ripio-credit-network', 'suncontract',
       'educare', 'singularitynet', 'nkn', 'ark'],
      dtype='object')","Index(['ethereum', 'cvcoin', 'credits', 'sirin-labs-token', 'maker', 'nano',
       'ignis', 'singulardtv', 'red-pulse', 'kyber-network', 'dash',
       'matrix-ai-network', 'atn', 'polymath-network', 'ardor', 'zcash',
       'stellar'],
      dtype='object')","Index(['odem', 'crypto-com', 'mithril', 'power-ledger', 'monero',
       'ormeus-coin', 'bitcoin', 'factom', 'streamr-datacoin', 'gifto',
       'nexus', 'enigma', '0x', 'wax', 'nuls', 'adx-net'],
      dtype='object')"
20180721,"Index(['nexo', 'credits', 'fusion', 'qlink', 'nebulas-token',
       'streamr-datacoin', 'educare', 'constellation', 'bibox-token',
       'bnktothefuture', 'crpt', 'ontology', 'ren', 'stakenet', 'smartshare',
       'nkn', 'all-sports'],
      dtype='object')","Index(['nano', 'quantstamp', 'singularitynet', 'ripio-credit-network', 'eos',
       'loopring', 'vibe', 'enigma', 'truechain', 'agrello-delta', 'bottos',
       'time-new-bank', 'ravencoin', 'ruff', 'cryptonex', 'syscoin', 'cortex'],
      dtype='object')","Index(['sirin-labs-token', 'litecoin', 'populous', 'ark', 'komodo',
       'district0x', 'matrix-ai-network', 'iota', 'qash', 'atn', 'neblio',
       'rlc', 'suncontract', 'dynamic-trading-rights', 'waves', 'factom',
       'singulardtv'],
      dtype='object')","Index(['wax', 'polymath-network', 'kyber-network', 'zcash', 'dash', 'adx-net',
       'nem', 'red-pulse', 'neo', 'nexus', 'bitcoin-cash', 'wings', 'steem',
       'stratis', 'nuls', 'cvcoin', 'ethereum'],
      dtype='object')","Index(['odem', 'mithril', 'power-ledger', 'crypto-com', '0x', 'ignis',
       'stellar', 'primas', 'loom-network', 'ardor', 'bitcoin', 'ormeus-coin',
       'monero', 'maker', 'high-performance-blockchain', 'gifto', 'cardano'],
      dtype='object')"
