,Port1,Port2,Port3,Port4,Port5
20170711,"Index(['factom', 'iota', 'stellar', 'zcash', 'stratis', 'eos'], dtype='object')","Index(['nem', 'komodo', 'crypto-com', 'syscoin', 'waves'], dtype='object')","Index(['steem', 'agoras-tokens', 'singulardtv', 'nexus', 'ark'], dtype='object')","Index(['monero', 'wings', 'ardor', 'rlc', 'nano'], dtype='object')","Index(['bitcoin', 'litecoin', 'ethereum', 'neo', 'dash'], dtype='object')"
20170729,"Index(['stratis', 'stellar', 'zcash', 'dash', 'litecoin', 'ethereum'], dtype='object')","Index(['ark', 'neo', 'syscoin', 'singulardtv', 'factom', 'adx-net'], dtype='object')","Index(['nexus', 'crypto-com', 'nano', 'rlc', 'wings'], dtype='object')","Index(['populous', 'waves', 'steem', 'komodo', 'agoras-tokens', 'ardor'], dtype='object')","Index(['bitcoin', 'eos', 'monero', 'nem', 'iota'], dtype='object')"
20170816,"Index(['zcash', 'nem', 'stellar', 'stratis', 'bitcoin-cash', 'litecoin',
       'ethereum'],
      dtype='object')","Index(['eos', 'crypto-com', 'dash', 'waves', 'komodo', 'factom'], dtype='object')","Index(['syscoin', 'ardor', 'rlc', 'populous', 'singulardtv', 'monero',
       'steem'],
      dtype='object')","Index(['nexus', 'suncontract', 'nano', 'cvcoin', 'agoras-tokens', 'wings'], dtype='object')","Index(['bitcoin', 'neo', 'adx-net', 'ark', 'iota', 'district0x'], dtype='object')"
20170903,"Index(['adx-net', 'stratis', 'primas', 'monero', 'iota', 'crypto-com',
       'ethereum'],
      dtype='object')","Index(['syscoin', 'factom', 'neo', 'district0x', 'nexus', 'dash', 'zcash'], dtype='object')","Index(['ardor', 'aidos-kuneen', 'waves', 'cvcoin', 'agoras-tokens', 'nano',
       'steem'],
      dtype='object')","Index(['singulardtv', '0x', 'stellar', 'rlc', 'populous', 'ark',
       'suncontract'],
      dtype='object')","Index(['litecoin', 'bitcoin', 'bitcoin-cash', 'nem', 'eos', 'komodo', 'wings'], dtype='object')"
20170921,"Index(['syscoin', '0x', 'zcash', 'ark', 'eos', 'litecoin', 'neo', 'monero'], dtype='object')","Index(['wings', 'district0x', 'nexus', 'neblio', 'factom', 'komodo',
       'adx-net'],
      dtype='object')","Index(['singulardtv', 'primas', 'agrello-delta', 'agoras-tokens', 'loopring',
       'steem', 'populous'],
      dtype='object')","Index(['waves', 'stratis', 'stellar', 'rlc', 'suncontract', 'nano', 'ardor'], dtype='object')","Index(['bitcoin-cash', 'ethereum', 'bitcoin', 'dash', 'iota', 'crypto-com',
       'nem'],
      dtype='object')"
20171009,"Index(['dash', 'waves', 'monero', 'iota', 'adx-net', 'zcash', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['eos', 'stratis', 'factom', 'loopring', 'cardano', 'kyber-network',
       'nem', 'ark'],
      dtype='object')","Index(['nexus', 'syscoin', 'district0x', 'singulardtv', 'wings', 'komodo',
       'crypto-com', 'ardor'],
      dtype='object')","Index(['suncontract', 'cvcoin', 'agrello-delta', 'agoras-tokens', 'neblio',
       'populous', 'rlc', 'steem'],
      dtype='object')","Index(['bitcoin', 'stellar', 'ethereum', 'litecoin', 'nano', '0x', 'vibe',
       'primas'],
      dtype='object')"
20171027,"Index(['loopring', 'crypto-com', 'monero', 'nem', 'waves', 'district0x',
       'dash', 'litecoin', 'bitcoin'],
      dtype='object')","Index(['nano', 'primas', 'cvcoin', 'agrello-delta', 'vibe', 'wings', 'factom',
       'ardor'],
      dtype='object')","Index(['suncontract', 'nexus', 'ark', 'neblio', 'populous', 'steem', '0x',
       'agoras-tokens'],
      dtype='object')","Index(['syscoin', 'singulardtv', 'cardano', 'rlc', 'komodo', 'enigma',
       'kyber-network', 'eos'],
      dtype='object')","Index(['bitcoin-cash', 'stratis', 'ethereum', 'zcash', 'iota', 'adx-net',
       'neo', 'stellar'],
      dtype='object')"
20171114,"Index(['0x', 'streamr-datacoin', 'nem', 'district0x', 'cardano', 'singulardtv',
       'kyber-network', 'komodo', 'stellar', 'bitcoin'],
      dtype='object')","Index(['agoras-tokens', 'cvcoin', 'loopring', 'primas', 'ardor', 'neblio',
       'agrello-delta', 'nexus', 'enigma'],
      dtype='object')","Index(['ripio-credit-network', 'power-ledger', 'steem', 'suncontract',
       'adx-net', 'wings', 'cryptonex', 'nano', 'vibe'],
      dtype='object')","Index(['waves', 'syscoin', 'populous', 'rlc', 'red-pulse', 'stratis', 'neo',
       'factom', 'ark'],
      dtype='object')","Index(['bitcoin-cash', 'dash', 'ethereum', 'monero', 'litecoin', 'iota', 'eos',
       'zcash', 'crypto-com'],
      dtype='object')"
20171202,"Index(['adx-net', 'nem', 'stratis', 'litecoin', 'neo', 'monero', 'zcash',
       'iota', 'ethereum', 'bitcoin-cash'],
      dtype='object')","Index(['0x', 'streamr-datacoin', 'waves', 'agrello-delta',
       'ripio-credit-network', 'kyber-network', 'komodo', 'stellar',
       'quantstamp'],
      dtype='object')","Index(['red-pulse', 'wings', 'district0x', 'singulardtv', 'factom', 'ark',
       'steem', 'ardor', 'syscoin', 'crypto-com'],
      dtype='object')","Index(['loopring', 'nexus', 'cryptonex', 'nano', 'primas', 'cvcoin', 'vibe',
       'neblio', 'rlc'],
      dtype='object')","Index(['bitcoin', 'dash', 'agoras-tokens', 'power-ledger', 'enigma', 'eos',
       'cardano', 'populous', 'suncontract'],
      dtype='object')"
20171220,"Index(['waves', 'crypto-com', 'streamr-datacoin', 'stratis', 'quantstamp',
       'qash', 'monero', 'litecoin', 'ethereum', 'bitcoin'],
      dtype='object')","Index(['rlc', 'primas', 'cvcoin', 'ardor', 'vibe', 'cryptonex', 'neblio',
       'singulardtv', 'nexus', 'populous'],
      dtype='object')","Index(['red-pulse', 'agoras-tokens', 'steem', 'syscoin', 'district0x', 'nano',
       'komodo', 'agrello-delta', 'suncontract', 'wings'],
      dtype='object')","Index(['kyber-network', 'dash', 'factom', 'ark', '0x', 'enigma', 'adx-net',
       'ripio-credit-network', 'time-new-bank', 'loopring'],
      dtype='object')","Index(['bitcoin-cash', 'eos', 'iota', 'neo', 'cardano', 'power-ledger',
       'zcash', 'nem', 'stellar'],
      dtype='object')"
