,Port1,Port2,Port3,Port4,Port5
20170712,"Index(['ethereum', 'stellar', 'iota', 'zcash', 'stratis', 'eos'], dtype='object')","Index(['steem', 'nem', 'syscoin', 'ardor', 'factom'], dtype='object')","Index(['singulardtv', 'komodo', 'crypto-com', 'waves', 'rlc'], dtype='object')","Index(['wings', 'ark', 'nano', 'agoras-tokens', 'nexus'], dtype='object')","Index(['bitcoin', 'litecoin', 'dash', 'monero', 'neo'], dtype='object')"
20170715,"Index(['syscoin', 'waves', 'factom', 'iota', 'zcash', 'eos'], dtype='object')","Index(['stratis', 'crypto-com', 'ardor', 'steem', 'nem'], dtype='object')","Index(['agoras-tokens', 'nexus', 'ark', 'singulardtv', 'komodo'], dtype='object')","Index(['dash', 'wings', 'monero', 'rlc', 'nano'], dtype='object')","Index(['bitcoin', 'litecoin', 'ethereum', 'neo', 'stellar'], dtype='object')"
20170718,"Index(['monero', 'zcash', 'dash', 'litecoin', 'bitcoin', 'ethereum'], dtype='object')","Index(['syscoin', 'steem', 'ardor', 'waves', 'eos'], dtype='object')","Index(['rlc', 'agoras-tokens', 'nano', 'singulardtv', 'crypto-com'], dtype='object')","Index(['wings', 'factom', 'komodo', 'nexus', 'ark'], dtype='object')","Index(['stellar', 'stratis', 'iota', 'neo', 'nem'], dtype='object')"
20170721,"Index(['adx-net', 'monero', 'factom', 'zcash', 'eos', 'litecoin'], dtype='object')","Index(['nexus', 'agoras-tokens', 'singulardtv', 'wings', 'waves'], dtype='object')","Index(['neo', 'komodo', 'syscoin', 'rlc', 'ark', 'nano'], dtype='object')","Index(['dash', 'nem', 'crypto-com', 'ardor', 'steem'], dtype='object')","Index(['bitcoin', 'ethereum', 'iota', 'stellar', 'stratis'], dtype='object')"
20170724,"Index(['nexus', 'agoras-tokens', 'monero', 'zcash', 'bitcoin', 'litecoin'], dtype='object')","Index(['wings', 'ark', 'singulardtv', 'komodo', 'rlc', 'nano'], dtype='object')","Index(['waves', 'steem', 'dash', 'crypto-com', 'adx-net'], dtype='object')","Index(['factom', 'stellar', 'syscoin', 'nem', 'ardor', 'populous'], dtype='object')","Index(['ethereum', 'neo', 'stratis', 'iota', 'eos'], dtype='object')"
20170727,"Index(['komodo', 'crypto-com', 'bitcoin', 'zcash', 'litecoin', 'ethereum'], dtype='object')","Index(['ark', 'singulardtv', 'wings', 'agoras-tokens', 'populous', 'waves'], dtype='object')","Index(['ardor', 'adx-net', 'rlc', 'nano', 'nexus'], dtype='object')","Index(['factom', 'stellar', 'nem', 'syscoin', 'iota', 'steem'], dtype='object')","Index(['dash', 'monero', 'neo', 'eos', 'stratis'], dtype='object')"
20170730,"Index(['syscoin', 'waves', 'ardor', 'stellar', 'stratis', 'litecoin'], dtype='object')","Index(['ark', 'wings', 'singulardtv', 'zcash', 'neo', 'steem'], dtype='object')","Index(['nano', 'nexus', 'crypto-com', 'agoras-tokens', 'komodo'], dtype='object')","Index(['nem', 'iota', 'populous', 'adx-net', 'factom', 'rlc'], dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'dash', 'monero'], dtype='object')"
20170802,"Index(['rlc', 'waves', 'singulardtv', 'adx-net', 'stellar', 'dash'], dtype='object')","Index(['komodo', 'agoras-tokens', 'wings', 'nexus', 'nano', 'crypto-com'], dtype='object')","Index(['zcash', 'syscoin', 'ark', 'steem', 'factom'], dtype='object')","Index(['stratis', 'neo', 'nem', 'iota', 'populous', 'ardor'], dtype='object')","Index(['ethereum', 'bitcoin', 'eos', 'litecoin', 'monero'], dtype='object')"
20170805,"Index(['steem', 'zcash', 'monero', 'dash', 'eos', 'bitcoin'], dtype='object')","Index(['factom', 'rlc', 'nano', 'agoras-tokens', 'nexus', 'komodo'], dtype='object')","Index(['ark', 'syscoin', 'adx-net', 'wings', 'crypto-com'], dtype='object')","Index(['nem', 'litecoin', 'ardor', 'waves', 'populous', 'singulardtv'], dtype='object')","Index(['ethereum', 'neo', 'iota', 'stratis', 'stellar'], dtype='object')"
20170808,"Index(['steem', 'zcash', 'dash', 'eos', 'litecoin', 'bitcoin'], dtype='object')","Index(['adx-net', 'nexus', 'rlc', 'nano', 'agoras-tokens', 'komodo'], dtype='object')","Index(['monero', 'crypto-com', 'ark', 'singulardtv', 'syscoin'], dtype='object')","Index(['waves', 'stellar', 'ardor', 'wings', 'factom', 'populous'], dtype='object')","Index(['ethereum', 'neo', 'iota', 'nem', 'stratis'], dtype='object')"
20170811,"Index(['monero', 'ardor', 'bitcoin-cash', 'dash', 'eos', 'litecoin'], dtype='object')","Index(['agoras-tokens', 'rlc', 'komodo', 'syscoin', 'factom', 'steem'], dtype='object')","Index(['crypto-com', 'nano', 'adx-net', 'ark', 'nexus', 'singulardtv'], dtype='object')","Index(['zcash', 'stellar', 'waves', 'nem', 'wings', 'populous'], dtype='object')","Index(['neo', 'ethereum', 'bitcoin', 'iota', 'stratis'], dtype='object')"
20170814,"Index(['factom', 'monero', 'stratis', 'dash', 'stellar', 'eos', 'litecoin'], dtype='object')","Index(['agoras-tokens', 'syscoin', 'steem', 'ardor', 'ark', 'waves'], dtype='object')","Index(['zcash', 'wings', 'singulardtv', 'nano', 'populous', 'suncontract'], dtype='object')","Index(['crypto-com', 'district0x', 'komodo', 'nem', 'nexus', 'rlc'], dtype='object')","Index(['neo', 'bitcoin', 'bitcoin-cash', 'adx-net', 'ethereum', 'iota'], dtype='object')"
20170817,"Index(['monero', 'stellar', 'zcash', 'stratis', 'eos', 'litecoin', 'ethereum'], dtype='object')","Index(['populous', 'syscoin', 'ardor', 'factom', 'waves', 'nem'], dtype='object')","Index(['nano', 'nexus', 'singulardtv', 'wings', 'agoras-tokens', 'steem'], dtype='object')","Index(['ark', 'dash', 'komodo', 'bitcoin-cash', 'suncontract', 'rlc'], dtype='object')","Index(['bitcoin', 'neo', 'adx-net', 'crypto-com', 'iota', 'district0x'], dtype='object')"
20170820,"Index(['komodo', 'waves', 'nem', 'stellar', 'eos', 'stratis', 'ethereum'], dtype='object')","Index(['wings', 'agoras-tokens', 'populous', 'ardor', 'steem', 'singulardtv'], dtype='object')","Index(['litecoin', 'nexus', 'rlc', 'nano', 'syscoin', 'factom', 'cvcoin'], dtype='object')","Index(['iota', 'ark', 'district0x', 'monero', 'suncontract', 'zcash'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'adx-net', 'crypto-com', 'neo', 'dash'], dtype='object')"
20170823,"Index(['waves', 'singulardtv', 'ark', 'stratis', 'eos', 'neo', 'bitcoin'], dtype='object')","Index(['cvcoin', 'agoras-tokens', 'nexus', 'populous', 'ardor', 'nem'], dtype='object')","Index(['steem', 'iota', 'rlc', 'syscoin', 'nano', 'wings', 'komodo'], dtype='object')","Index(['litecoin', 'district0x', 'stellar', 'suncontract', 'factom', 'zcash'], dtype='object')","Index(['bitcoin-cash', 'monero', 'ethereum', 'crypto-com', 'adx-net', 'dash'], dtype='object')"
20170826,"Index(['stratis', 'stellar', 'eos', 'iota', 'adx-net', 'bitcoin-cash',
       'bitcoin'],
      dtype='object')","Index(['district0x', 'ark', 'singulardtv', 'rlc', 'suncontract', 'wings',
       'neo'],
      dtype='object')","Index(['ardor', 'populous', 'cvcoin', 'agoras-tokens', 'nexus', 'nano',
       'komodo'],
      dtype='object')","Index(['crypto-com', 'zcash', 'factom', 'waves', 'steem', 'syscoin', 'nem'], dtype='object')","Index(['monero', 'ethereum', 'dash', '0x', 'litecoin', 'aidos-kuneen'], dtype='object')"
20170829,"Index(['0x', 'eos', 'district0x', 'stellar', 'iota', 'ethereum', 'bitcoin'], dtype='object')","Index(['populous', 'agoras-tokens', 'ardor', 'rlc', 'singulardtv',
       'suncontract', 'nem'],
      dtype='object')","Index(['steem', 'komodo', 'nexus', 'wings', 'nano', 'waves', 'cvcoin'], dtype='object')","Index(['neo', 'stratis', 'ark', 'adx-net', 'factom', 'aidos-kuneen',
       'syscoin'],
      dtype='object')","Index(['litecoin', 'monero', 'dash', 'crypto-com', 'zcash', 'bitcoin-cash'], dtype='object')"
20170901,"Index(['adx-net', '0x', 'iota', 'eos', 'neo', 'bitcoin-cash', 'bitcoin'], dtype='object')","Index(['agoras-tokens', 'rlc', 'aidos-kuneen', 'populous', 'ardor',
       'suncontract', 'district0x'],
      dtype='object')","Index(['steem', 'factom', 'waves', 'singulardtv', 'komodo', 'nano', 'cvcoin'], dtype='object')","Index(['nem', 'ark', 'stratis', 'nexus', 'syscoin', 'wings', 'stellar'], dtype='object')","Index(['litecoin', 'monero', 'dash', 'ethereum', 'zcash', 'crypto-com'], dtype='object')"
20170904,"Index(['zcash', 'dash', 'crypto-com', 'adx-net', 'iota', 'bitcoin-cash',
       'neo'],
      dtype='object')","Index(['ardor', 'aidos-kuneen', 'factom', '0x', 'district0x', 'stratis',
       'eos'],
      dtype='object')","Index(['rlc', 'waves', 'cvcoin', 'agoras-tokens', 'suncontract', 'nano',
       'steem'],
      dtype='object')","Index(['ark', 'nexus', 'syscoin', 'stellar', 'wings', 'singulardtv',
       'populous'],
      dtype='object')","Index(['litecoin', 'bitcoin', 'komodo', 'monero', 'ethereum', 'nem'], dtype='object')"
20170907,"Index(['stratis', 'iota', 'primas', 'eos', 'crypto-com', 'neo', 'ethereum'], dtype='object')","Index(['factom', 'nexus', 'district0x', '0x', 'dash', 'monero', 'zcash'], dtype='object')","Index(['aidos-kuneen', 'suncontract', 'rlc', 'cvcoin', 'agoras-tokens', 'nano',
       'waves'],
      dtype='object')","Index(['singulardtv', 'steem', 'ark', 'wings', 'ardor', 'populous', 'stellar'], dtype='object')","Index(['litecoin', 'bitcoin-cash', 'bitcoin', 'komodo', 'syscoin', 'nem',
       'adx-net'],
      dtype='object')"
20170910,"Index(['district0x', 'waves', 'stellar', 'zcash', 'iota', 'eos', 'litecoin',
       'ethereum'],
      dtype='object')","Index(['wings', 'populous', 'suncontract', 'agoras-tokens', 'cvcoin', 'nano',
       'rlc'],
      dtype='object')","Index(['stratis', 'steem', 'nem', 'factom', 'singulardtv', 'ardor',
       'aidos-kuneen'],
      dtype='object')","Index(['loopring', 'primas', 'adx-net', 'ark', 'dash', '0x', 'nexus'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'neo', 'komodo', 'monero', 'crypto-com',
       'syscoin'],
      dtype='object')"
20170913,"Index(['nano', 'populous', 'stellar', 'district0x', 'nem', 'waves', 'komodo',
       'litecoin'],
      dtype='object')","Index(['zcash', 'wings', 'factom', 'ardor', 'agoras-tokens', 'cvcoin',
       'suncontract'],
      dtype='object')","Index(['singulardtv', 'nexus', 'rlc', 'aidos-kuneen', 'stratis', 'crypto-com',
       'steem'],
      dtype='object')","Index(['iota', 'dash', 'syscoin', 'adx-net', '0x', 'eos', 'loopring'], dtype='object')","Index(['neo', 'bitcoin-cash', 'bitcoin', 'ark', 'monero', 'primas',
       'ethereum'],
      dtype='object')"
20170916,"Index(['factom', 'adx-net', 'stellar', 'komodo', 'neo', 'bitcoin-cash',
       'litecoin'],
      dtype='object')","Index(['suncontract', 'nano', 'aidos-kuneen', 'ardor', 'crypto-com',
       'district0x', 'syscoin'],
      dtype='object')","Index(['stratis', 'waves', 'loopring', 'populous', 'wings', 'steem',
       'agoras-tokens'],
      dtype='object')","Index(['zcash', 'eos', 'singulardtv', 'nexus', '0x', 'nem', 'rlc'], dtype='object')","Index(['bitcoin', 'ethereum', 'ark', 'monero', 'primas', 'iota', 'dash'], dtype='object')"
20170919,"Index(['0x', 'zcash', 'stellar', 'monero', 'syscoin', 'bitcoin-cash',
       'litecoin'],
      dtype='object')","Index(['suncontract', 'nano', 'agrello-delta', 'ardor', 'district0x',
       'adx-net', 'factom'],
      dtype='object')","Index(['singulardtv', 'wings', 'loopring', 'steem', 'populous',
       'agoras-tokens', 'primas'],
      dtype='object')","Index(['nem', 'stratis', 'nexus', 'crypto-com', 'komodo', 'rlc', 'waves'], dtype='object')","Index(['ethereum', 'bitcoin', 'iota', 'dash', 'neo', 'ark', 'eos'], dtype='object')"
20170922,"Index(['nexus', 'stratis', 'adx-net', 'stellar', 'zcash', 'eos', 'ark',
       'monero'],
      dtype='object')","Index(['loopring', 'neblio', 'populous', 'district0x', 'steem', '0x',
       'factom'],
      dtype='object')","Index(['waves', 'suncontract', 'rlc', 'nano', 'agrello-delta', 'primas',
       'syscoin'],
      dtype='object')","Index(['nem', 'iota', 'ardor', 'singulardtv', 'wings', 'agoras-tokens',
       'komodo'],
      dtype='object')","Index(['ethereum', 'bitcoin-cash', 'bitcoin', 'dash', 'litecoin', 'neo',
       'crypto-com'],
      dtype='object')"
20170925,"Index(['ark', 'syscoin', 'stratis', 'nexus', 'eos', 'monero', 'litecoin',
       'bitcoin'],
      dtype='object')","Index(['populous', 'wings', 'neblio', 'neo', 'district0x', 'factom', '0x'], dtype='object')","Index(['rlc', 'primas', 'nano', 'steem', 'agrello-delta', 'singulardtv',
       'suncontract'],
      dtype='object')","Index(['waves', 'nem', 'komodo', 'stellar', 'agoras-tokens', 'loopring',
       'ardor'],
      dtype='object')","Index(['ethereum', 'bitcoin-cash', 'zcash', 'dash', 'adx-net', 'iota',
       'crypto-com'],
      dtype='object')"
20170928,"Index(['nexus', 'monero', 'litecoin', 'iota', 'dash', 'ethereum',
       'bitcoin-cash', 'bitcoin'],
      dtype='object')","Index(['singulardtv', 'populous', 'syscoin', 'ark', 'suncontract', 'nem',
       'stratis', 'eos'],
      dtype='object')","Index(['primas', 'cvcoin', 'rlc', 'neblio', 'nano', 'agrello-delta', 'wings'], dtype='object')","Index(['komodo', '0x', 'factom', 'agoras-tokens', 'loopring', 'district0x',
       'aidos-kuneen', 'steem'],
      dtype='object')","Index(['neo', 'zcash', 'adx-net', 'waves', 'ardor', 'crypto-com', 'stellar'], dtype='object')"
20171001,"Index(['ark', 'stratis', 'crypto-com', 'litecoin', 'monero', 'dash',
       'bitcoin-cash', 'ethereum'],
      dtype='object')","Index(['agrello-delta', 'neblio', 'wings', 'singulardtv', 'suncontract',
       'populous', 'nem', 'nexus'],
      dtype='object')","Index(['agoras-tokens', 'aidos-kuneen', 'primas', 'cvcoin', 'nano', 'factom',
       'rlc'],
      dtype='object')","Index(['waves', 'iota', 'loopring', 'stellar', 'syscoin', 'komodo', '0x',
       'district0x'],
      dtype='object')","Index(['neo', 'zcash', 'adx-net', 'bitcoin', 'eos', 'ardor', 'steem'], dtype='object')"
20171004,"Index(['waves', 'monero', 'stratis', 'crypto-com', 'litecoin', 'dash',
       'ethereum', 'bitcoin-cash'],
      dtype='object')","Index(['populous', 'singulardtv', 'suncontract', 'wings', 'ark', 'factom',
       'nem', 'nexus'],
      dtype='object')","Index(['stellar', 'primas', 'agoras-tokens', 'agrello-delta', 'cvcoin', 'nano',
       'rlc', '0x'],
      dtype='object')","Index(['steem', 'komodo', 'kyber-network', 'aidos-kuneen', 'district0x',
       'vibe', 'neblio', 'syscoin'],
      dtype='object')","Index(['bitcoin', 'neo', 'zcash', 'adx-net', 'eos', 'loopring', 'iota',
       'ardor'],
      dtype='object')"
20171007,"Index(['nem', 'dash', 'steem', 'eos', 'stratis', 'iota', 'zcash',
       'bitcoin-cash'],
      dtype='object')","Index(['suncontract', 'nano', '0x', 'agoras-tokens', 'factom', 'nexus',
       'monero', 'crypto-com'],
      dtype='object')","Index(['populous', 'ark', 'wings', 'syscoin', 'primas', 'agrello-delta',
       'vibe', 'cvcoin'],
      dtype='object')","Index(['ardor', 'litecoin', 'neblio', 'waves', 'komodo', 'district0x', 'rlc',
       'singulardtv'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'neo', 'stellar', 'adx-net', 'loopring',
       'kyber-network'],
      dtype='object')"
20171010,"Index(['eos', 'kyber-network', 'adx-net', 'litecoin', 'iota', 'cardano', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['district0x', 'steem', 'ark', 'waves', 'nem', 'zcash', 'dash',
       'stratis'],
      dtype='object')","Index(['suncontract', 'agoras-tokens', 'syscoin', '0x', 'factom', 'monero',
       'nexus', 'komodo'],
      dtype='object')","Index(['populous', 'nano', 'ardor', 'vibe', 'wings', 'cvcoin', 'agrello-delta',
       'primas'],
      dtype='object')","Index(['bitcoin', 'stellar', 'ethereum', 'crypto-com', 'loopring', 'neblio',
       'rlc', 'singulardtv'],
      dtype='object')"
20171013,"Index(['adx-net', 'waves', 'monero', 'dash', 'iota', 'zcash', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['district0x', 'steem', 'nem', 'loopring', 'factom', 'stratis',
       'kyber-network', 'ethereum'],
      dtype='object')","Index(['agrello-delta', 'agoras-tokens', 'nexus', 'neblio', 'rlc', 'wings',
       'komodo', 'singulardtv'],
      dtype='object')","Index(['vibe', '0x', 'ark', 'nano', 'suncontract', 'populous', 'cvcoin',
       'primas'],
      dtype='object')","Index(['bitcoin', 'litecoin', 'stellar', 'cardano', 'crypto-com', 'ardor',
       'syscoin', 'eos'],
      dtype='object')"
20171016,"Index(['kyber-network', 'waves', 'stratis', 'dash', 'iota', 'zcash', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['rlc', 'agrello-delta', 'suncontract', 'eos', 'steem', 'district0x',
       'adx-net', 'stellar'],
      dtype='object')","Index(['cvcoin', 'factom', 'wings', 'primas', 'singulardtv', 'komodo',
       'agoras-tokens', 'loopring'],
      dtype='object')","Index(['monero', 'nem', 'nano', 'populous', '0x', 'nexus', 'neblio', 'vibe'], dtype='object')","Index(['bitcoin', 'litecoin', 'ethereum', 'cardano', 'ardor', 'crypto-com',
       'ark', 'syscoin'],
      dtype='object')"
20171019,"Index(['kyber-network', 'adx-net', 'stratis', 'district0x', 'eos', 'dash',
       'iota', 'zcash'],
      dtype='object')","Index(['vibe', 'rlc', 'nexus', 'steem', 'wings', 'suncontract', 'loopring',
       'waves'],
      dtype='object')","Index(['singulardtv', 'nano', 'ark', 'cvcoin', 'factom', 'primas',
       'agrello-delta', 'populous'],
      dtype='object')","Index(['ardor', 'monero', 'cardano', 'neo', 'crypto-com', 'agoras-tokens',
       '0x', 'komodo'],
      dtype='object')","Index(['bitcoin', 'stellar', 'bitcoin-cash', 'litecoin', 'ethereum', 'syscoin',
       'neblio', 'nem'],
      dtype='object')"
20171022,"Index(['kyber-network', 'ardor', 'enigma', 'waves', 'iota', 'zcash', 'monero',
       'dash', 'ethereum'],
      dtype='object')","Index(['factom', 'adx-net', 'steem', 'cardano', 'suncontract', 'nexus', 'eos',
       'ark'],
      dtype='object')","Index(['agrello-delta', 'rlc', 'primas', 'cvcoin', 'populous', 'vibe', 'wings',
       'singulardtv'],
      dtype='object')","Index(['syscoin', 'crypto-com', 'neblio', 'agoras-tokens', '0x', 'nano',
       'loopring', 'komodo'],
      dtype='object')","Index(['stellar', 'bitcoin', 'bitcoin-cash', 'litecoin', 'neo', 'nem',
       'stratis', 'district0x'],
      dtype='object')"
20171025,"Index(['eos', '0x', 'ardor', 'enigma', 'waves', 'crypto-com', 'zcash',
       'ethereum', 'bitcoin-cash'],
      dtype='object')","Index(['wings', 'agrello-delta', 'suncontract', 'cvcoin', 'primas', 'vibe',
       'singulardtv', 'steem'],
      dtype='object')","Index(['factom', 'rlc', 'loopring', 'kyber-network', 'syscoin', 'nem',
       'populous', 'nano'],
      dtype='object')","Index(['cardano', 'neblio', 'agoras-tokens', 'monero', 'ark', 'komodo',
       'nexus', 'litecoin'],
      dtype='object')","Index(['bitcoin', 'stratis', 'district0x', 'iota', 'adx-net', 'neo', 'stellar',
       'dash'],
      dtype='object')"
20171028,"Index(['0x', 'waves', 'nem', 'cardano', 'dash', 'monero', 'district0x',
       'litecoin', 'bitcoin'],
      dtype='object')","Index(['agrello-delta', 'nano', 'steem', 'crypto-com', 'loopring', 'ark',
       'ardor', 'eos'],
      dtype='object')","Index(['populous', 'enigma', 'wings', 'kyber-network', 'agoras-tokens',
       'primas', 'cvcoin', 'vibe'],
      dtype='object')","Index(['syscoin', 'singulardtv', 'komodo', 'factom', 'rlc', 'neblio',
       'suncontract', 'nexus'],
      dtype='object')","Index(['bitcoin-cash', 'stellar', 'zcash', 'stratis', 'iota', 'neo', 'adx-net',
       'ethereum'],
      dtype='object')"
20171031,"Index(['0x', 'stellar', 'nem', 'waves', 'monero', 'district0x', 'dash',
       'litecoin', 'bitcoin'],
      dtype='object')","Index(['cvcoin', 'nano', 'agrello-delta', 'kyber-network', 'steem', 'vibe',
       'ardor', 'neblio'],
      dtype='object')","Index(['enigma', 'nexus', 'populous', 'wings', 'ark', 'agoras-tokens',
       'factom', 'primas'],
      dtype='object')","Index(['syscoin', 'komodo', 'cardano', 'crypto-com', 'rlc', 'singulardtv',
       'loopring', 'suncontract'],
      dtype='object')","Index(['bitcoin-cash', 'zcash', 'ethereum', 'eos', 'iota', 'stratis',
       'adx-net', 'neo'],
      dtype='object')"
20171103,"Index(['iota', 'stellar', 'monero', 'stratis', 'dash', 'neo', 'crypto-com',
       'litecoin', 'ethereum'],
      dtype='object')","Index(['singulardtv', 'ark', 'adx-net', 'district0x', 'factom', 'nem',
       'cardano', 'waves'],
      dtype='object')","Index(['suncontract', 'nexus', 'enigma', 'neblio', 'steem', 'nebulas-token',
       'zcash', '0x', 'kyber-network'],
      dtype='object')","Index(['primas', 'agoras-tokens', 'agrello-delta', 'vibe', 'populous', 'rlc',
       'nano', 'wings'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'eos', 'syscoin', 'komodo', 'loopring',
       'ardor', 'cvcoin'],
      dtype='object')"
20171106,"Index(['stellar', 'monero', 'stratis', 'zcash', 'dash', 'neo', 'crypto-com',
       'litecoin', 'ethereum'],
      dtype='object')","Index(['district0x', 'syscoin', 'ark', 'adx-net', 'nem', 'nebulas-token',
       'waves', 'cardano', 'iota'],
      dtype='object')","Index(['nexus', 'enigma', 'neblio', 'rlc', 'steem', 'kyber-network',
       'red-pulse', '0x'],
      dtype='object')","Index(['populous', 'vibe', 'agoras-tokens', 'ardor', 'primas', 'agrello-delta',
       'nano', 'suncontract', 'wings'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'eos', 'singulardtv', 'factom', 'loopring',
       'komodo', 'cvcoin'],
      dtype='object')"
20171109,"Index(['agrello-delta', 'nexus', 'steem', 'wings', 'loopring', 'rlc',
       'crypto-com', 'bitcoin', 'ethereum'],
      dtype='object')","Index(['enigma', 'red-pulse', 'eos', 'primas', 'suncontract', 'vibe', 'nano',
       'agoras-tokens', 'neblio'],
      dtype='object')","Index(['syscoin', '0x', 'stratis', 'ardor', 'populous', 'cardano', 'cvcoin',
       'kyber-network'],
      dtype='object')","Index(['zcash', 'factom', 'ark', 'singulardtv', 'adx-net', 'komodo', 'nem',
       'nebulas-token', 'district0x'],
      dtype='object')","Index(['bitcoin-cash', 'litecoin', 'monero', 'dash', 'iota', 'neo', 'waves',
       'stellar'],
      dtype='object')"
20171112,"Index(['neblio', 'loopring', 'wings', 'suncontract', 'nexus', 'primas', 'vibe',
       'agoras-tokens', 'bitcoin'],
      dtype='object')","Index(['ardor', 'rlc', 'enigma', 'komodo', 'red-pulse', 'steem', 'nano',
       'agrello-delta', 'cvcoin'],
      dtype='object')","Index(['crypto-com', 'adx-net', 'singulardtv', 'district0x', 'kyber-network',
       '0x', 'syscoin', 'populous'],
      dtype='object')","Index(['stellar', 'cardano', 'waves', 'nebulas-token', 'factom', 'eos', 'ark',
       'stratis', 'nem'],
      dtype='object')","Index(['bitcoin-cash', 'ethereum', 'litecoin', 'monero', 'dash', 'iota', 'neo',
       'zcash'],
      dtype='object')"
20171115,"Index(['loopring', 'cryptonex', 'vibe', 'cvcoin', 'agoras-tokens', 'primas',
       'ripio-credit-network', 'singulardtv', 'komodo', 'bitcoin'],
      dtype='object')","Index(['red-pulse', 'steem', '0x', 'enigma', 'agrello-delta', 'nano', 'neblio',
       'nexus', 'suncontract'],
      dtype='object')","Index(['adx-net', 'populous', 'district0x', 'syscoin', 'wings',
       'kyber-network', 'streamr-datacoin', 'rlc', 'ardor'],
      dtype='object')","Index(['stellar', 'waves', 'zcash', 'cardano', 'stratis', 'ark', 'factom',
       'crypto-com', 'nem'],
      dtype='object')","Index(['bitcoin-cash', 'ethereum', 'dash', 'eos', 'power-ledger', 'iota',
       'monero', 'neo', 'litecoin'],
      dtype='object')"
20171118,"Index(['kyber-network', 'ark', 'factom', 'crypto-com', 'cardano',
       'ripio-credit-network', 'waves', 'nem', 'zcash', 'ethereum'],
      dtype='object')","Index(['steem', 'enigma', 'streamr-datacoin', 'stratis', 'komodo', '0x',
       'singulardtv', 'district0x', 'syscoin'],
      dtype='object')","Index(['nano', 'agoras-tokens', 'vibe', 'primas', 'stellar', 'ardor',
       'agrello-delta', 'red-pulse', 'neblio'],
      dtype='object')","Index(['wings', 'adx-net', 'populous', 'suncontract', 'rlc', 'cryptonex',
       'cvcoin', 'loopring', 'nexus'],
      dtype='object')","Index(['bitcoin-cash', 'neo', 'bitcoin', 'eos', 'dash', 'power-ledger', 'iota',
       'litecoin', 'monero'],
      dtype='object')"
