,Port1,Port2,Port3,Port4,Port5
20170715,"Index(['rlc', 'ark', 'nem', 'agoras-tokens', 'singulardtv', 'nano'], dtype='object')","Index(['steem', 'monero', 'nexus', 'crypto-com', 'komodo'], dtype='object')","Index(['dash', 'factom', 'ardor', 'waves', 'syscoin'], dtype='object')","Index(['neo', 'wings', 'iota', 'stellar', 'zcash'], dtype='object')","Index(['bitcoin', 'litecoin', 'eos', 'ethereum', 'stratis'], dtype='object')"
20170724,"Index(['wings', 'singulardtv', 'nexus', 'rlc', 'agoras-tokens', 'nano'], dtype='object')","Index(['steem', 'waves', 'adx-net', 'monero', 'komodo', 'ark'], dtype='object')","Index(['syscoin', 'zcash', 'nem', 'ardor', 'dash'], dtype='object')","Index(['populous', 'crypto-com', 'eos', 'neo', 'factom', 'stellar'], dtype='object')","Index(['ethereum', 'bitcoin', 'litecoin', 'stratis', 'iota'], dtype='object')"
20170802,"Index(['komodo', 'agoras-tokens', 'crypto-com', 'nexus', 'rlc', 'nano'], dtype='object')","Index(['populous', 'steem', 'singulardtv', 'syscoin', 'ark', 'wings'], dtype='object')","Index(['stellar', 'adx-net', 'ardor', 'waves', 'nem'], dtype='object')","Index(['stratis', 'zcash', 'neo', 'factom', 'dash', 'iota'], dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'litecoin', 'monero'], dtype='object')"
20170811,"Index(['steem', 'syscoin', 'rlc', 'nexus', 'komodo', 'agoras-tokens'], dtype='object')","Index(['ardor', 'ark', 'adx-net', 'monero', 'factom', 'singulardtv'], dtype='object')","Index(['nem', 'nano', 'populous', 'dash', 'wings', 'crypto-com'], dtype='object')","Index(['stellar', 'litecoin', 'zcash', 'waves', 'eos', 'stratis'], dtype='object')","Index(['neo', 'bitcoin-cash', 'ethereum', 'bitcoin', 'iota'], dtype='object')"
20170820,"Index(['populous', 'singulardtv', 'waves', 'ardor', 'steem', 'cvcoin',
       'agoras-tokens'],
      dtype='object')","Index(['rlc', 'syscoin', 'komodo', 'nem', 'nano', 'wings'], dtype='object')","Index(['monero', 'zcash', 'stratis', 'factom', 'eos', 'stellar', 'nexus'], dtype='object')","Index(['dash', 'district0x', 'iota', 'ethereum', 'litecoin', 'suncontract'], dtype='object')","Index(['bitcoin-cash', 'crypto-com', 'adx-net', 'neo', 'bitcoin', 'ark'], dtype='object')"
20170829,"Index(['wings', 'ardor', 'singulardtv', 'nano', 'rlc', 'cvcoin',
       'agoras-tokens'],
      dtype='object')","Index(['nem', 'waves', 'steem', 'suncontract', 'syscoin', 'komodo', 'nexus'], dtype='object')","Index(['adx-net', 'aidos-kuneen', 'iota', 'stratis', 'factom', '0x',
       'populous'],
      dtype='object')","Index(['ethereum', 'zcash', 'neo', 'ark', 'district0x', 'stellar', 'eos'], dtype='object')","Index(['litecoin', 'monero', 'crypto-com', 'bitcoin-cash', 'dash', 'bitcoin'], dtype='object')"
20170907,"Index(['ardor', 'rlc', 'populous', 'aidos-kuneen', 'nano', 'agoras-tokens',
       'cvcoin'],
      dtype='object')","Index(['dash', 'suncontract', 'wings', 'factom', 'steem', 'ark', 'stellar'], dtype='object')","Index(['zcash', 'district0x', 'nexus', '0x', 'stratis', 'singulardtv',
       'waves'],
      dtype='object')","Index(['iota', 'adx-net', 'eos', 'primas', 'monero', 'syscoin', 'nem'], dtype='object')","Index(['litecoin', 'bitcoin', 'crypto-com', 'komodo', 'bitcoin-cash', 'neo',
       'ethereum'],
      dtype='object')"
20170916,"Index(['factom', 'loopring', 'ardor', 'populous', 'nano', 'cvcoin',
       'suncontract', 'agoras-tokens'],
      dtype='object')","Index(['district0x', 'stellar', 'nexus', 'waves', 'wings', 'rlc', 'steem'], dtype='object')","Index(['nem', '0x', 'zcash', 'crypto-com', 'adx-net', 'stratis',
       'aidos-kuneen'],
      dtype='object')","Index(['iota', 'eos', 'monero', 'ethereum', 'komodo', 'dash', 'singulardtv'], dtype='object')","Index(['litecoin', 'bitcoin', 'primas', 'bitcoin-cash', 'ark', 'syscoin',
       'neo'],
      dtype='object')"
20170925,"Index(['suncontract', 'populous', 'singulardtv', 'steem', 'wings', 'rlc',
       'agrello-delta', 'primas'],
      dtype='object')","Index(['waves', 'factom', '0x', 'agoras-tokens', 'district0x', 'ardor',
       'nano'],
      dtype='object')","Index(['ark', 'komodo', 'stellar', 'nem', 'syscoin', 'loopring', 'neblio'], dtype='object')","Index(['neo', 'adx-net', 'crypto-com', 'iota', 'stratis', 'nexus', 'eos'], dtype='object')","Index(['bitcoin-cash', 'dash', 'ethereum', 'bitcoin', 'zcash', 'litecoin',
       'monero'],
      dtype='object')"
20171004,"Index(['factom', 'primas', 'suncontract', 'wings', 'nano', 'rlc',
       'agoras-tokens', 'cvcoin'],
      dtype='object')","Index(['ark', 'nexus', 'stellar', 'singulardtv', 'agrello-delta', '0x',
       'syscoin', 'populous'],
      dtype='object')","Index(['monero', 'stratis', 'district0x', 'neblio', 'aidos-kuneen', 'waves',
       'komodo', 'nem'],
      dtype='object')","Index(['steem', 'ardor', 'ethereum', 'crypto-com', 'dash', 'vibe', 'iota',
       'litecoin'],
      dtype='object')","Index(['neo', 'adx-net', 'zcash', 'bitcoin', 'eos', 'bitcoin-cash',
       'kyber-network', 'loopring'],
      dtype='object')"
