,Port1,Port2,Port3,Port4,Port5
20170802,"Index(['nano', 'zcash', 'litecoin', 'adx-net', 'agoras-tokens', 'stellar'], dtype='object')","Index(['steem', 'dash', 'komodo', 'nexus', 'singulardtv', 'crypto-com'], dtype='object')","Index(['monero', 'eos', 'rlc', 'bitcoin', 'ethereum'], dtype='object')","Index(['ark', 'nem', 'neo', 'waves', 'factom', 'wings'], dtype='object')","Index(['populous', 'stratis', 'iota', 'ardor', 'syscoin'], dtype='object')"
20170820,"Index(['stratis', 'syscoin', 'stellar', 'steem', 'ardor', 'eos'], dtype='object')","Index(['monero', 'waves', 'zcash', 'nem', 'litecoin', 'factom'], dtype='object')","Index(['agoras-tokens', 'bitcoin', 'populous', 'komodo', 'ethereum',
       'singulardtv'],
      dtype='object')","Index(['ark', 'rlc', 'wings', 'bitcoin-cash', 'nexus', 'dash'], dtype='object')","Index(['adx-net', 'crypto-com', 'neo', 'nano', 'iota'], dtype='object')"
20170907,"Index(['crypto-com', 'cvcoin', 'eos', 'suncontract', '0x', 'neo',
       'district0x'],
      dtype='object')","Index(['singulardtv', 'populous', 'agoras-tokens', 'bitcoin-cash', 'rlc',
       'iota', 'adx-net'],
      dtype='object')","Index(['ethereum', 'ardor', 'stratis', 'steem', 'waves', 'zcash', 'nano'], dtype='object')","Index(['ark', 'wings', 'dash', 'factom', 'stellar', 'bitcoin', 'nem'], dtype='object')","Index(['komodo', 'syscoin', 'monero', 'nexus', 'aidos-kuneen', 'litecoin'], dtype='object')"
20170925,"Index(['nano', 'factom', 'stellar', '0x', 'eos', 'komodo', 'district0x',
       'syscoin'],
      dtype='object')","Index(['stratis', 'neo', 'adx-net', 'nexus', 'suncontract', 'populous',
       'litecoin'],
      dtype='object')","Index(['wings', 'crypto-com', 'ardor', 'monero', 'nem', 'steem',
       'bitcoin-cash'],
      dtype='object')","Index(['rlc', 'ethereum', 'zcash', 'iota', 'aidos-kuneen', 'bitcoin', 'waves'], dtype='object')","Index(['primas', 'ark', 'singulardtv', 'loopring', 'dash', 'cvcoin',
       'agoras-tokens'],
      dtype='object')"
20171013,"Index(['singulardtv', 'iota', 'stratis', 'bitcoin-cash', 'cvcoin',
       'agoras-tokens', 'agrello-delta', 'kyber-network'],
      dtype='object')","Index(['komodo', 'nem', 'waves', 'crypto-com', 'dash', 'ark', 'nexus',
       'suncontract'],
      dtype='object')","Index(['factom', 'district0x', 'steem', 'monero', 'nano', 'primas', 'wings',
       'rlc'],
      dtype='object')","Index(['populous', 'litecoin', 'neo', 'ethereum', 'eos', 'zcash', 'syscoin',
       '0x'],
      dtype='object')","Index(['vibe', 'loopring', 'ardor', 'neblio', 'stellar', 'adx-net', 'bitcoin'], dtype='object')"
20171031,"Index(['factom', 'waves', 'kyber-network', 'ardor', 'cardano', 'primas',
       'nexus', 'vibe'],
      dtype='object')","Index(['steem', 'monero', 'loopring', 'iota', 'ark', 'dash', 'wings',
       'ethereum'],
      dtype='object')","Index(['suncontract', 'adx-net', 'zcash', 'neo', 'singulardtv', 'litecoin',
       'nem', '0x'],
      dtype='object')","Index(['eos', 'stratis', 'crypto-com', 'agoras-tokens', 'cvcoin', 'populous',
       'bitcoin', 'agrello-delta'],
      dtype='object')","Index(['neblio', 'stellar', 'syscoin', 'district0x', 'bitcoin-cash', 'rlc',
       'komodo', 'nano'],
      dtype='object')"
20171118,"Index(['steem', 'singulardtv', 'red-pulse', 'syscoin', 'cardano', 'district0x',
       'crypto-com', 'rlc', 'neblio'],
      dtype='object')","Index(['0x', 'nexus', 'enigma', 'nem', 'stratis', 'agrello-delta', 'komodo',
       'loopring'],
      dtype='object')","Index(['adx-net', 'stellar', 'litecoin', 'bitcoin', 'ardor', 'kyber-network',
       'agoras-tokens', 'ethereum', 'wings'],
      dtype='object')","Index(['neo', 'suncontract', 'vibe', 'primas', 'nano', 'factom', 'zcash',
       'ark'],
      dtype='object')","Index(['bitcoin-cash', 'populous', 'eos', 'iota', 'dash', 'cvcoin', 'waves',
       'monero'],
      dtype='object')"
20171206,"Index(['agrello-delta', 'singulardtv', 'neblio', 'bitcoin-cash', 'primas',
       'zcash', '0x', 'cvcoin', 'neo', 'red-pulse'],
      dtype='object')","Index(['ripio-credit-network', 'waves', 'adx-net', 'factom', 'kyber-network',
       'vibe', 'ethereum', 'wings', 'rlc'],
      dtype='object')","Index(['nem', 'loopring', 'bitcoin', 'district0x', 'litecoin', 'komodo', 'ark',
       'populous', 'streamr-datacoin'],
      dtype='object')","Index(['power-ledger', 'eos', 'stratis', 'monero', 'syscoin', 'nexus', 'dash',
       'enigma', 'steem'],
      dtype='object')","Index(['cardano', 'iota', 'suncontract', 'stellar', 'agoras-tokens',
       'cryptonex', 'nano', 'crypto-com', 'ardor'],
      dtype='object')"
20171224,"Index(['adx-net', 'singulardtv', 'loopring', 'suncontract', 'streamr-datacoin',
       'cryptonex', 'bitcoin', 'qash', 'iota', 'cvcoin'],
      dtype='object')","Index(['ripio-credit-network', 'ark', 'power-ledger', 'stellar', 'crypto-com',
       'syscoin', 'kyber-network', 'rlc', 'wings', 'monero'],
      dtype='object')","Index(['eos', 'neblio', 'dash', 'quantstamp', 'zcash', 'stratis', 'waves',
       'ethereum', 'neo', 'factom'],
      dtype='object')","Index(['agoras-tokens', '0x', 'steem', 'bitcoin-cash', 'populous', 'primas',
       'nexus', 'enigma', 'district0x', 'agrello-delta'],
      dtype='object')","Index(['nano', 'red-pulse', 'komodo', 'vibe', 'cardano', 'nem', 'ardor',
       'litecoin', 'time-new-bank'],
      dtype='object')"
20180111,"Index(['cryptonex', 'iota', 'bitcoin', 'bitcoin-cash', 'crypto-com', 'dash',
       'ardor', 'waves', 'litecoin', 'komodo'],
      dtype='object')","Index(['adx-net', 'eos', 'nem', 'zcash', 'streamr-datacoin', 'stratis',
       'primas', 'syscoin', 'monero', 'agoras-tokens'],
      dtype='object')","Index(['wings', 'factom', 'ripio-credit-network', 'ethereum', 'agrello-delta',
       'power-ledger', 'ark', 'steem', 'singulardtv', 'populous'],
      dtype='object')","Index(['district0x', 'stellar', 'time-new-bank', 'cvcoin', 'rlc',
       'suncontract', 'kyber-network', 'qash', 'neo', 'cardano'],
      dtype='object')","Index(['vibe', 'nano', 'neblio', 'loopring', 'enigma', 'red-pulse', 'nuls',
       'quantstamp', '0x', 'nexus'],
      dtype='object')"
20180129,"Index(['zcash', 'wings', 'bitcoin-cash', 'nuls', 'neblio', 'streamr-datacoin',
       'enigma', 'gifto', 'red-pulse', 'agrello-delta', 'vibe', 'wax'],
      dtype='object')","Index(['nem', 'quantstamp', 'nexus', 'time-new-bank', 'district0x', 'adx-net',
       'ardor', 'iota', 'loopring', 'power-ledger', 'suncontract'],
      dtype='object')","Index(['bitcoin', 'cvcoin', 'dynamic-trading-rights', 'waves', 'crypto-com',
       'ripio-credit-network', 'litecoin', 'ark', 'factom', 'nano', 'dash'],
      dtype='object')","Index(['0x', 'nebulas-token', 'agoras-tokens', 'cardano', 'komodo',
       'singulardtv', 'kyber-network', 'monero', 'stratis', 'syscoin', 'qash'],
      dtype='object')","Index(['cryptonex', 'populous', 'steem', 'neo', 'sirin-labs-token', 'rlc',
       'eos', 'primas', 'stellar', 'ormeus-coin', 'ethereum'],
      dtype='object')"
20180216,"Index(['nem', 'primas', 'ripio-credit-network', 'vibe', 'sirin-labs-token',
       'bibox-token', 'rlc', 'singulardtv', 'ardor', 'nano', 'ignis', 'nexus',
       'populous'],
      dtype='object')","Index(['nuls', 'kyber-network', 'nebulas-token', 'high-performance-blockchain',
       'district0x', 'cvcoin', 'loopring', 'cardano', 'qash', 'stratis',
       'time-new-bank', 'agrello-delta'],
      dtype='object')","Index(['stellar', 'ark', '0x', 'streamr-datacoin', 'qlink', 'crypto-com',
       'quantstamp', 'factom', 'neo', 'adx-net', 'komodo', 'eos'],
      dtype='object')","Index(['wings', 'ormeus-coin', 'bitcoin-cash', 'suncontract', 'iota', 'maker',
       'power-ledger', 'cryptonex', 'enigma', 'ethereum', 'steem',
       'dynamic-trading-rights'],
      dtype='object')","Index(['gifto', 'litecoin', 'zcash', 'syscoin', 'wax', 'agoras-tokens',
       'neblio', 'monero', 'waves', 'dash', 'bitcoin', 'red-pulse'],
      dtype='object')"
