,Port1,Port2,Port3,Port4,Port5
20170808,"Index(['steem', 'zcash', 'stellar', 'agoras-tokens', 'adx-net', 'litecoin'], dtype='object')","Index(['ethereum', 'singulardtv', 'monero', 'komodo', 'dash', 'eos'], dtype='object')","Index(['ardor', 'rlc', 'bitcoin', 'nexus', 'factom'], dtype='object')","Index(['ark', 'nem', 'stratis', 'crypto-com', 'nano', 'syscoin'], dtype='object')","Index(['populous', 'neo', 'iota', 'waves', 'wings'], dtype='object')"
20170901,"Index(['waves', 'singulardtv', 'ardor', 'stellar', 'stratis', 'eos',
       'populous'],
      dtype='object')","Index(['ethereum', 'nem', 'rlc', 'zcash', 'steem', 'agoras-tokens'], dtype='object')","Index(['syscoin', 'litecoin', 'factom', 'komodo', 'wings', 'bitcoin'], dtype='object')","Index(['nexus', 'suncontract', 'dash', 'neo', 'bitcoin-cash', 'iota'], dtype='object')","Index(['crypto-com', 'adx-net', 'district0x', 'ark', 'nano', 'monero'], dtype='object')"
20170925,"Index(['stellar', 'primas', 'suncontract', '0x', 'nano', 'eos', 'district0x'], dtype='object')","Index(['monero', 'neo', 'populous', 'adx-net', 'litecoin', 'stratis',
       'factom'],
      dtype='object')","Index(['nexus', 'zcash', 'steem', 'cvcoin', 'nem', 'wings', 'iota'], dtype='object')","Index(['bitcoin', 'ethereum', 'rlc', 'waves', 'crypto-com', 'syscoin',
       'bitcoin-cash'],
      dtype='object')","Index(['komodo', 'ark', 'singulardtv', 'dash', 'agoras-tokens', 'ardor'], dtype='object')"
20171019,"Index(['iota', 'bitcoin-cash', 'stratis', 'wings', 'nexus', 'suncontract',
       'agrello-delta', 'kyber-network'],
      dtype='object')","Index(['monero', 'komodo', 'nem', 'primas', 'singulardtv', 'ark', 'dash',
       'rlc'],
      dtype='object')","Index(['district0x', 'zcash', 'agoras-tokens', 'factom', 'steem', 'crypto-com',
       'eos', 'waves'],
      dtype='object')","Index(['adx-net', 'syscoin', 'populous', 'nano', 'litecoin', 'neo', '0x',
       'ethereum'],
      dtype='object')","Index(['neblio', 'vibe', 'stellar', 'loopring', 'ardor', 'bitcoin', 'cvcoin'], dtype='object')"
20171112,"Index(['cvcoin', 'loopring', '0x', 'nem', 'steem', 'wings', 'nexus',
       'district0x', 'crypto-com'],
      dtype='object')","Index(['ark', 'cardano', 'vibe', 'ardor', 'neo', 'neblio', 'enigma',
       'singulardtv'],
      dtype='object')","Index(['agoras-tokens', 'stratis', 'stellar', 'waves', 'nano', 'kyber-network',
       'litecoin', 'ethereum'],
      dtype='object')","Index(['agrello-delta', 'primas', 'syscoin', 'dash', 'adx-net', 'bitcoin',
       'zcash', 'komodo'],
      dtype='object')","Index(['bitcoin-cash', 'eos', 'populous', 'iota', 'monero', 'suncontract',
       'rlc', 'factom'],
      dtype='object')"
20171206,"Index(['vibe', 'ripio-credit-network', 'singulardtv', 'agrello-delta', '0x',
       'primas', 'neblio', 'zcash', 'bitcoin-cash', 'red-pulse'],
      dtype='object')","Index(['district0x', 'factom', 'cvcoin', 'ethereum', 'kyber-network', 'rlc',
       'neo', 'dash', 'streamr-datacoin'],
      dtype='object')","Index(['bitcoin', 'wings', 'ark', 'komodo', 'steem', 'adx-net', 'litecoin',
       'enigma', 'nem'],
      dtype='object')","Index(['ardor', 'crypto-com', 'stratis', 'syscoin', 'populous', 'monero',
       'loopring', 'nexus', 'waves'],
      dtype='object')","Index(['iota', 'suncontract', 'cardano', 'power-ledger', 'stellar', 'eos',
       'cryptonex', 'agoras-tokens', 'nano'],
      dtype='object')"
20171230,"Index(['loopring', 'crypto-com', 'singulardtv', 'monero', 'cvcoin',
       'cryptonex', 'streamr-datacoin', 'bitcoin', 'qash', 'iota'],
      dtype='object')","Index(['adx-net', 'ark', 'nexus', 'ethereum', 'zcash', 'suncontract',
       'kyber-network', 'dash', 'waves', 'power-ledger'],
      dtype='object')","Index(['agrello-delta', 'stellar', 'neo', 'factom', 'eos', 'neblio', 'stratis',
       'rlc', 'bitcoin-cash', 'wings'],
      dtype='object')","Index(['agoras-tokens', 'primas', '0x', 'time-new-bank', 'steem', 'litecoin',
       'district0x', 'quantstamp', 'populous', 'syscoin'],
      dtype='object')","Index(['nano', 'red-pulse', 'vibe', 'cardano', 'enigma', 'nem', 'komodo',
       'ardor', 'ripio-credit-network'],
      dtype='object')"
20180123,"Index(['crypto-com', 'adx-net', 'dash', 'agoras-tokens', 'iota',
       'ripio-credit-network', 'waves', 'komodo', 'bitcoin-cash', 'primas',
       'ardor'],
      dtype='object')","Index(['red-pulse', 'wax', 'monero', 'zcash', 'syscoin', 'stratis', 'cardano',
       'bitcoin', 'litecoin', 'wings', 'ark'],
      dtype='object')","Index(['suncontract', 'ethereum', 'singulardtv', 'time-new-bank', 'nano',
       'ormeus-coin', 'power-ledger', 'populous', 'nem', 'factom',
       'streamr-datacoin'],
      dtype='object')","Index(['nebulas-token', 'qash', 'neo', 'steem', 'eos', 'quantstamp',
       'cryptonex', 'kyber-network', 'enigma', 'stellar', 'district0x'],
      dtype='object')","Index(['vibe', 'neblio', 'dynamic-trading-rights', 'cvcoin', 'loopring', '0x',
       'nuls', 'rlc', 'nexus', 'agrello-delta'],
      dtype='object')"
20180216,"Index(['nem', 'wax', 'agrello-delta', 'time-new-bank', 'populous',
       'singulardtv', 'rlc', 'ardor', 'vibe', 'nexus', 'primas',
       'sirin-labs-token'],
      dtype='object')","Index(['ormeus-coin', 'qlink', 'quantstamp', 'factom', 'qash', 'loopring',
       'district0x', 'dynamic-trading-rights', 'streamr-datacoin', 'nano',
       'ripio-credit-network', 'cvcoin'],
      dtype='object')","Index(['suncontract', 'eos', 'red-pulse', 'power-ledger', 'crypto-com',
       'stratis', 'adx-net', 'enigma', 'maker', 'bibox-token', 'cardano',
       'nuls'],
      dtype='object')","Index(['bitcoin', 'stellar', 'dash', 'cryptonex', '0x', 'neblio', 'iota',
       'komodo', 'bitcoin-cash', 'wings', 'ark', 'kyber-network'],
      dtype='object')","Index(['litecoin', 'gifto', 'zcash', 'steem', 'syscoin',
       'high-performance-blockchain', 'neo', 'waves', 'monero',
       'nebulas-token', 'ethereum'],
      dtype='object')"
20180312,"Index(['loopring', '0x', 'vibe', 'high-performance-blockchain', 'power-ledger',
       'gifto', 'red-pulse', 'qlink', 'kyber-network', 'coinmeet', 'wax',
       'time-new-bank', 'all-sports'],
      dtype='object')","Index(['stratis', 'quantstamp', 'district0x', 'singulardtv',
       'ripio-credit-network', 'bottos', 'steem', 'sirin-labs-token',
       'cardano', 'ardor', 'enigma', 'populous', 'ignis'],
      dtype='object')","Index(['agrello-delta', 'nebulas-token', 'komodo', 'ark', 'stellar', 'adx-net',
       'iota', 'streamr-datacoin', 'primas', 'zcash', 'bibox-token', 'nem',
       'eos'],
      dtype='object')","Index(['ethereum', 'cvcoin', 'wings', 'suncontract', 'dash', 'waves',
       'bitcoin-cash', 'maker', 'neo', 'neblio', 'dynamic-trading-rights',
       'qash', 'polymath-network'],
      dtype='object')","Index(['nano', 'nexus', 'nuls', 'ormeus-coin', 'monero', 'bitcoin',
       'cryptonex', 'rlc', 'crypto-com', 'litecoin', 'factom', 'syscoin',
       'singularitynet'],
      dtype='object')"
