,Port1,Port2,Port3,Port4,Port5
20171107,"Index(['nano', 'agoras-tokens', 'wings', 'nem', 'populous', 'waves',
       'stratis'],
      dtype='object')","Index(['eos', 'steem', 'suncontract', 'factom', 'rlc', 'nexus'], dtype='object')","Index(['district0x', 'ethereum', 'iota', 'syscoin', 'ardor', 'singulardtv'], dtype='object')","Index(['adx-net', 'dash', 'crypto-com', 'zcash', 'ark', 'komodo'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'neo', 'litecoin', 'stellar', 'monero'], dtype='object')"
20171227,"Index(['rlc', 'suncontract', 'agrello-delta', 'nexus', 'vibe', 'cvcoin',
       'primas', 'ethereum'],
      dtype='object')","Index(['ark', 'kyber-network', 'neblio', 'singulardtv', 'waves', '0x', 'wings',
       'populous'],
      dtype='object')","Index(['agoras-tokens', 'syscoin', 'komodo', 'nano', 'steem', 'factom',
       'loopring', 'district0x'],
      dtype='object')","Index(['monero', 'nem', 'neo', 'zcash', 'stratis', 'adx-net', 'ardor',
       'crypto-com'],
      dtype='object')","Index(['bitcoin-cash', 'litecoin', 'bitcoin', 'iota', 'stellar', 'eos',
       'dash'],
      dtype='object')"
20180215,"Index(['adx-net', 'ark', 'populous', 'primas', 'suncontract', 'cryptonex',
       'cvcoin', 'waves', 'bitcoin'],
      dtype='object')","Index(['nexus', 'streamr-datacoin', 'singulardtv', 'komodo', 'syscoin',
       'district0x', 'factom', 'agrello-delta', 'wings'],
      dtype='object')","Index(['rlc', 'zcash', 'crypto-com', 'loopring', 'nano', '0x',
       'ripio-credit-network', 'kyber-network', 'red-pulse'],
      dtype='object')","Index(['neo', 'power-ledger', 'nem', 'neblio', 'monero', 'dash', 'steem',
       'enigma', 'stratis'],
      dtype='object')","Index(['bitcoin-cash', 'litecoin', 'iota', 'ethereum', 'eos', 'cardano',
       'stellar', 'vibe'],
      dtype='object')"
20180406,"Index(['adx-net', 'iota', 'waves', 'factom', 'primas', 'streamr-datacoin',
       'cryptonex', 'dynamic-trading-rights', 'cvcoin', 'sirin-labs-token',
       'dash'],
      dtype='object')","Index(['ormeus-coin', 'enigma', 'crypto-com', 'komodo', 'ark', 'suncontract',
       'nuls', 'quantstamp', 'qash', 'populous', 'ripio-credit-network'],
      dtype='object')","Index(['nem', 'stratis', 'wings', 'agrello-delta', 'nebulas-token',
       'singulardtv', 'kyber-network', 'syscoin', 'cardano', 'power-ledger',
       'time-new-bank'],
      dtype='object')","Index(['nexus', 'steem', 'gifto', 'rlc', 'monero', 'wax', 'district0x',
       'loopring', 'zcash', 'red-pulse', '0x'],
      dtype='object')","Index(['bitcoin', 'eos', 'ethereum', 'litecoin', 'vibe', 'bitcoin-cash', 'neo',
       'neblio', 'nano', 'stellar'],
      dtype='object')"
20180526,"Index(['qash', 'factom', 'singularitynet', 'streamr-datacoin', 'cvcoin',
       'maker', 'dynamic-trading-rights', 'cryptonex', 'red-pulse', 'dash',
       'adx-net', 'litecoin', 'ethereum'],
      dtype='object')","Index(['neo', 'enigma', 'power-ledger', 'wax', 'time-new-bank', 'waves',
       'stratis', 'polymath-network', 'vibe', 'komodo',
       'high-performance-blockchain', 'ark', 'nano'],
      dtype='object')","Index(['sirin-labs-token', 'ripio-credit-network', 'neblio', 'primas',
       'agrello-delta', 'populous', 'nebulas-token', 'loopring', 'wings',
       'suncontract', 'bottos', 'ormeus-coin', 'quantstamp'],
      dtype='object')","Index(['stellar', '0x', 'ignis', 'steem', 'nem', 'bibox-token',
       'kyber-network', 'rlc', 'singulardtv', 'syscoin', 'monero', 'ardor',
       'nuls'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'crypto-com', 'cardano', 'zcash', 'nexus',
       'gifto', 'all-sports', 'qlink', 'district0x', 'bitcoin', 'iota'],
      dtype='object')"
20180715,"Index(['fusion', 'qash', 'cryptonex', 'suncontract', 'factom', 'ren', 'wings',
       'matrix-ai-network', 'neblio', 'qlink', 'loopring', 'ormeus-coin',
       'nem', 'dash', 'adx-net', 'litecoin'],
      dtype='object')","Index(['ripio-credit-network', 'crpt', 'singulardtv', 'ardor', 'nano', 'ark',
       'vibe', 'ravencoin', 'credits', 'atn', 'komodo', 'maker',
       'dynamic-trading-rights', 'high-performance-blockchain', 'nexus'],
      dtype='object')","Index(['ruff', 'monero', 'populous', 'polymath-network', 'waves',
       'nebulas-token', 'quantstamp', 'neo', 'enigma', 'time-new-bank',
       'cvcoin', 'red-pulse', 'wax', 'agrello-delta', 'singularitynet',
       'stratis'],
      dtype='object')","Index(['loom-network', 'bibox-token', 'power-ledger', 'iota', 'stellar',
       'kyber-network', 'educare', 'streamr-datacoin', 'district0x', 'steem',
       'primas', 'rlc', 'sirin-labs-token', 'nuls', 'bottos'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'ethereum', 'crypto-com', 'bitcoin', 'mithril',
       'syscoin', 'cardano', 'truechain', 'zcash', 'ontology', 'gifto',
       'all-sports', '0x', 'ignis'],
      dtype='object')"
20180903,"Index(['nexo', 'matrix-ai-network', 'ormeus-coin', 'educare', 'nexus', 'iota',
       'loopring', 'ren', 'high-performance-blockchain', 'fusion', 'gifto',
       'nebulas-token', 'bibox-token', 'litecoin', 'truechain', 'eos',
       'ethereum'],
      dtype='object')","Index(['agrello-delta', 'atn', 'quantstamp', 'rlc', 'vibe', 'time-new-bank',
       'ripio-credit-network', 'credits', 'factom', 'wings', 'ark',
       'ravencoin', 'stratis', 'bnktothefuture', 'polymath-network',
       'kyber-network', 'neblio'],
      dtype='object')","Index(['singulardtv', 'singularitynet', 'sirin-labs-token', 'cryptonex',
       'crpt', 'bottos', 'stakenet', 'cvcoin', 'nem', 'qash', 'odem',
       'suncontract', 'qlink', 'maker', 'dynamic-trading-rights', 'red-pulse'],
      dtype='object')","Index(['district0x', 'cardano', 'ontology', 'ignis', 'cortex', 'nuls', 'waves',
       'primas', 'wax', 'populous', 'all-sports', 'nkn', 'komodo', 'ruff',
       'neo', 'enigma', 'steem'],
      dtype='object')","Index(['bitcoin', 'syscoin', 'dash', 'mithril', 'stellar', 'nano',
       'bitcoin-cash', 'power-ledger', '0x', 'ardor', 'streamr-datacoin',
       'crypto-com', 'adx-net', 'monero', 'zcash', 'loom-network'],
      dtype='object')"
20181023,"Index(['atn', 'bnktothefuture', 'constellation', 'suncontract', 'pchain',
       'crpt', 'fusion', 'kyber-network', 'neo', 'ormeus-coin',
       'high-performance-blockchain', 'gifto', 'zcash', 'cardano', 'litecoin',
       'bibox-token', 'mithril', 'ethereum'],
      dtype='object')","Index(['cryptonex', 'syscoin', 'wax', 'odem', 'red-pulse', 'neblio',
       'metronome', 'stratis', 'stakenet', 'educare', 'loopring', 'mixin',
       'factom', 'dynamic-trading-rights', 'nexus', 'ren', 'enigma', 'ark'],
      dtype='object')","Index(['singularitynet', 'power-ledger', 'ardor', 'credits', 'nkn', 'maker',
       'sirin-labs-token', 'matrix-ai-network', 'qlink', 'time-new-bank',
       'smartshare', 'nuls', 'qash', 'bottos', 'cvcoin', 'wings', 'nem',
       'rlc'],
      dtype='object')","Index(['pundi-x', 'loom-network', 'waves', 'crypto-com', 'all-sports',
       'ripio-credit-network', 'nebulas-token', 'polymath-network',
       'streamr-datacoin', 'nexo', 'populous', 'singulardtv', 'ruff', 'steem',
       'komodo', 'quantstamp', 'ignis', 'adx-net'],
      dtype='object')","Index(['bitcoin', 'ravencoin', 'dash', 'stellar', 'nano', 'vibe', 'eos',
       'ontology', '0x', 'bitcoin-cash', 'truechain', 'monero', 'cortex',
       'district0x', 'agrello-delta', 'primas', 'iota'],
      dtype='object')"
20181212,"Index(['suncontract', 'pchain', 'constellation', 'cryptonex', 'bottos',
       'seele', 'all-sports', 'high-performance-blockchain', 'wax', 'crpt',
       'monero', 'iota', 'vechain', 'ontology', 'bibox-token', 'litecoin',
       'neo', 'dash', 'eos'],
      dtype='object')","Index(['ark', 'enigma', 'cvcoin', 'nkn', 'fusion', 'educare', 'populous',
       'ignis', 'syscoin', 'kyber-network', 'stakenet', 'nuls', 'atn',
       'matrix-ai-network', 'dynamic-trading-rights', 'metronome',
       'ormeus-coin', 'bnktothefuture', 'mixin'],
      dtype='object')","Index(['wings', 'gifto', 'cortex', 'ruff', 'nexus', 'time-new-bank', 'komodo',
       'maker', 'mithril', 'smartshare', 'rlc', 'loopring', 'odem', 'qlink',
       'qash', 'credits', 'ardor', 'stasis-euro'],
      dtype='object')","Index(['polymath-network', 'nexo', 'zip', 'zcash', 'pundi-x', 'factom', 'nano',
       'streamr-datacoin', 'district0x', 'crypto-com', 'power-ledger',
       'singulardtv', 'ren', 'nebulas-token', 'stratis', 'singularitynet',
       'steem', 'neblio', 'quantstamp'],
      dtype='object')","Index(['red-pulse', 'bitcoin', 'bitcoin-cash', 'ravencoin', 'stellar', 'vibe',
       '0x', 'truechain', 'waves', 'ethereum', 'nem', 'sirin-labs-token',
       'agrello-delta', 'adx-net', 'primas', 'ripio-credit-network',
       'loom-network', 'cardano'],
      dtype='object')"
20190131,"Index(['zip', 'matrix-ai-network', 'time-new-bank',
       'high-performance-blockchain', 'nexo', 'wax', 'nebulas-token', 'monero',
       'vechain', 'maker', 'kyber-network', 'ravencoin', 'ontology', '0x',
       'neo', 'mithril', 'zcash', 'eos', 'dash', 'stellar'],
      dtype='object')","Index(['nano', 'safeinsure', 'metronome', 'mixin', 'travala', 'snetwork',
       'atn', 'cryptonex', 'dynamic-trading-rights', 'suncontract',
       'bnktothefuture', 'stakenet', 'constellation', 'bottos', 'neblio',
       'cortex', 'crpt', 'pchain', 'seele'],
      dtype='object')","Index(['stasis-euro', 'ormeus-coin', 'ardor', 'komodo', 'ark', 'populous',
       'nkn', 'bibox-token', 'all-sports', 'cvcoin', 'primas', 'quantstamp',
       'fusion', 'streamr-datacoin', 'qash', 'ripio-credit-network',
       'polymath-network', 'educare', 'ignis', 'loom-network'],
      dtype='object')","Index(['pundi-x', 'power-ledger', 'enigma', 'ren', 'steem', 'syscoin', 'iota',
       'odem', 'nexus', 'rlc', 'red-pulse', 'qlink', 'district0x',
       'singularitynet', 'smartshare', 'ruff', 'singulardtv', 'gifto',
       'credits'],
      dtype='object')","Index(['bitcoin-cash', 'ethereum', 'bitcoin', 'litecoin', 'waves',
       'agrello-delta', 'truechain', 'nuls', 'loopring', 'insight-chain',
       'stratis', 'sirin-labs-token', 'crypto-com', 'nem', 'adx-net',
       'cardano', 'wings', 'vibe', 'factom'],
      dtype='object')"
