,Port1,Port2,Port3,Port4,Port5
20170731,"Index(['singulardtv', 'rlc', 'nexus', 'ark', 'agoras-tokens', 'nano'], dtype='object')","Index(['wings', 'ardor', 'waves', 'steem', 'komodo'], dtype='object')","Index(['neo', 'crypto-com', 'factom', 'nem', 'syscoin'], dtype='object')","Index(['stellar', 'iota', 'dash', 'zcash', 'monero'], dtype='object')","Index(['ethereum', 'bitcoin', 'litecoin', 'eos', 'stratis'], dtype='object')"
20170820,"Index(['wings', 'singulardtv', 'nexus', 'steem', 'syscoin', 'agoras-tokens'], dtype='object')","Index(['monero', 'factom', 'ardor', 'rlc', 'nano', 'populous'], dtype='object')","Index(['zcash', 'nem', 'eos', 'stellar', 'waves'], dtype='object')","Index(['dash', 'ark', 'iota', 'litecoin', 'komodo', 'stratis'], dtype='object')","Index(['adx-net', 'neo', 'crypto-com', 'bitcoin', 'ethereum'], dtype='object')"
20170909,"Index(['populous', 'wings', 'ardor', 'rlc', 'nano', 'cvcoin', 'agoras-tokens'], dtype='object')","Index(['nem', 'stratis', 'aidos-kuneen', 'factom', 'waves', 'suncontract',
       'singulardtv'],
      dtype='object')","Index(['district0x', 'eos', 'syscoin', 'ark', 'nexus', 'stellar', 'steem'], dtype='object')","Index(['dash', 'ethereum', '0x', 'komodo', 'zcash', 'iota', 'adx-net'], dtype='object')","Index(['litecoin', 'bitcoin-cash', 'monero', 'neo', 'crypto-com', 'bitcoin'], dtype='object')"
20170929,"Index(['wings', 'factom', 'populous', 'rlc', 'suncontract', 'nano',
       'agoras-tokens'],
      dtype='object')","Index(['ardor', 'singulardtv', 'nem', '0x', 'stellar', 'loopring',
       'district0x'],
      dtype='object')","Index(['syscoin', 'komodo', 'waves', 'crypto-com', 'steem', 'stratis',
       'nexus'],
      dtype='object')","Index(['ethereum', 'eos', 'primas', 'dash', 'ark', 'iota', 'monero'], dtype='object')","Index(['bitcoin-cash', 'neo', 'litecoin', 'zcash', 'bitcoin', 'adx-net'], dtype='object')"
20171019,"Index(['nano', 'rlc', 'nexus', 'populous', 'agrello-delta', 'suncontract',
       'cvcoin', 'primas'],
      dtype='object')","Index(['syscoin', 'nem', 'agoras-tokens', 'komodo', '0x', 'factom',
       'singulardtv', 'wings'],
      dtype='object')","Index(['ardor', 'stratis', 'dash', 'monero', 'waves', 'neblio', 'vibe', 'ark'], dtype='object')","Index(['adx-net', 'eos', 'district0x', 'crypto-com', 'loopring',
       'kyber-network', 'iota', 'steem'],
      dtype='object')","Index(['stellar', 'bitcoin', 'bitcoin-cash', 'litecoin', 'neo', 'ethereum',
       'zcash'],
      dtype='object')"
20171108,"Index(['populous', 'nexus', 'enigma', 'steem', 'nano', 'wings', 'primas',
       'vibe', 'agrello-delta'],
      dtype='object')","Index(['agoras-tokens', 'kyber-network', 'cvcoin', 'rlc', '0x', 'ardor',
       'loopring', 'suncontract'],
      dtype='object')","Index(['singulardtv', 'factom', 'waves', 'syscoin', 'ark', 'nem', 'neblio',
       'komodo'],
      dtype='object')","Index(['district0x', 'crypto-com', 'neo', 'zcash', 'iota', 'dash', 'cardano',
       'adx-net'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'stellar', 'ethereum', 'eos', 'litecoin',
       'monero', 'stratis'],
      dtype='object')"
20171128,"Index(['komodo', 'ardor', 'agrello-delta', 'rlc', 'nano', 'neblio', 'primas',
       'vibe', 'cvcoin'],
      dtype='object')","Index(['agoras-tokens', 'kyber-network', 'district0x', '0x', 'populous',
       'steem', 'streamr-datacoin', 'loopring', 'red-pulse'],
      dtype='object')","Index(['crypto-com', 'ark', 'nem', 'singulardtv', 'nexus', 'enigma', 'adx-net',
       'suncontract', 'wings'],
      dtype='object')","Index(['monero', 'cardano', 'syscoin', 'zcash', 'bitcoin', 'stellar', 'waves',
       'stratis', 'factom'],
      dtype='object')","Index(['bitcoin-cash', 'dash', 'power-ledger', 'ethereum', 'neo', 'eos',
       'litecoin', 'iota'],
      dtype='object')"
20171218,"Index(['red-pulse', 'nexus', 'rlc', 'suncontract', 'wings', 'neblio',
       'cryptonex', 'primas', 'vibe', 'cvcoin'],
      dtype='object')","Index(['komodo', 'ark', 'loopring', 'singulardtv', 'syscoin', '0x', 'populous',
       'district0x', 'agrello-delta'],
      dtype='object')","Index(['stratis', 'ardor', 'enigma', 'waves', 'steem', 'ripio-credit-network',
       'kyber-network', 'adx-net', 'nano', 'factom'],
      dtype='object')","Index(['stellar', 'neo', 'monero', 'streamr-datacoin', 'dash', 'agoras-tokens',
       'zcash', 'quantstamp', 'power-ledger'],
      dtype='object')","Index(['bitcoin', 'cardano', 'litecoin', 'iota', 'nem', 'ethereum',
       'bitcoin-cash', 'crypto-com', 'eos'],
      dtype='object')"
20180107,"Index(['streamr-datacoin', 'ark', 'waves', 'rlc', 'populous', 'suncontract',
       'primas', 'vibe', 'cryptonex', 'cvcoin'],
      dtype='object')","Index(['adx-net', 'agoras-tokens', 'crypto-com', 'kyber-network', 'red-pulse',
       '0x', 'singulardtv', 'agrello-delta', 'syscoin', 'wings'],
      dtype='object')","Index(['ripio-credit-network', 'time-new-bank', 'komodo', 'quantstamp', 'qash',
       'stratis', 'loopring', 'factom', 'ardor', 'district0x'],
      dtype='object')","Index(['ethereum', 'iota', 'nano', 'dash', 'nem', 'steem', 'nexus', 'monero',
       'zcash', 'power-ledger'],
      dtype='object')","Index(['bitcoin', 'bitcoin-cash', 'stellar', 'neblio', 'eos', 'litecoin',
       'cardano', 'enigma', 'neo'],
      dtype='object')"
20180127,"Index(['adx-net', 'komodo', 'populous', 'syscoin', 'streamr-datacoin', 'nexus',
       'cvcoin', 'ormeus-coin', 'dynamic-trading-rights', 'cryptonex',
       'agoras-tokens'],
      dtype='object')","Index(['power-ledger', 'iota', 'ark', 'ripio-credit-network', 'crypto-com',
       'suncontract', 'nuls', 'dash', 'factom', 'waves', 'wings'],
      dtype='object')","Index(['kyber-network', 'primas', 'agrello-delta', 'nano', 'sirin-labs-token',
       'quantstamp', 'qash', 'district0x', 'enigma', 'gifto', 'nem'],
      dtype='object')","Index(['steem', 'stellar', 'time-new-bank', 'zcash', 'cardano', 'singulardtv',
       '0x', 'stratis', 'nebulas-token', 'red-pulse', 'monero'],
      dtype='object')","Index(['vibe', 'eos', 'neblio', 'bitcoin', 'ethereum', 'neo', 'rlc',
       'bitcoin-cash', 'litecoin', 'loopring', 'wax'],
      dtype='object')"
20180216,"Index(['rlc', 'loopring', 'factom', 'primas', 'nexus', 'streamr-datacoin',
       'singulardtv', 'ormeus-coin', 'maker', 'cryptonex',
       'dynamic-trading-rights', 'cvcoin'],
      dtype='object')","Index(['iota', 'komodo', 'syscoin', 'nuls', 'agoras-tokens', 'qlink',
       'ripio-credit-network', 'time-new-bank', 'crypto-com', 'district0x',
       'qash', 'ark'],
      dtype='object')","Index(['agrello-delta', 'suncontract', 'ardor', 'adx-net', 'power-ledger',
       'stratis', 'quantstamp', 'dash', 'enigma', 'nebulas-token',
       'kyber-network', 'high-performance-blockchain'],
      dtype='object')","Index(['stellar', 'sirin-labs-token', 'vibe', '0x', 'wings', 'zcash', 'neblio',
       'steem', 'waves', 'bibox-token', 'populous', 'monero'],
      dtype='object')","Index(['litecoin', 'bitcoin-cash', 'bitcoin', 'gifto', 'ethereum', 'wax',
       'neo', 'nem', 'cardano', 'eos', 'red-pulse', 'nano'],
      dtype='object')"
20180308,"Index(['ardor', 'cryptonex', 'syscoin', 'enigma', 'singularitynet',
       'agrello-delta', 'primas', 'qlink', 'qash', 'cvcoin',
       'streamr-datacoin', 'maker', 'dynamic-trading-rights'],
      dtype='object')","Index(['ripio-credit-network', 'high-performance-blockchain', 'ark',
       'all-sports', 'stratis', 'loopring', 'coinmeet', 'time-new-bank',
       'power-ledger', 'steem', 'factom', 'nebulas-token', 'quantstamp'],
      dtype='object')","Index(['nuls', 'vibe', 'nem', 'populous', 'ormeus-coin', 'komodo', 'zcash',
       'dash', 'iota', 'polymath-network', 'ignis', 'kyber-network',
       'crypto-com'],
      dtype='object')","Index(['neblio', 'bibox-token', 'cardano', 'adx-net', 'rlc', 'eos', 'waves',
       '0x', 'sirin-labs-token', 'wings', 'singulardtv', 'stellar',
       'district0x'],
      dtype='object')","Index(['bitcoin', 'nano', 'wax', 'nexus', 'litecoin', 'gifto', 'red-pulse',
       'bitcoin-cash', 'ethereum', 'neo', 'monero', 'suncontract'],
      dtype='object')"
20180328,"Index(['singulardtv', 'steem', 'fusion', 'komodo', 'ark', 'polymath-network',
       'bottos', 'ignis', 'singularitynet', 'streamr-datacoin', 'maker',
       'cryptonex', 'dynamic-trading-rights', 'cvcoin'],
      dtype='object')","Index(['wax', 'kyber-network', 'primas', 'time-new-bank', 'bibox-token',
       'suncontract', 'stratis', 'populous', 'all-sports', 'syscoin', 'ardor',
       'quantstamp', 'wings', 'crpt'],
      dtype='object')","Index(['ripio-credit-network', 'credits', 'qash', 'gifto', 'nuls', 'coinmeet',
       'nebulas-token', 'waves', 'adx-net', 'factom',
       'high-performance-blockchain', 'power-ledger', 'red-pulse'],
      dtype='object')","Index(['sirin-labs-token', 'rlc', 'nano', 'neblio', 'neo', 'crypto-com',
       'vibe', '0x', 'loopring', 'iota', 'dash', 'stellar', 'zcash', 'enigma'],
      dtype='object')","Index(['eos', 'bitcoin', 'qlink', 'ethereum', 'nem', 'cardano', 'district0x',
       'bitcoin-cash', 'litecoin', 'agrello-delta', 'ormeus-coin', 'nexus',
       'monero'],
      dtype='object')"
20180417,"Index(['factom', 'bibox-token', 'primas', 'crpt', 'nexus', 'rlc', 'cryptonex',
       'wings', 'vibe', 'agrello-delta', 'bottos', 'dynamic-trading-rights',
       'maker', 'atn', 'cvcoin'],
      dtype='object')","Index(['waves', 'credits', 'enigma', '0x', 'komodo', 'loom-network', 'ignis',
       'adx-net', 'kyber-network', 'stratis', 'fusion', 'qash',
       'singularitynet', 'streamr-datacoin', 'ark'],
      dtype='object')","Index(['crypto-com', 'zcash', 'quantstamp', 'neblio', 'all-sports',
       'red-pulse', 'wax', 'monero', 'nano', 'loopring', 'nebulas-token',
       'nuls', 'gifto', 'ren', 'time-new-bank'],
      dtype='object')","Index(['bitcoin-cash', 'stellar', 'iota', 'singulardtv', 'nem',
       'high-performance-blockchain', 'suncontract', 'populous',
       'polymath-network', 'ripio-credit-network', 'ormeus-coin', 'ravencoin',
       'dash', 'power-ledger', 'sirin-labs-token'],
      dtype='object')","Index(['mithril', 'eos', 'ontology', 'bitcoin', 'cardano', 'qlink', 'ethereum',
       'litecoin', 'neo', 'steem', 'district0x', 'truechain', 'syscoin',
       'ardor'],
      dtype='object')"
20180507,"Index(['rlc', 'ardor', 'ark', 'vibe', 'ravencoin', 'factom', 'komodo',
       'singularitynet', 'wings', 'cryptonex', 'streamr-datacoin', 'crpt',
       'cvcoin', 'maker', 'atn', 'dynamic-trading-rights'],
      dtype='object')","Index(['ripio-credit-network', 'neblio', 'power-ledger', 'qlink',
       'high-performance-blockchain', 'stratis', 'credits', 'nem', 'ren',
       'enigma', 'syscoin', 'qash', 'nexus', 'singulardtv',
       'matrix-ai-network', 'suncontract'],
      dtype='object')","Index(['time-new-bank', 'fusion', 'red-pulse', 'loopring', 'primas', 'waves',
       'wax', 'nuls', 'mixin', 'quantstamp', 'zcash', 'polymath-network',
       'ormeus-coin', 'agrello-delta', 'bibox-token'],
      dtype='object')","Index(['district0x', 'neo', 'kyber-network', 'iota', 'litecoin', 'bottos',
       'stellar', 'educare', 'monero', 'nebulas-token', '0x', 'ruff',
       'populous', 'sirin-labs-token', 'dash', 'nano'],
      dtype='object')","Index(['eos', 'crypto-com', 'bitcoin-cash', 'mithril', 'bitcoin', 'all-sports',
       'truechain', 'gifto', 'cardano', 'ontology', 'ethereum', 'adx-net',
       'ignis', 'loom-network', 'steem'],
      dtype='object')"
20180527,"Index(['qlink', 'wings', 'vibe', 'singulardtv', 'red-pulse', 'ardor', 'nexus',
       'cryptonex', 'stakenet', 'ormeus-coin', 'qash', 'ravencoin', 'maker',
       'odem', 'atn', 'cvcoin', 'dynamic-trading-rights'],
      dtype='object')","Index(['bottos', 'enigma', 'high-performance-blockchain', 'suncontract', 'nem',
       'factom', 'nano', 'wax', 'ark', 'komodo', 'agrello-delta',
       'ripio-credit-network', 'crpt', 'adx-net', 'district0x', 'ignis'],
      dtype='object')","Index(['power-ledger', 'matrix-ai-network', 'kyber-network', 'nebulas-token',
       'neblio', 'monero', 'steem', 'time-new-bank', 'ren', 'stratis', 'neo',
       'streamr-datacoin', 'credits', 'waves', 'ruff', 'singularitynet'],
      dtype='object')","Index(['all-sports', 'ontology', 'litecoin', 'gifto', 'nuls', 'stellar',
       'crypto-com', 'sirin-labs-token', 'polymath-network', 'dash',
       'quantstamp', 'cardano', 'loopring', 'bnktothefuture', 'syscoin',
       'fusion'],
      dtype='object')","Index(['eos', 'truechain', 'bitcoin', 'zcash', 'bitcoin-cash', 'cortex', '0x',
       'ethereum', 'mithril', 'bibox-token', 'educare', 'primas', 'iota',
       'rlc', 'loom-network', 'populous'],
      dtype='object')"
20180616,"Index(['district0x', 'factom', 'vibe', 'wax', 'ravencoin', 'qash',
       'power-ledger', 'ark', 'atn', 'red-pulse', 'adx-net', 'syscoin',
       'singulardtv', 'ignis', 'komodo', 'maker', 'dynamic-trading-rights'],
      dtype='object')","Index(['gifto', 'suncontract', 'qlink', 'primas', 'bnktothefuture', 'steem',
       'wings', 'cryptonex', 'credits', 'matrix-ai-network', 'quantstamp',
       'agrello-delta', 'stratis', 'ardor', 'ren', 'stakenet'],
      dtype='object')","Index(['high-performance-blockchain', 'nexo', 'fusion', 'monero', 'loopring',
       'nuls', 'sirin-labs-token', 'populous', 'ormeus-coin', 'crypto-com',
       'ripio-credit-network', 'time-new-bank', 'polymath-network', 'nem',
       'enigma', 'neblio', 'crpt'],
      dtype='object')","Index(['0x', 'streamr-datacoin', 'zcash', 'dash', 'bottos', 'cortex', 'ruff',
       'neo', 'kyber-network', 'nexus', 'singularitynet', 'rlc', 'stellar',
       'nano', 'odem', 'waves'],
      dtype='object')","Index(['eos', 'bitcoin', 'cvcoin', 'truechain', 'all-sports', 'mithril',
       'bitcoin-cash', 'bibox-token', 'ethereum', 'iota', 'ontology',
       'cardano', 'educare', 'loom-network', 'litecoin', 'nebulas-token'],
      dtype='object')"
20180706,"Index(['wings', 'suncontract', 'adx-net', 'agrello-delta', 'sirin-labs-token',
       'credits', 'ardor', 'ark', 'vibe', 'crpt', 'ravencoin', 'komodo',
       'stakenet', 'factom', 'atn', 'maker', 'dynamic-trading-rights'],
      dtype='object')","Index(['nano', 'cryptonex', 'nuls', 'stratis', 'stellar', 'nexus',
       'ripio-credit-network', 'singularitynet', 'singulardtv', 'loopring',
       'qlink', 'ruff', 'ormeus-coin', 'red-pulse', 'quantstamp', 'ignis',
       'rlc'],
      dtype='object')","Index(['wax', 'zcash', 'high-performance-blockchain', 'cvcoin', 'district0x',
       'odem', 'loom-network', 'fusion', 'qash', 'time-new-bank', 'nexo',
       'bnktothefuture', 'nkn', 'bottos', 'neblio', 'polymath-network'],
      dtype='object')","Index(['litecoin', 'primas', 'educare', 'nebulas-token', 'dash', 'cardano',
       'populous', 'iota', 'ren', 'nem', 'waves', 'monero', 'steem',
       'matrix-ai-network', 'gifto', 'enigma', 'kyber-network'],
      dtype='object')","Index(['syscoin', 'bitcoin', 'mithril', 'eos', 'streamr-datacoin',
       'all-sports', 'power-ledger', 'bibox-token', 'ethereum', 'cortex',
       'neo', 'crypto-com', 'truechain', 'ontology', 'bitcoin-cash', '0x'],
      dtype='object')"
