,Port1,Port2,Port3,Port4,Port5
20171007,"Index(['factom', 'agoras-tokens', 'stellar', 'nem', 'populous', 'stratis',
       'eos'],
      dtype='object')","Index(['zcash', 'ethereum', 'iota', 'waves', 'wings', 'steem'], dtype='object')","Index(['nexus', 'singulardtv', 'syscoin', 'litecoin', 'bitcoin-cash', 'rlc'], dtype='object')","Index(['monero', 'dash', 'suncontract', 'ardor', 'nano', 'bitcoin'], dtype='object')","Index(['adx-net', 'crypto-com', 'ark', 'neo', 'district0x', 'komodo'], dtype='object')"
20171116,"Index(['district0x', 'crypto-com', 'steem', 'stratis', 'singulardtv', 'wings',
       'agrello-delta', 'nexus'],
      dtype='object')","Index(['syscoin', 'agoras-tokens', 'suncontract', 'factom', 'ark', '0x',
       'nem'],
      dtype='object')","Index(['waves', 'dash', 'ethereum', 'litecoin', 'monero', 'primas', 'rlc',
       'komodo'],
      dtype='object')","Index(['ardor', 'bitcoin', 'nano', 'adx-net', 'zcash', 'iota', 'neo'], dtype='object')","Index(['stellar', 'populous', 'loopring', 'bitcoin-cash', 'neblio', 'eos',
       'cvcoin'],
      dtype='object')"
20171226,"Index(['neo', 'wings', 'zcash', 'loopring', 'nebulas-token', 'rlc', 'cvcoin',
       'singulardtv', 'neblio'],
      dtype='object')","Index(['primas', 'agrello-delta', 'crypto-com', 'adx-net', 'ethereum',
       'bitcoin', 'district0x', 'kyber-network'],
      dtype='object')","Index(['monero', 'waves', '0x', 'stratis', 'steem', 'syscoin', 'nexus',
       'factom', 'ark'],
      dtype='object')","Index(['stellar', 'suncontract', 'enigma', 'komodo', 'nem', 'vibe', 'litecoin',
       'dash'],
      dtype='object')","Index(['nano', 'eos', 'cardano', 'populous', 'agoras-tokens', 'ardor', 'iota',
       'bitcoin-cash'],
      dtype='object')"
20180204,"Index(['ardor', 'adx-net', 'dash', 'monero', 'bitcoin-cash', 'crypto-com',
       'waves', 'streamr-datacoin', 'bitcoin', 'iota'],
      dtype='object')","Index(['cryptonex', 'factom', 'syscoin', 'singulardtv', 'wings', 'stratis',
       'power-ledger', 'ark', 'zcash', 'qash'],
      dtype='object')","Index(['cvcoin', 'ethereum', 'nexus', 'eos', 'district0x', 'komodo', 'primas',
       'litecoin', 'ripio-credit-network'],
      dtype='object')","Index(['populous', 'loopring', 'stellar', 'rlc', 'quantstamp', 'kyber-network',
       'suncontract', 'time-new-bank', 'nem', 'agrello-delta'],
      dtype='object')","Index(['nano', 'vibe', '0x', 'red-pulse', 'enigma', 'cardano', 'steem', 'neo',
       'neblio'],
      dtype='object')"
20180316,"Index(['kyber-network', 'cardano', 'district0x', 'stratis', 'time-new-bank',
       'agrello-delta', 'singulardtv', 'vibe', 'red-pulse', 'ardor', 'wax'],
      dtype='object')","Index(['iota', 'power-ledger', 'adx-net', 'sirin-labs-token', '0x', 'loopring',
       'nem', 'ripio-credit-network', 'cvcoin', 'enigma', 'qash'],
      dtype='object')","Index(['factom', 'neo', 'suncontract', 'ark', 'populous', 'quantstamp', 'rlc',
       'primas', 'streamr-datacoin', 'wings', 'nexus'],
      dtype='object')","Index(['syscoin', 'nano', 'ormeus-coin', 'gifto', 'stellar', 'eos',
       'bitcoin-cash', 'zcash', 'steem', 'crypto-com', 'komodo'],
      dtype='object')","Index(['cryptonex', 'litecoin', 'bitcoin', 'monero', 'nuls', 'waves',
       'nebulas-token', 'ethereum', 'neblio', 'dynamic-trading-rights',
       'dash'],
      dtype='object')"
20180425,"Index(['zcash', 'quantstamp', 'litecoin', 'vibe', 'adx-net', 'neo',
       'singularitynet', 'sirin-labs-token', 'all-sports', 'ignis', 'nano',
       'red-pulse', 'polymath-network'],
      dtype='object')","Index(['bitcoin', 'cardano', 'bibox-token', 'gifto', 'nebulas-token',
       'high-performance-blockchain', 'waves', 'wings', 'stratis', 'dash',
       'agrello-delta', 'ethereum', 'primas'],
      dtype='object')","Index(['monero', 'nem', 'maker', 'komodo', 'power-ledger', 'neblio', 'bottos',
       'time-new-bank', 'ardor', 'singulardtv', 'steem', 'syscoin', 'ark'],
      dtype='object')","Index(['0x', 'loopring', 'populous', 'wax', 'iota', 'bitcoin-cash',
       'suncontract', 'ripio-credit-network', 'stellar', 'enigma', 'factom',
       'kyber-network', 'qash'],
      dtype='object')","Index(['crypto-com', 'eos', 'ormeus-coin', 'rlc', 'nexus', 'district0x',
       'streamr-datacoin', 'dynamic-trading-rights', 'cvcoin', 'cryptonex',
       'nuls', 'qlink'],
      dtype='object')"
20180604,"Index(['ripio-credit-network', 'komodo', 'litecoin', 'vibe', 'ardor', 'qash',
       'qlink', 'monero', 'credits', 'red-pulse', 'atn', 'cryptonex', 'factom',
       'nano', 'ravencoin', 'ormeus-coin'],
      dtype='object')","Index(['singulardtv', 'ignis', 'neo', 'ark', 'nem', 'sirin-labs-token',
       'power-ledger', 'adx-net', 'suncontract', 'bitcoin', 'wings', 'neblio',
       'populous', 'dash', 'dynamic-trading-rights'],
      dtype='object')","Index(['cardano', 'stellar', 'crypto-com', 'enigma', 'loopring',
       'time-new-bank', 'steem', 'zcash', 'wax', 'high-performance-blockchain',
       'syscoin', 'stratis', 'district0x', 'agrello-delta', 'waves'],
      dtype='object')","Index(['rlc', 'nexus', 'iota', 'bitcoin-cash', 'cvcoin', 'kyber-network',
       'quantstamp', 'streamr-datacoin', 'nebulas-token', 'crpt', 'ethereum',
       'maker', 'gifto', 'matrix-ai-network', 'singularitynet'],
      dtype='object')","Index(['all-sports', 'truechain', 'primas', 'loom-network', 'bibox-token',
       'ren', 'fusion', 'mithril', 'ontology', 'bottos', '0x', 'eos', 'nuls',
       'polymath-network', 'ruff'],
      dtype='object')"
20180714,"Index(['credits', 'matrix-ai-network', 'cortex', 'bottos', 'ravencoin',
       'polymath-network', 'vibe', 'suncontract', 'neblio', 'qlink',
       'bnktothefuture', 'agrello-delta', 'primas', 'ren', 'truechain',
       'fusion', 'all-sports'],
      dtype='object')","Index(['stratis', 'ark', 'ruff', 'syscoin', 'nano', 'gifto',
       'sirin-labs-token', 'nexo', 'rlc', 'crpt', 'wax', 'loom-network',
       'populous', 'loopring', 'red-pulse', 'quantstamp',
       'ripio-credit-network'],
      dtype='object')","Index(['nem', 'ardor', 'steem', 'ignis', 'cryptonex', 'ontology', 'waves',
       'kyber-network', 'enigma', 'adx-net', 'qash', 'time-new-bank',
       'district0x', 'nebulas-token', 'singulardtv', 'wings'],
      dtype='object')","Index(['factom', 'mixin', 'atn', 'litecoin', 'eos', 'nuls', 'power-ledger',
       'cardano', 'high-performance-blockchain', 'neo', 'streamr-datacoin',
       'bitcoin-cash', 'dash', 'zcash', 'komodo', 'dynamic-trading-rights',
       'iota'],
      dtype='object')","Index(['odem', 'stakenet', 'bibox-token', 'cvcoin', 'bitcoin', 'educare', '0x',
       'nexus', 'ormeus-coin', 'crypto-com', 'ethereum', 'singularitynet',
       'maker', 'monero', 'stellar', 'mithril'],
      dtype='object')"
20180823,"Index(['ripio-credit-network', 'ontology', 'high-performance-blockchain',
       'vibe', 'streamr-datacoin', 'singularitynet', 'fusion', 'bottos', 'ren',
       'bnktothefuture', 'ruff', 'loopring', 'all-sports', 'constellation',
       'smartshare', 'educare', 'nkn'],
      dtype='object')","Index(['atn', 'credits', 'ark', 'adx-net', 'bibox-token',
       'dynamic-trading-rights', 'neblio', 'syscoin', 'iota', 'rlc', 'factom',
       'suncontract', 'agrello-delta', 'nexo', 'stakenet', 'enigma',
       'nebulas-token'],
      dtype='object')","Index(['singulardtv', 'ethereum', 'eos', 'wax', 'polymath-network',
       'cryptonex', 'dash', 'sirin-labs-token', 'kyber-network',
       'matrix-ai-network', 'stratis', 'red-pulse', 'truechain',
       'loom-network', 'quantstamp', 'neo', 'time-new-bank'],
      dtype='object')","Index(['ardor', 'qlink', 'waves', 'monero', 'qash', 'bitcoin-cash', 'litecoin',
       'nuls', 'cardano', 'steem', 'komodo', 'cvcoin', 'nem', 'gifto',
       'district0x', 'wings', 'nexus'],
      dtype='object')","Index(['odem', 'stellar', 'bitcoin', '0x', 'power-ledger', 'ignis',
       'ravencoin', 'mithril', 'crypto-com', 'populous', 'maker', 'crpt',
       'ormeus-coin', 'zcash', 'nano', 'primas', 'cortex'],
      dtype='object')"
20181002,"Index(['kyber-network', 'gifto', 'constellation', 'red-pulse',
       'high-performance-blockchain', 'bibox-token', 'atn', 'mithril',
       'fusion', 'ormeus-coin', 'pchain', 'nkn', 'cvcoin', 'educare',
       'dynamic-trading-rights', 'mixin', 'smartshare', 'odem'],
      dtype='object')","Index(['neo', 'enigma', 'crypto-com', 'power-ledger', 'cardano', 'wax', 'crpt',
       'matrix-ai-network', 'polymath-network', 'nuls', 'iota', 'suncontract',
       'singularitynet', 'bottos', 'loopring', 'time-new-bank', 'ethereum',
       'stakenet'],
      dtype='object')","Index(['credits', 'steem', 'bitcoin-cash', 'bnktothefuture', 'nexus', 'ignis',
       'loom-network', 'neblio', 'quantstamp', 'ravencoin', 'zcash', 'nem',
       'populous', 'factom', 'adx-net', 'metronome', 'sirin-labs-token', '0x'],
      dtype='object')","Index(['cortex', 'ardor', 'ontology', 'vechain', 'pundi-x', 'komodo',
       'ripio-credit-network', 'cryptonex', 'nebulas-token', 'singulardtv',
       'eos', 'litecoin', 'ruff', 'district0x', 'streamr-datacoin', 'ark',
       'stratis', 'syscoin'],
      dtype='object')","Index(['vibe', 'nano', 'nexo', 'qlink', 'waves', 'agrello-delta', 'qash',
       'primas', 'stellar', 'all-sports', 'monero', 'ren', 'truechain',
       'wings', 'bitcoin', 'dash', 'maker', 'rlc'],
      dtype='object')"
