,Port1,Port2,Port3,Port4,Port5
20170828,"Index(['ardor', 'nem', 'waves', 'stratis', 'stellar', 'populous', 'eos'], dtype='object')","Index(['agoras-tokens', 'syscoin', 'zcash', 'wings', 'steem', 'singulardtv'], dtype='object')","Index(['factom', 'komodo', 'bitcoin', 'litecoin', 'rlc', 'ethereum'], dtype='object')","Index(['ark', 'neo', 'bitcoin-cash', 'dash', 'iota', 'nexus'], dtype='object')","Index(['crypto-com', 'adx-net', 'district0x', 'nano', 'suncontract', 'monero'], dtype='object')"
20171027,"Index(['agrello-delta', 'steem', 'neo', 'iota', 'waves', 'loopring',
       'kyber-network', 'vibe'],
      dtype='object')","Index(['zcash', 'komodo', 'eos', 'primas', 'nexus', 'adx-net', 'factom',
       'wings'],
      dtype='object')","Index(['ark', 'singulardtv', 'ardor', 'monero', 'ethereum', 'nem',
       'bitcoin-cash', 'dash'],
      dtype='object')","Index(['district0x', 'cvcoin', 'suncontract', 'stratis', 'litecoin',
       'crypto-com', '0x', 'agoras-tokens'],
      dtype='object')","Index(['neblio', 'stellar', 'syscoin', 'populous', 'bitcoin', 'cardano',
       'nano', 'rlc'],
      dtype='object')"
20171226,"Index(['suncontract', 'stellar', 'monero', 'loopring', 'cvcoin',
       'streamr-datacoin', 'cryptonex', 'bitcoin', 'qash', 'iota'],
      dtype='object')","Index(['adx-net', 'quantstamp', 'ark', 'waves', 'dash', 'wings', 'zcash',
       'neblio', 'power-ledger', 'kyber-network'],
      dtype='object')","Index(['factom', 'bitcoin-cash', 'stratis', 'nexus', 'neo', 'singulardtv',
       'syscoin', 'rlc', 'ethereum', 'crypto-com'],
      dtype='object')","Index(['ripio-credit-network', 'litecoin', 'time-new-bank', '0x', 'steem',
       'district0x', 'populous', 'primas', 'agrello-delta', 'eos'],
      dtype='object')","Index(['nano', 'red-pulse', 'vibe', 'enigma', 'nem', 'komodo', 'cardano',
       'ardor', 'agoras-tokens'],
      dtype='object')"
20180224,"Index(['time-new-bank', 'crypto-com', 'nem', 'rlc', 'singularitynet', 'nexus',
       'suncontract', 'singulardtv', 'high-performance-blockchain',
       'kyber-network', 'sirin-labs-token', 'vibe', 'populous'],
      dtype='object')","Index(['ignis', 'streamr-datacoin', 'district0x', 'cardano', 'nuls', 'wax',
       'dynamic-trading-rights', 'wings', 'ripio-credit-network',
       'bibox-token', 'cvcoin', '0x'],
      dtype='object')","Index(['eos', 'power-ledger', 'komodo', 'qash', 'loopring', 'maker', 'stratis',
       'steem', 'ormeus-coin', 'ark', 'agrello-delta', 'qlink'],
      dtype='object')","Index(['neo', 'bitcoin-cash', 'factom', 'quantstamp', 'ethereum', 'primas',
       'enigma', 'ardor', 'stellar', 'nebulas-token', 'nano', 'iota'],
      dtype='object')","Index(['gifto', 'litecoin', 'syscoin', 'monero', 'red-pulse', 'adx-net',
       'bitcoin', 'cryptonex', 'zcash', 'neblio', 'waves', 'dash'],
      dtype='object')"
20180425,"Index(['suncontract', 'ardor', 'sirin-labs-token', 'nano', 'truechain',
       'factom', 'polymath-network', 'ignis', 'high-performance-blockchain',
       'cryptonex', 'bitcoin', 'litecoin', 'credits', 'atn', 'ormeus-coin',
       'ravencoin'],
      dtype='object')","Index(['bibox-token', 'nexus', 'nuls', 'cvcoin', 'neo', 'dash', 'wings',
       'zcash', 'ark', 'monero', 'komodo', 'waves', 'ontology',
       'nebulas-token', 'qash'],
      dtype='object')","Index(['power-ledger', 'steem', 'adx-net', 'bottos', 'qlink', 'singulardtv',
       'primas', 'rlc', 'nem', 'matrix-ai-network', 'stratis', 'ethereum',
       'ripio-credit-network', 'neblio', 'singularitynet'],
      dtype='object')","Index(['iota', 'vibe', '0x', 'syscoin', 'district0x', 'cardano', 'maker',
       'ruff', 'enigma', 'time-new-bank', 'red-pulse', 'all-sports',
       'quantstamp', 'stellar', 'agrello-delta'],
      dtype='object')","Index(['mithril', 'loom-network', 'fusion', 'crypto-com', 'ren',
       'kyber-network', 'wax', 'eos', 'streamr-datacoin', 'gifto', 'loopring',
       'crpt', 'bitcoin-cash', 'dynamic-trading-rights', 'populous'],
      dtype='object')"
20180624,"Index(['ripio-credit-network', 'gifto', 'neblio', 'nexus', 'qash', 'vibe',
       'sirin-labs-token', 'agrello-delta', 'nkn', 'polymath-network',
       'populous', 'truechain', 'cortex', 'quantstamp', 'loom-network',
       'primas', 'all-sports'],
      dtype='object')","Index(['ormeus-coin', 'nuls', 'wings', 'ark', 'district0x', '0x', 'stratis',
       'bottos', 'steem', 'matrix-ai-network', 'suncontract', 'bnktothefuture',
       'syscoin', 'kyber-network', 'high-performance-blockchain', 'rlc',
       'ruff'],
      dtype='object')","Index(['educare', 'factom', 'power-ledger', 'eos', 'ignis', 'nexo', 'ardor',
       'credits', 'fusion', 'wax', 'red-pulse', 'singulardtv',
       'singularitynet', 'qlink', 'adx-net', 'iota'],
      dtype='object')","Index(['stellar', 'bitcoin-cash', 'litecoin', 'komodo', 'maker', 'ontology',
       'ravencoin', 'nem', 'nano', 'cardano', 'neo', 'time-new-bank', 'ren',
       'mithril', 'nebulas-token', 'cvcoin', 'loopring'],
      dtype='object')","Index(['stakenet', 'odem', 'streamr-datacoin', 'bibox-token', 'bitcoin',
       'cryptonex', 'ethereum', 'enigma', 'dash', 'crpt', 'zcash', 'monero',
       'waves', 'crypto-com', 'atn', 'dynamic-trading-rights'],
      dtype='object')"
20180823,"Index(['loopring', 'dynamic-trading-rights', 'mithril', 'singularitynet',
       'adx-net', 'ruff', 'loom-network', 'ripio-credit-network', 'ren',
       'mixin', 'odem', 'iota', 'high-performance-blockchain', 'bottos',
       'educare', 'nkn', 'constellation', 'smartshare'],
      dtype='object')","Index(['district0x', 'wax', 'bibox-token', 'credits', 'factom', 'nem',
       'agrello-delta', 'kyber-network', 'stratis', 'crypto-com', 'gifto',
       'metronome', 'polymath-network', 'matrix-ai-network', 'fusion', 'atn',
       'neo', 'vibe'],
      dtype='object')","Index(['crpt', '0x', 'cardano', 'syscoin', 'nuls', 'red-pulse', 'primas',
       'quantstamp', 'neblio', 'enigma', 'time-new-bank', 'eos', 'suncontract',
       'nexus', 'pchain', 'streamr-datacoin', 'ethereum', 'dash'],
      dtype='object')","Index(['wings', 'cryptonex', 'rlc', 'bnktothefuture', 'ardor', 'monero',
       'ravencoin', 'komodo', 'maker', 'power-ledger', 'sirin-labs-token',
       'bitcoin-cash', 'steem', 'ark', 'litecoin', 'zcash', 'singulardtv',
       'nexo'],
      dtype='object')","Index(['nano', 'waves', 'cortex', 'stakenet', 'all-sports', 'qlink',
       'populous', 'ontology', 'ormeus-coin', 'vechain', 'nebulas-token',
       'bitcoin', 'qash', 'pundi-x', 'ignis', 'truechain', 'cvcoin',
       'stellar'],
      dtype='object')"
20181022,"Index(['credits', 'iota', 'vechain', 'mixin', 'bottos',
       'high-performance-blockchain', 'dash', 'bitcoin-cash', 'bibox-token',
       'ren', 'factom', 'nexus', 'cortex', 'ormeus-coin', 'truechain',
       'all-sports', 'constellation', 'blue-whale-exchange', 'zip'],
      dtype='object')","Index(['steem', 'suncontract', 'nem', 'ruff', 'qlink', 'nano', 'waves', 'crpt',
       'stratis', 'cardano', 'fusion', 'ontology', 'bnktothefuture', 'mithril',
       'ethereum', 'seele', 'monero', 'neo', 'litecoin'],
      dtype='object')","Index(['streamr-datacoin', 'cryptonex', 'crypto-com', 'bitcoin', 'zcash',
       'ignis', 'metronome', 'sirin-labs-token', 'thorecoin', 'ardor',
       'enigma', 'stellar', 'pundi-x', 'primas', 'qash', 'stasis-euro',
       'nebulas-token', 'nuls', 'eos'],
      dtype='object')","Index(['gifto', 'power-ledger', 'quantstamp', 'smartshare', 'populous', 'wax',
       'matrix-ai-network', 'neblio', 'kyber-network', 'ark', 'district0x',
       'time-new-bank', 'red-pulse', 'singulardtv', 'syscoin', 'nkn',
       'loopring', 'atn', 'vibe'],
      dtype='object')","Index(['ravencoin', 'cvcoin', 'educare', 'dynamic-trading-rights', 'nexo',
       'maker', '0x', 'odem', 'agrello-delta', 'polymath-network', 'adx-net',
       'loom-network', 'rlc', 'pchain', 'wings', 'singularitynet',
       'ripio-credit-network', 'stakenet', 'komodo'],
      dtype='object')"
20181221,"Index(['enigma', 'bibox-token', 'metronome', 'nexo', 'stellar', 'ravencoin',
       'time-new-bank', 'pchain', 'qlink', 'qash', 'steem', 'all-sports',
       'adx-net', 'mithril', 'cvcoin', 'crpt', 'odem', 'zip', 'wax',
       'sirin-labs-token', 'howdoo'],
      dtype='object')","Index(['agrello-delta', 'red-pulse', 'snetwork', 'bottos', 'ardor', 'cortex',
       'ontology', 'zcash', 'gifto', 'wings', 'nebulas-token', 'fusion',
       'singulardtv', 'primas', 'ormeus-coin', 'seele', 'ignis', 'ruff',
       'constellation', 'ripio-credit-network'],
      dtype='object')","Index(['monero', 'loopring', 'power-ledger', 'crypto-com', 'vechain', 'neo',
       'kyber-network', 'kcash', 'safeinsure', 'loom-network', 'nuls',
       'suncontract', 'matrix-ai-network', 'high-performance-blockchain',
       'vibe', 'factom', '0x', 'populous', 'rlc', 'quantstamp', 'pundi-x'],
      dtype='object')","Index(['dash', 'dynamic-trading-rights', 'stasis-euro', 'truechain',
       'insight-chain', 'thorecoin', 'district0x', 'bitcoin', 'ethereum',
       'nano', 'nem', 'cryptonex', 'atn', 'ark', 'fantom', 'litecoin',
       'cardano', 'nkn', 'eos', 'streamr-datacoin'],
      dtype='object')","Index(['waves', 'stratis', 'smartshare', 'singularitynet', 'bitcoin-sv', 'ren',
       'iota', 'syscoin', 'nexus', 'maker', 'bitcoin-cash', 'komodo',
       'educare', 'travala', 'polymath-network', 'credits', 'stakenet',
       'mixin', 'neblio', 'bnktothefuture'],
      dtype='object')"
20190219,"Index(['loopring', 'atn', 'stellar', '0x', 'insight-chain', 'waves', 'ren',
       'polymath-network', 'odem', 'ravencoin', 'rlc', 'nem', 'nexus',
       'mithril', 'singulardtv', 'hycon', 'high-performance-blockchain',
       'agrello-delta', 'howdoo', 'smartshare', 'wings'],
      dtype='object')","Index(['vibe', 'red-pulse', 'nuls', 'credits', 'factom', 'sirin-labs-token',
       'nano', 'streamr-datacoin', 'stasis-euro', 'ripio-credit-network',
       'bitcoin-sv', 'matrix-ai-network', 'bottos', 'snetwork', 'qash',
       'cwv-chain', 'constellation', 'singularitynet', 'crypto-com-coin',
       'educare', 'time-new-bank'],
      dtype='object')","Index(['ardor', 'cryptonex', 'steem', 'bnktothefuture', 'bitcoin', 'pundi-x',
       'seele', 'populous', 'truechain', 'bibox-token', 'zcash', 'neblio',
       'qlink', 'district0x', 'quantstamp', 'vechain', 'loom-network',
       'cvcoin', 'stratis', 'ignis', 'syscoin'],
      dtype='object')","Index(['dash', 'neo', 'kcash', 'enigma', 'ontology', 'stakenet',
       'bitcoin-cash', 'power-ledger', 'suncontract', 'pchain', 'ruff',
       'travala', 'cortex', 'zip', 'monero', 'all-sports', 'iota', 'fantom',
       'nebulas-token', 'cardano', 'primas'],
      dtype='object')","Index(['ormeus-coin', 'crpt', 'ark', 'metronome', 'fusion', 'komodo',
       'platincoin', 'maker', 'mixin', 'litecoin', 'eos', 'crypto-com',
       'safeinsure', 'nkn', 'ethereum', 'wax', 'dynamic-trading-rights',
       'nexo', 'adx-net', 'gifto', 'kyber-network'],
      dtype='object')"
