,Port1,Port2,Port3,Port4,Port5
20171012,"Index(['wings', 'singulardtv', 'nano', 'agoras-tokens', 'stratis', 'eos'], dtype='object')","Index(['steem', 'waves', 'factom', 'rlc', 'nexus'], dtype='object')","Index(['iota', 'ark', 'komodo', 'nem', 'syscoin', 'ardor'], dtype='object')","Index(['adx-net', 'dash', 'crypto-com', 'zcash', 'stellar'], dtype='object')","Index(['bitcoin', 'neo', 'ethereum', 'litecoin', 'monero'], dtype='object')"
20171024,"Index(['singulardtv', 'nano', 'agoras-tokens', 'factom', 'stratis', 'eos'], dtype='object')","Index(['steem', 'waves', 'wings', 'populous', 'rlc', 'nexus'], dtype='object')","Index(['iota', 'komodo', 'nem', 'syscoin', 'ardor'], dtype='object')","Index(['monero', 'adx-net', 'crypto-com', 'dash', 'zcash', 'ark'], dtype='object')","Index(['bitcoin', 'neo', 'litecoin', 'stellar', 'ethereum'], dtype='object')"
20171105,"Index(['agoras-tokens', 'nano', 'factom', 'nem', 'populous', 'waves',
       'stratis'],
      dtype='object')","Index(['steem', 'suncontract', 'rlc', 'nexus', 'singulardtv', 'wings'], dtype='object')","Index(['komodo', 'district0x', 'iota', 'eos', 'syscoin', 'ardor'], dtype='object')","Index(['monero', 'dash', 'crypto-com', 'zcash', 'ethereum', 'ark'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'neo', 'litecoin', 'stellar', 'adx-net'], dtype='object')"
20171117,"Index(['wings', 'populous', 'waves', 'district0x', 'nano', 'stratis',
       'suncontract'],
      dtype='object')","Index(['steem', 'singulardtv', 'nem', 'nexus', 'agoras-tokens', 'rlc'], dtype='object')","Index(['komodo', '0x', 'ark', 'crypto-com', 'syscoin', 'ardor', 'factom'], dtype='object')","Index(['neo', 'zcash', 'ethereum', 'eos', 'adx-net', 'iota'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'litecoin', 'stellar', 'monero', 'dash'], dtype='object')"
20171129,"Index(['populous', 'suncontract', 'wings', 'nano', 'waves', 'nexus',
       'crypto-com'],
      dtype='object')","Index(['factom', 'nem', 'primas', 'agoras-tokens', 'district0x', '0x', 'rlc'], dtype='object')","Index(['ark', 'syscoin', 'ardor', 'stratis', 'steem', 'singulardtv'], dtype='object')","Index(['ethereum', 'dash', 'zcash', 'eos', 'monero', 'adx-net', 'komodo'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'stellar', 'litecoin', 'neo', 'iota'], dtype='object')"
20171211,"Index(['suncontract', 'primas', 'wings', 'agrello-delta', '0x', 'nexus',
       'ethereum'],
      dtype='object')","Index(['komodo', 'singulardtv', 'district0x', 'nano', 'populous', 'factom',
       'rlc'],
      dtype='object')","Index(['agoras-tokens', 'ardor', 'waves', 'steem', 'loopring', 'ark',
       'syscoin'],
      dtype='object')","Index(['dash', 'monero', 'zcash', 'nem', 'adx-net', 'crypto-com', 'stratis'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'iota', 'stellar', 'litecoin', 'eos', 'neo'], dtype='object')"
20171223,"Index(['rlc', 'suncontract', 'cvcoin', 'primas', 'agrello-delta', 'wings',
       'nexus', 'ethereum'],
      dtype='object')","Index(['factom', 'district0x', 'neblio', 'ark', 'populous', 'singulardtv',
       '0x'],
      dtype='object')","Index(['komodo', 'agoras-tokens', 'stratis', 'syscoin', 'steem', 'waves',
       'loopring', 'nano'],
      dtype='object')","Index(['dash', 'zcash', 'monero', 'nem', 'adx-net', 'crypto-com', 'ardor'], dtype='object')","Index(['bitcoin-cash', 'litecoin', 'iota', 'stellar', 'bitcoin', 'eos', 'neo'], dtype='object')"
20180104,"Index(['suncontract', 'cvcoin', 'vibe', 'primas', 'zcash', 'waves', 'ethereum',
       'bitcoin'],
      dtype='object')","Index(['neblio', 'populous', 'rlc', 'loopring', 'wings', 'agrello-delta',
       'kyber-network', 'nexus'],
      dtype='object')","Index(['syscoin', 'factom', 'komodo', 'district0x', 'adx-net', '0x', 'ark',
       'singulardtv'],
      dtype='object')","Index(['monero', 'neo', 'stratis', 'nano', 'steem', 'crypto-com', 'ardor',
       'agoras-tokens'],
      dtype='object')","Index(['bitcoin-cash', 'stellar', 'litecoin', 'iota', 'cardano', 'eos', 'nem',
       'dash'],
      dtype='object')"
20180116,"Index(['ark', 'wings', 'populous', 'suncontract', 'waves', 'cvcoin', 'primas',
       'bitcoin'],
      dtype='object')","Index(['factom', 'district0x', 'komodo', 'singulardtv', 'syscoin',
       'kyber-network', 'adx-net', 'agrello-delta'],
      dtype='object')","Index(['rlc', 'nano', 'loopring', 'steem', '0x', 'crypto-com', 'agoras-tokens',
       'nexus'],
      dtype='object')","Index(['neo', 'dash', 'nem', 'monero', 'neblio', 'stratis', 'enigma', 'zcash'], dtype='object')","Index(['bitcoin-cash', 'litecoin', 'iota', 'cardano', 'eos', 'ethereum',
       'vibe', 'stellar'],
      dtype='object')"
20180128,"Index(['adx-net', 'populous', 'red-pulse', 'wings', 'waves', 'primas',
       'suncontract', 'cvcoin', 'bitcoin'],
      dtype='object')","Index(['nexus', 'agoras-tokens', 'singulardtv', 'komodo', 'district0x',
       'syscoin', 'ark', 'agrello-delta'],
      dtype='object')","Index(['stratis', 'nano', 'loopring', '0x', 'zcash', 'crypto-com',
       'kyber-network', 'factom'],
      dtype='object')","Index(['neo', 'nem', 'dash', 'monero', 'neblio', 'steem', 'enigma', 'rlc'], dtype='object')","Index(['bitcoin-cash', 'litecoin', 'iota', 'eos', 'ethereum', 'cardano',
       'stellar', 'vibe'],
      dtype='object')"
20180209,"Index(['adx-net', 'red-pulse', 'populous', 'primas', 'suncontract',
       'cryptonex', 'cvcoin', 'waves', 'bitcoin'],
      dtype='object')","Index(['streamr-datacoin', 'komodo', 'singulardtv', 'syscoin', 'factom',
       'district0x', 'wings', 'agrello-delta', 'ark'],
      dtype='object')","Index(['crypto-com', 'zcash', 'nano', 'loopring', '0x', 'ripio-credit-network',
       'kyber-network', 'agoras-tokens', 'nexus'],
      dtype='object')","Index(['power-ledger', 'nem', 'dash', 'neblio', 'monero', 'steem', 'enigma',
       'stratis', 'rlc'],
      dtype='object')","Index(['bitcoin-cash', 'litecoin', 'iota', 'ethereum', 'eos', 'cardano',
       'vibe', 'stellar', 'neo'],
      dtype='object')"
20180221,"Index(['ark', 'power-ledger', 'populous', 'waves', 'primas', 'suncontract',
       'dash', 'cryptonex', 'cvcoin', 'bitcoin'],
      dtype='object')","Index(['nexus', 'singulardtv', 'quantstamp', 'syscoin', 'adx-net',
       'district0x', 'agrello-delta', 'factom', 'wings'],
      dtype='object')","Index(['zcash', 'nano', '0x', 'ripio-credit-network', 'agoras-tokens',
       'komodo', 'kyber-network', 'red-pulse', 'streamr-datacoin'],
      dtype='object')","Index(['nem', 'neblio', 'steem', 'monero', 'enigma', 'stratis', 'rlc',
       'crypto-com', 'loopring'],
      dtype='object')","Index(['litecoin', 'bitcoin-cash', 'iota', 'eos', 'ethereum', 'cardano',
       'stellar', 'vibe', 'neo'],
      dtype='object')"
