,Port1,Port2,Port3,Port4,Port5
20171024,"Index(['singulardtv', 'populous', 'rlc', 'wings', 'nano', 'agoras-tokens'], dtype='object')","Index(['nem', 'waves', 'steem', 'ardor', 'nexus', 'factom'], dtype='object')","Index(['ark', 'iota', 'eos', 'stratis', 'syscoin'], dtype='object')","Index(['litecoin', 'monero', 'ethereum', 'dash', 'zcash', 'komodo'], dtype='object')","Index(['stellar', 'adx-net', 'neo', 'bitcoin', 'crypto-com'], dtype='object')"
20171117,"Index(['nexus', 'wings', 'populous', 'rlc', 'suncontract', 'agoras-tokens',
       'nano'],
      dtype='object')","Index(['waves', 'factom', 'steem', 'nem', 'singulardtv', 'ardor'], dtype='object')","Index(['iota', '0x', 'komodo', 'district0x', 'stratis', 'ark', 'syscoin'], dtype='object')","Index(['monero', 'ethereum', 'crypto-com', 'eos', 'zcash', 'adx-net'], dtype='object')","Index(['bitcoin-cash', 'stellar', 'bitcoin', 'litecoin', 'neo', 'dash'], dtype='object')"
20171211,"Index(['populous', 'nano', 'suncontract', 'wings', 'agrello-delta', 'rlc',
       'primas'],
      dtype='object')","Index(['factom', 'loopring', 'ardor', 'singulardtv', 'komodo', 'nexus', '0x'], dtype='object')","Index(['stratis', 'syscoin', 'district0x', 'agoras-tokens', 'waves', 'steem',
       'ark'],
      dtype='object')","Index(['dash', 'neo', 'eos', 'crypto-com', 'monero', 'zcash', 'adx-net'], dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'stellar', 'iota', 'nem', 'litecoin',
       'ethereum'],
      dtype='object')"
20180104,"Index(['wings', 'nexus', 'populous', 'rlc', 'suncontract', 'cvcoin', 'vibe',
       'primas'],
      dtype='object')","Index(['komodo', 'singulardtv', 'ark', 'kyber-network', '0x', 'loopring',
       'neblio', 'agrello-delta'],
      dtype='object')","Index(['steem', 'syscoin', 'agoras-tokens', 'district0x', 'waves', 'ardor',
       'factom', 'adx-net'],
      dtype='object')","Index(['eos', 'dash', 'neo', 'crypto-com', 'monero', 'zcash', 'stratis',
       'nano'],
      dtype='object')","Index(['bitcoin-cash', 'bitcoin', 'stellar', 'cardano', 'litecoin', 'iota',
       'nem', 'ethereum'],
      dtype='object')"
20180128,"Index(['agrello-delta', 'district0x', 'adx-net', 'ark', 'primas', 'wings',
       'suncontract', 'populous', 'cvcoin'],
      dtype='object')","Index(['singulardtv', 'agoras-tokens', '0x', 'factom', 'waves', 'red-pulse',
       'komodo', 'kyber-network'],
      dtype='object')","Index(['enigma', 'zcash', 'steem', 'nano', 'loopring', 'stratis', 'nexus',
       'syscoin'],
      dtype='object')","Index(['nem', 'stellar', 'neblio', 'dash', 'neo', 'monero', 'crypto-com',
       'rlc'],
      dtype='object')","Index(['bitcoin-cash', 'vibe', 'bitcoin', 'cardano', 'litecoin', 'iota',
       'ethereum', 'eos'],
      dtype='object')"
20180221,"Index(['factom', 'district0x', 'wings', 'primas', 'ark', 'populous',
       'suncontract', 'cvcoin', 'cryptonex'],
      dtype='object')","Index(['0x', 'syscoin', 'singulardtv', 'ripio-credit-network', 'komodo',
       'adx-net', 'kyber-network', 'waves', 'agrello-delta'],
      dtype='object')","Index(['nano', 'zcash', 'loopring', 'stratis', 'quantstamp', 'power-ledger',
       'streamr-datacoin', 'red-pulse', 'nexus'],
      dtype='object')","Index(['stellar', 'neblio', 'neo', 'crypto-com', 'monero', 'rlc', 'enigma',
       'dash', 'steem'],
      dtype='object')","Index(['vibe', 'bitcoin', 'bitcoin-cash', 'cardano', 'litecoin', 'iota',
       'ethereum', 'eos', 'nem'],
      dtype='object')"
20180317,"Index(['wings', 'crypto-com', 'primas', 'waves', 'populous', 'ark', 'syscoin',
       'streamr-datacoin', 'cvcoin', 'cryptonex'],
      dtype='object')","Index(['quantstamp', 'ripio-credit-network', 'qash', 'adx-net', 'komodo',
       'kyber-network', 'suncontract', 'factom', 'district0x'],
      dtype='object')","Index(['loopring', 'monero', 'dash', 'zcash', 'time-new-bank', 'stratis', '0x',
       'singulardtv', 'power-ledger', 'agrello-delta'],
      dtype='object')","Index(['cardano', 'nano', 'rlc', 'nem', 'nexus', 'enigma', 'steem',
       'red-pulse', 'iota'],
      dtype='object')","Index(['vibe', 'bitcoin', 'bitcoin-cash', 'eos', 'stellar', 'ethereum',
       'litecoin', 'neblio', 'neo'],
      dtype='object')"
20180410,"Index(['qash', 'enigma', 'stratis', 'quantstamp', 'komodo', 'ark', 'factom',
       'streamr-datacoin', 'cryptonex', 'cvcoin', 'dynamic-trading-rights'],
      dtype='object')","Index(['syscoin', 'ripio-credit-network', 'dash', 'iota', 'kyber-network',
       'crypto-com', 'power-ledger', 'waves', 'nebulas-token', 'populous',
       'nuls'],
      dtype='object')","Index(['neblio', 'agrello-delta', 'suncontract', '0x', 'time-new-bank',
       'zcash', 'adx-net', 'primas', 'wings', 'ormeus-coin', 'loopring'],
      dtype='object')","Index(['cardano', 'wax', 'nexus', 'nem', 'stellar', 'red-pulse', 'steem',
       'district0x', 'sirin-labs-token', 'monero', 'singulardtv'],
      dtype='object')","Index(['vibe', 'eos', 'bitcoin', 'bitcoin-cash', 'litecoin', 'ethereum', 'neo',
       'nano', 'rlc', 'gifto'],
      dtype='object')"
20180504,"Index(['time-new-bank', 'primas', 'stratis', 'qash', 'komodo', 'factom', 'ark',
       'singularitynet', 'cryptonex', 'streamr-datacoin', 'cvcoin', 'maker',
       'dynamic-trading-rights'],
      dtype='object')","Index(['singulardtv', 'waves', 'nebulas-token', 'rlc', 'loopring',
       'ripio-credit-network', 'nuls', 'high-performance-blockchain',
       'power-ledger', 'wings', 'enigma', 'quantstamp'],
      dtype='object')","Index(['vibe', 'suncontract', 'kyber-network', 'agrello-delta', 'bibox-token',
       'ormeus-coin', '0x', 'populous', 'dash', 'syscoin', 'ardor', 'zcash'],
      dtype='object')","Index(['nexus', 'neo', 'red-pulse', 'district0x', 'ignis', 'nem', 'steem',
       'monero', 'sirin-labs-token', 'stellar', 'iota', 'neblio'],
      dtype='object')","Index(['eos', 'bitcoin', 'crypto-com', 'bitcoin-cash', 'litecoin', 'gifto',
       'cardano', 'ethereum', 'nano', 'qlink', 'wax', 'adx-net'],
      dtype='object')"
20180528,"Index(['enigma', 'stratis', 'qash', 'wings', 'factom', 'komodo', 'ark',
       'singularitynet', 'streamr-datacoin', 'cryptonex', 'cvcoin', 'maker',
       'dynamic-trading-rights'],
      dtype='object')","Index(['loopring', 'nuls', 'polymath-network', 'ripio-credit-network',
       'singulardtv', 'high-performance-blockchain', 'quantstamp',
       'power-ledger', 'vibe', 'time-new-bank', 'waves', 'red-pulse', 'wax'],
      dtype='object')","Index(['suncontract', 'kyber-network', 'rlc', 'primas', 'populous',
       'ormeus-coin', 'neblio', 'agrello-delta', 'dash', 'syscoin', 'bottos',
       'nebulas-token', 'ardor'],
      dtype='object')","Index(['district0x', 'ignis', 'litecoin', 'neo', 'nem', 'steem', 'iota', '0x',
       'nano', 'monero', 'stellar', 'sirin-labs-token', 'bibox-token'],
      dtype='object')","Index(['eos', 'crypto-com', 'bitcoin', 'bitcoin-cash', 'ethereum',
       'all-sports', 'cardano', 'qlink', 'gifto', 'nexus', 'adx-net', 'zcash'],
      dtype='object')"
