,Port1,Port2,Port3,Port4,Port5
20170715,"Index(['komodo', 'ardor', 'iota', 'syscoin', 'eos', 'crypto-com'], dtype='object')","Index(['zcash', 'rlc', 'agoras-tokens', 'stratis', 'singulardtv'], dtype='object')","Index(['steem', 'nano', 'waves', 'factom', 'stellar'], dtype='object')","Index(['nexus', 'ethereum', 'wings', 'neo', 'nem'], dtype='object')","Index(['litecoin', 'dash', 'bitcoin', 'monero', 'ark'], dtype='object')"
20170727,"Index(['ethereum', 'zcash', 'litecoin', 'adx-net', 'stellar', 'agoras-tokens'], dtype='object')","Index(['crypto-com', 'singulardtv', 'steem', 'komodo', 'bitcoin', 'nexus'], dtype='object')","Index(['factom', 'wings', 'waves', 'eos', 'ark'], dtype='object')","Index(['ardor', 'nano', 'neo', 'monero', 'nem', 'dash'], dtype='object')","Index(['iota', 'populous', 'stratis', 'syscoin', 'rlc'], dtype='object')"
20170808,"Index(['zcash', 'monero', 'litecoin', 'dash', 'steem', 'eos'], dtype='object')","Index(['adx-net', 'syscoin', 'stellar', 'factom', 'agoras-tokens', 'komodo'], dtype='object')","Index(['singulardtv', 'nexus', 'ardor', 'bitcoin', 'rlc'], dtype='object')","Index(['iota', 'nem', 'crypto-com', 'stratis', 'nano', 'ethereum'], dtype='object')","Index(['neo', 'populous', 'waves', 'wings', 'ark'], dtype='object')"
20170820,"Index(['ardor', 'populous', 'waves', 'steem', 'eos', 'stratis', 'stellar'], dtype='object')","Index(['singulardtv', 'wings', 'zcash', 'litecoin', 'nem', 'syscoin'], dtype='object')","Index(['bitcoin', 'nexus', 'agoras-tokens', 'monero', 'factom', 'ethereum'], dtype='object')","Index(['bitcoin-cash', 'ark', 'iota', 'dash', 'rlc', 'komodo'], dtype='object')","Index(['adx-net', 'crypto-com', 'district0x', 'suncontract', 'nano', 'neo'], dtype='object')"
20170901,"Index(['neo', 'bitcoin-cash', 'populous', 'adx-net', 'cvcoin', 'suncontract',
       'district0x'],
      dtype='object')","Index(['agoras-tokens', 'singulardtv', 'eos', 'rlc', 'iota', 'crypto-com',
       '0x'],
      dtype='object')","Index(['waves', 'zcash', 'komodo', 'bitcoin', 'nano', 'steem', 'ardor'], dtype='object')","Index(['ark', 'factom', 'dash', 'stratis', 'stellar', 'ethereum', 'nem'], dtype='object')","Index(['monero', 'nexus', 'aidos-kuneen', 'syscoin', 'litecoin', 'wings'], dtype='object')"
20170913,"Index(['neo', 'eos', 'adx-net', 'suncontract', 'district0x', 'nano', 'primas'], dtype='object')","Index(['nem', 'litecoin', 'iota', 'stellar', 'zcash', 'factom', '0x'], dtype='object')","Index(['wings', 'populous', 'steem', 'stratis', 'waves', 'crypto-com',
       'ethereum'],
      dtype='object')","Index(['bitcoin', 'dash', 'bitcoin-cash', 'rlc', 'cvcoin', 'agoras-tokens',
       'monero'],
      dtype='object')","Index(['ark', 'syscoin', 'komodo', 'nexus', 'singulardtv', 'aidos-kuneen',
       'ardor'],
      dtype='object')"
20170925,"Index(['neblio', 'agrello-delta', 'litecoin', 'stellar', 'eos', 'populous',
       'syscoin', 'nexus'],
      dtype='object')","Index(['nano', 'ark', 'bitcoin-cash', 'district0x', 'factom', 'monero', '0x',
       'stratis'],
      dtype='object')","Index(['bitcoin', 'iota', 'wings', 'nem', 'aidos-kuneen', 'suncontract',
       'steem'],
      dtype='object')","Index(['primas', 'cvcoin', 'ethereum', 'waves', 'ardor', 'neo', 'rlc',
       'adx-net'],
      dtype='object')","Index(['loopring', 'agoras-tokens', 'singulardtv', 'dash', 'crypto-com',
       'zcash', 'komodo'],
      dtype='object')"
20171007,"Index(['agoras-tokens', 'crypto-com', 'suncontract', 'bitcoin-cash',
       'agrello-delta', 'ark', 'nexus', 'kyber-network'],
      dtype='object')","Index(['wings', 'komodo', 'nem', 'iota', 'dash', 'stratis', 'nano', 'cvcoin'], dtype='object')","Index(['0x', 'factom', 'rlc', 'litecoin', 'syscoin', 'singulardtv', 'monero',
       'primas'],
      dtype='object')","Index(['district0x', 'waves', 'zcash', 'bitcoin', 'steem', 'populous',
       'ethereum', 'eos'],
      dtype='object')","Index(['vibe', 'loopring', 'neblio', 'adx-net', 'stellar', 'ardor', 'neo'], dtype='object')"
20171019,"Index(['neo', 'stratis', 'waves', 'agrello-delta', 'loopring', 'adx-net',
       'kyber-network', 'vibe'],
      dtype='object')","Index(['factom', 'district0x', 'steem', 'rlc', 'iota', 'suncontract', 'primas',
       'wings'],
      dtype='object')","Index(['ethereum', 'monero', 'singulardtv', 'dash', 'komodo', 'bitcoin-cash',
       'eos', 'zcash'],
      dtype='object')","Index(['0x', 'agoras-tokens', 'ardor', 'litecoin', 'crypto-com', 'ark',
       'nexus', 'nem'],
      dtype='object')","Index(['neblio', 'cvcoin', 'stellar', 'cardano', 'populous', 'bitcoin',
       'syscoin', 'nano'],
      dtype='object')"
20171031,"Index(['ardor', 'steem', 'kyber-network', 'ark', 'cvcoin', '0x', 'nexus',
       'enigma', 'vibe'],
      dtype='object')","Index(['litecoin', 'iota', 'primas', 'nem', 'singulardtv', 'loopring',
       'district0x', 'waves'],
      dtype='object')","Index(['agrello-delta', 'neo', 'monero', 'ethereum', 'dash', 'factom', 'nano',
       'wings'],
      dtype='object')","Index(['adx-net', 'populous', 'neblio', 'bitcoin', 'cardano', 'zcash',
       'stellar', 'agoras-tokens'],
      dtype='object')","Index(['rlc', 'suncontract', 'bitcoin-cash', 'syscoin', 'eos', 'stratis',
       'komodo', 'crypto-com'],
      dtype='object')"
20171112,"Index(['steem', 'district0x', 'komodo', 'red-pulse', 'cardano', 'wings', 'rlc',
       'crypto-com', 'neblio'],
      dtype='object')","Index(['syscoin', 'nem', 'nexus', 'ethereum', 'loopring', 'neo', 'bitcoin',
       'stratis'],
      dtype='object')","Index(['stellar', 'litecoin', 'nano', 'ardor', 'zcash', 'cvcoin', 'adx-net',
       'singulardtv', 'agoras-tokens'],
      dtype='object')","Index(['primas', 'waves', 'dash', 'kyber-network', 'ark', 'enigma',
       'suncontract', '0x'],
      dtype='object')","Index(['bitcoin-cash', 'populous', 'iota', 'eos', 'vibe', 'agrello-delta',
       'factom', 'monero'],
      dtype='object')"
