,Port1,Port2,Port3,Port4,Port5
20170808,"Index(['litecoin', 'agoras-tokens', 'zcash', 'steem', 'eos', 'komodo'], dtype='object')","Index(['ardor', 'syscoin', 'factom', 'dash', 'singulardtv'], dtype='object')","Index(['rlc', 'stellar', 'crypto-com', 'monero', 'ethereum'], dtype='object')","Index(['iota', 'waves', 'nano', 'bitcoin', 'nexus'], dtype='object')","Index(['neo', 'nem', 'stratis', 'wings', 'ark'], dtype='object')"
20170823,"Index(['singulardtv', 'stellar', 'ardor', 'syscoin', 'steem', 'eos'], dtype='object')","Index(['rlc', 'zcash', 'komodo', 'litecoin', 'factom', 'stratis'], dtype='object')","Index(['dash', 'wings', 'ethereum', 'waves', 'agoras-tokens'], dtype='object')","Index(['nano', 'monero', 'populous', 'nexus', 'nem', 'bitcoin'], dtype='object')","Index(['crypto-com', 'adx-net', 'neo', 'iota', 'ark'], dtype='object')"
20170907,"Index(['agoras-tokens', 'zcash', 'waves', 'stellar', 'stratis', 'populous',
       'eos'],
      dtype='object')","Index(['rlc', 'steem', 'ethereum', 'nem', 'ardor', 'singulardtv'], dtype='object')","Index(['litecoin', 'iota', 'bitcoin', 'factom', 'wings', 'neo'], dtype='object')","Index(['nano', 'syscoin', 'suncontract', 'monero', 'bitcoin-cash', 'dash'], dtype='object')","Index(['adx-net', 'crypto-com', 'ark', 'komodo', 'district0x', 'nexus'], dtype='object')"
20170922,"Index(['stellar', 'suncontract', '0x', 'adx-net', 'neo', 'eos', 'district0x'], dtype='object')","Index(['populous', 'stratis', 'bitcoin-cash', 'factom', 'cvcoin', 'iota',
       'nano'],
      dtype='object')","Index(['nem', 'ethereum', 'steem', 'waves', 'rlc', 'zcash', 'crypto-com'], dtype='object')","Index(['monero', 'agoras-tokens', 'wings', 'litecoin', 'bitcoin',
       'aidos-kuneen', 'ardor'],
      dtype='object')","Index(['nexus', 'ark', 'singulardtv', 'syscoin', 'komodo', 'dash'], dtype='object')"
20171007,"Index(['nano', 'stratis', 'suncontract', 'bitcoin-cash', 'komodo', 'syscoin',
       'nexus'],
      dtype='object')","Index(['populous', 'crypto-com', 'litecoin', '0x', 'district0x', 'factom',
       'eos'],
      dtype='object')","Index(['cvcoin', 'agoras-tokens', 'iota', 'steem', 'monero', 'wings', 'nem'], dtype='object')","Index(['waves', 'ark', 'rlc', 'bitcoin', 'ethereum', 'stellar', 'dash'], dtype='object')","Index(['loopring', 'adx-net', 'primas', 'ardor', 'singulardtv', 'neo',
       'zcash'],
      dtype='object')"
20171022,"Index(['bitcoin-cash', 'wings', 'iota', 'stratis', 'singulardtv',
       'suncontract', 'agrello-delta', 'nexus'],
      dtype='object')","Index(['steem', 'rlc', 'waves', 'eos', 'agoras-tokens', 'ark', 'dash'], dtype='object')","Index(['0x', 'primas', 'zcash', 'crypto-com', 'komodo', 'nem', 'monero',
       'factom'],
      dtype='object')","Index(['neo', 'nano', 'cvcoin', 'litecoin', 'populous', 'syscoin', 'ethereum'], dtype='object')","Index(['loopring', 'stellar', 'neblio', 'ardor', 'bitcoin', 'adx-net',
       'district0x'],
      dtype='object')"
20171106,"Index(['wings', 'nexus', 'adx-net', 'waves', 'iota', 'agrello-delta', 'vibe',
       'kyber-network'],
      dtype='object')","Index(['district0x', 'primas', 'stratis', 'factom', 'crypto-com', 'neo',
       'steem', 'loopring'],
      dtype='object')","Index(['ethereum', 'monero', '0x', 'ark', 'suncontract', 'zcash', 'dash',
       'nem'],
      dtype='object')","Index(['komodo', 'nano', 'singulardtv', 'agoras-tokens', 'rlc', 'litecoin',
       'ardor', 'cardano'],
      dtype='object')","Index(['cvcoin', 'eos', 'neblio', 'bitcoin-cash', 'bitcoin', 'populous',
       'syscoin', 'stellar'],
      dtype='object')"
20171121,"Index(['0x', 'singulardtv', 'enigma', 'nexus', 'steem', 'vibe', 'neblio',
       'district0x', 'crypto-com'],
      dtype='object')","Index(['syscoin', 'primas', 'stratis', 'wings', 'cardano', 'kyber-network',
       'agrello-delta', 'nem'],
      dtype='object')","Index(['loopring', 'nano', 'ethereum', 'neo', 'stellar', 'agoras-tokens',
       'ark', 'rlc'],
      dtype='object')","Index(['waves', 'zcash', 'bitcoin', 'komodo', 'adx-net', 'ardor', 'factom',
       'litecoin'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'populous', 'iota', 'suncontract', 'dash',
       'cvcoin', 'monero'],
      dtype='object')"
20171206,"Index(['district0x', 'vibe', 'komodo', 'rlc', '0x', 'neblio', 'primas',
       'red-pulse', 'singulardtv'],
      dtype='object')","Index(['nem', 'factom', 'kyber-network', 'ethereum', 'adx-net', 'neo',
       'cvcoin', 'streamr-datacoin', 'zcash'],
      dtype='object')","Index(['nexus', 'litecoin', 'wings', 'ark', 'enigma', 'loopring',
       'agrello-delta', 'steem', 'bitcoin'],
      dtype='object')","Index(['power-ledger', 'ardor', 'dash', 'monero', 'bitcoin-cash', 'stratis',
       'crypto-com', 'syscoin', 'waves'],
      dtype='object')","Index(['iota', 'suncontract', 'cardano', 'eos', 'stellar', 'nano', 'populous',
       'agoras-tokens'],
      dtype='object')"
20171221,"Index(['bitcoin', 'wings', 'loopring', 'power-ledger', 'agrello-delta', 'rlc',
       'adx-net', 'neblio', 'singulardtv', 'cvcoin'],
      dtype='object')","Index(['ripio-credit-network', 'kyber-network', 'ark', 'zcash', 'primas',
       'ethereum', 'factom', 'neo', 'district0x'],
      dtype='object')","Index(['komodo', 'crypto-com', 'stratis', 'dash', '0x', 'waves', 'syscoin',
       'vibe', 'enigma'],
      dtype='object')","Index(['ardor', 'populous', 'nexus', 'steem', 'cryptonex', 'red-pulse',
       'streamr-datacoin', 'bitcoin-cash', 'monero'],
      dtype='object')","Index(['nano', 'cardano', 'stellar', 'eos', 'iota', 'suncontract',
       'agoras-tokens', 'nem', 'litecoin'],
      dtype='object')"
