,Port1,Port2,Port3,Port4,Port5
20170802,"Index(['nano', 'zcash', 'litecoin', 'adx-net', 'agoras-tokens', 'stellar'], dtype='object')","Index(['steem', 'dash', 'komodo', 'nexus', 'singulardtv', 'crypto-com'], dtype='object')","Index(['monero', 'eos', 'rlc', 'bitcoin', 'ethereum'], dtype='object')","Index(['ark', 'nem', 'neo', 'waves', 'factom', 'wings'], dtype='object')","Index(['populous', 'stratis', 'iota', 'ardor', 'syscoin'], dtype='object')"
20170826,"Index(['singulardtv', 'syscoin', 'wings', 'stellar', 'populous', 'stratis',
       'eos'],
      dtype='object')","Index(['litecoin', 'steem', 'nem', 'waves', 'zcash', 'ardor'], dtype='object')","Index(['bitcoin', 'komodo', 'nexus', 'rlc', 'ethereum', 'agoras-tokens'], dtype='object')","Index(['monero', 'ark', 'bitcoin-cash', 'iota', 'dash', 'factom'], dtype='object')","Index(['adx-net', 'crypto-com', 'district0x', 'suncontract', 'nano', 'neo'], dtype='object')"
20170919,"Index(['0x', 'stellar', 'eos', 'suncontract', 'nano', 'district0x', 'primas'], dtype='object')","Index(['stratis', 'monero', 'neo', 'litecoin', 'adx-net', 'zcash', 'factom'], dtype='object')","Index(['steem', 'crypto-com', 'ethereum', 'waves', 'iota', 'nem'], dtype='object')","Index(['dash', 'bitcoin', 'populous', 'ardor', 'rlc', 'bitcoin-cash', 'wings'], dtype='object')","Index(['komodo', 'ark', 'singulardtv', 'nexus', 'syscoin', 'agoras-tokens'], dtype='object')"
20171013,"Index(['singulardtv', 'iota', 'stratis', 'bitcoin-cash', 'cvcoin',
       'agoras-tokens', 'agrello-delta', 'kyber-network'],
      dtype='object')","Index(['komodo', 'nem', 'waves', 'crypto-com', 'dash', 'ark', 'nexus',
       'suncontract'],
      dtype='object')","Index(['factom', 'district0x', 'steem', 'monero', 'nano', 'primas', 'wings',
       'rlc'],
      dtype='object')","Index(['populous', 'litecoin', 'neo', 'ethereum', 'eos', 'zcash', 'syscoin',
       '0x'],
      dtype='object')","Index(['vibe', 'loopring', 'ardor', 'neblio', 'stellar', 'adx-net', 'bitcoin'], dtype='object')"
20171106,"Index(['iota', 'steem', '0x', 'enigma', 'cardano', 'crypto-com', 'nexus',
       'agrello-delta', 'district0x'],
      dtype='object')","Index(['factom', 'kyber-network', 'waves', 'loopring', 'stellar', 'ark',
       'wings', 'nem'],
      dtype='object')","Index(['ethereum', 'primas', 'dash', 'neo', 'neblio', 'litecoin', 'nano',
       'ardor'],
      dtype='object')","Index(['agoras-tokens', 'syscoin', 'suncontract', 'adx-net', 'vibe', 'stratis',
       'zcash', 'monero'],
      dtype='object')","Index(['eos', 'bitcoin-cash', 'cvcoin', 'komodo', 'bitcoin', 'populous',
       'singulardtv', 'rlc'],
      dtype='object')"
20171130,"Index(['zcash', 'rlc', '0x', 'kyber-network', 'ripio-credit-network',
       'bitcoin-cash', 'singulardtv', 'red-pulse', 'primas', 'neblio'],
      dtype='object')","Index(['enigma', 'factom', 'nem', 'vibe', 'neo', 'district0x', 'steem', 'ark',
       'crypto-com'],
      dtype='object')","Index(['loopring', 'wings', 'monero', 'nexus', 'komodo', 'agrello-delta',
       'syscoin', 'dash', 'adx-net'],
      dtype='object')","Index(['agoras-tokens', 'bitcoin', 'nano', 'ardor', 'populous', 'litecoin',
       'streamr-datacoin', 'waves', 'ethereum'],
      dtype='object')","Index(['cardano', 'power-ledger', 'suncontract', 'eos', 'cryptonex', 'stellar',
       'iota', 'cvcoin', 'stratis'],
      dtype='object')"
20171224,"Index(['adx-net', 'singulardtv', 'loopring', 'suncontract', 'streamr-datacoin',
       'cryptonex', 'bitcoin', 'qash', 'iota', 'cvcoin'],
      dtype='object')","Index(['ripio-credit-network', 'ark', 'power-ledger', 'stellar', 'crypto-com',
       'syscoin', 'kyber-network', 'rlc', 'wings', 'monero'],
      dtype='object')","Index(['eos', 'neblio', 'dash', 'quantstamp', 'zcash', 'stratis', 'waves',
       'ethereum', 'neo', 'factom'],
      dtype='object')","Index(['agoras-tokens', '0x', 'steem', 'bitcoin-cash', 'populous', 'primas',
       'nexus', 'enigma', 'district0x', 'agrello-delta'],
      dtype='object')","Index(['nano', 'red-pulse', 'komodo', 'vibe', 'cardano', 'nem', 'ardor',
       'litecoin', 'time-new-bank'],
      dtype='object')"
20180117,"Index(['wings', 'crypto-com', 'iota', 'adx-net', 'dash', 'bitcoin-cash',
       'ripio-credit-network', 'waves', 'agoras-tokens', 'primas', 'komodo'],
      dtype='object')","Index(['zcash', 'populous', 'streamr-datacoin', 'factom', 'cardano', 'ardor',
       'monero', 'bitcoin', 'litecoin', 'ark', 'syscoin'],
      dtype='object')","Index(['stellar', 'cryptonex', 'nano', 'eos', 'stratis', 'singulardtv', 'nem',
       'red-pulse', 'power-ledger', 'wax', 'time-new-bank'],
      dtype='object')","Index(['rlc', 'quantstamp', 'kyber-network', 'suncontract', 'agrello-delta',
       'nebulas-token', 'enigma', 'ethereum', 'steem', 'ormeus-coin',
       'district0x'],
      dtype='object')","Index(['vibe', 'neblio', 'dynamic-trading-rights', 'loopring', '0x', 'cvcoin',
       'neo', 'qash', 'nuls', 'nexus'],
      dtype='object')"
20180210,"Index(['singulardtv', 'rlc', 'district0x', 'streamr-datacoin', 'cvcoin',
       'time-new-bank', 'ardor', 'vibe', 'agrello-delta', 'primas', 'wax',
       'sirin-labs-token'],
      dtype='object')","Index(['populous', 'wings', 'adx-net', 'ripio-credit-network', 'stratis',
       'qlink', 'neblio', 'red-pulse', 'gifto', 'nexus', 'nem', 'factom'],
      dtype='object')","Index(['maker', '0x', 'ark', 'ormeus-coin', 'nano', 'komodo', 'power-ledger',
       'nuls', 'loopring', 'cardano', 'qash', 'crypto-com'],
      dtype='object')","Index(['bibox-token', 'stellar', 'bitcoin-cash', 'bitcoin', 'cryptonex',
       'iota', 'quantstamp', 'suncontract', 'enigma', 'eos',
       'dynamic-trading-rights', 'waves'],
      dtype='object')","Index(['agoras-tokens', 'high-performance-blockchain', 'zcash', 'steem',
       'kyber-network', 'neo', 'nebulas-token', 'litecoin', 'ethereum',
       'syscoin', 'monero', 'dash'],
      dtype='object')"
20180306,"Index(['populous', 'ignis', 'vibe', 'power-ledger', 'qlink', 'wax',
       'red-pulse', 'sirin-labs-token', 'coinmeet', 'gifto', 'nem',
       'time-new-bank', 'all-sports'],
      dtype='object')","Index(['stellar', 'loopring', 'steem', 'bibox-token', 'ardor',
       'ripio-credit-network', 'singulardtv', 'streamr-datacoin', 'cardano',
       'quantstamp', 'agrello-delta', 'kyber-network', '0x'],
      dtype='object')","Index(['ormeus-coin', 'stratis', 'maker', 'qash', 'bottos', 'ark',
       'polymath-network', 'bitcoin-cash', 'zcash', 'komodo', 'eos',
       'high-performance-blockchain', 'enigma'],
      dtype='object')","Index(['rlc', 'wings', 'litecoin', 'ethereum', 'iota', 'neblio', 'adx-net',
       'dash', 'district0x', 'neo', 'dynamic-trading-rights', 'nebulas-token',
       'waves'],
      dtype='object')","Index(['nano', 'nexus', 'monero', 'nuls', 'bitcoin', 'factom', 'cryptonex',
       'syscoin', 'cvcoin', 'suncontract', 'singularitynet', 'primas',
       'crypto-com'],
      dtype='object')"
