,Port1,Port2,Port3,Port4,Port5
20170714,"Index(['komodo', 'adx-net', 'syscoin', 'nano', 'eos', 'crypto-com'], dtype='object')","Index(['steem', 'zcash', 'factom', 'agoras-tokens', 'nexus'], dtype='object')","Index(['ardor', 'stratis', 'ark', 'waves', 'iota', 'nem'], dtype='object')","Index(['stellar', 'dash', 'monero', 'ethereum', 'singulardtv'], dtype='object')","Index(['wings', 'litecoin', 'neo', 'rlc', 'bitcoin'], dtype='object')"
20170801,"Index(['adx-net', 'singulardtv', 'stellar', 'wings', 'factom', 'nano'], dtype='object')","Index(['nexus', 'agoras-tokens', 'steem', 'crypto-com', 'rlc', 'dash'], dtype='object')","Index(['monero', 'syscoin', 'zcash', 'komodo', 'waves'], dtype='object')","Index(['litecoin', 'ark', 'iota', 'neo', 'ethereum', 'ardor'], dtype='object')","Index(['populous', 'bitcoin', 'eos', 'nem', 'stratis'], dtype='object')"
20170819,"Index(['ardor', 'rlc', 'stellar', 'stratis', 'steem', 'singulardtv', 'komodo'], dtype='object')","Index(['zcash', 'populous', 'syscoin', 'nem', 'agoras-tokens', 'eos', 'waves'], dtype='object')","Index(['neo', 'cvcoin', 'litecoin', 'nexus', 'ethereum', 'monero', 'wings'], dtype='object')","Index(['ark', 'nano', '0x', 'iota', 'factom', 'dash', 'bitcoin'], dtype='object')","Index(['aidos-kuneen', 'adx-net', 'suncontract', 'crypto-com', 'bitcoin-cash',
       'district0x'],
      dtype='object')"
20170906,"Index(['iota', 'neo', 'cvcoin', 'loopring', 'adx-net', 'district0x',
       'crypto-com', 'primas'],
      dtype='object')","Index(['factom', 'ethereum', 'stratis', 'agoras-tokens', 'nano', 'eos', '0x'], dtype='object')","Index(['monero', 'waves', 'dash', 'stellar', 'nexus', 'suncontract', 'zcash'], dtype='object')","Index(['nem', 'wings', 'ardor', 'bitcoin', 'bitcoin-cash', 'steem', 'rlc'], dtype='object')","Index(['komodo', 'syscoin', 'litecoin', 'ark', 'singulardtv', 'populous',
       'aidos-kuneen'],
      dtype='object')"
20170924,"Index(['0x', 'wings', 'district0x', 'eos', 'aidos-kuneen', 'syscoin', 'neblio',
       'nexus'],
      dtype='object')","Index(['neo', 'factom', 'steem', 'populous', 'monero', 'stratis', 'ark',
       'nano'],
      dtype='object')","Index(['bitcoin', 'primas', 'agrello-delta', 'singulardtv', 'komodo',
       'bitcoin-cash', 'litecoin'],
      dtype='object')","Index(['ardor', 'iota', 'nem', 'dash', 'waves', 'stellar', 'adx-net',
       'suncontract'],
      dtype='object')","Index(['cvcoin', 'loopring', 'zcash', 'crypto-com', 'agoras-tokens',
       'ethereum', 'rlc'],
      dtype='object')"
20171012,"Index(['waves', 'adx-net', 'loopring', 'kyber-network', 'district0x',
       'agoras-tokens', 'neblio', 'agrello-delta'],
      dtype='object')","Index(['neo', 'zcash', 'factom', 'wings', 'singulardtv', 'rlc', 'iota',
       'bitcoin-cash'],
      dtype='object')","Index(['eos', 'stratis', 'litecoin', 'primas', 'dash', 'monero', 'komodo',
       'steem'],
      dtype='object')","Index(['nano', 'cardano', 'ethereum', 'ark', 'nexus', 'cvcoin', 'nem',
       'syscoin'],
      dtype='object')","Index(['stellar', '0x', 'bitcoin', 'crypto-com', 'populous', 'ardor',
       'suncontract', 'vibe'],
      dtype='object')"
20171030,"Index(['ark', 'factom', 'waves', 'primas', 'neblio', 'stellar', 'vibe',
       'district0x', 'nebulas-token'],
      dtype='object')","Index(['cvcoin', 'nexus', '0x', 'kyber-network', 'nem', 'neo', 'dash',
       'loopring'],
      dtype='object')","Index(['wings', 'ethereum', 'steem', 'enigma', 'iota', 'monero', 'litecoin',
       'bitcoin', 'ardor'],
      dtype='object')","Index(['zcash', 'crypto-com', 'cardano', 'singulardtv', 'nano', 'adx-net',
       'agoras-tokens', 'populous'],
      dtype='object')","Index(['suncontract', 'rlc', 'bitcoin-cash', 'eos', 'syscoin', 'komodo',
       'stratis', 'agrello-delta'],
      dtype='object')"
20171117,"Index(['primas', 'kyber-network', 'nexus', 'loopring', 'ripio-credit-network',
       'enigma', 'bitcoin-cash', 'streamr-datacoin', 'singulardtv',
       'agrello-delta'],
      dtype='object')","Index(['cvcoin', 'nem', 'neo', 'neblio', 'syscoin', 'adx-net', '0x',
       'crypto-com', 'district0x'],
      dtype='object')","Index(['ark', 'ardor', 'steem', 'komodo', 'rlc', 'stratis', 'red-pulse',
       'cardano', 'vibe'],
      dtype='object')","Index(['litecoin', 'dash', 'agoras-tokens', 'stellar', 'waves', 'monero',
       'cryptonex', 'ethereum', 'factom'],
      dtype='object')","Index(['iota', 'eos', 'populous', 'power-ledger', 'nano', 'wings',
       'suncontract', 'zcash', 'bitcoin'],
      dtype='object')"
20171205,"Index(['monero', 'bitcoin-cash', 'rlc', 'factom', 'streamr-datacoin', '0x',
       'ethereum', 'red-pulse', 'zcash', 'agrello-delta'],
      dtype='object')","Index(['vibe', 'district0x', 'neo', 'cvcoin', 'singulardtv', 'wings',
       'litecoin', 'kyber-network', 'komodo', 'quantstamp'],
      dtype='object')","Index(['qash', 'adx-net', 'power-ledger', 'stratis', 'bitcoin', 'nem',
       'cardano', 'ripio-credit-network', 'primas', 'waves'],
      dtype='object')","Index(['loopring', 'nexus', 'time-new-bank', 'syscoin', 'steem', 'populous',
       'neblio', 'ark', 'dash', 'stellar'],
      dtype='object')","Index(['suncontract', 'crypto-com', 'agoras-tokens', 'iota', 'nano', 'ardor',
       'cryptonex', 'enigma', 'eos'],
      dtype='object')"
20171223,"Index(['litecoin', 'ripio-credit-network', 'nexus', 'cryptonex', 'quantstamp',
       'populous', 'bitcoin', 'streamr-datacoin', 'qash', 'cvcoin'],
      dtype='object')","Index(['cardano', 'iota', 'nuls', 'ethereum', 'agrello-delta', 'waves', 'eos',
       'stratis', 'stellar', 'crypto-com'],
      dtype='object')","Index(['district0x', 'neo', 'singulardtv', 'syscoin', 'primas', 'rlc',
       'monero', 'loopring', 'factom', 'suncontract'],
      dtype='object')","Index(['0x', 'nem', 'kyber-network', 'adx-net', 'wings', 'ark', 'dash',
       'ardor', 'zcash', 'time-new-bank'],
      dtype='object')","Index(['komodo', 'agoras-tokens', 'red-pulse', 'nano', 'vibe', 'neblio',
       'bitcoin-cash', 'steem', 'enigma', 'power-ledger'],
      dtype='object')"
20180110,"Index(['power-ledger', 'bitcoin', 'eos', 'streamr-datacoin', 'bitcoin-cash',
       'komodo', 'nem', 'iota', 'ardor', 'cardano', 'steem', 'stellar'],
      dtype='object')","Index(['stratis', 'ripio-credit-network', 'ormeus-coin', 'agoras-tokens',
       'crypto-com', 'factom', 'populous', 'litecoin', 'monero', 'waves',
       'dash'],
      dtype='object')","Index(['ark', 'primas', 'singulardtv', 'zcash', 'neo', 'rlc', 'nano', 'gifto',
       'adx-net', 'cryptonex', 'syscoin'],
      dtype='object')","Index(['time-new-bank', 'district0x', 'qash', 'vibe', 'kyber-network',
       'red-pulse', 'wings', 'agrello-delta', 'ethereum', 'quantstamp',
       'enigma'],
      dtype='object')","Index(['neblio', 'loopring', 'dynamic-trading-rights', 'cvcoin', 'wax',
       'nexus', 'nebulas-token', '0x', 'nuls', 'suncontract',
       'sirin-labs-token'],
      dtype='object')"
20180128,"Index(['high-performance-blockchain', 'streamr-datacoin', 'bitcoin-cash',
       'qash', 'maker', 'ardor', 'iota', 'wax', 'ormeus-coin', 'cvcoin',
       'neblio', 'vibe'],
      dtype='object')","Index(['power-ledger', 'suncontract', 'qlink', 'red-pulse', 'litecoin',
       'quantstamp', 'factom', 'dash', 'monero', 'district0x', 'zcash',
       'dynamic-trading-rights'],
      dtype='object')","Index(['loopring', 'kyber-network', 'wings', 'syscoin', 'sirin-labs-token',
       'cardano', 'nem', 'enigma', 'bitcoin', 'crypto-com', 'bibox-token',
       'komodo'],
      dtype='object')","Index(['ark', 'waves', 'stratis', 'nexus', 'singulardtv', 'neo', 'eos', 'nuls',
       'adx-net', 'ethereum', 'agrello-delta', 'gifto'],
      dtype='object')","Index(['cryptonex', 'primas', 'populous', 'stellar', 'agoras-tokens', 'steem',
       '0x', 'ripio-credit-network', 'time-new-bank', 'rlc', 'nebulas-token',
       'nano'],
      dtype='object')"
20180215,"Index(['suncontract', 'ormeus-coin', '0x', 'dynamic-trading-rights',
       'singularitynet', 'singulardtv', 'quantstamp', 'vibe', 'nuls',
       'kyber-network', 'nexus', 'nano', 'populous'],
      dtype='object')","Index(['streamr-datacoin', 'ripio-credit-network', 'neo', 'agoras-tokens',
       'cryptonex', 'time-new-bank', 'wax', 'loopring', 'primas',
       'bibox-token', 'bitcoin-cash', 'high-performance-blockchain', 'nem'],
      dtype='object')","Index(['gifto', 'bitcoin', 'iota', 'komodo', 'qash', 'monero', 'ethereum',
       'steem', 'dash', 'maker', 'zcash', 'cardano', 'rlc'],
      dtype='object')","Index(['sirin-labs-token', 'adx-net', 'cvcoin', 'factom', 'syscoin', 'wings',
       'power-ledger', 'eos', 'ardor', 'ark', 'waves', 'coinmeet',
       'nebulas-token'],
      dtype='object')","Index(['litecoin', 'all-sports', 'district0x', 'qlink', 'red-pulse', 'neblio',
       'polymath-network', 'enigma', 'stratis', 'agrello-delta', 'ignis',
       'stellar', 'crypto-com'],
      dtype='object')"
20180305,"Index(['all-sports', 'singularitynet', 'quantstamp', 'coinmeet', '0x', 'neo',
       'cardano', 'nem', 'ignis', 'qlink', 'loopring', 'agrello-delta',
       'polymath-network'],
      dtype='object')","Index(['vibe', 'ripio-credit-network', 'qash', 'bottos', 'nebulas-token',
       'singulardtv', 'maker', 'red-pulse', 'adx-net', 'kyber-network',
       'bibox-token', 'time-new-bank', 'sirin-labs-token'],
      dtype='object')","Index(['dash', 'high-performance-blockchain', 'ethereum', 'stellar',
       'streamr-datacoin', 'wax', 'dynamic-trading-rights', 'steem',
       'populous', 'ardor', 'gifto', 'power-ledger', 'litecoin'],
      dtype='object')","Index(['factom', 'stratis', 'syscoin', 'nano', 'cryptonex', 'wings', 'rlc',
       'bitcoin-cash', 'waves', 'enigma', 'iota', 'zcash', 'eos'],
      dtype='object')","Index(['nexus', 'suncontract', 'crypto-com', 'district0x', 'monero', 'cvcoin',
       'nuls', 'neblio', 'ormeus-coin', 'primas', 'bitcoin', 'komodo', 'ark'],
      dtype='object')"
20180323,"Index(['maker', 'populous', 'factom', 'neblio', 'nano', 'primas',
       'ormeus-coin', 'singularitynet', 'streamr-datacoin', 'ethereum', 'nem',
       'ontology', 'truechain', 'sirin-labs-token', 'atn'],
      dtype='object')","Index(['power-ledger', 'ripio-credit-network', 'wings', 'rlc', 'nexus',
       'crypto-com', 'polymath-network', 'singulardtv', 'litecoin', 'monero',
       'all-sports', 'ignis', 'qlink', 'dash', 'waves'],
      dtype='object')","Index(['komodo', 'gifto', 'syscoin', 'zcash', 'ren', 'steem', 'bitcoin',
       'adx-net', 'quantstamp', 'bitcoin-cash', 'suncontract', 'neo', 'fusion',
       'ardor', 'ark'],
      dtype='object')","Index(['0x', 'bottos', 'agrello-delta', 'stratis', 'district0x', 'wax',
       'coinmeet', 'vibe', 'cvcoin', 'high-performance-blockchain',
       'red-pulse', 'nuls', 'stellar', 'dynamic-trading-rights', 'cryptonex'],
      dtype='object')","Index(['crpt', 'bibox-token', 'time-new-bank', 'eos', 'loopring',
       'loom-network', 'credits', 'enigma', 'qash', 'iota', 'nebulas-token',
       'ravencoin', 'kyber-network', 'cardano'],
      dtype='object')"
20180410,"Index(['zcash', 'komodo', 'waves', 'litecoin', 'qash', 'crpt', 'bottos',
       'stellar', 'all-sports', 'atn', 'truechain', 'ormeus-coin', 'qlink',
       'nano', 'credits', 'mithril'],
      dtype='object')","Index(['iota', 'primas', 'dynamic-trading-rights', 'cardano', 'steem',
       'stratis', 'monero', 'nem', 'ark', 'dash', 'vibe', 'crypto-com',
       'ardor', 'populous', 'power-ledger'],
      dtype='object')","Index(['quantstamp', 'factom', 'adx-net', 'agrello-delta', 'gifto', '0x',
       'rlc', 'bitcoin', 'red-pulse', 'nebulas-token', 'nuls', 'enigma',
       'bitcoin-cash', 'syscoin', 'cvcoin'],
      dtype='object')","Index(['nexus', 'wax', 'district0x', 'wings', 'singularitynet',
       'time-new-bank', 'ignis', 'eos', 'ethereum', 'ruff', 'kyber-network',
       'matrix-ai-network', 'cryptonex', 'neblio', 'bibox-token'],
      dtype='object')","Index(['ontology', 'fusion', 'streamr-datacoin', 'high-performance-blockchain',
       'suncontract', 'polymath-network', 'sirin-labs-token',
       'ripio-credit-network', 'loom-network', 'singulardtv', 'ravencoin',
       'loopring', 'maker', 'neo', 'ren'],
      dtype='object')"
20180428,"Index(['ignis', 'nano', 'neo', 'monero', 'ren', 'komodo', 'suncontract',
       'factom', 'crypto-com', 'singularitynet', 'primas', 'ravencoin', 'crpt',
       'populous', 'cvcoin', 'ormeus-coin', 'adx-net'],
      dtype='object')","Index(['wax', 'ripio-credit-network', 'ardor', 'rlc', 'singulardtv', 'bitcoin',
       'red-pulse', 'nem', 'high-performance-blockchain', 'cryptonex',
       'cardano', 'iota', 'enigma', 'litecoin', 'qash', 'streamr-datacoin'],
      dtype='object')","Index(['quantstamp', 'agrello-delta', 'ethereum', 'time-new-bank', 'waves',
       'neblio', 'dash', 'polymath-network', 'educare', 'zcash', 'stellar',
       'stratis', 'nexus', 'loom-network', 'loopring', 'wings'],
      dtype='object')","Index(['sirin-labs-token', 'atn', '0x', 'vibe', 'credits', 'qlink',
       'bitcoin-cash', 'bibox-token', 'ruff', 'fusion', 'matrix-ai-network',
       'ark', 'district0x', 'maker', 'stakenet', 'power-ledger'],
      dtype='object')","Index(['mixin', 'gifto', 'odem', 'truechain', 'kyber-network', 'eos', 'steem',
       'mithril', 'ontology', 'all-sports', 'nuls', 'dynamic-trading-rights',
       'syscoin', 'cortex', 'nebulas-token', 'bottos'],
      dtype='object')"
20180516,"Index(['neo', 'neblio', 'bnktothefuture', 'qash', 'atn', 'bitcoin-cash',
       'red-pulse', 'mithril', 'cardano', 'mixin', 'nano', 'syscoin',
       'suncontract', 'matrix-ai-network', 'eos', 'all-sports', 'nexo'],
      dtype='object')","Index(['ardor', 'loopring', 'wings', 'adx-net', '0x', 'factom', 'steem',
       'singulardtv', 'singularitynet', 'ruff', 'loom-network', 'stratis',
       'sirin-labs-token', 'nebulas-token', 'district0x', 'nexus', 'ignis'],
      dtype='object')","Index(['qlink', 'bibox-token', 'quantstamp', 'ontology', 'cortex', 'litecoin',
       'nem', 'ormeus-coin', 'time-new-bank', 'ripio-credit-network',
       'dynamic-trading-rights', 'cryptonex', 'cvcoin', 'kyber-network',
       'iota', 'vibe'],
      dtype='object')","Index(['crypto-com', 'ark', 'dash', 'bottos', 'ethereum', 'stellar', 'educare',
       'komodo', 'gifto', 'waves', 'wax', 'ravencoin', 'bitcoin', 'populous',
       'high-performance-blockchain', 'maker', 'monero'],
      dtype='object')","Index(['primas', 'crpt', 'truechain', 'zcash', 'nuls', 'streamr-datacoin',
       'polymath-network', 'ren', 'fusion', 'rlc', 'odem', 'credits',
       'power-ledger', 'stakenet', 'agrello-delta', 'enigma'],
      dtype='object')"
