,Port1,Port2,Port3,Port4,Port5
20170705,"Index(['singulardtv', 'iota', 'ark', 'rlc', 'stellar', 'wings'], dtype='object')","Index(['steem', 'crypto-com', 'ethereum', 'waves', 'eos'], dtype='object')","Index(['syscoin', 'stratis', 'monero', 'bitcoin', 'zcash'], dtype='object')","Index(['dash', 'komodo', 'ardor', 'factom', 'nem'], dtype='object')","Index(['neo', 'agoras-tokens', 'litecoin', 'nano', 'nexus'], dtype='object')"
20170714,"Index(['komodo', 'syscoin', 'ardor', 'eos', 'crypto-com', 'nano'], dtype='object')","Index(['rlc', 'factom', 'stratis', 'zcash', 'stellar'], dtype='object')","Index(['ethereum', 'singulardtv', 'steem', 'adx-net', 'neo', 'iota'], dtype='object')","Index(['wings', 'monero', 'ark', 'nem', 'waves'], dtype='object')","Index(['agoras-tokens', 'litecoin', 'bitcoin', 'nexus', 'dash'], dtype='object')"
20170723,"Index(['zcash', 'populous', 'eos', 'nano', 'adx-net', 'crypto-com'], dtype='object')","Index(['ardor', 'komodo', 'rlc', 'stellar', 'singulardtv', 'ethereum'], dtype='object')","Index(['monero', 'nexus', 'syscoin', 'factom', 'iota'], dtype='object')","Index(['neo', 'bitcoin', 'litecoin', 'steem', 'waves', 'wings'], dtype='object')","Index(['ark', 'stratis', 'agoras-tokens', 'nem', 'dash'], dtype='object')"
20170801,"Index(['komodo', 'zcash', 'eos', 'agoras-tokens', 'crypto-com', 'adx-net'], dtype='object')","Index(['stellar', 'populous', 'wings', 'nano', 'factom', 'singulardtv'], dtype='object')","Index(['litecoin', 'steem', 'ethereum', 'nexus', 'waves'], dtype='object')","Index(['iota', 'ark', 'dash', 'monero', 'ardor', 'syscoin'], dtype='object')","Index(['stratis', 'neo', 'bitcoin', 'nem', 'rlc'], dtype='object')"
20170810,"Index(['stellar', 'dash', 'eos', 'zcash', 'adx-net', 'litecoin',
       'bitcoin-cash'],
      dtype='object')","Index(['bitcoin', 'agoras-tokens', 'komodo', 'suncontract', 'factom', 'steem'], dtype='object')","Index(['rlc', 'ethereum', 'crypto-com', 'nexus', 'singulardtv', 'monero'], dtype='object')","Index(['waves', 'ark', 'wings', 'syscoin', 'nano', 'ardor'], dtype='object')","Index(['populous', 'neo', 'iota', 'district0x', 'nem', 'stratis'], dtype='object')"
20170819,"Index(['litecoin', 'zcash', 'ardor', 'syscoin', 'stellar', 'eos', 'steem'], dtype='object')","Index(['ethereum', 'komodo', 'singulardtv', 'stratis', 'factom', 'monero',
       'dash'],
      dtype='object')","Index(['rlc', 'bitcoin', 'nexus', 'nem', 'agoras-tokens', 'waves', 'cvcoin'], dtype='object')","Index(['iota', 'ark', 'nano', 'populous', '0x', 'bitcoin-cash', 'wings'], dtype='object')","Index(['adx-net', 'district0x', 'crypto-com', 'neo', 'suncontract',
       'aidos-kuneen'],
      dtype='object')"
20170828,"Index(['syscoin', 'stratis', 'steem', 'stellar', 'populous', 'ardor', 'eos'], dtype='object')","Index(['zcash', 'agoras-tokens', 'litecoin', 'waves', 'singulardtv', 'cvcoin',
       'nem'],
      dtype='object')","Index(['wings', 'bitcoin-cash', 'bitcoin', 'ethereum', 'factom', 'rlc',
       'komodo'],
      dtype='object')","Index(['ark', 'monero', 'iota', 'suncontract', 'nexus', '0x', 'dash'], dtype='object')","Index(['crypto-com', 'adx-net', 'district0x', 'aidos-kuneen', 'nano', 'neo'], dtype='object')"
20170906,"Index(['loopring', 'rlc', 'singulardtv', 'agoras-tokens', 'neo', 'populous',
       'eos', 'primas'],
      dtype='object')","Index(['waves', 'ardor', 'cvcoin', 'stellar', 'stratis', 'iota', 'district0x'], dtype='object')","Index(['0x', 'bitcoin', 'wings', 'zcash', 'nem', 'steem', 'ethereum'], dtype='object')","Index(['komodo', 'bitcoin-cash', 'dash', 'suncontract', 'litecoin', 'nano',
       'factom'],
      dtype='object')","Index(['aidos-kuneen', 'crypto-com', 'ark', 'monero', 'syscoin', 'nexus',
       'adx-net'],
      dtype='object')"
20170915,"Index(['primas', 'eos', 'neo', 'crypto-com', 'adx-net', 'suncontract',
       'cvcoin', 'district0x'],
      dtype='object')","Index(['bitcoin-cash', 'populous', 'agoras-tokens', 'stellar', 'nano', 'rlc',
       '0x', 'iota'],
      dtype='object')","Index(['stratis', 'agrello-delta', 'ardor', 'zcash', 'ethereum', 'nem',
       'factom'],
      dtype='object')","Index(['loopring', 'wings', 'steem', 'dash', 'singulardtv', 'neblio',
       'bitcoin', 'waves'],
      dtype='object')","Index(['nexus', 'ark', 'syscoin', 'aidos-kuneen', 'komodo', 'monero',
       'litecoin'],
      dtype='object')"
20170924,"Index(['0x', 'factom', 'adx-net', 'crypto-com', 'eos', 'nano', 'primas',
       'district0x'],
      dtype='object')","Index(['monero', 'nexus', 'iota', 'neblio', 'neo', 'suncontract', 'stratis',
       'stellar'],
      dtype='object')","Index(['steem', 'zcash', 'agrello-delta', 'waves', 'populous', 'aidos-kuneen',
       'cvcoin'],
      dtype='object')","Index(['litecoin', 'bitcoin', 'rlc', 'wings', 'nem', 'syscoin', 'ethereum',
       'bitcoin-cash'],
      dtype='object')","Index(['singulardtv', 'ark', 'komodo', 'loopring', 'dash', 'ardor',
       'agoras-tokens'],
      dtype='object')"
20171003,"Index(['stratis', 'suncontract', 'populous', 'factom', 'syscoin', 'nano',
       'nexus', 'agrello-delta'],
      dtype='object')","Index(['litecoin', '0x', 'monero', 'eos', 'stellar', 'komodo', 'bitcoin-cash',
       'neblio'],
      dtype='object')","Index(['steem', 'rlc', 'district0x', 'dash', 'nem', 'kyber-network', 'wings',
       'crypto-com'],
      dtype='object')","Index(['singulardtv', 'agoras-tokens', 'waves', 'iota', 'ark', 'bitcoin',
       'ethereum', 'cvcoin'],
      dtype='object')","Index(['vibe', 'loopring', 'primas', 'adx-net', 'neo', 'ardor', 'aidos-kuneen',
       'zcash'],
      dtype='object')"
20171012,"Index(['wings', 'syscoin', 'stratis', 'agoras-tokens', 'kyber-network',
       'bitcoin-cash', 'nexus', 'agrello-delta'],
      dtype='object')","Index(['suncontract', 'nano', 'eos', 'dash', 'monero', 'district0x',
       'singulardtv', 'ark'],
      dtype='object')","Index(['litecoin', 'cvcoin', 'cardano', 'komodo', 'steem', '0x', 'iota',
       'factom'],
      dtype='object')","Index(['neblio', 'ethereum', 'crypto-com', 'waves', 'rlc', 'primas',
       'populous', 'nem'],
      dtype='object')","Index(['vibe', 'loopring', 'ardor', 'stellar', 'adx-net', 'neo', 'zcash',
       'bitcoin'],
      dtype='object')"
20171021,"Index(['enigma', 'agrello-delta', 'waves', 'wings', 'bitcoin-cash', 'stratis',
       'suncontract', 'nexus', 'kyber-network'],
      dtype='object')","Index(['rlc', 'factom', 'agoras-tokens', 'komodo', 'crypto-com', 'dash',
       'singulardtv', 'iota'],
      dtype='object')","Index(['primas', 'cvcoin', 'monero', 'zcash', 'eos', 'ark', 'nem', 'steem'], dtype='object')","Index(['adx-net', 'cardano', 'litecoin', 'populous', '0x', 'syscoin', 'neo',
       'ethereum'],
      dtype='object')","Index(['neblio', 'vibe', 'loopring', 'stellar', 'district0x', 'ardor',
       'bitcoin', 'nano'],
      dtype='object')"
20171030,"Index(['wings', 'iota', 'nexus', 'waves', 'loopring', 'enigma',
       'kyber-network', 'vibe', 'nebulas-token'],
      dtype='object')","Index(['zcash', 'ark', 'neo', 'singulardtv', 'steem', 'agrello-delta',
       'factom', 'adx-net'],
      dtype='object')","Index(['ardor', 'komodo', 'ethereum', 'monero', 'nem', 'agoras-tokens', 'dash',
       'primas', 'district0x'],
      dtype='object')","Index(['crypto-com', 'populous', 'rlc', 'suncontract', 'stratis', 'litecoin',
       'eos', '0x'],
      dtype='object')","Index(['stellar', 'neblio', 'syscoin', 'nano', 'bitcoin', 'cardano',
       'bitcoin-cash', 'cvcoin'],
      dtype='object')"
20171108,"Index(['ardor', 'red-pulse', 'wings', 'crypto-com', 'cardano', 'nexus',
       'enigma', 'district0x', 'nebulas-token'],
      dtype='object')","Index(['loopring', 'power-ledger', 'ethereum', 'kyber-network', 'nem', 'iota',
       'agrello-delta', 'vibe', 'steem'],
      dtype='object')","Index(['adx-net', 'zcash', 'factom', 'monero', 'litecoin', 'neo', 'dash',
       'waves', 'ark'],
      dtype='object')","Index(['syscoin', 'bitcoin', 'cvcoin', 'streamr-datacoin', 'rlc', 'stratis',
       'suncontract', '0x', 'nano'],
      dtype='object')","Index(['bitcoin-cash', 'stellar', 'eos', 'komodo', 'neblio', 'primas',
       'singulardtv', 'populous', 'agoras-tokens'],
      dtype='object')"
20171117,"Index(['stratis', 'enigma', 'nem', 'singulardtv', 'loopring',
       'ripio-credit-network', 'nexus', 'neblio', 'crypto-com', 'district0x'],
      dtype='object')","Index(['streamr-datacoin', 'cardano', 'adx-net', 'neo', 'vibe', 'steem', '0x',
       'red-pulse', 'agrello-delta'],
      dtype='object')","Index(['ark', 'cryptonex', 'ardor', 'primas', 'syscoin', 'kyber-network',
       'ethereum', 'wings', 'stellar'],
      dtype='object')","Index(['monero', 'dash', 'bitcoin', 'agoras-tokens', 'waves', 'power-ledger',
       'litecoin', 'rlc', 'factom'],
      dtype='object')","Index(['eos', 'populous', 'bitcoin-cash', 'iota', 'suncontract', 'nano',
       'komodo', 'cvcoin', 'zcash'],
      dtype='object')"
20171126,"Index(['loopring', 'quantstamp', 'district0x', 'kyber-network', 'primas',
       'crypto-com', 'ripio-credit-network', 'rlc', 'singulardtv', 'neblio'],
      dtype='object')","Index(['0x', 'cardano', 'bitcoin', 'nem', 'komodo', 'wings',
       'streamr-datacoin', 'red-pulse', 'steem'],
      dtype='object')","Index(['stratis', 'zcash', 'ark', 'agrello-delta', 'nexus', 'adx-net', 'neo',
       'agoras-tokens', 'ardor', 'enigma'],
      dtype='object')","Index(['waves', 'factom', 'syscoin', 'vibe', 'nano', 'litecoin', 'cryptonex',
       'stellar', 'ethereum'],
      dtype='object')","Index(['suncontract', 'power-ledger', 'populous', 'bitcoin-cash', 'cvcoin',
       'iota', 'dash', 'eos', 'monero'],
      dtype='object')"
20171205,"Index(['ripio-credit-network', '0x', 'rlc', 'agrello-delta', 'kyber-network',
       'singulardtv', 'red-pulse', 'neblio', 'quantstamp', 'primas'],
      dtype='object')","Index(['vibe', 'komodo', 'neo', 'nem', 'ark', 'bitcoin-cash', 'factom',
       'zcash', 'streamr-datacoin', 'district0x'],
      dtype='object')","Index(['cvcoin', 'bitcoin', 'litecoin', 'nexus', 'steem', 'adx-net', 'wings',
       'enigma', 'waves', 'ethereum'],
      dtype='object')","Index(['ardor', 'stratis', 'crypto-com', 'populous', 'dash', 'loopring',
       'time-new-bank', 'monero', 'qash', 'syscoin'],
      dtype='object')","Index(['suncontract', 'iota', 'cardano', 'power-ledger', 'eos',
       'agoras-tokens', 'nano', 'stellar', 'cryptonex'],
      dtype='object')"
