,Port1,Port2,Port3,Port4,Port5
20170714,"Index(['syscoin', 'nano', 'iota', 'ardor', 'eos', 'crypto-com'], dtype='object')","Index(['komodo', 'adx-net', 'zcash', 'agoras-tokens', 'rlc'], dtype='object')","Index(['neo', 'ethereum', 'steem', 'stellar', 'stratis', 'singulardtv'], dtype='object')","Index(['ark', 'nexus', 'nem', 'factom', 'waves'], dtype='object')","Index(['wings', 'litecoin', 'dash', 'bitcoin', 'monero'], dtype='object')"
20170807,"Index(['factom', 'nexus', 'litecoin', 'steem', 'eos', 'dash', 'bitcoin-cash'], dtype='object')","Index(['rlc', 'zcash', 'nano', 'komodo', 'adx-net', 'agoras-tokens'], dtype='object')","Index(['bitcoin', 'stellar', 'singulardtv', 'ardor', 'syscoin', 'monero'], dtype='object')","Index(['wings', 'crypto-com', 'nem', 'stratis', 'suncontract', 'ethereum'], dtype='object')","Index(['neo', 'populous', 'ark', 'waves', 'iota', 'district0x'], dtype='object')"
20170831,"Index(['eos', 'neo', 'bitcoin-cash', 'adx-net', 'populous', 'district0x',
       'suncontract'],
      dtype='object')","Index(['nano', '0x', 'bitcoin', 'iota', 'singulardtv', 'agoras-tokens', 'rlc'], dtype='object')","Index(['cvcoin', 'waves', 'stellar', 'nem', 'wings', 'ardor', 'komodo'], dtype='object')","Index(['ark', 'factom', 'steem', 'zcash', 'litecoin', 'stratis', 'ethereum'], dtype='object')","Index(['monero', 'nexus', 'crypto-com', 'syscoin', 'aidos-kuneen', 'primas',
       'dash'],
      dtype='object')"
20170924,"Index(['district0x', 'neblio', 'stellar', 'agrello-delta', 'nexus', '0x',
       'nano', 'syscoin'],
      dtype='object')","Index(['wings', 'bitcoin-cash', 'stratis', 'litecoin', 'eos', 'suncontract',
       'factom'],
      dtype='object')","Index(['primas', 'bitcoin', 'ardor', 'steem', 'populous', 'adx-net', 'monero',
       'ark'],
      dtype='object')","Index(['iota', 'zcash', 'crypto-com', 'waves', 'nem', 'neo', 'komodo'], dtype='object')","Index(['loopring', 'agoras-tokens', 'singulardtv', 'dash', 'rlc', 'cvcoin',
       'ethereum'],
      dtype='object')"
20171018,"Index(['district0x', 'waves', 'rlc', 'wings', 'vibe', 'adx-net', 'loopring',
       'kyber-network', 'agrello-delta'],
      dtype='object')","Index(['suncontract', 'factom', 'iota', 'komodo', 'agoras-tokens', 'stratis',
       'nexus', 'enigma'],
      dtype='object')","Index(['monero', 'dash', 'neo', 'eos', 'zcash', 'steem', 'primas',
       'singulardtv'],
      dtype='object')","Index(['crypto-com', '0x', 'litecoin', 'ethereum', 'populous', 'bitcoin-cash',
       'nem', 'ark'],
      dtype='object')","Index(['stellar', 'neblio', 'nano', 'syscoin', 'ardor', 'bitcoin', 'cvcoin',
       'cardano'],
      dtype='object')"
20171111,"Index(['red-pulse', 'nexus', 'syscoin', 'suncontract', 'power-ledger', 'wings',
       'neblio', 'rlc', 'stratis', 'crypto-com'],
      dtype='object')","Index(['zcash', 'adx-net', 'loopring', 'ethereum', 'nem', 'district0x',
       'cardano', 'ripio-credit-network', 'steem'],
      dtype='object')","Index(['enigma', 'komodo', 'singulardtv', 'agoras-tokens', 'cryptonex',
       'litecoin', 'nano', '0x', 'neo'],
      dtype='object')","Index(['streamr-datacoin', 'monero', 'factom', 'ark', 'dash', 'agrello-delta',
       'stellar', 'bitcoin', 'ardor'],
      dtype='object')","Index(['bitcoin-cash', 'populous', 'eos', 'cvcoin', 'primas', 'vibe', 'iota',
       'kyber-network', 'waves'],
      dtype='object')"
20171205,"Index(['neo', 'kyber-network', 'rlc', 'factom', 'zcash', 'primas', 'red-pulse',
       '0x', 'power-ledger', 'quantstamp'],
      dtype='object')","Index(['district0x', 'agrello-delta', 'monero', 'singulardtv', 'waves',
       'wings', 'neblio', 'enigma', 'ethereum', 'bitcoin-cash'],
      dtype='object')","Index(['adx-net', 'vibe', 'bitcoin', 'nem', 'komodo', 'ark', 'populous',
       'cvcoin', 'dash', 'ripio-credit-network'],
      dtype='object')","Index(['stratis', 'ardor', 'loopring', 'syscoin', 'nexus', 'time-new-bank',
       'qash', 'litecoin', 'steem', 'streamr-datacoin'],
      dtype='object')","Index(['cardano', 'suncontract', 'iota', 'agoras-tokens', 'nano', 'crypto-com',
       'stellar', 'eos', 'cryptonex'],
      dtype='object')"
20171229,"Index(['waves', 'stellar', 'nexus', 'cryptonex', 'litecoin', 'quantstamp',
       'bitcoin', 'qash', 'populous', 'streamr-datacoin', 'cvcoin'],
      dtype='object')","Index(['loopring', 'monero', 'dash', 'eos', 'zcash', 'ethereum', 'iota',
       'crypto-com', 'time-new-bank', 'cardano'],
      dtype='object')","Index(['agrello-delta', 'ark', 'kyber-network', 'nem', 'steem', 'factom',
       'stratis', 'power-ledger', 'neo', 'ormeus-coin', 'suncontract'],
      dtype='object')","Index(['ardor', 'ripio-credit-network', 'wings', '0x', 'district0x', 'rlc',
       'singulardtv', 'neblio', 'bitcoin-cash', 'primas'],
      dtype='object')","Index(['nano', 'enigma', 'red-pulse', 'vibe', 'nuls', 'agoras-tokens',
       'adx-net', 'syscoin', 'komodo', 'nebulas-token'],
      dtype='object')"
20180122,"Index(['adx-net', 'district0x', 'nuls', 'nano', 'wings', 'neblio', 'primas',
       'loopring', 'nexus', 'red-pulse', 'time-new-bank', 'wax'],
      dtype='object')","Index(['qlink', 'power-ledger', 'nebulas-token', 'ripio-credit-network',
       'quantstamp', 'ark', 'kyber-network', 'gifto', 'waves', 'bibox-token',
       'streamr-datacoin', 'enigma'],
      dtype='object')","Index(['cardano', 'litecoin', 'bitcoin-cash', 'ardor',
       'dynamic-trading-rights', 'dash', 'singulardtv', 'factom', 'zcash',
       'stratis', 'nem', 'suncontract'],
      dtype='object')","Index(['monero', 'agoras-tokens', 'populous', 'stellar', 'komodo', 'ethereum',
       'crypto-com', '0x', 'iota', 'syscoin', 'bitcoin', 'agrello-delta'],
      dtype='object')","Index(['vibe', 'eos', 'rlc', 'cryptonex', 'maker', 'ormeus-coin', 'neo',
       'sirin-labs-token', 'cvcoin', 'qash', 'steem',
       'high-performance-blockchain'],
      dtype='object')"
20180215,"Index(['wings', 'high-performance-blockchain', 'streamr-datacoin',
       'suncontract', 'bibox-token', 'kyber-network', 'sirin-labs-token',
       'singularitynet', 'singulardtv', 'nexus', 'primas', 'nano', 'populous'],
      dtype='object')","Index(['cardano', 'ethereum', 'nem', 'maker', 'crypto-com', 'ardor',
       'ormeus-coin', 'nuls', 'loopring', 'ignis', 'vibe', '0x', 'rlc'],
      dtype='object')","Index(['agrello-delta', 'cvcoin', 'neo', 'qash', 'waves', 'stratis',
       'ripio-credit-network', 'eos', 'nebulas-token', 'steem', 'ark',
       'cryptonex', 'time-new-bank'],
      dtype='object')","Index(['bitcoin-cash', 'power-ledger', 'quantstamp', 'iota', 'stellar',
       'agoras-tokens', 'dynamic-trading-rights', 'factom', 'coinmeet', 'wax',
       'adx-net', 'komodo', 'bitcoin'],
      dtype='object')","Index(['litecoin', 'red-pulse', 'all-sports', 'syscoin', 'neblio', 'zcash',
       'polymath-network', 'enigma', 'gifto', 'qlink', 'monero', 'district0x',
       'dash'],
      dtype='object')"
