,Port1,Port2,Port3,Port4,Port5
20170723,"Index(['singulardtv', 'monero', 'zcash', 'eos', 'ethereum', 'litecoin'], dtype='object')","Index(['nexus', 'nano', 'agoras-tokens', 'komodo', 'dash'], dtype='object')","Index(['wings', 'crypto-com', 'waves', 'ark', 'rlc'], dtype='object')","Index(['iota', 'syscoin', 'ardor', 'factom', 'steem'], dtype='object')","Index(['bitcoin', 'stellar', 'stratis', 'neo', 'nem'], dtype='object')"
20170802,"Index(['singulardtv', 'komodo', 'adx-net', 'crypto-com', 'zcash', 'litecoin'], dtype='object')","Index(['ark', 'rlc', 'nano', 'nexus', 'wings', 'agoras-tokens'], dtype='object')","Index(['populous', 'stellar', 'iota', 'steem', 'waves'], dtype='object')","Index(['monero', 'stratis', 'nem', 'factom', 'syscoin', 'ardor'], dtype='object')","Index(['bitcoin', 'ethereum', 'eos', 'dash', 'neo'], dtype='object')"
20170812,"Index(['steem', 'zcash', 'monero', 'dash', 'eos', 'litecoin'], dtype='object')","Index(['ark', 'nexus', 'agoras-tokens', 'komodo', 'syscoin', 'factom'], dtype='object')","Index(['populous', 'wings', 'singulardtv', 'nano', 'rlc'], dtype='object')","Index(['nem', 'waves', 'stratis', 'stellar', 'crypto-com', 'ardor'], dtype='object')","Index(['neo', 'ethereum', 'adx-net', 'bitcoin', 'iota'], dtype='object')"
20170822,"Index(['nem', 'waves', 'zcash', 'stellar', 'stratis', 'litecoin', 'eos'], dtype='object')","Index(['singulardtv', 'wings', 'agoras-tokens', 'populous', 'syscoin',
       'ardor'],
      dtype='object')","Index(['suncontract', 'rlc', 'steem', 'nano', 'nexus', 'factom'], dtype='object')","Index(['dash', 'ethereum', 'iota', 'district0x', 'ark', 'komodo'], dtype='object')","Index(['bitcoin-cash', 'neo', 'bitcoin', 'adx-net', 'crypto-com', 'monero'], dtype='object')"
20170901,"Index(['stellar', 'adx-net', 'eos', 'iota', 'neo', 'bitcoin-cash', 'bitcoin'], dtype='object')","Index(['nano', 'agoras-tokens', 'ardor', 'populous', 'rlc', 'suncontract',
       'district0x'],
      dtype='object')","Index(['steem', 'factom', 'waves', 'wings', 'komodo', 'singulardtv', 'cvcoin'], dtype='object')","Index(['0x', 'nem', 'ark', 'nexus', 'syscoin', 'aidos-kuneen', 'stratis'], dtype='object')","Index(['litecoin', 'monero', 'dash', 'ethereum', 'crypto-com', 'zcash'], dtype='object')"
20170911,"Index(['adx-net', 'zcash', 'ethereum', 'monero', 'eos', 'iota', 'crypto-com'], dtype='object')","Index(['cvcoin', 'agoras-tokens', 'nano', 'stellar', 'factom', 'district0x',
       'stratis'],
      dtype='object')","Index(['steem', 'aidos-kuneen', 'populous', 'ardor', 'waves', 'suncontract',
       'rlc'],
      dtype='object')","Index(['dash', 'ark', 'nexus', 'primas', 'singulardtv', '0x', 'wings'], dtype='object')","Index(['litecoin', 'bitcoin', 'bitcoin-cash', 'neo', 'komodo', 'syscoin',
       'nem'],
      dtype='object')"
20170921,"Index(['syscoin', 'eos', 'adx-net', 'stellar', 'komodo', 'neo', 'litecoin'], dtype='object')","Index(['steem', 'ardor', '0x', 'factom', 'district0x', 'loopring', 'zcash'], dtype='object')","Index(['stratis', 'wings', 'suncontract', 'waves', 'nano', 'agoras-tokens',
       'populous'],
      dtype='object')","Index(['iota', 'primas', 'crypto-com', 'singulardtv', 'nem', 'nexus', 'rlc'], dtype='object')","Index(['bitcoin', 'ethereum', 'dash', 'bitcoin-cash', 'ark', 'monero'], dtype='object')"
20171001,"Index(['crypto-com', 'ark', 'stratis', 'nexus', 'dash', 'monero', 'litecoin',
       'bitcoin-cash'],
      dtype='object')","Index(['singulardtv', 'wings', '0x', 'suncontract', 'factom', 'populous',
       'syscoin'],
      dtype='object')","Index(['district0x', 'rlc', 'primas', 'agrello-delta', 'nano', 'nem',
       'neblio'],
      dtype='object')","Index(['iota', 'steem', 'waves', 'loopring', 'stellar', 'komodo',
       'agoras-tokens'],
      dtype='object')","Index(['neo', 'zcash', 'adx-net', 'ethereum', 'bitcoin', 'eos', 'ardor'], dtype='object')"
20171011,"Index(['nem', 'waves', 'crypto-com', 'stratis', 'monero', 'dash', 'litecoin',
       'bitcoin-cash'],
      dtype='object')","Index(['singulardtv', 'agoras-tokens', 'district0x', '0x', 'nexus', 'ark',
       'iota', 'factom'],
      dtype='object')","Index(['populous', 'rlc', 'nano', 'primas', 'agrello-delta', 'cvcoin', 'wings',
       'suncontract'],
      dtype='object')","Index(['ardor', 'kyber-network', 'neo', 'steem', 'neblio', 'vibe', 'syscoin',
       'komodo'],
      dtype='object')","Index(['bitcoin', 'stellar', 'zcash', 'ethereum', 'adx-net', 'loopring',
       'eos'],
      dtype='object')"
20171021,"Index(['adx-net', 'stratis', 'waves', 'ethereum', 'dash', 'iota', 'zcash',
       'neo'],
      dtype='object')","Index(['suncontract', 'wings', 'komodo', 'loopring', 'steem', 'factom',
       'monero', 'kyber-network'],
      dtype='object')","Index(['populous', 'vibe', 'cvcoin', 'nexus', 'primas', 'agrello-delta', 'rlc',
       'singulardtv'],
      dtype='object')","Index(['syscoin', 'neblio', 'nem', 'ark', 'agoras-tokens', '0x', 'eos',
       'nano'],
      dtype='object')","Index(['bitcoin', 'stellar', 'bitcoin-cash', 'litecoin', 'district0x',
       'cardano', 'crypto-com', 'ardor'],
      dtype='object')"
