,Port1,Port2,Port3,Port4,Port5
20170713,"Index(['ardor', 'waves', 'factom', 'monero', 'zcash', 'iota'], dtype='object')","Index(['crypto-com', 'dash', 'steem', 'syscoin', 'nem'], dtype='object')","Index(['nano', 'agoras-tokens', 'ark', 'komodo', 'singulardtv'], dtype='object')","Index(['neo', 'stellar', 'nexus', 'rlc', 'wings'], dtype='object')","Index(['ethereum', 'bitcoin', 'litecoin', 'stratis', 'eos'], dtype='object')"
20170723,"Index(['crypto-com', 'iota', 'zcash', 'litecoin', 'bitcoin', 'ethereum'], dtype='object')","Index(['rlc', 'nexus', 'agoras-tokens', 'nano', 'komodo', 'adx-net'], dtype='object')","Index(['monero', 'ark', 'wings', 'populous', 'singulardtv'], dtype='object')","Index(['eos', 'ardor', 'nem', 'steem', 'waves', 'dash'], dtype='object')","Index(['neo', 'stratis', 'stellar', 'factom', 'syscoin'], dtype='object')"
20170802,"Index(['adx-net', 'zcash', 'monero', 'dash', 'eos', 'bitcoin'], dtype='object')","Index(['rlc', 'nexus', 'komodo', 'crypto-com', 'stellar', 'steem'], dtype='object')","Index(['syscoin', 'waves', 'wings', 'agoras-tokens', 'nano'], dtype='object')","Index(['populous', 'factom', 'singulardtv', 'nem', 'ark', 'iota'], dtype='object')","Index(['ethereum', 'litecoin', 'stratis', 'neo', 'ardor'], dtype='object')"
20170812,"Index(['stratis', 'stellar', 'dash', 'zcash', 'eos', 'ethereum', 'litecoin'], dtype='object')","Index(['waves', 'ardor', 'syscoin', 'steem', 'factom', 'monero'], dtype='object')","Index(['singulardtv', 'populous', 'nexus', 'agoras-tokens', 'komodo', 'ark'], dtype='object')","Index(['crypto-com', 'nem', 'nano', 'rlc', 'wings', 'suncontract'], dtype='object')","Index(['neo', 'adx-net', 'bitcoin', 'district0x', 'iota', 'bitcoin-cash'], dtype='object')"
20170822,"Index(['stratis', 'eos', 'adx-net', 'litecoin', 'neo', 'bitcoin-cash',
       'bitcoin'],
      dtype='object')","Index(['komodo', 'nem', 'rlc', 'wings', 'populous', 'suncontract', 'iota'], dtype='object')","Index(['factom', 'waves', 'singulardtv', 'cvcoin', 'nexus', 'agoras-tokens',
       'nano'],
      dtype='object')","Index(['district0x', 'stellar', 'steem', 'aidos-kuneen', 'ark', 'syscoin',
       'ardor'],
      dtype='object')","Index(['ethereum', 'monero', 'dash', '0x', 'crypto-com', 'zcash'], dtype='object')"
20170901,"Index(['eos', 'iota', 'adx-net', 'monero', 'bitcoin-cash', 'neo',
       'crypto-com'],
      dtype='object')","Index(['komodo', 'factom', 'district0x', 'primas', 'ark', 'zcash', 'stratis'], dtype='object')","Index(['agoras-tokens', 'nano', 'rlc', 'populous', 'suncontract', 'ardor',
       'dash'],
      dtype='object')","Index(['wings', 'singulardtv', '0x', 'stellar', 'aidos-kuneen', 'steem',
       'cvcoin'],
      dtype='object')","Index(['litecoin', 'ethereum', 'bitcoin', 'nem', 'nexus', 'syscoin', 'waves'], dtype='object')"
20170911,"Index(['0x', 'loopring', 'eos', 'komodo', 'iota', 'neo', 'bitcoin-cash',
       'litecoin'],
      dtype='object')","Index(['suncontract', 'rlc', 'steem', 'district0x', 'adx-net', 'ardor',
       'stellar'],
      dtype='object')","Index(['aidos-kuneen', 'factom', 'populous', 'wings', 'nano', 'cvcoin',
       'agoras-tokens'],
      dtype='object')","Index(['singulardtv', 'zcash', 'waves', 'crypto-com', 'syscoin', 'nem',
       'nexus'],
      dtype='object')","Index(['bitcoin', 'ethereum', 'monero', 'primas', 'dash', 'ark', 'stratis'], dtype='object')"
20170921,"Index(['syscoin', '0x', 'zcash', 'ark', 'eos', 'litecoin', 'neo', 'monero'], dtype='object')","Index(['wings', 'district0x', 'nexus', 'neblio', 'factom', 'komodo',
       'adx-net'],
      dtype='object')","Index(['singulardtv', 'primas', 'agrello-delta', 'agoras-tokens', 'loopring',
       'steem', 'populous'],
      dtype='object')","Index(['waves', 'stratis', 'stellar', 'rlc', 'suncontract', 'nano', 'ardor'], dtype='object')","Index(['bitcoin-cash', 'ethereum', 'bitcoin', 'dash', 'iota', 'crypto-com',
       'nem'],
      dtype='object')"
20171001,"Index(['factom', 'stratis', 'crypto-com', 'monero', 'dash', 'litecoin',
       'ethereum', 'bitcoin-cash'],
      dtype='object')","Index(['populous', 'syscoin', 'stellar', 'ark', '0x', 'waves', 'nexus', 'nem'], dtype='object')","Index(['primas', 'neblio', 'cvcoin', 'suncontract', 'wings', 'singulardtv',
       'rlc', 'nano'],
      dtype='object')","Index(['ardor', 'loopring', 'vibe', 'komodo', 'kyber-network', 'district0x',
       'agoras-tokens', 'agrello-delta'],
      dtype='object')","Index(['bitcoin', 'zcash', 'neo', 'adx-net', 'eos', 'iota', 'steem'], dtype='object')"
20171011,"Index(['waves', 'zcash', 'dash', 'litecoin', 'stellar', 'ethereum', 'neo',
       'bitcoin-cash'],
      dtype='object')","Index(['eos', 'loopring', 'factom', 'kyber-network', 'adx-net', 'stratis',
       'iota', 'monero'],
      dtype='object')","Index(['rlc', 'ark', 'neblio', 'wings', 'singulardtv', 'district0x', 'komodo',
       'steem'],
      dtype='object')","Index(['vibe', 'cvcoin', 'primas', 'agrello-delta', 'nem', 'agoras-tokens',
       'nano', 'suncontract'],
      dtype='object')","Index(['bitcoin', 'crypto-com', 'ardor', 'syscoin', 'cardano', '0x',
       'populous', 'nexus'],
      dtype='object')"
